straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p05_straight_main_001,0.237385373,0.483870964,0.284888765,0.325146908,0.337050585,0.296666552,0.048152601,0.04795407,0.04823611,0.656195986,0.886327661,0.817288158,0.775297743,0.042906427
p05_straight_main_002,0.235367088,0.484294383,0.269604,0.323695094,0.33263454,0.294296383,0.048153076,0.047886084,0.048825704,0.625201777,0.892854466,0.812558659,0.793862148,
p05_straight_main_003,0.232270316,0.4808456,0.310510741,0.311163795,0.309615018,0.281557977,0.048238358,0.047716097,0.047834153,0.599637358,0.907404082,0.815074064,0.750955721,
p05_straight_main_004,0.244045124,0.490565016,0.285841729,0.30913829,0.328676356,0.291540345,0.048140125,0.048981077,0.047756831,0.624687716,0.894293631,0.813411857,,
p05_straight_main_005,0.232747804,0.487683587,0.294924793,0.315158486,0.324410951,0.29628315,0.048108052,0.048054034,0.047739663,0.640877282,0.889562985,0.814957274,,
p05_straight_main_006,0.227562887,0.485151659,0.26277938,0.317510256,0.330054861,0.275786255,0.048076423,0.048262582,0.04790091,0.62236731,0.860160163,0.788822307,,
p05_straight_main_007,0.224428101,0.373384816,0.242350817,0.29092344,0.212594311,0.256079975,0.048754341,0.047781563,0.047620786,0.489683212,0.748338643,0.670742014,,
p05_straight_main_008,0.228322747,0.483933626,0.286033351,0.307767934,0.330494521,0.298268076,0.048103519,0.04854084,0.047665161,0.644574804,0.871894712,0.80369874,,
p05_straight_main_009,0.229338478,0.480119052,0.280680752,0.306172966,0.331053625,0.305013194,0.048055428,0.048021143,0.047646282,0.648341398,0.867358788,0.801653571,,
p05_straight_main_010,0.214339261,0.472954731,0.267362128,0.298201341,0.316292226,0.289854144,0.048074503,0.048042654,0.047642061,0.598746994,0.854361334,0.777677032,,
p05_straight_main_011,0.211109834,0.47452199,0.281369615,0.29476247,0.303755315,0.29468801,0.048052288,0.048094592,0.047627003,0.614505774,0.840594988,0.772768224,,
p05_straight_main_012,0.230805473,0.448029573,0.28745399,0.305541213,0.254177252,0.251067797,0.048213406,0.047670683,0.047696585,0.536101557,0.815771184,0.731870296,,
p05_straight_main_013,0.22068182,0.477264291,0.25918895,0.317400557,0.313765334,0.294463146,0.048092872,0.047992017,0.04767886,0.608649341,0.863698941,0.787184061,,
