straight|p17_Global|straight_002,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p17_straight_main_001,0.21230431571131395,0.12021871967431749,0.19309740809034004,0.03822352292374708,0.2948373647682911,0.17581386569740004,0.14549035814668976,0.09742208471641292,0.19080618879690986,0.3720250967063187,0.19985468755403815,0.15327960359706935,0.1894763757666746,0.221038207739802,0.31820416100959215,0.15253582161902499,0.915234730278244,0.31472146080635177,0.311951712767669,0.25747964977338533,0.24090362390991177,0.04810351550699778,0.04772896717511922,0.04764517308538059,0.455721632735513,0.7849606981757983,0.41630293563058945
p17_straight_main_002,0.22129721445723965,0.15644023513853145,0.23676398580023195,0.05753304837289834,0.31750939128188005,0.1624733764998442,0.13224727271976627,0.09201120017996386,0.18382697643320292,0.3631691530192564,0.1780227703401663,0.13203323571076386,0.19116409786044194,0.25892620207290845,0.28392009005942154,0.1462916473984722,0.9253362901639072,0.32465418175704314,0.321049501869439,0.2707378265411278,0.257633749095192,0.04808603451718862,0.04773663792787087,0.04762912068655776,0.4866830321964114,0.7859755824220466,0.4168023515543022
p17_straight_main_003,0.2202911691647759,0.14897598515729962,0.219673871486951,0.06685403069230546,0.3120243628637156,0.1696290986035138,0.13300633427658795,0.08778246510166536,0.18897120324690034,0.37099350691507027,0.20702042474738383,0.15031448983968565,0.1871584040208502,0.22377203136206197,0.28510000758242254,0.15020795643814056,0.925718652778208,0.3248409011164943,0.32162434246529203,0.2789731623373049,0.2657513558748577,0.04818977673352489,0.047869502856017467,0.04763204509162031,0.47572881086331337,0.7949114164290995,0.4212717307603599
p17_straight_main_004,0.2261833817471421,0.1549577686986428,0.19972800593847786,0.06276017819143319,0.30648477356996107,0.1653632957070518,0.13399686268538732,0.08143140209480051,0.18679362363401425,0.37273808110243867,0.21158248266590934,0.15060012886544905,0.16912599028905387,0.20466825440315012,0.3448199667016904,0.15251742795720594,0.8977364626193832,0.28917023086375926,0.2833822750115,0.25305620842129656,0.27218802309873324,0.04792766460850994,0.047725923054302996,0.047622494793434667,0.48990112794353785,0.7613601974032418,0.40449134609833826
p17_straight_main_005,0.22707155085807068,0.14507454221868504,0.23815828400144454,0.0535351236168962,0.28123775293381575,0.17159844356427087,0.1411144797204491,0.08351409471818122,0.19062155032186415,0.3659709641583488,0.1963966714679065,0.13921835711829342,0.16585492978595537,0.1962381114916441,0.3189682412810187,0.148707306658563,0.903758039868108,0.3041968698014631,0.3009722294089434,0.2842724497310866,0.2709174817895738,0.04809311889777478,0.04790896059033055,0.047649167744136356,0.4832405662105714,0.7740259444377703,0.4108375560909533
p17_straight_main_006,0.22282651851923574,0.14413934028011216,0.17898431987104152,0.05090287375081196,0.36404367627685963,0.17413988733288638,0.1818794884701614,0.10253959697418102,0.19097363558109534,0.37422121191081315,0.20803454994293102,0.14676247450193464,0.18865355050575416,0.22213109206521806,0.35105283306599905,0.18724942567958555,0.9579122161566318,0.3581482045881903,0.35519769438573673,0.2728017020477257,0.2585648969631223,0.048209867348869805,0.04871090464032738,0.047639940524512134,0.5000261066281324,0.8286818264815481,0.4381608835030301
p17_straight_main_007,0.2274474125545228,0.14116827787603314,0.21989976610253104,0.04768558426106802,0.29380173076830596,0.16463130533902243,0.15272544724742154,0.09988533780317882,0.18120854405381914,0.3627667115436969,0.2322802566343348,0.1661129955190712,0.16899419336574878,0.20544039039393022,0.31548065209797393,0.1429528203149164,0.8854848277143079,0.2805423297542509,0.27480860866050627,0.2766725946067862,0.2842110274865708,0.04787361596721032,0.0477095394991566,0.047623631024698666,0.47994246389063555,0.77102052468622,0.4093220778554593
p17_straight_main_008,0.21304358295928943,0.15861287974978627,0.20925700813020284,0.06319572440014003,0.3174049834090529,0.17219555135140338,0.13790184283199186,0.08155647387782558,0.188927767967712,0.3449540661967048,0.20319527098647838,0.14054690284100696,0.17143359489478122,0.19248405055944634,0.315597562016597,0.1432077146150365,0.9260465172592871,0.3232676430553879,0.3203692344852854,0.2444565490701449,0.2661443293061452,0.04790864183121032,0.047732102230062065,0.04762866914032394,0.4708671933467469,0.7729292800429827,0.4102789745916533
p17_straight_main_009,0.21552736075232587,0.14850971218844078,0.18474625512355417,0.05339831207747475,0.31610476657715086,0.17034478829253616,0.1425006055135597,0.08046352224865026,0.17890413365073193,0.35097155104792765,0.21566329568484263,0.14897720014648058,0.1660902675059928,0.18406096082101725,0.2997247165977299,0.13905887073616535,0.915285209782709,0.3049729339427482,0.2996439224622117,0.2473350627196617,0.26802237801140194,0.04796054321922359,0.04777633601001394,0.047623154145947734,0.4588760639290263,0.7498085236110469,0.3987158388784973
p17_straight_main_010,0.22550663585998487,0.14015987788653617,0.2516379344145422,0.04253305603044562,0.32214713484028756,0.16361631793964043,0.14014363315078895,0.09419415582233473,0.1905063669954801,0.3377601115586938,0.20900322081268624,0.16341757426113027,0.18621214953453796,0.20578241807584718,0.29447499236578517,0.14412317973136196,0.9175150306637437,0.31723685111224803,0.31327889178500057,0.28429294200872,0.26822791360444354,0.04810111776439739,0.047961268234284,0.04768255325813865,0.45480367351478196,0.8012554763120365,0.4244690147850876
p17_straight_main_011,0.21748057513724714,0.15085078803922222,0.25880984659074374,0.04629515843767599,0.3053703131036015,0.16855267505177887,0.13173569968791343,0.08363964705097314,0.18759631941599336,0.3304889424635375,0.20269505397645574,0.15222691587394127,0.184489978275726,0.178553039166034,0.2953240363543802,0.14524186928745558,0.918466811309596,0.3172735105795139,0.31435678362741726,0.27877284471951685,0.2618377219990634,0.04804239907357862,0.0477406446284993,0.047626101828681836,0.45377182382050324,0.7828105772170079,0.41521833952284487
p17_straight_main_012,0.22179491789622205,0.1557111318318551,0.21500707365609237,0.04293754425860067,0.3074251959172365,0.1698073195948764,0.1306000477464275,0.08854904053800357,0.18777801156887283,0.3271733077872828,0.20392379435792996,0.1479409123196897,0.16390984007900933,0.18266036626929122,0.29276123217542427,0.14271241107576543,0.9203899282876357,0.31903013791141877,0.3153834695001915,0.2680088651043414,0.2533857520153449,0.047934141292916135,0.04773843326123112,0.04762899385757754,0.4327560956306333,0.77729373433255,0.4124613640950638
