hook_right|p02_Global|hook_right_005,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p02_hook_right_main_001,0.2767665178224508,0.026872467010444823,0.046729453985011084,0.10440597289190608,0.31804432891492607,0.15413897381087158,0.168440763556747,0.06757262342987874,0.17646961855099713,0.31376301104558724,0.3434686140259807,0.1739669208556087,0.1716713495942732,0.2710579754544488,0.2456747232910789,0.14778107131381085,0.8757137011406846,0.2756686583186571,0.28868864945405137,0.2287240086531727,0.1991260401719192,0.05039274279414885,0.04783143756994052,0.04787879708591124,0.48783454693300055,0.7253126550034429,0.38659572604467707
p02_hook_right_main_002,0.2762213931267121,0.010273761259519891,0.04271138712933711,0.0909951126063002,0.3018341204232903,0.12396407562293041,0.12185416173509675,0.04446413551570142,0.1684342356626416,0.2915529421190425,0.32853904904179976,0.16017147063180784,0.1603939263345308,0.25288370299965407,0.25085687098552967,0.13636287548681586,0.8884216338122697,0.2897155663816844,0.3085631228710752,0.22437675706498528,0.18913494413983895,0.051995387994665444,0.04812386796060337,0.047833481794100866,0.4849649493314715,0.6650760605217962,0.35645477115794855
p02_hook_right_main_003,0.2668190095737968,0.004193288240066819,0.057080163921187754,0.11164277427791769,0.30254298893036247,0.1417514497745552,0.17719978433110778,0.06384165890636978,0.17810427515608296,0.3207489297165457,0.34149812684674197,0.17529226877924925,0.17243498140812333,0.2749327564191751,0.26658698524771307,0.1486509476968949,0.9075769185215588,0.3061411427339455,0.3207753940722613,0.2398999506741563,0.22011104247883417,0.051478118845986,0.04806926734309396,0.04783621130494421,0.514490285087881,0.7242831021231648,0.3860596567140545
p02_hook_right_main_004,0.1908006720459888,0.015516330053883476,0.038749746571292196,0.014011647608559075,0.2007819688704203,0.019739825345422506,0.06505711160054281,0.004252503466651548,0.050880736325881894,0.1864991056187708,0.20274030920921451,0.03062400041173107,0.06895341045660314,0.17011573119214624,0.15299584561014917,0.049431633677185845,0.7852852298059334,0.20196698618331183,0.21341900529512964,0.13398296718917146,0.10349915366755,0.05191724289118576,0.047882337802751855,0.047619387997214775,0.4863056511635183,0.2456316056443192,0.146625496820767
p02_hook_right_main_005,0.176114764376617,0.018747378436165033,0.009932368977346477,0.016544637610157488,0.20661828411598923,0.03328397364789885,0.12489172805339237,0.01034518243727737,0.05609392195916958,0.2015814114251217,0.21721946391804256,0.04166201384861999,0.06923116530995468,0.16727581604008573,0.177575514497429,0.04862612896629518,0.7873318295421214,0.20023212180642638,0.2108874939144075,0.13961378180490885,0.1103846855130078,0.04908194216508247,0.047787817237544473,0.04761973680753928,0.5281685770517337,0.2564853371524519,0.1520525369799956
p02_hook_right_main_006,0.25696150566198045,0.0077807768780911975,0.01589281427845074,0.05441628476945404,0.25088238549236913,0.09609588501069677,0.17210300504285977,0.05782492861828107,0.14009928334173455,0.27694980525195245,0.3110693270935861,0.1388047377664301,0.13488440382790645,0.21524459101999263,0.22922902928784286,0.10079318313838892,0.8604505422810957,0.267177413715672,0.27999242054249696,0.20971968742832559,0.1711966836844801,0.04894311687691276,0.04822133752641527,0.047675072179266316,0.5206099344978907,0.5488928505129291,0.29828396134609775
p02_hook_right_main_007,0.21514721940586662,0.01392457526186618,0.011926702576956322,0.02282627337120348,0.18979616540132693,0.04868517378986986,0.11842827518352073,0.024062446261918235,0.08058269566451501,0.21970863345176905,0.2568455473563466,0.08260259845072833,0.08680843160584208,0.19098182738682512,0.1877502481120822,0.05458395315696207,0.8052967618896499,0.21933980962886396,0.23167028381760774,0.16304921189099192,0.1312229048888603,0.0495083802115469,0.047939751590225205,0.047621689767929694,0.513794388205276,0.3413331446314443,0.194477417199687
p02_hook_right_main_008,0.25419429317829245,0.006706564115558307,0.016839125798835543,0.06950453031109935,0.25501537511861383,0.10139795661862361,0.1550060060880178,0.05714595419431144,0.15523370730809777,0.30172106446597924,0.35127604909850557,0.16524866249563017,0.1485648309020243,0.24715852945553415,0.2443787868786731,0.11542527910811469,0.8705222990693497,0.27663426408014363,0.2892633034578214,0.2377768473895549,0.20185160700027552,0.048632015931383187,0.048331204992478706,0.04770834451915994,0.5202525412675005,0.6121804623771642,0.32994440344816206
p02_hook_right_main_009,0.28056302074585615,0.003948448592913495,0.06827540436778053,0.11136144623109086,0.2744332574535543,0.10659535592211122,0.10534849210917319,0.06515368735528257,0.18250344091221157,0.3188304494688733,0.3593581196710691,0.18668373095234003,0.17630727917717404,0.2727183499760723,0.2523795094420108,0.14660091214402948,0.8982542706584347,0.29751827473173637,0.30846595656576875,0.25385317971389487,0.22449703237652613,0.051518863998575144,0.04802020237247899,0.04805970849046922,0.4733829247027678,0.7202671931870646,0.3841634508387669
p02_hook_right_main_010,0.29431550610747703,0.0028510168114712145,0.07194147816175493,0.1336511262116783,0.27832358617321395,0.13425570242394352,0.12665728303925897,0.06450871483911304,0.18218016993629252,0.31876061093358476,0.3613962093543834,0.19239671467773833,0.1689960582358162,0.25224294633104044,0.22894279907730675,0.13034558804023957,0.8587798956726556,0.2611552395047517,0.2753451078480868,0.250361105443098,0.2205515158759641,0.052701819821832675,0.04826597374303405,0.04783805352456462,0.4440931964262516,0.7317812761139053,0.38980966481923496
p02_hook_right_main_011,0.26990206038926023,0.00862129391605842,0.049066199654144604,0.05981174737346333,0.21943461131141495,0.05576358658193119,0.06030195338662582,0.023760083571921296,0.13142978790522528,0.22284218563474947,0.2962213102463068,0.1216580513102975,0.12643182689543497,0.21578018667337967,0.2094210924838776,0.095951941713618,0.8291109917468031,0.23925742195223104,0.2504355253100701,0.21606569751698404,0.1796726299816554,0.052671960149746476,0.04798284761144726,0.047631439674769745,0.44442518036666695,0.5059170039505878,0.2767742218126788
p02_hook_right_main_012,0.23826547115145055,0.008677838512462508,0.01193187500365786,0.037907158059824836,0.20097166766230612,0.05802904740708179,0.10486950293602586,0.01831607608911742,0.11323983522849265,0.24319167094512753,0.29603944143899164,0.11690993080261924,0.1148153119268603,0.19602667222390954,0.2289612642061917,0.09015077973750885,0.8238956474890109,0.23384062688931612,0.2435780943807901,0.20172875785750607,0.17423067792738517,0.049074870371092275,0.04777124792055752,0.04762243842366968,0.4928937240304115,0.44957893630780227,0.24860068736573598
p02_hook_right_main_013,0.26371147857652055,0.007462529121435096,0.012634129394478342,0.06030863571136098,0.2411529085526344,0.10100493570066096,0.15089116164254926,0.04693746750823913,0.14617291454820172,0.29537486698444304,0.334947009351373,0.15424222608362526,0.13420159403354245,0.21328776415653553,0.2228960400851659,0.08960803896123136,0.8515241157676254,0.25960082453917677,0.27129207012120027,0.22945038806831414,0.2011526367613609,0.04919684501374603,0.048304720422999325,0.047672523735566755,0.5160594249932818,0.5635323413736371,0.3056024325546019
p02_hook_right_main_014,0.30019358000958085,0.00940598950308454,0.017118495940486117,0.11198533728672529,0.26098457415467,0.10467282722998184,0.1095066950967702,0.05494229211185385,0.17254195778412942,0.29428094434624696,0.35810703972846986,0.18021901022133688,0.15393830830036323,0.22763560070552744,0.20370745803129742,0.10784726005133294,0.8764886879838188,0.281533322424377,0.32344432253591887,0.2572872671357086,0.2333949313936578,0.05950373665626662,0.050529906460139155,0.04774934951798594,0.44962600007731773,0.6656257042259852,0.35668752687198557
p02_hook_right_main_015,0.2756104609153868,0.011214376188526795,0.05548842288277968,0.10249581538436121,0.2932499091099191,0.1418130699497605,0.16352907042716286,0.07985517772897746,0.1787994952231481,0.33087448268318564,0.36851881439246953,0.18663764676523775,0.1689041762696374,0.2393863683473346,0.2647023072624803,0.1376084449219374,0.8703600192421623,0.27422640422187383,0.28726551247761484,0.2529650605968584,0.22684400113567715,0.052899551242950815,0.04824436338549518,0.04832341533455107,0.49736919628521337,0.7227945843801776,0.38555899985736436
p02_hook_right_main_016,0.29104073701415967,0.01668287552579248,0.062475257287955555,0.10948419441798493,0.27319446652506524,0.10966120515591646,0.11292227330538326,0.05342539064988161,0.17115277287262604,0.2860566755552222,0.35082906755557275,0.1759312617834877,0.15443774941770688,0.23751530431634899,0.21270322978886397,0.11397367362008926,0.8513461995150328,0.25709651427012115,0.27163462076495376,0.24406242219746227,0.22027587301810705,0.053291700520673224,0.048234614969538514,0.047892630676763505,0.4439221452421499,0.6759373276686299,0.3619149791726967
