uppercut_left|p06_Global|uppercut_left_003,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p06_uppercut_left_main_001,0.25037532963225256,0.16840747137874035,0.21118360535760825,0.1662106317904492,0.2753181900136944,0.14723441313995794,0.17597007859109717,0.1582213264422608,0.18617949101419748,0.26606357880031467,0.30482102269222316,0.16407435595453743,0.1734175845385414,0.2142190923426664,0.2945944565947519,0.1922151554050156,0.9121507968648943,0.30068368921583605,0.2887777726178907,0.314758207542008,0.3286616858773418,0.04829010505059531,0.047828350528847506,0.047621250836659294,0.4790866326404356,0.8343280231466557,0.44097463699165745
p06_uppercut_left_main_002,0.27780322567822113,0.17232959446149426,0.2230937491796861,0.1660378850533252,0.30324101212837756,0.15403693939002291,0.19223758627292187,0.17674164531530373,0.19318689385734933,0.22717381658631153,0.3114156213602238,0.16570907628238588,0.18172293680801577,0.22266817686815582,0.31811869593017617,0.1888322487386484,0.9394410840795956,0.33330672766510283,0.3254133478558698,0.3466986607824777,0.3528688214046096,0.048481126553518515,0.04785123859710251,0.04762240709992546,0.5030088432682897,0.8777894704602778,0.46270593878010163
p06_uppercut_left_main_003,0.2856582178451189,0.177599047912438,0.276504864958958,0.1564432275690077,0.31730133525672743,0.16038323226218426,0.19457558333630748,0.18073676399350455,0.19148909084243468,0.26395214343235235,0.34566329561468406,0.1704127607792844,0.1801442119800675,0.20737233819705217,0.28763649239546163,0.1904617050858662,0.931667523170282,0.32614202408835863,0.3149397562278885,0.35705642800171866,0.3664415608540866,0.048294487232712395,0.047701137345128514,0.047620941238409556,0.5420894848742596,0.8875349447522284,0.46757794299531896
p06_uppercut_left_main_004,0.2614985624623456,0.15981616029349324,0.04128024107733512,0.025644629512104944,0.2994054894910579,0.12097887858453105,0.042210690315572466,0.013018475168582603,0.18154874792984965,0.20466955964883388,0.31238871239603017,0.16652865593967664,0.16965416960416468,0.19868395453114426,0.2750433633266256,0.18882790914818712,0.9291765132820382,0.3203893973439705,0.31175364188787463,0.348209084554458,0.3616892635264985,0.04800400281352687,0.04767514816122336,0.04761995020484065,0.43528850177045947,0.7087850079137308,0.3782024790592857
p06_uppercut_left_main_005,0.2651260793084162,0.1836466082213593,0.21291923198694004,0.15600654703420552,0.3234496674644899,0.1478235680856035,0.17866963709753855,0.16882856133460092,0.1702795878077339,0.23160884205530136,0.3183117764324813,0.16060024939918063,0.18974539001552923,0.23075661961142982,0.33990444401787934,0.19756435378933918,0.9157355332937559,0.30996291808333903,0.3054923027259002,0.32559506300454993,0.3334473080133704,0.04840898152008214,0.04777612434093908,0.04762851493014991,0.5200504317908552,0.8511095222731646,0.44936901860165723
p06_uppercut_left_main_006,0.2838169638563786,0.17832413965683636,0.27522673683067855,0.15161535906404122,0.3101538259388403,0.1614030892441861,0.19066714214327823,0.17638331625956766,0.17566318545283066,0.24990572383107929,0.327585625775131,0.17014499332820401,0.17844208264102157,0.21712870237787882,0.3203694540115677,0.19347189864343645,0.9309822419255861,0.32209850434683746,0.31301247696757034,0.3485184399474892,0.358028179964653,0.0483051884317056,0.04772862326820217,0.047621748025674836,0.5500361623312982,0.8695200858072873,0.4585709169164811
p06_uppercut_left_main_007,0.2912686057765309,0.18588738233364835,0.2664026588180285,0.14383582355319932,0.3388959573693195,0.16643587926954817,0.1795164999684114,0.17681607334001037,0.1869157831858131,0.28924569198077166,0.35177654261521474,0.17737142961037083,0.19358184256253008,0.2611778848681957,0.3729268592381185,0.1991374541127105,0.9353389702378582,0.32920370824207873,0.31982327638935326,0.35805414690870796,0.36397469186614184,0.04853270664277894,0.04777361088711651,0.04762111507131992,0.6156236456079252,0.8982870715603778,0.47295409331584887
p06_uppercut_left_main_008,0.2847306345946752,0.1840041843548444,0.2764235054417219,0.12601053044456131,0.3283143538360635,0.17002046600733275,0.18622179115837506,0.17195688530721498,0.1814850277326452,0.27434362377848087,0.3491425885334113,0.17804918078888854,0.19082161219425314,0.25037518516280566,0.34281873572597105,0.19913358310160173,0.9244506676081852,0.31833044558151447,0.3115080370648295,0.33919650703801174,0.34566927549698734,0.048196742599960665,0.04769036876622823,0.047619873349395284,0.5822968998698258,0.8837703006037668,0.4656950869765811
p06_uppercut_left_main_009,0.28654255313564486,0.17012881121359763,0.18589380861360344,0.15586394581187746,0.31747800763366973,0.16015196526040384,0.1690349649876371,0.17737109619459113,0.17539398317239252,0.22452602735081867,0.3288158506703071,0.17054135834768921,0.17991449936627726,0.20928952599506884,0.2953199338858953,0.19812100991325635,0.92561937983001,0.31562452430578014,0.3091783921408541,0.33281565545546676,0.33999857303703857,0.04827743285509543,0.04770019865072934,0.04762075233440162,0.45932882695501104,0.872340265104826,0.4599805087196138
p06_uppercut_left_main_010,0.294682462200364,0.15931318799701852,0.1770028225749562,0.14622209801142108,0.34820748798658596,0.15407055110718906,0.1754008673828567,0.16545954946560631,0.18164812546380799,0.23780196771274437,0.3364458302285625,0.1758839277078083,0.19296140497780642,0.20315847663301217,0.29266261388570414,0.19525029308219213,0.9282858149016938,0.3185784508148405,0.30980763349946433,0.3282285381193429,0.32590174246650594,0.04810597404436975,0.047685293853011804,0.04762021300699997,0.4624279835025383,0.8809549092109257,0.4642875611089628
p06_uppercut_left_main_011,0.25645904304969025,0.0007972966980513642,0.1671878903912724,0.13171283902965114,0.28964135535396096,0.0010782398222474953,0.04984385279382377,0.020852896006578768,0.18311942624326585,0.34055048046922565,0.27680867903992357,0.1512653249799846,0.1961335803680315,0.22573092247076293,0.30847167774549544,0.18955870406716493,0.9136689132642285,0.31006793409329825,0.2979388008516411,0.35049796098361313,0.3426619728842665,0.04817269932641405,0.04770553332454863,0.04764355742314603,0.5274290470845957,0.6958698063213384,0.37175668187224226
