hook_left|p06_Global|hook_left_001,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p06_hook_left_main_001,0.29226991370222305,0.16233732035149653,0.16604900582279186,0.06911600794584125,0.2776491284098294,0.1864164666731865,0.35154014317616544,0.14563880990433492,0.19434595587512857,0.2950849912103405,0.251784572959157,0.15280591910605917,0.1970557044238287,0.2581244127369442,0.33170598097789056,0.19910581504694375,0.9563567973737971,0.355583624979044,0.3597532063739023,0.33498378539483864,0.3279378600477346,0.054942440811706676,0.054179728110354666,0.04767523463002531,0.5682566466747409,0.8566164843438029,0.4521458594869141
p06_hook_left_main_002,0.28779032474230987,0.16051329385748664,0.16493752561402272,0.07356217938684492,0.31242701172509385,0.17258806678134392,0.35139360467802055,0.1774845813968264,0.19473930425063452,0.2769028334367724,0.23275390385471809,0.125025195562794,0.1952094887266428,0.2727056751589413,0.31093486835309997,0.1814810136256839,0.9230162449805599,0.32171298817836885,0.3218370830584162,0.3846205912368707,0.3756359671134647,0.052660307102965355,0.05041065393634653,0.047870394845558856,0.588411084163714,0.8501154669984816,0.44899293092202025
p06_hook_left_main_003,0.25435031579109396,0.13008651386553086,0.141505056050847,0.06320864456282754,0.30222048431599885,0.154601445954889,0.3362803730111151,0.16793686009120729,0.17782249949196763,0.3116084140943737,0.2440435517865998,0.13341711168336554,0.18340399904861054,0.2728288251212237,0.28903599786624784,0.18263936322831806,0.8970020271157407,0.29004232585010764,0.2895182311592719,0.35447159767130004,0.3543246795921994,0.052096765803063064,0.04830562218992391,0.0476453967848078,0.5661665485126995,0.8036396402464857,0.4256425185156468
p06_hook_left_main_004,0.28116096175828337,0.17172589941615451,0.1672124778131911,0.09383705577610262,0.3167124383345382,0.17661042260687193,0.3317020521435065,0.17592799057106728,0.1955143098964391,0.3091979664227634,0.22867863058393684,0.13287879566846922,0.19602555540859973,0.26688000193393185,0.31545494910348343,0.18918182370556422,0.9208137028390077,0.32019294758363437,0.3214951118003665,0.35185212369136726,0.3439781452345727,0.05219666119749217,0.05057837721858915,0.04787952130367225,0.5612965706800177,0.8694895688874131,0.4586845450955427
p06_hook_left_main_005,0.29491417578121126,0.1653307232192957,0.11113172294129245,0.06877058696237127,0.30220634333582647,0.15795186534179756,0.24163228120993452,0.10305303741620772,0.19824471530269164,0.25936892232090575,0.2806904703577776,0.13979981574178224,0.19745356212169224,0.2635299596260495,0.318455062708348,0.18711527854996549,0.9373990821924156,0.33660522675740345,0.33836919589469144,0.3047758256271556,0.2937670388154795,0.05267780434745584,0.049846484858180384,0.048209256181021044,0.5248846607946648,0.8166689423874869,0.43243909928425395
p06_hook_left_main_006,0.28498552123666676,0.15870104344772867,0.19082550153092723,0.07583580545107715,0.3000932122262691,0.16954635480216287,0.33137480100922767,0.1728628205917135,0.19074024109114976,0.3450875084375645,0.2331319071266523,0.13461015951918281,0.19275988111182168,0.279161864277892,0.30554423645411843,0.1906522105894049,0.8958133479700965,0.29147221033850534,0.29317300257870155,0.3286768037269335,0.32131103432920927,0.05173876175860265,0.04972319460853805,0.04764264644604934,0.5855395875527465,0.8452726107067932,0.44645762857642124
p06_hook_left_main_007,0.26450643417217784,0.15142022645109932,0.18522775784805776,0.07201169011848173,0.31710187779152765,0.15631360323711005,0.31486618865219473,0.17058204412590056,0.1901177184539928,0.3333983790067102,0.18486830991608688,0.12052654956254168,0.19156614629858562,0.27326263469657086,0.3097647681556567,0.17651240457017447,0.8986502558980602,0.29461715136736916,0.29506304262499666,0.3625042292685712,0.34740657768615435,0.0506696637176627,0.048311805148574936,0.047672028031675036,0.5917077840279854,0.8178918962562298,0.4327819621439524
p06_hook_left_main_008,0.30126310657024913,0.15015514869699625,0.09007165308359935,0.06421855824672774,0.30218740576282865,0.17827889813545456,0.3054957424737682,0.1786034924976088,0.19179075953572527,0.2819785079568521,0.22872732899161222,0.13574990759180003,0.19604705505070338,0.2728110919889395,0.3327182204970406,0.1879404242936939,0.9027254483081277,0.3016827542190684,0.3031622837784756,0.3543752831131618,0.34193130318013915,0.05218423092247356,0.05031359735719899,0.047751862704524986,0.5187630869740311,0.8486124082823714,0.4481821354934482
p06_hook_left_main_009,0.29214140863547994,0.14412131203607903,0.07330241752356684,0.0400883039952194,0.28388414738798406,0.14239645319633082,0.23491917305618432,0.09339764659757913,0.1902368166901891,0.25415706891940154,0.2713060315018758,0.13381602178525775,0.19227091048778544,0.2634541789462497,0.321769951615935,0.175936705945408,0.915501214022477,0.31393276048502666,0.3151448307669725,0.3397587088178976,0.33016234945965406,0.052121100994516154,0.04970197730307147,0.04766124234607917,0.5367603394854703,0.7708071126023613,0.40923417747422025
p06_hook_left_main_010,0.2980438846690026,0.16947941610979927,0.13138442826313912,0.08734387086271374,0.30969401177983424,0.1855346129914696,0.29271384375939624,0.18279913647518445,0.19468441395595307,0.2611421246571391,0.26190081017028566,0.1334939502639306,0.19788838480265195,0.2764544129735951,0.3490097722367328,0.19187133184670904,0.9099033887077919,0.31063894291021443,0.3121457318073152,0.34248060306113776,0.33186498462689706,0.05275924977946539,0.05078102691747197,0.04782093115698521,0.5312339069811222,0.8716750177224267,0.45974797443970594
