jap|p19_Global|jap_003,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p19_jap_main_001,0.07656240328408673,0.0034582564956123774,0.047597706529215564,0.0068326944149531554,0.05599942686609878,0.0019678380938097035,0.2166754085378746,0.009147444672940597,0.008179789976199801,0.12744848494732758,0.1348037099667126,0.016658169501297698,0.022482011945997752,0.17967559842692643,0.12354568744083635,0.008999534257631541,0.6111336079050176,0.018824606698554087,0.023695372818967175,0.1977593973792647,0.19367604322881798,0.048103204617370166,0.047748596581290555,0.04761933245291813,0.49992076579813965,0.06741303064064691,0.05751618154678252
p19_jap_main_002,0.10693035336940973,0.00254121562543369,0.03233176585552575,0.004613726435776849,0.053023410743407696,0.000549394532775745,0.1735663804682745,0.005688788708622769,0.0067865381788500215,0.11697742773365256,0.13848520772589407,0.013631634180386164,0.018806954018018993,0.18796686263853885,0.11819598569697773,0.005333287987179415,0.6055639010646175,0.013410525900835486,0.019164395009802007,0.1991651688609503,0.19411934875853107,0.04767594797557161,0.04773417828055693,0.04761911286225674,0.48978382407096294,0.05779753654677987,0.052708324704518306
p19_jap_main_003,0.0709443374378816,0.0015890426515023197,0.05082185480032482,0.004893807461412407,0.044435997124669016,0.0024139246725364922,0.16320947336849612,0.0031209022856121017,0.003624902539926973,0.13666917851902421,0.1304116129405885,0.007858403808259315,0.010034097754398296,0.13783491078906013,0.1251080049296712,0.0035281149687771394,0.6078935972659011,0.011420894885348965,0.01378381186026531,0.19689398747183345,0.19480064280883463,0.04784803157989915,0.04782807380224191,0.04761969703748307,0.49162620895628073,0.031456145038964045,0.03953792103822355
p19_jap_main_004,0.07412362418010984,0.0026723079621772785,0.05209802312379275,0.007891782811564805,0.05500440976531984,0.0016496546303498279,0.17353186297410272,0.005894749036358797,0.005860318160151732,0.11919650761173092,0.13898882894049172,0.013106912865273088,0.016110817967631256,0.1818200686723222,0.1029295462207694,0.006006126312707952,0.6086670287749729,0.014595717308059208,0.018647344875027567,0.19856521715170186,0.1949945059374564,0.04840912235628053,0.047761429659500844,0.047619205634125625,0.48235143863576946,0.05293907841049707,0.050279142022311346
p19_jap_main_005,0.12087671161239322,0.0004316136702375678,0.01472311500752554,0.0014443614441556536,0.03449846079794973,0.00018601936458508065,0.1658290702765112,0.0015572781172179374,0.0013137773672758251,0.14484986964293103,0.1348399583325749,0.002873125929383562,0.004751513125004306,0.19073258329705944,0.09003552028765045,0.0009731679642193788,0.6013976657408231,0.0036253684839416067,0.005702815794036224,0.18758815158771797,0.185974181084501,0.04764387111602386,0.04770575795846773,0.04761908433841092,0.5139649316593113,0.018834317547829254,0.03322670094312009
p19_jap_main_006,0.08418065266338962,0.0015171659745668376,0.03444710228326296,0.004109278168201847,0.043409011731019534,0.0008190121920413516,0.179557398239913,0.0035623022838225634,0.003356284690890281,0.12484122201819983,0.13846957502347118,0.007810872310354296,0.009967294469248485,0.17289134488280156,0.11257138833792057,0.0027771345847159997,0.6042365222824568,0.008681291360817647,0.011949603278698878,0.19219830737419916,0.18950996382101687,0.047711526641136905,0.047715570897826666,0.047619234352288216,0.495301230969177,0.035245031426105744,0.041432132889196976
p19_jap_main_007,0.0639360709017968,0.0036646489112957584,0.08805633782230202,0.015733197670774156,0.055057086186390394,0.002045017754230647,0.1802825220883839,0.007380424330718153,0.0066060596057991045,0.10560335100039661,0.1399540834660276,0.01579930356479735,0.018177464186641228,0.17440448005542977,0.11190667922677806,0.007155206277054488,0.6097150923287218,0.01660200927464298,0.02103620957278523,0.19070718148308116,0.18717624242817021,0.04774674955477679,0.04774654946077612,0.04761941579246419,0.4774459387923525,0.06501939365709317,0.05631940472477868
p19_jap_main_008,0.05824445322534081,0.002713847054323642,0.08602217141463833,0.013319309019033138,0.051005291294389334,0.002017007906103887,0.16407560014930955,0.00595554309317843,0.005244182534594159,0.10183333109321205,0.12945641331688076,0.012573681202502685,0.015275426396732761,0.1625710289640679,0.1302482595968082,0.005770171332986103,0.6093665530716255,0.01494289813923264,0.01850083808482893,0.18803930696566648,0.1848031110605402,0.047755764229133336,0.04777476255484109,0.047619528145015154,0.4723159915297816,0.05315766032601754,0.05038859423551635
p19_jap_main_009,0.0815132625608942,0.0013664032134156024,0.03844047211114455,0.003577235680560343,0.04186490295590693,0.000633339584249726,0.19383319956345324,0.0028463400822461436,0.0032665024927858804,0.1458565705762865,0.1127102982055254,0.007921982663869934,0.010337831901000275,0.16780841095577875,0.11382577637252334,0.0025351667583094627,0.6040259807207751,0.00829179969587957,0.011544419917682965,0.18956716623976347,0.18678366512389652,0.04769992976061714,0.04779110149008807,0.04761906591194229,0.49701223726842236,0.0343638850388437,0.040991475475392995
p19_jap_main_010,0.048750641059936796,0.0016820850822330774,0.09507691965806526,0.011574299431371678,0.04456630906430866,0.0021593973183981945,0.14229526511016183,0.003293285871110442,0.0034608193693593803,0.10540273536409199,0.11769526434904402,0.009561801462017523,0.010500371096066646,0.15427471231320458,0.08997353600852799,0.003834807426853619,0.6086534911127077,0.012180053997654466,0.014481106818461625,0.18235591696403938,0.18053090747282938,0.04777815029942302,0.04773649988909788,0.04762157875453581,0.44618991801050634,0.03777301460305515,0.042697296678795474
