uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p06_uppercut_left_main_001,0.34954711273820727,0.44951436949828416,0.3042141994331345,0.32228848243177133,0.2563773271027724,0.26328735457270314,0.05009333025428947,0.04856859022289507,0.04763644149713391,0.5769559850924237,0.9083183587187833
p06_uppercut_left_main_002,0.3580165157251781,0.46350041693026284,0.3284432409852826,0.32265426663736035,0.2644461283363302,0.26587692019486464,0.05072777796158771,0.049995260928232685,0.047655631307868755,0.6046783275095962,0.925523417396696
p06_uppercut_left_main_003,0.34565099496013174,0.45819663698379537,0.3005107775555727,0.3216242654566398,0.2725552681653375,0.27861381230438126,0.05134469589149372,0.04824078224676022,0.047651710600995455,0.5880962696983616,0.9263194909631848
p06_uppercut_left_main_004,0.36481829870602234,0.46752676405727256,0.277760683532925,0.27538768294128924,0.18735597085119574,0.13635885835946482,0.05012677139672572,0.048041677128882264,0.04762176770192564,0.47958349038546794,0.7632347073818637
p06_uppercut_left_main_005,0.3542776249461412,0.440492455295442,0.3213915146905635,0.3101917143703386,0.265793752601469,0.25839177658804985,0.05072297485944322,0.04864853926950598,0.047629429078235024,0.5978632155072902,0.8939468428274532
p06_uppercut_left_main_006,0.34560071254530406,0.45496111231173836,0.3118904142265402,0.317328457121376,0.2717403212636262,0.2708056578492333,0.050870736864993334,0.048249877712808156,0.047631951068941296,0.5838137955775783,0.9260698232907649
p06_uppercut_left_main_007,0.353835385226868,0.4452210401373007,0.34745379115682634,0.3226120067508964,0.2671718741171464,0.2691794297308104,0.05151021838620422,0.048163846848942746,0.04762266109262421,0.632495537710884,0.9101929594169997
p06_uppercut_left_main_008,0.3329560467673994,0.43995746893084764,0.34202844862108583,0.3416559303467121,0.27213636377044714,0.2758167307821868,0.05148415754022963,0.048007203753906484,0.0476250414561357,0.6361747228563217,0.9179921381472832
p06_uppercut_left_main_009,0.3394899224172626,0.4490627475648671,0.3043911917664238,0.29176377144228066,0.27222581651211747,0.22982772141219138,0.05053811677036454,0.04840985919380167,0.04763363698589421,0.5060712857210201,0.9244554931080945
p06_uppercut_left_main_010,0.310210703602566,0.44838224180611946,0.2956909059390813,0.2804192194608116,0.27012016802292654,0.21350236237364434,0.0509442445922443,0.04799103950569076,0.047624069092895856,0.49594947318386007,0.8811796531153279
p06_uppercut_left_main_011,0.3399045007630467,0.42922253092798257,0.3039012075175434,0.28095718541604897,0.14792921277616497,0.1665332159576948,0.05034177840955917,0.04795523560773126,0.04762155815400487,0.5610149321466427,0.6674731950985128
p06_uppercut_left_main_012,0.34943576865334713,0.40848860719774926,0.3116687294687225,0.3064033417463492,0.13710052158328306,0.13852448283545993,0.0489315276499732,0.047922697764702,0.04762543533487973,0.5144069459103525,0.7085161656494068
p06_uppercut_left_main_013,0.34801400134404314,0.4217717933584451,0.29493673108555996,0.2726735798083848,0.13745602303628582,0.1492344347382016,0.04959038473267304,0.04789838952402927,0.04762441925790982,0.481307948496877,0.7061213762200894
p06_uppercut_left_main_014,0.3403924877992299,0.4594546338231226,0.3069658857683983,0.30694991785345815,0.1580182529319783,0.14700221893838766,0.051123552011946904,0.04840703653271938,0.04763738084294489,0.5347080808978497,0.7299828985721581
p06_uppercut_left_main_015,0.3307374418395507,0.47497497835826125,0.2927280380949158,0.30329685611163804,0.1907530598568976,0.1297900626037282,0.07226425048896454,0.054278300639333865,0.04762555465111461,0.511397951425763,0.726672254746877
p06_uppercut_left_main_016,0.32876431984371396,0.45696433068532566,0.3212911705287328,0.30394413528988773,0.26657292972006574,0.184124146854766,0.05104431939316061,0.04907600969954414,0.04763494525103491,0.5786476193313697,0.8305440534385682
p06_uppercut_left_main_017,0.34384718071385273,0.43102300355622153,0.3270415564280421,0.3144151186285294,0.27710302315308805,0.1434700560528948,0.049016365378156734,0.0481661664560185,0.047633112980986055,0.5552959162228499,0.8370756960888699
p06_uppercut_left_main_018,0.3548938505852838,0.45619807739566254,0.32966386608215564,0.30229615054635195,0.2603846426522479,0.168120025947124,0.05095371732933204,0.04821501746745534,0.04763448106594061,0.5837071123139085,0.824382720130258
p06_uppercut_left_main_019,0.34519345084644676,0.45050733239086876,0.3349267637373592,0.30027182838172817,0.27483441862132557,0.13066573839677517,0.050172193266017275,0.04814993236308478,0.04763584991953664,0.5565688834485096,0.8255825313653589
p06_uppercut_left_main_020,0.3351156130578228,0.459389928358375,0.31840764060879295,0.2781414348753088,0.27958950740496596,0.13857537656120328,0.05054708611288103,0.048613986020393095,0.0476325766074286,0.5248799124596988,0.8287857378071513
p06_uppercut_left_main_021,0.36005705792266307,0.41745508371440243,0.3293390628937984,0.284441434984161,0.25394122490207444,0.144888756378477,0.0497319531188458,0.04792932219902812,0.04762313837007101,0.5400746890294224,0.8047383561203058
p06_uppercut_left_main_022,0.3628607508953208,0.45256611562744614,0.3411803591984881,0.29458710042598285,0.2735523071259403,0.14363216981348587,0.050421078281338044,0.04901970426300753,0.04770833385818201,0.5736126313075008,0.8293031675332614
p06_uppercut_left_main_023,0.3186519575221348,0.46956105675445003,0.290772786880681,0.29551409934304224,0.21563946939775763,0.10096587550000731,0.05058602855093979,0.04891575408319119,0.04762002330206894,0.4903643029110286,0.7526486827623023
