uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p06_uppercut_right_main_001,0.3756702034223169,0.4987977464327429,0.3291013346561681,0.347336073297383,0.1709928398398414,0.19030841438789622,0.06073601934381562,0.05751102309103828,0.04810947556807558,0.617945350300857,0.7783310077359571
p06_uppercut_right_main_002,0.36865165931004984,0.40796855190419423,0.24881048559803864,0.3266246207577579,0.14633504226624847,0.17617756159412878,0.05339891711641981,0.0478131541004906,0.047672671787663656,0.5334300002729095,0.696924201400153
p06_uppercut_right_main_003,0.36938898515667473,0.47924142420477195,0.3196217978038791,0.3481874303387702,0.20165258325831809,0.14863389360094353,0.05454086129153163,0.05083309506863854,0.04804378518501803,0.6329424356880662,0.7482113508125166
p06_uppercut_right_main_004,0.368824898323689,0.4753250998011209,0.3155638351589397,0.34132837929954485,0.19873999280694266,0.15004887583602264,0.05364875340372357,0.049143237737856775,0.04800853200958379,0.6425821894757442,0.7281863948339865
p06_uppercut_right_main_005,0.30860594372734207,0.40767354851716603,0.2792123727060618,0.3056914733322011,0.15029520331206198,0.13477801016684693,0.05464661452353656,0.04779903247640478,0.047628577545173766,0.4726847606862267,0.6903284986990691
p06_uppercut_right_main_006,0.32087788627802716,0.4188112628974435,0.23618098579804342,0.2850011576569283,0.14535379204943072,0.14785989283303827,0.053629086856075814,0.04788435659690694,0.047629036330154,0.46567225988703387,0.6621670482529101
p06_uppercut_right_main_007,0.33279972334475766,0.4180075725487901,0.24746445503146264,0.32241635225702836,0.13562776199267232,0.14830776107749283,0.05292002662558485,0.05190521128615194,0.0479513312853417,0.49162556162114035,0.6732989259286498
p06_uppercut_right_main_008,0.2968410526042119,0.40314274777136594,0.2377309710405601,0.2917585242238873,0.15803295297157888,0.13623362025217345,0.05377625993540066,0.04781669097456994,0.04762447766533366,0.4598452081935907,0.653761078466068
p06_uppercut_right_main_009,0.32096636365905207,0.43281628551914764,0.2455812203565273,0.2912993965548842,0.1499126260679616,0.14933849721021236,0.05494380794602362,0.05300569406926125,0.04762657421044719,0.47909535693575034,0.6693839096412029
p06_uppercut_right_main_010,0.20257242717511784,0.2811286527076288,0.09001472081976002,0.13316836367001053,0.09524495932617037,0.10111962977430018,0.05543960428499751,0.04783070266774647,0.04761951636661003,0.4570654319862332,0.13669467978268207
p06_uppercut_right_main_011,0.3102341187801695,0.42108446534606747,0.2505305470297774,0.29623408569908466,0.15293308274665943,0.1352853172371147,0.05404453376287147,0.051756786694731174,0.0476271410407136,0.4540792214660477,0.6828313778970669
p06_uppercut_right_main_012,0.3233651768451794,0.42279064504902913,0.2481345391413335,0.2872761700014233,0.1469312256029113,0.14191912981679516,0.05418255832573285,0.04795161420441522,0.047625817551514855,0.4633358761629687,0.6747214020832955
p06_uppercut_right_main_013,0.36999363851849754,0.5059080981919243,0.2794374930923773,0.3516388744854678,0.16917494073436085,0.19541614102880972,0.06163322319619127,0.06061115876265445,0.04918617390540686,0.5793082460253806,0.7709463219002499
p06_uppercut_right_main_014,0.328576124228382,0.43026799130541615,0.25850624458826377,0.281942342792629,0.1713535057922118,0.15117852020888706,0.05978360240030175,0.048213107108662785,0.047622475703014554,0.4818372697964569,0.6943976402772876
p06_uppercut_right_main_015,0.3152943143839139,0.43248828340802953,0.25688352825039945,0.3051503503803719,0.12386769109730907,0.16337616172271394,0.05494237673587947,0.05373949075926509,0.04762892912699419,0.46571988480052545,0.6896095455339522
p06_uppercut_right_main_016,0.2151008158351126,0.327159493451204,0.1182374823041952,0.16026651294567035,0.10919689394078007,0.09958731446995758,0.05306680455350543,0.04776288732187187,0.04761941720881218,0.46130548303585,0.2346467861671248
p06_uppercut_right_main_017,0.3698248227255846,0.4991519413434852,0.2973162622038069,0.3385953687258193,0.17442227868700266,0.18997682961014545,0.058834666786267704,0.05638904161348741,0.04900280584717698,0.591631351847853,0.7675786683283735
p06_uppercut_right_main_018,0.16899076352219664,0.2770834145386045,0.10768904165939693,0.12066211871367268,0.07745379374759317,0.08617744602888736,0.05442157271270608,0.04785792556698992,0.04762086501131012,0.46071316695613795,0.0871474792800145
p06_uppercut_right_main_019,0.357852624517486,0.49456403690280426,0.290062526089359,0.3369647034717083,0.13340764842203154,0.20717727413637946,0.061469111448246426,0.05584382165108733,0.047645537419168375,0.5794301227841804,0.7367819860423224
p06_uppercut_right_main_020,0.18353316657021387,0.29997438313206565,0.14758181065977194,0.12328367945960328,0.13473768367285577,0.1071624733594024,0.05914177402872661,0.047952588558659213,0.04761959877644646,0.43818777678483845,0.24328818304946548
p06_uppercut_right_main_021,0.3592940568819059,0.47576355730422204,0.28477722322777826,0.3319138619949375,0.18798353378358545,0.14525909570294346,0.05285365017562475,0.049942990985409316,0.048440778315123265,0.574634226567696,0.7341178745235651
p06_uppercut_right_main_022,0.20625202304435453,0.29430589947610375,0.10778485193605991,0.11552384271731704,0.09840681982083475,0.1317396080049188,0.05608673444869849,0.048135170684321174,0.04761905504540593,0.4866257021680053,0.1487117318679952
p06_uppercut_right_main_023,0.2941722931788033,0.42767288312209795,0.255096534196449,0.28955683386158837,0.1627975262961973,0.14948829700676297,0.05715719311996378,0.04842115744068013,0.04762702908650951,0.4804312422850721,0.675147730694313
