jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p05_jap_main_001,0.24043658023888398,0.5021378161733223,0.3086784104959926,0.2798997147703596,0.2320095718037674,0.22989648610830704,0.0477087211057453,0.048173908152117896,0.04762037829203408,0.46966061467311304,0.8919638296184393
p05_jap_main_002,0.2148716112552656,0.44433020682452684,0.27456416889568186,0.272758690406743,0.1724939920019927,0.18163203030123765,0.04776248524701794,0.04834937739578296,0.04761926109571016,0.4195821000863832,0.7496893097467721
p05_jap_main_003,0.2795307056417583,0.47540443048707426,0.32119493417021655,0.25678474260376966,0.24793612388070416,0.22398089693314055,0.04773968710469202,0.04777611548584303,0.04761909942974586,0.5203529784568783,0.8440960611325333
p05_jap_main_004,0.22317463735263243,0.47897221823278724,0.3102793209348083,0.23340847114735402,0.25490592221778247,0.24599270739675938,0.0478605814519961,0.047965568413312315,0.047619873351639426,0.4998563881099384,0.8307213901019785
p05_jap_main_005,0.22420105568414966,0.47488018835853935,0.3381443288653527,0.26464926768125396,0.26186992654572616,0.22404271955874813,0.047772283931938914,0.04799798602609375,0.047621156240262315,0.5195905989659859,0.8530044155528368
p05_jap_main_006,0.22739164349005056,0.4907042476566056,0.2926866105713046,0.2475019433311975,0.2562472072541282,0.236920295823222,0.04785173696577313,0.048018239773113175,0.04762066180571426,0.4601711749872101,0.8684598108824999
p05_jap_main_007,0.22336192216635903,0.4809021125962304,0.318897268962618,0.24559790706932377,0.2542420057993572,0.24418613024749453,0.0478405876351734,0.04811685456585178,0.04762009586410451,0.5130459769399613,0.8360233798824926
p05_jap_main_008,0.24195480443882814,0.48198824734353723,0.32012823387965755,0.24909130792636525,0.2511072651654659,0.25370518628369415,0.04788688886598796,0.04810283002383521,0.047619894559379074,0.5087996525568959,0.8653612192394559
p05_jap_main_009,0.24287720103345561,0.4970700736678267,0.3289961187225018,0.25680037058944927,0.2650933988142309,0.25965513694836373,0.04795969953982595,0.04842608573395906,0.04762112905228711,0.5109155394605114,0.9082241878497099
p05_jap_main_010,0.24417878087220438,0.4957606017948458,0.3148850339984303,0.2523315534983975,0.25758537417772925,0.2598776388637812,0.04794504628808508,0.04869993863545018,0.04762135028235594,0.49453733633734204,0.8977319777893753
p05_jap_main_011,0.22032039079462562,0.5009907800858863,0.3305819194805692,0.26002399133746035,0.24187421895007571,0.24810878690645222,0.04785578999579404,0.048102951175489114,0.047619348706757166,0.49354141989313216,0.8832709864960564
p05_jap_main_012,0.23069293223436665,0.5017924172135678,0.31794733089764005,0.24550692556824366,0.24236260279803049,0.2513879062400767,0.04782405671979675,0.04827990385798794,0.047621268204607645,0.4657551115839379,0.896623271277359
p05_jap_main_013,0.22368819666439715,0.5002787191073713,0.3268777724985278,0.25047494403909504,0.23789260787483713,0.24245074758731971,0.047869332913486835,0.048081519072031696,0.047620871791476865,0.4756126570681283,0.8813041300061881
p05_jap_main_014,0.24192559247365786,0.49684118757829276,0.3052837766865629,0.2434808174656402,0.247989055247821,0.24180512830360837,0.04785442813335169,0.04876146971140495,0.04762733890731194,0.44953323607486356,0.8966603526044702
p05_jap_main_015,0.22865969047939333,0.4995905268552138,0.3180316066062286,0.23667662727760197,0.23415089665498265,0.2502442543553558,0.04784038122237236,0.048261316634617225,0.04762162261257416,0.46082612445875243,0.8802796536779941
p05_jap_main_016,0.23167196116987285,0.5011571334437386,0.3091693989111047,0.24354272684495606,0.2414265369934157,0.2492464544743175,0.047820107732323563,0.0483086738631379,0.04762458508713509,0.4455972719199889,0.9032788491239763
p05_jap_main_017,0.2450263294134844,0.4810474022819736,0.3154338120732311,0.2521770232234178,0.2229296536037893,0.22194281486322692,0.04773736109557041,0.04799199544943952,0.04761916948241273,0.47035564162367116,0.8437776916648743
p05_jap_main_018,0.2706719694524884,0.4979285782866432,0.33994416741602035,0.26427885801267953,0.25456733731751513,0.2567510406564845,0.0477697598277653,0.0478978212043788,0.04761997041135463,0.5275824322039496,0.9106378279651459
p05_jap_main_019,0.22471919443144756,0.49614168088020455,0.3163836315156404,0.2270684516472153,0.2446800637606234,0.25623790098992855,0.04778531128026024,0.04814880195332645,0.04761975308665017,0.4712425903984368,0.8711638177324772
p05_jap_main_020,0.2308227694499844,0.4890692765837355,0.33380760483921357,0.22697567397141113,0.24901681640198445,0.24923468118013536,0.04786855334719064,0.04799812580286879,0.04761952465960479,0.49988064491380263,0.8567574883626703
p05_jap_main_021,0.2312593922484638,0.49304538792760033,0.32408054096301864,0.2190447218329245,0.25213561410324326,0.25105072730258343,0.04782097900993812,0.04811653945914023,0.04761994128202721,0.48598696215686993,0.8601886268163913
p05_jap_main_022,0.2279227719794296,0.48948823939668157,0.3361736131293013,0.21769635966842982,0.253177478790683,0.2569680787245148,0.04782147940138469,0.047986633991083355,0.04762011593053787,0.4835471917449124,0.8778969670155361
p05_jap_main_023,0.24397923736076638,0.5057514057477903,0.3132785203609323,0.25858995977125276,0.25316026623546806,0.247445922333851,0.04780837226871419,0.0481674434794027,0.04762044172246606,0.46926568228132404,0.9170553141021868
p05_jap_main_024,0.22179054646848648,0.4958765493379066,0.2993942681400334,0.22280889646242677,0.22988444205040787,0.2557312647433455,0.04779441146866884,0.048006278556315785,0.047619402302072546,0.444218449245001,0.8592854712062599
p05_jap_main_025,0.2242237385085573,0.49650000761941887,0.3264057714617746,0.24910583394497499,0.243416587190827,0.2562344803658848,0.04779186115662103,0.04812550894138418,0.047619582084738626,0.5024081245919595,0.8694190925091146
p05_jap_main_026,0.2580557240772211,0.5004322128757802,0.3175564932635671,0.24945716200101273,0.2631235113671637,0.24452428746419946,0.04777917959891027,0.04828535212219457,0.04762548829371198,0.47806872385903604,0.9158406012293918
p05_jap_main_027,0.24442011627552707,0.501338954741247,0.3193182243725397,0.2398949860443434,0.2549647172666812,0.2565428607872867,0.04792247214699518,0.048380458377832544,0.047623962182497585,0.4712123263428671,0.9116910552966105
p05_jap_main_028,0.23487730465510132,0.497585617806276,0.32728416149714395,0.24079355873252842,0.2685078384214249,0.2539302607780118,0.04788925800380436,0.048332961752885074,0.0476263751355709,0.49709877508168,0.8978909506591644
p05_jap_main_029,0.2399794712885143,0.4995296647147322,0.3345442788080314,0.25181840665419497,0.26380076595855234,0.250182602965045,0.0478258225437996,0.048120734850266154,0.04762846592592154,0.4982331276709099,0.9098503213642429
p05_jap_main_030,0.24006192354417002,0.4930715019439469,0.3358968905562519,0.25125576859464643,0.26258178420089606,0.24590111240470663,0.047938390563038266,0.04850792774079271,0.047652238798012204,0.47876543054859216,0.9220565436546622
p05_jap_post_001,0.2189301393091688,0.4939308876294278,0.33459822044152865,0.2478335759010093,0.2454120622239088,0.2413752653192524,0.04770728986208206,0.047766786854768484,0.047621143097356926,0.4963217287662691,0.8645009490446699
p05_jap_post_002,0.26227834313304016,0.49923767514366435,0.34509331129953325,0.2698385734580703,0.2420342835346167,0.24686407667272192,0.04781920553182776,0.04828123885744134,0.0476238466552541,0.506214904430349,0.9177987132163433
p05_jap_post_003,0.22713985109184515,0.48458920178248255,0.32253168338135657,0.2552016555832379,0.2312794233603114,0.23690241426388417,0.04788449643674005,0.04878489029776539,0.04762043340165181,0.48295126587227577,0.8543730977200297
p05_jap_post_004,0.2712634356187519,0.49168684511890015,0.3384906712779145,0.27198832020984764,0.2316424103908829,0.23138169277438406,0.047805003785867904,0.048547576754362644,0.047621418593301525,0.5016279155757446,0.8915886121011621
p05_jap_post_005,0.25364033338326086,0.4956872017600257,0.337960278048872,0.2900630230322318,0.243707851959767,0.24406460961158585,0.04797978122759907,0.049454227382726174,0.04766370214986717,0.5169734635331086,0.9104733203609283
p05_jap_post_006,0.24959480357409275,0.4909131149350932,0.3442230007005231,0.28186596756371846,0.22975762738497188,0.2409687472839898,0.047899234177331766,0.049543359364786224,0.04767873814958405,0.4928374761279257,0.9109522012091201
p05_jap_post_007,0.2626144459165317,0.4972447667689197,0.333167330134058,0.29232469337690326,0.24263978064095273,0.24852011474877206,0.04795919989682982,0.04988955608966572,0.04774915191412849,0.5091024621991278,0.9250136796897644
p05_jap_post_008,0.23262749047272716,0.5011318329138377,0.3376363094668231,0.25044965702744737,0.21352951278580568,0.2213598387797179,0.047691439908816455,0.04789355547098326,0.04762504409927994,0.4667328775093579,0.8620265696838765
p05_jap_post_009,0.14040430221667408,0.3967676364513045,0.2545139693263946,0.1694008988564702,0.12828875078153995,0.19554914478397928,0.04769231336894111,0.047801319805690315,0.04761904781368729,0.5068308911817053,0.44001729512767845
p05_jap_post_010,0.26553872690303826,0.5044465792576209,0.33682247112099145,0.29958846522273486,0.23143105404949052,0.2433241528481851,0.04792916036317102,0.0494663309343521,0.047804786140559614,0.5103454877241423,0.9236138722088459
p05_jap_pre_001,0.20629904375703445,0.4881129164245011,0.2897165770391922,0.23916838093340487,0.20334874610613043,0.17582329730355134,0.04775103875280752,0.047784104150942724,0.047619555837258964,0.4115605645987769,0.7852823821610138
p05_jap_pre_002,0.1351631610910135,0.40628738363861905,0.25044381680920613,0.17558903645789958,0.14147557919290193,0.13319254444899847,0.04782539041905335,0.04770630804836236,0.04761905376525241,0.3692480795116514,0.5363303595435669
p05_jap_pre_003,0.2018637882228913,0.49065071959961426,0.2963452674077356,0.22495001658037223,0.20780818928225103,0.1906214893901959,0.04767829351976617,0.047858435540109955,0.047619362554291056,0.40080027499710635,0.8033441547745209
p05_jap_pre_004,0.2239355257071017,0.494295496500757,0.2795671895958233,0.2115059791666114,0.21821032788491782,0.21146968425984455,0.04783931686790865,0.04862159196266956,0.04762480025956702,0.36178721752228526,0.8582895114574749
p05_jap_pre_005,0.22983323445608547,0.49826594186546247,0.26914233606120364,0.2210345134842199,0.22502728156490037,0.22132838560235543,0.047857073166969105,0.04941508538972941,0.047638242613690075,0.36050223349562316,0.8800050791921866
p05_jap_pre_006,0.11940572503789379,0.3926298353491505,0.21363752504448322,0.15128122887772374,0.1355721808349974,0.18115971849968115,0.04768766245424204,0.047758498830990016,0.047619047790664636,0.404546734772208,0.46439741246587474
p05_jap_pre_007,0.23002234733599822,0.501607947435037,0.28014953234866136,0.2172619408478401,0.22543342262710947,0.2221392433490649,0.04785979202332739,0.04931777430026087,0.047664338091837705,0.35503181166299497,0.8964256238072364
p05_jap_pre_008,0.20504711469883558,0.4907502170308953,0.298357805564567,0.23120719436783171,0.20444950500850984,0.1843975833246751,0.04767123735960971,0.04781009504431631,0.04761909920590857,0.39202316937622317,0.8151131364327858
p05_jap_pre_009,0.22437989045142537,0.4915856327510354,0.2821835335132782,0.21632696981981364,0.21745517795381045,0.20840342578367924,0.047843171297653087,0.04927909960623306,0.04763196255686609,0.35109248058159953,0.8713538065841293
p05_jap_pre_010,0.22359927563633325,0.48817293646594023,0.277111782796932,0.21034786016895873,0.21791623398141105,0.21489847976354354,0.047844581175651366,0.048409400612214756,0.04762500839195679,0.3548844969749983,0.8612141220793126
AVG,0.22920658346314574,0.48715204312771193,0.3119508164870595,0.24273447226110037,0.23303105968796992,0.23279108901406292,0.04782339416324435,0.04833757114999419,0.047631602993252774,0.4647331964129902,0.8516463698684278
