jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p16_jap_main_001,0.2807221103186302,0.48906555221835835,0.3389162742179177,0.281761702112487,0.23311751430147246,0.1696759063688218,0.05045316883879113,0.05330022742923003,0.04764689427907937,0.5907738770266612,0.7558313402615443,0.7063141012910794
p16_jap_main_002,0.36048517489202825,0.5026130265898328,0.3214895842501012,0.30079903639647204,0.3185844343813239,0.23951517024637697,0.04787116989161161,0.04977644891509335,0.047692795899313495,0.6349882005935034,0.9151977239501619,0.8311348669431643
p16_jap_main_003,0.33143486745980033,0.501606585651103,0.3037004613824911,0.32262829779007657,0.3225879021883162,0.2890829386504473,0.04847652650957085,0.05815973928716108,0.04767841465047323,0.6730788339233499,0.9113037658185894,0.8398362862500175
p16_jap_main_004,0.2997426795277074,0.5014066559741077,0.3020403374102824,0.3165006605643526,0.3164727212744594,0.26392428548746505,0.04798169611276237,0.05183573509376125,0.04768115918375543,0.6138115425641372,0.9229711641528346,0.8302232776762253
p16_jap_main_005,0.34456463228298073,0.5048549102004249,0.31298096008961684,0.3156252320916761,0.33400576777889457,0.26096489415417345,0.05059026104391295,0.04937209314281058,0.047681130015070614,0.6554195309890118,0.9303037158929464,0.8478384604217659
p16_jap_main_006,0.3225297582657148,0.49740558365041243,0.3107960465573204,0.3296477992536671,0.30802984296659996,0.2689577136295268,0.04804291464080731,0.05184005949356794,0.04768707481228117,0.6344175233498792,0.9297131636017928,0.8411244715262186
p16_jap_main_007,0.3269245182497075,0.49559101137791234,0.3167649425450459,0.32920404471858,0.30162555160720794,0.27486264841990093,0.048079425616819806,0.0508140197045164,0.04773336556423513,0.6469407554783898,0.9249324549374898,0.8415349450997597
p16_jap_main_008,0.33877728001592156,0.4969098625075189,0.32457366561443673,0.32995247553397017,0.3148843068788912,0.2907785222707188,0.04806997373228288,0.05127698316356682,0.0477742407606412,0.6836517646788112,0.9314119734575741,0.8570839108239452
p16_jap_main_009,0.3182448782270533,0.4925097057429607,0.31249537232642577,0.31847141269644713,0.30407936056630885,0.2762618582030161,0.047867602669307875,0.04993980470160525,0.04769086118269118,0.6267432504547391,0.9284299687596287,0.8379239532681618
p16_jap_main_010,0.3712989134655099,0.49534287983743647,0.3339579046122852,0.3219612962241524,0.3234607642058485,0.27210347015436537,0.04775860413726196,0.050262661489769975,0.04775943494730281,0.684717835224014,0.9381374050029475,0.8621115340692674
p16_jap_main_011,0.3421058460533174,0.48235673542232804,0.32616763018896383,0.31458227120258697,0.30948736120858455,0.2771019861981082,0.047920846684107475,0.05199957157654104,0.04782773389216449,0.6487353968947305,0.9256315072351288,0.8425626741330092
p16_jap_main_012,0.327209970615757,0.48339045233376254,0.32089609604626623,0.3181209088008897,0.308770150850114,0.25496869826937013,0.047823243684391156,0.050937902457999396,0.0476710677387645,0.6159706163133501,0.929775246445371,0.8356338574057647
p16_jap_main_013,0.3282135984175359,0.4962876330063238,0.31935718147199327,0.3310599500354858,0.30274215379949726,0.29030958535011636,0.04979057922374731,0.05042531876340505,0.04775155767486174,0.6723523753776,0.9180652380411761,0.8443513792421032
p16_jap_main_014,0.32467046679039946,0.5026761643922233,0.3201872451227157,0.31503400948941074,0.3032907102846969,0.33077113790866697,0.050402043609681826,0.05319977200540905,0.04763752300706258,0.684705423458328,0.9298360050781479,0.8562968305922019
p16_jap_main_015,0.30425225828307784,0.49169017353208916,0.3242547069069813,0.32935120048026445,0.30771837966561194,0.28198898380999315,0.048044209230602174,0.052853354860653005,0.04784888496252576,0.642763559906707,0.9334643617247099,0.846254121179309
p16_jap_main_016,0.29959789592758945,0.5075863783896946,0.31534299499703583,0.29700499881187375,0.27604067808849025,0.18733455989934458,0.05030008230742292,0.04974584956018706,0.04762405448088141,0.5762560864624872,0.8448656583636988,0.7642827867933353
p16_jap_main_017,0.13705433280586027,0.3135345912996802,0.12399394534963033,0.09886242065051787,0.13608305264528892,0.14975579621413018,0.04807168964190522,0.047832177021371915,0.04761904766715973,0.6371618757135122,0.037356096954748896,0.2172978305823779
p16_jap_main_018,0.3478993417182302,0.4922516895015823,0.33932582283202156,0.33261229251142865,0.32253431081866196,0.29037462983678947,0.04807991739414861,0.05252855302530003,0.04791300495287974,0.7028773174556634,0.9369561036129412,0.8667324677657579
p16_jap_main_019,0.32637509539378917,0.48821886818836246,0.3425752179396233,0.33066555460010727,0.3102901546609179,0.2750298174548056,0.048134972944007315,0.05317137252397024,0.04790454868242253,0.6719009160812116,0.9273446004739602,0.8507114951561356
p16_jap_main_020,0.3379087321507404,0.5088883386761335,0.3012910121918875,0.28947762732884946,0.2943927416395712,0.262712962490411,0.04768873971452886,0.0484138373315465,0.047619405214703835,0.6353141590523994,0.8803551257298484,0.8068428357266137
p16_jap_main_021,0.34943998537489335,0.49907632691353115,0.31357336484708387,0.2996677993650204,0.3150108345077888,0.2661613484902231,0.04775223949411177,0.05043187202591733,0.047824486266595724,0.6341883662672164,0.9203729293807262,0.8345175604466732
p16_jap_main_022,0.3262178784979791,0.5019326250988945,0.31374860762720747,0.2845133361181168,0.2947552542184825,0.2611395586201177,0.04959340694347277,0.04960382148354584,0.04762998663677228,0.6117963545212058,0.8941838098728273,0.8094675732673408
p16_jap_main_023,0.281904118534199,0.49758005777042247,0.33641371004024057,0.29882823388385876,0.22585599422402317,0.1804874441783996,0.050609506146798544,0.05099106394961692,0.0476483806875666,0.5923046941101469,0.7788458630584942,0.72288351237399
p16_jap_main_024,0.27785171771235173,0.4965901580280603,0.29958815354891766,0.2675345590970762,0.18955911651532828,0.16836074422925154,0.0520251446659533,0.05046977780146085,0.047628905993971925,0.5056332286376068,0.7518927060219327,0.6780148628066349
p16_jap_main_025,0.30707757304428196,0.5032791749610338,0.3096989696308555,0.27985100383947903,0.24101006903576883,0.1845487356416809,0.049816852582587584,0.050195865285891775,0.04763508776439169,0.5538299546256832,0.8082210648784036,0.7319037318025874
p16_jap_main_026,0.30457395749771327,0.5045697643492633,0.3211131092905613,0.2773243617652569,0.2444854120351569,0.21475616929206964,0.04916228758689047,0.049393436609162664,0.04763366201169465,0.5739342980788381,0.8304859680223509,0.753520467039297
p16_jap_main_027,0.32888750930173555,0.5073438246008047,0.3237480772721507,0.30718986766359374,0.29471071920775094,0.23957722855809246,0.05018394447790425,0.05380354421597516,0.04770638359458855,0.6263435489410482,0.8928565454853066,0.812902646522029
p16_jap_main_028,0.33578627779760933,0.49640880046253566,0.3229509137869897,0.2607516518609729,0.2854197966272297,0.2429290149617585,0.04992773979427917,0.049819321781301516,0.04764538329557048,0.5977183271878231,0.8637647036196715,0.783950790690117
p16_jap_main_029,0.31630016912412395,0.4969754985230267,0.3294656979461542,0.298215025052166,0.16040311295557347,0.20389572428345434,0.047743622293660574,0.05032657485955979,0.04763452685975583,0.590138322444717,0.750549285586038,0.7024259966436416
p16_jap_main_030,0.3440264813504061,0.4993546589101977,0.35129718482148886,0.32451368968975586,0.16998495891378462,0.2753529430526062,0.04798816825888513,0.05102205301602551,0.04788549655719701,0.6420410257606759,0.8436851412030829,0.7831919065703608
