straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p22_straight_main_001,0.2004468449123004,0.4001177173302536,0.23368428424292106,0.2225026891673422,0.23413605182460184,0.24218486038310494,0.04848123822487348,0.04769955567762681,0.04762203452619146,0.538859839150164,0.6404837254159161,0.6099965595361905
p22_straight_main_002,0.25007379081964426,0.46944638177638665,0.27156218191166925,0.2575701314402544,0.3212501588944553,0.2706125475496954,0.05494979678837959,0.0480373991464044,0.049025535181069516,0.4838061364497608,0.9283524753891353,0.7949885737073229
p22_straight_main_003,0.21085521000447066,0.420542271635232,0.2237365498457026,0.21733760060427704,0.24886626979613147,0.25646168237181516,0.04851713355112667,0.04770107266518396,0.04762053812302048,0.45818096072633213,0.7478631098549977,0.660958465116398
p22_straight_main_004,0.19063947510326482,0.3632320889597981,0.18853280139103543,0.2293172587897792,0.18964941761880283,0.23779767723092143,0.0484236269324703,0.0476930419360313,0.047621879500874424,0.41788604752551206,0.6482583792549484,0.5791466797361174
p22_straight_main_005,0.17926991985976354,0.3893684090467783,0.20062578564020445,0.22818837925229635,0.22047167124578407,0.2482496888131811,0.04824908766490236,0.04768937424347307,0.047633586946550496,0.42494554202461715,0.6990737526591376,0.6168352894687814
p22_straight_main_006,0.24275151278484325,0.49204336303302476,0.2551259606728137,0.22789812822038064,0.34154185248002167,0.25201693470265146,0.049081496989715714,0.054936518102840226,0.049800387662875804,0.5017068011498174,0.8747899772573159,0.7628650244250663
p22_straight_main_007,0.12770514123689775,0.3503134905548717,0.20117320662678057,0.23735773603197496,0.18070117676266917,0.21988337508907674,0.04844711376252204,0.047688325963802694,0.047619786061221865,0.4375035986707183,0.5761366278351866,0.5345467190858461
p22_straight_main_008,0.24428298838530688,0.46454750117819293,0.26851098886242486,0.2392463143645906,0.2976584563533792,0.24508442734519295,0.048894903893543416,0.05149184401304196,0.048758339787736735,0.5237595740964689,0.8206771903623543,0.7316019054825886
p22_straight_main_009,0.18363909395242592,0.3710357458984835,0.17660745845812736,0.23103743288390616,0.21777232010477485,0.21883253667004085,0.04843744050896941,0.0476807751414776,0.04911664868924153,0.4145612160305925,0.6685067913498541,0.5923231187540756
p22_straight_main_010,0.1874682726253823,0.3624360165475878,0.17775636393271674,0.22820529837919518,0.1901323267783716,0.2330224291749655,0.048353414113338135,0.047708645008802064,0.04762184775241991,0.39796126464065035,0.6508458280452861,0.5749804590238954
