uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p19_uppercut_left_main_001,0.34355595643414355,0.4392474143814466,0.28801789346136414,0.31274737172616496,0.2902812900697886,0.1765195257735624,0.04851243316092873,0.04766314111483831,0.047622858156940166,0.602494764479266,0.8018515867709727,0.7420445400834607
p19_uppercut_left_main_002,0.324083494448855,0.412382874996789,0.3048596404776992,0.3231929347666035,0.26280745863221255,0.16258916010826824,0.04846198036604773,0.047672576338688814,0.04762127415987792,0.5868218340347671,0.778960931271232,0.7213192021002925
p19_uppercut_left_main_003,0.3518472939442045,0.4084925997599577,0.33873335126432186,0.2928765316170088,0.2599209030463634,0.19312720987569193,0.0487538076771242,0.04826517318449699,0.047664052613311796,0.5493789339868407,0.8579937394454146,0.7654092978078424
p19_uppercut_left_main_004,0.3302553229788167,0.45866280069530435,0.28515039050661206,0.3288818900910997,0.2831022077863719,0.19348519161761393,0.04948361444605101,0.04815147402326021,0.047685908740576044,0.5673036037506944,0.8630990476176388,0.7743604144575554
p19_uppercut_left_main_005,0.29101502785893063,0.4407489065290326,0.2960124222973404,0.3032866112856724,0.31020148654100294,0.19429171230253214,0.04862237699214924,0.04768335919773629,0.04762035393622441,0.6062991464736686,0.8065005553936554,0.7464401327176593
p19_uppercut_left_main_006,0.2053373287852729,0.2764921270278902,0.20180134497679508,0.19303809414879997,0.16721260204307214,0.09219129858921467,0.04839668431720684,0.04766573713200236,0.04761978905351884,0.6090971761607982,0.2248499545845337,0.340124121057413
p19_uppercut_left_main_007,0.18234579076763485,0.2937824136497479,0.17475101335201065,0.1531327592200847,0.1718194649577471,0.07704605424901023,0.0486589963690264,0.047814035370060806,0.047619186047153136,0.6109317512420268,0.14353605483396645,0.28375476375638453
p19_uppercut_left_main_008,0.3229484090858747,0.44186148866083597,0.34080479360248006,0.32435574245896087,0.30870886226329636,0.18857736356851182,0.049141433685500564,0.04784584966910793,0.04762510042395256,0.6425254273277172,0.8408167177640784,0.7813293306331699
p19_uppercut_left_main_009,0.18639570281565626,0.29242096136564927,0.23180432324004885,0.2049287219758602,0.1599802330328062,0.07866904353587705,0.048525775870549716,0.04766813952183251,0.04761950396872862,0.6415978490039901,0.2111929272274684,0.3403144037604249
p19_uppercut_left_main_010,0.35021771661659906,0.44987635532678266,0.34215948622535164,0.30114228776818075,0.277375403171259,0.19916647892209033,0.048946085107735,0.04849617796936661,0.04771885734594461,0.5953355845892423,0.8677037524478318,0.785993302090255
p19_uppercut_left_main_011,0.3226672679619581,0.4429608762546134,0.3573575918811497,0.2980555659300232,0.2783114973207625,0.20372870299562185,0.04978943647791808,0.04840634172933571,0.04762944649910529,0.617149522458629,0.8462929702891943,0.7775499359400246
p19_uppercut_left_main_012,0.3153945165885677,0.4344293131929386,0.29887839619691153,0.3157111525742677,0.22896813116919432,0.13056219403765162,0.04822436466329548,0.04766232503716705,0.047626431819541196,0.5633554912981902,0.7348033159393534,0.6833689685470045
p19_uppercut_left_main_013,0.2094086184207276,0.3298488312174273,0.25483217044887485,0.2222426502738548,0.19660812239493414,0.10301449597838382,0.04853897076578928,0.0476686552234038,0.047619564287076935,0.622070888987582,0.36300681426860854,0.44072603668430055
p19_uppercut_left_main_014,0.32179325637758205,0.4374507934638814,0.2928505065096118,0.3141810446910592,0.3061015093632163,0.19437257228965826,0.048577652793774476,0.04769260450857244,0.04762270193980552,0.6074894789309535,0.8264853172227473,0.7607865657352091
p19_uppercut_left_main_015,0.3318221113507844,0.43323027573104156,0.3257522372854912,0.2798066524475794,0.26968955159801206,0.2041690891407631,0.048632211716708076,0.047831335627290784,0.047624292398868784,0.5627635335222895,0.8364783079128005,0.7543638755956472
p19_uppercut_left_main_016,0.30481609452750524,0.44944460288642485,0.3235345535311554,0.29764370272561774,0.2979280691059313,0.20125548872931215,0.048925256389797174,0.04773432236083704,0.04762774488508673,0.5770837333439456,0.859598919009228,0.7748443633096432
p19_uppercut_left_main_017,0.3410158555742028,0.43163646032205466,0.2745088112599365,0.31360132060202384,0.28731699958677404,0.1710889241127132,0.04834417014095255,0.047652898544614374,0.0476204324060745,0.6097873541783871,0.7719704417350994,0.7233155154680857
p19_uppercut_left_main_018,0.2648664725324196,0.3629123705948821,0.21491182874753267,0.2511102017547667,0.2101890915886905,0.12410393532912098,0.04834603161309211,0.047697956228821864,0.04761939737996793,0.6336918525262363,0.4247701333621159,0.48744664911135194
p19_uppercut_left_main_019,0.314628204332166,0.45057556794692416,0.32348268000131297,0.3168749912935273,0.2949493955637398,0.18573001494199248,0.04830515934091418,0.047677421806453166,0.04761963233980547,0.6396238930188534,0.8111134142197798,0.7596665578595018
p19_uppercut_left_main_020,0.3318065533488442,0.45225880789205436,0.3398462131385268,0.32763001640329853,0.2934834241674647,0.1853876430360227,0.04891033270040661,0.0477924711727843,0.0476282128267402,0.6432068386179034,0.8374098481656359,0.7791489453013162
p19_uppercut_left_main_021,0.3303189285127616,0.4452065367704064,0.31579695070469577,0.3175080340883659,0.27348968172257165,0.17168517066608766,0.04855835663901585,0.04772823788542798,0.04762061662744307,0.6006096119411918,0.8122581170231142,0.7487635654985375
p19_uppercut_left_main_022,0.293972189869537,0.3884165741001032,0.2642851761714201,0.26525252600440774,0.24384889847895633,0.14693414005478228,0.04837573410238457,0.04768360065492146,0.047619602892260256,0.6215430538245181,0.5865176341214479,0.5970252600323689
p19_uppercut_left_main_023,0.3427287254297712,0.44649339358958773,0.34097307735096205,0.2833073948975936,0.24578761315720268,0.18279286041392134,0.04852543481241319,0.048224870781957536,0.047650094447166925,0.5469408512676305,0.8448046351718478,0.7554455000005826
p19_uppercut_left_main_024,0.33216454730840095,0.44145963899025437,0.3388953109461482,0.283916258884117,0.25296090481973454,0.1799228740596419,0.04862419019088833,0.048134489307901124,0.04763566769954096,0.5579168052913972,0.8278634517365798,0.746879457803025
p19_uppercut_left_main_025,0.32679395970058067,0.44699342995492336,0.31540682682122806,0.3328409313131441,0.2802092601772397,0.19890458919680568,0.04898407400098822,0.0476819407732601,0.04762170211190992,0.6364281599457811,0.8202746685102853,0.765120715940934
p19_uppercut_left_main_026,0.2949354267714357,0.4484784120066,0.2952908837093308,0.29682591369421896,0.27769562207417714,0.200140791418218,0.048850417002162846,0.047675849787228795,0.04762153254917921,0.5640838565103368,0.8219297345356832,0.7445759711280793
p19_uppercut_left_main_027,0.3139990996258307,0.45198413316258995,0.3354841986489846,0.32008426012903984,0.2991475444259316,0.19672784299786977,0.04894434809227302,0.04773354479353841,0.047647022432654375,0.6170230221057976,0.8584346525341177,0.7860111634056217
p19_uppercut_left_main_028,0.3250255184777455,0.42032187983986,0.2895137776584039,0.3227289790964132,0.23826933813483855,0.14019021099151457,0.04823127151436789,0.04766094964362405,0.047620728335901724,0.584505929480036,0.730997810460582,0.6870502461664181
p19_uppercut_left_main_029,0.2973871907727593,0.41937708271720675,0.3511595907823863,0.30793920439512396,0.24404815493688242,0.16249319625326206,0.048845203786583774,0.047762832566013956,0.047622678830383756,0.6194011294389165,0.7452912602209165,0.7075242209863165
