uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p10_uppercut_left_main_001,0.3246687794032764,0.46726276911564624,0.3072167541801313,0.3094708783593269,0.23555841064680344,0.28642551856045523,0.05043301055728361,0.04836310542598412,0.04765617235723431,0.5973436545008658,0.8777277609026125,0.7936125289820884
p10_uppercut_left_main_002,0.3213738474947235,0.4759034810589925,0.3013170808684157,0.31891060920925235,0.23729713317895446,0.28299420970399575,0.04968587203782655,0.04839700826283791,0.04766468541591224,0.6021686441574223,0.878768192786927,0.7957883281980755
p10_uppercut_left_main_003,0.35108945659499685,0.472283150316526,0.3524823605630806,0.351229123589066,0.24720462884062674,0.31407426497688024,0.05066131051945825,0.048958797044916263,0.04762600568460944,0.730948905773684,0.8852579032590514,0.8389652040134411
p10_uppercut_left_main_004,0.3601117937913359,0.45111289722962444,0.3093361279954225,0.3278606146520057,0.27724508084421345,0.3061377771320692,0.049270297418545904,0.04889629828591663,0.047697407402365534,0.6713399969090477,0.8952176209943804,0.8280543337687806
p10_uppercut_left_main_005,0.36147303341279374,0.4445369292118773,0.29686359738154633,0.30421255498118277,0.28280288591494623,0.3119783734334553,0.05022718565745854,0.04942529116277855,0.047634706296366416,0.6922836317949702,0.8464386680880898,0.8001921572001539
p10_uppercut_left_main_006,0.3433324476044385,0.43985909219091895,0.3305740920398399,0.33874185560196163,0.2575209462161282,0.30755998741272156,0.050984306865904265,0.04830196356755655,0.04763196286230637,0.6773445930787607,0.8856930573682646,0.8231885180814134
p10_uppercut_left_main_007,0.3654995120009353,0.43994484139343315,0.3065551981214284,0.3245774690325649,0.2419549771788098,0.2996953548319235,0.0498939252258699,0.0504237284994823,0.04764160907687128,0.6422544321070431,0.8718749287803844,0.8029887797783819
p10_uppercut_left_main_008,0.3287086600573557,0.43447131934756644,0.3065470257382926,0.3209817494829029,0.25481942516839584,0.28705797248310977,0.0500441204022087,0.04916731183240376,0.04769471665501037,0.6185338600420749,0.872061729567886,0.7960033687101427
p10_uppercut_left_main_009,0.34886808665192637,0.4660773572104956,0.30189577162097675,0.32471598727682754,0.28416335881456106,0.31944336899516396,0.04991088034479975,0.048368988121411,0.047642854657383285,0.6718197350341828,0.9067067324132452,0.8362406331995265
p10_uppercut_left_main_010,0.3548141267985412,0.4543103740319069,0.30264587276263727,0.32113320965259806,0.2588309820518401,0.28662007944855566,0.05034015102540105,0.04815502175160957,0.047623305916466775,0.6585833781774897,0.8567373682151024,0.7972911712038185
p10_uppercut_left_main_011,0.3735212592621099,0.4248574547882903,0.296595062145999,0.3034260983919602,0.2587885567067804,0.2675327680872206,0.04950979057982383,0.04911429744086523,0.047687026660086396,0.598925449134652,0.8698960101631842,0.7886048418546244
p10_uppercut_left_main_012,0.3576901176945849,0.4567427750717224,0.2948911864459856,0.32314243148209965,0.2557587722396482,0.279668927867793,0.049680509266745755,0.049239790034215025,0.04769941388814307,0.6316463116476895,0.8724615133555295,0.8002169528431775
p10_uppercut_left_main_013,0.3742656995417725,0.45679541823258474,0.284558584588826,0.3226763811455461,0.2706744265918587,0.31565804200118536,0.049738324379122636,0.04930882955762186,0.04780253888706879,0.6454777523185258,0.9043275135149074,0.8266725851559928
p10_uppercut_left_main_014,0.3707495365008787,0.4646299069091861,0.28307735756050534,0.3190903566952955,0.2595383698924848,0.27856326992994546,0.04925271941047062,0.0488962622790107,0.04769042448261364,0.6061410722065309,0.8938925904981571,0.8075671350106691
p10_uppercut_left_main_015,0.37627982677475985,0.47195065575653505,0.28944977187525023,0.3315870770506047,0.2555657628951667,0.3131839378346883,0.05029603164422061,0.04968887999989606,0.047708952731092505,0.664478474568092,0.8892195626799855,0.8217972362464174
p10_uppercut_left_main_016,0.37275357081983473,0.44896714898235784,0.2892064628376463,0.31229758855157097,0.2729665419650762,0.29982905533352167,0.04982195507351447,0.04852066168203675,0.047689311947891,0.6483857921981482,0.8794639629129916,0.8101405116985385
p10_uppercut_left_main_017,0.33171502841973366,0.44744047995909736,0.2845882384530932,0.34812832376560665,0.2553834980742393,0.281664599925048,0.05043002834827114,0.04796417554381732,0.04762159184938888,0.6529072582633131,0.8492490676337361,0.7903465248226091
p10_uppercut_left_main_018,0.3599581675120024,0.4652586588156602,0.3040888101461313,0.349162681797782,0.2482220387624925,0.2615840604287757,0.050365202133581664,0.0483030123808059,0.04762242469073384,0.6789742778584935,0.8393481873904004,0.7912360145308284
p10_uppercut_left_main_019,0.3374466112963951,0.45943457785755504,0.28138816713316955,0.2862097057026209,0.22968007691988293,0.26322386965820793,0.050392999313541055,0.04793057024893878,0.047629243781556876,0.6168921513353613,0.7813499090500142,0.7320125817356183
p10_uppercut_left_main_020,0.3735670972328354,0.42463522415953747,0.292561451806134,0.30836288420394103,0.2571154849717983,0.2619783791529622,0.04927777805713482,0.048520547552397215,0.047712957448528236,0.5894472909515474,0.8735062899810296,0.7882885902721849
p10_uppercut_left_main_021,0.3377883143338483,0.4400270517459946,0.2711693776961909,0.297481534548378,0.2682691350415759,0.30603781229100785,0.04911784907354739,0.048362372180973494,0.04765004544196433,0.6728346551385538,0.8049847304324276,0.7653397078442654
p10_uppercut_left_main_022,0.3595760035110523,0.4611319081814277,0.31460644961960704,0.3385782749199694,0.2607325010004467,0.2677713825198971,0.05047787911028082,0.048064969727354245,0.047624229018689755,0.6904856390576262,0.842031231297697,0.7965675536256757
p10_uppercut_left_main_023,0.3364577700435571,0.43197030923789426,0.2357576660975643,0.23201750891327672,0.23915620746685623,0.23972665374675578,0.04960436500243941,0.04812756201007376,0.04762085648962476,0.6423006313423923,0.6365290086197919,0.638260495436572
p10_uppercut_left_main_024,0.3707391268490309,0.4394974879298748,0.2938469183050172,0.3480273592964229,0.2663030817377323,0.26157384215592083,0.048962902984927066,0.049128377954231084,0.04772914547616331,0.6218120456031911,0.8958545680746403,0.8136418113332056
p10_uppercut_left_main_025,0.3399372464585265,0.45314191697416994,0.3001769148078792,0.3367129305680174,0.2692360515304254,0.3086444529640048,0.05041860101031397,0.049007045092543756,0.04767407041500994,0.6597474310952619,0.8916213299961232,0.8220591603258648
p10_uppercut_left_main_026,0.350661205702417,0.4502560004486374,0.32810742651297886,0.32770994651037916,0.26605966548626425,0.2664750681928436,0.04972987351411651,0.048163962253339264,0.04762460212107441,0.6723528568737204,0.8577954834516028,0.802162695478238
p10_uppercut_left_main_027,0.3503161619182536,0.4562081458195085,0.30964955328730814,0.34690042270218663,0.28073798255326815,0.29780996098621987,0.05118108123553755,0.04848575495863164,0.047621606236270736,0.706426379582757,0.8714658909670825,0.8219540375517849
p10_uppercut_left_main_028,0.3690086058849215,0.4227718504907541,0.3146420345862291,0.33756426107575443,0.2825328812505415,0.2402462585083404,0.04895212181477685,0.04880958053038455,0.0476486733462045,0.6389631576945958,0.874421483162861,0.8037839855223813
p10_uppercut_left_main_029,0.366546818998185,0.4354588647440914,0.3122881925323706,0.33316487013271234,0.2596689637821278,0.2765150067798274,0.04901844541432127,0.04873696238708601,0.04764545760339626,0.6514328108280344,0.873115728985419,0.8066108535382035
p10_uppercut_left_main_030,0.368254848742714,0.4307252427578116,0.3229457533078119,0.3287212081184158,0.26683016238705753,0.28923529819660876,0.049100594539606815,0.0491501368292664,0.04765335217919596,0.6729709943584924,0.8751442794830792,0.8144922939457031
p10_uppercut_left_post_001,0.3739897618136804,0.45393463981615445,0.31632359191496195,0.3006549265299109,0.2728240136785199,0.2730058452390217,0.049291208887035344,0.048649849252038316,0.047758150458109834,0.6264187667157887,0.892395441174845,0.8126024388371281
p10_uppercut_left_post_002,0.37078609195511036,0.4679901355746197,0.2939041472674848,0.3407511223926017,0.27587593129271576,0.2852397373896452,0.049336114324594164,0.048731665894125906,0.04773005471694371,0.6766062005605787,0.8815270817794376,0.8200508174137799
p10_uppercut_left_post_003,0.34669029972892307,0.4489196890538336,0.2777070967410719,0.3176990750414908,0.25961989191777113,0.2682812128940043,0.05015302960506812,0.04808849307078684,0.04762027239015049,0.6116445631051175,0.8517163492183115,0.7796948133843532
p10_uppercut_left_post_004,0.3757367108152282,0.4603846072340804,0.3055413290970109,0.3345702253924096,0.2898379099125676,0.31585393763870523,0.049528675975023584,0.04886762751521815,0.04766855078958475,0.7181088291411946,0.8875656876882745,0.8367286301241504
p10_uppercut_left_post_005,0.37141915106191786,0.45564043248587927,0.3092195615008867,0.33172708436183834,0.29964011890381126,0.2942083112570927,0.04904025335783521,0.04902628610856691,0.04769533276647644,0.7080336809722982,0.8816234413142923,0.829546513211694
p10_uppercut_left_post_006,0.3447958344000216,0.45495543580940323,0.2901805198925089,0.3096627686737959,0.2943864832470328,0.3060882000643138,0.050206156821259305,0.04913219855244876,0.04769632359747708,0.6736423642521121,0.8682262906185042,0.8098511127085866
p10_uppercut_left_post_007,0.36745532791400304,0.4486478981543366,0.30740225115092323,0.3141020552139565,0.27302984254493046,0.28076791189190897,0.04891299330745847,0.048153120467411305,0.04765508294990503,0.657515871410818,0.8687723960201542,0.8053954386373533
p10_uppercut_left_post_008,0.33345898331059665,0.46123908338969394,0.31381779149246086,0.3249831023429433,0.29914536693816973,0.3111820956931831,0.05012252902657514,0.04815816087513045,0.0476743495243264,0.7181646889104685,0.870478018523747,0.8247840196397633
p10_uppercut_left_post_009,0.35718661548920566,0.46297247719204904,0.32433661992568374,0.3361131540011982,0.26149397058189977,0.29319918436222375,0.04991916136050781,0.048911377609607856,0.047633928502097585,0.6904820086269945,0.871794518895746,0.8174007658151204
p10_uppercut_left_post_010,0.2988820446644519,0.46366254458522305,0.3215458955708101,0.33033208160593464,0.3112283383642428,0.31702835734054924,0.0494866071980605,0.04821119274190958,0.047668976552933756,0.7013830227263852,0.9003140660927167,0.8406347530828172
p10_uppercut_left_pre_001,0.3319174892690327,0.4393879000314257,0.24466072360477856,0.24425823257154405,0.24297779107870224,0.25488477657937814,0.07100460607624458,0.049844822214820506,0.04761981820587384,0.6606194827745215,0.6296953071681957,0.6389725598500934
p10_uppercut_left_pre_002,0.35743949167721056,0.4651101034690065,0.3085125593337276,0.31562990208515634,0.25703724838654346,0.290997421779177,0.049173304383377706,0.048616718593981666,0.04776598641002832,0.6536313635087871,0.8725802672791438,0.8068955961480369
p10_uppercut_left_pre_003,0.3557551545183839,0.46029907054744135,0.292696058221246,0.3245181085960945,0.2629832163141241,0.2967599912841093,0.05034769509390545,0.0489373337753317,0.04765755330057746,0.6637610559011246,0.8608651528702321,0.8017339237794998
p10_uppercut_left_pre_004,0.3323782736439892,0.4577518760461353,0.2924311792733367,0.3043516951705964,0.2558559818064962,0.25593422870485644,0.049265764204630476,0.048024471360056976,0.047646438906025296,0.6020204918462284,0.8447984197483632,0.7719650413777227
p10_uppercut_left_pre_005,0.3463438438394128,0.4619731026118384,0.2871579070290967,0.30971910470429204,0.2580307761519176,0.28175100847750806,0.04980574051052326,0.04828059312786731,0.04762556742913264,0.6192631256669421,0.8623897731034567,0.7894517788725022
p10_uppercut_left_pre_006,0.35531390272323093,0.4609474581408165,0.2881019288930461,0.3067430777850748,0.24688251703096883,0.29792615327184035,0.049748623690773056,0.048418345240053715,0.047644422840671524,0.6290900709942352,0.8585085460929194,0.7896830035633141
p10_uppercut_left_pre_007,0.36714646270298057,0.4587231305674595,0.28453927477819557,0.3147126856424974,0.2597093783644443,0.2610523500127399,0.04959256879061499,0.048352493727108946,0.0476312159894838,0.6094142933330489,0.8668436178312152,0.7896148204817653
p10_uppercut_left_pre_008,0.374484426404566,0.44648512622616005,0.30520742137694323,0.2769068968709232,0.2449681059319501,0.26953073477333,0.04901360683406893,0.048071063370342504,0.047718494777558206,0.5959509779074935,0.8563656799488607,0.7782412693364504
p10_uppercut_left_pre_009,0.3621563796876906,0.4436951505177256,0.2952474498937486,0.3021351946123508,0.2456946487644424,0.25662842122589236,0.05012646046339726,0.04826987477434711,0.04763434652653471,0.5901841726980387,0.8542284343939732,0.7750151558851929
p10_uppercut_left_pre_010,0.36618369970640907,0.4648125908074823,0.28887391179707916,0.3133695285830889,0.255180857445624,0.27772976529896026,0.05048206869769971,0.048198212646063145,0.0476542185922125,0.5931212915340114,0.8984270803886503,0.8068353437322586
AVG,0.35453385413267563,0.4525039148446089,0.2993287295954494,0.31851471839175854,0.26334040757535754,0.28533918397435093,0.050226745611394084,0.04865850331031206,0.04766536872490652,0.650485591724374,0.8606255574835528,0.7975835677557991
