hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p04_hook_left_main_001,0.2238451053442087,0.44871791166517455,0.2985638981691958,0.24650382499624776,0.2363540359389472,0.2572990455329459,0.05077780009840005,0.05389736653893196,0.04762041441471315,0.4394240058763498,0.8698024312195726,0.7406889036166058
p04_hook_left_main_002,0.22943744121325826,0.4754994939085561,0.2697653384696989,0.25662305402444924,0.22490495476118486,0.24084043044302153,0.04942053546852822,0.049372671533239175,0.0476581921897225,0.4575378827391021,0.829580410504225,0.717967652174688
p04_hook_left_main_003,0.2106244675939785,0.453981436129419,0.2655196256057818,0.2571762543540812,0.21642234535802246,0.21963701079770365,0.050452906224038384,0.05115986834237374,0.047628289148261685,0.42642595617774626,0.8045743496863031,0.691129831633736
p04_hook_left_main_004,0.2155768082048221,0.43830606494452506,0.2596583141999161,0.2494723272461264,0.21721152579067365,0.241000029568537,0.04968685758609578,0.050347890627395614,0.047625118486120825,0.42974333195229864,0.8059971409863762,0.6931209982761528
p04_hook_left_main_005,0.23537720905688628,0.470571399350578,0.2563916935290667,0.2446998797566632,0.22807258994149623,0.24382714630243232,0.049575443359447524,0.049584030338729636,0.04767872118313653,0.4497733142242833,0.8195345686114257,0.7086061922952829
p04_hook_left_main_006,0.2049129527101139,0.45822064465827,0.2838068660889749,0.2610962315239036,0.20296613421359208,0.2481927184616491,0.05199261526972206,0.05139504869779584,0.04762710707351154,0.43528230222432185,0.8317690727401037,0.7128230415853691
p04_hook_left_main_007,0.21504562678432437,0.41855145013859935,0.2871514980812175,0.2682000434319269,0.21650023172994382,0.2510402672178541,0.052232484868470236,0.05026640104689113,0.047619980649274425,0.4445490521543264,0.8341522121335494,0.7172712641397825
p04_hook_left_main_008,0.23688723993227628,0.4154610969069875,0.2627796996792639,0.23406300423780588,0.22900032912944734,0.24106715348210067,0.04979017902910267,0.048152775454050036,0.04764553067428619,0.40608827528167757,0.8309681618584609,0.7035041958854258
p04_hook_left_main_009,0.22956453235978938,0.4197083265636136,0.24281252162555328,0.22556676398129735,0.24127265562028688,0.24016913892572841,0.049649023253878835,0.04923891568042201,0.04777743358584676,0.39929879311767635,0.8195078052672835,0.6934451016224012
p04_hook_left_main_010,0.22975965809885687,0.43643532385789374,0.27388157556272585,0.2442789780588201,0.23099089527894906,0.2492374830612031,0.052078153873071874,0.048610470054209175,0.04796562528799082,0.4057560898835638,0.8661554592703685,0.7280356484543271
p04_hook_left_main_011,0.21969098427804656,0.41361653619361255,0.28248830088113863,0.26923690893632124,0.2192109872707345,0.24971893644533774,0.05133030765346785,0.04992740054883975,0.0476229852608681,0.4292700063202,0.8484536685505178,0.7226985698814224
