jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p11_jap_main_001,0.36826000624972044,0.489550155146916,0.2902506185649847,0.31804539235035933,0.25655428932194474,0.2606107902979294,0.048059203134933996,0.0556040321346027,0.04803450250769731,0.5538696269885757,0.933827534643167,0.8198401623467896
p11_jap_main_002,0.3666052837437994,0.4910632642571363,0.3152753799930883,0.323963587109001,0.2622631255729939,0.26139111440362656,0.048186994227729665,0.056815227452293185,0.04930256522368737,0.5874917848559162,0.9336165244129584,0.8297791025458456
p11_jap_main_003,0.36018727809707773,0.4984219918238059,0.34777387499325546,0.33055456167465336,0.2511182258508051,0.26721093179454447,0.04808131081229681,0.054155102279835124,0.04780562580380249,0.6316721560826861,0.9262582726459898,0.8378824376769987
p11_jap_main_004,0.33682291414846155,0.4999849736523812,0.2835530079805506,0.3033765680179553,0.2598272404567477,0.2362474528579958,0.047974659092084974,0.05301318985915878,0.04786373524764781,0.5192822912991952,0.9144952752216846,0.7959313800449378
p11_jap_main_005,0.34859962906705577,0.502741339394355,0.28821939087082277,0.30667180866911614,0.2564419356718391,0.24901655353565352,0.048079611051061226,0.054320740846761535,0.04782287774917386,0.5419932230214588,0.9145958482895948,0.802815060709154
p11_jap_main_006,0.3670028349111273,0.5004285171190961,0.29980189485913,0.33311569006612685,0.2586049161604091,0.25603448054402367,0.0480765575825961,0.05739989409485377,0.04793557752988979,0.578151108568855,0.9334729534224779,0.8268763999663911
p11_jap_main_007,0.38179756481089744,0.4987532194781748,0.2713035950143825,0.30523814256250165,0.2558478354396553,0.2527272945003397,0.047903445014262136,0.05254670522553336,0.04764417769571097,0.5402758850046342,0.9211366800514751,0.8068784415374227
p11_jap_main_008,0.3658115755338237,0.48968412306285314,0.27347299920310386,0.30010656084960646,0.2570168140157701,0.2360950869612067,0.0478828341915527,0.05218137539570692,0.047666334974885594,0.5162385182083182,0.9145187031832385,0.7950346476907623
p11_jap_main_009,0.34469460024674187,0.5053503978581795,0.31096345843981954,0.32461941873766653,0.26514558353450685,0.24241348175332797,0.04876435586738938,0.05392625514826778,0.04769919653388797,0.5704517391208024,0.9309289161727003,0.8227857630571309
p11_jap_main_010,0.3458818141775275,0.506430647400526,0.3158075926315706,0.3168897384835959,0.2605594260065206,0.24354696669018905,0.04820076340251903,0.055655063211226444,0.0477681962471743,0.560630091551435,0.9340693446675902,0.8220375687327436
p11_jap_main_011,0.361295208464509,0.4907435093618166,0.26299356808352564,0.28262925088380253,0.2475616908412392,0.21972377601487042,0.047783167297653376,0.048103844000469076,0.0476212866293524,0.4982259802381396,0.8859111107826358,0.7696055716192869
p11_jap_main_012,0.34625797946044645,0.48567942255375385,0.30401146248125716,0.3121843990609502,0.2537521119196974,0.21504012205680426,0.047896479226511954,0.049942139033318685,0.04812255966939507,0.5367624471012229,0.9012393491227968,0.7918962785163246
p11_jap_main_013,0.3526139474319927,0.48828522552656733,0.25630308441651134,0.25768324911449303,0.2519360403178551,0.21515772901038321,0.04781428545046426,0.04811917549407907,0.047619915522818225,0.45550917288312603,0.8876664956679111,0.7580192988324757
p11_jap_main_014,0.33171913718038243,0.5065699770618347,0.33362501108302034,0.3310720282464275,0.2607537112699538,0.2519357151156842,0.04907755549594694,0.05682752726710559,0.04775616325799045,0.5927581449140803,0.9315304007998284,0.8298987240341039
p11_jap_main_015,0.34353498257233966,0.4867070824106259,0.258767271886111,0.2680079738947085,0.25779267824686775,0.21839276380353354,0.04769298494145566,0.04804907527038661,0.04761906353105865,0.48046157043226445,0.8775341936659314,0.7584124066958313
