Hook,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p04_hook_right_main_001,0.19166544184815595,0.4276822011764754,0.26186242131036197,0.29244315220428874,0.13554073910481562,0.243564986863161,0.06735182154936892,0.0506922923968934,0.04762188500280958,0.5329515531743938,0.6229711831203935
p04_hook_right_main_002,0.1328312298026839,0.3527400161680226,0.1912743794526038,0.26431034500225065,0.10291234751695674,0.18184006978444783,0.059005220943182855,0.04846079643525175,0.04761905548114428,0.4076735392192246,0.4986770922097497
p04_hook_right_main_003,0.14037915704310736,0.39609063824224205,0.23800367396636285,0.2396225597874449,0.11887530657382497,0.21194595379720588,0.06308881284613085,0.05204059447004598,0.04762143279771944,0.5293591184013764,0.4654621493702291
p04_hook_right_main_004,0.08877868538895747,0.27412846974656047,0.09594881464268852,0.17909417476745043,0.06823745396689367,0.10860713243875367,0.05674793863699234,0.04811940749197096,0.047619334714482535,0.3731675490610399,0.18865831552546114
p04_hook_right_main_005,0.11948855570219022,0.31717031558066505,0.16858336193976584,0.2094812175519542,0.10382922005224673,0.14512215812241788,0.0581910990888222,0.048520003756771964,0.04761905036867892,0.40107764034006416,0.3686580093374138
p04_hook_right_main_006,0.11803705376219968,0.3670913194958475,0.2214510037553173,0.203235535702808,0.11908610798466393,0.19104805771160038,0.05793823202910353,0.048630418368527516,0.047619369371863784,0.5269102046884242,0.37636534634927676
p04_hook_right_main_007,0.11377820603397253,0.3001980688650625,0.146317774059917,0.22800656342953102,0.08621350246198597,0.15316559339736474,0.05622350498097826,0.04823642949454018,0.04761917042114939,0.38142107929758917,0.36644345964560376
p04_hook_right_main_008,0.1423810893837683,0.39054904620260306,0.20513801351748473,0.23747480072490107,0.11476888216619092,0.20554047077215606,0.05428387564811592,0.04848606633786307,0.047622102899346444,0.5297828396422666,0.43518420303439
p04_hook_right_main_009,0.1238619770859106,0.3605423566730025,0.24040116352512797,0.2425648882234462,0.1087726037026302,0.19747147754604055,0.05770446537869541,0.04844488687041869,0.04761913440202841,0.5004038153452204,0.45486680430740456
p04_hook_right_main_010,0.07710574155388536,0.2962977465030171,0.14355667484407125,0.21470436189569178,0.08532537630863453,0.11736153022655285,0.05665592368037193,0.04833815151529818,0.04761904813356703,0.44098420760828727,0.23313293764986728
p04_hook_right_main_011,0.17697691930589518,0.4313998438278043,0.2561809342863431,0.28393596617444955,0.14485823836375494,0.2286543788536041,0.06002812649485067,0.05275765755529623,0.04762155769081282,0.5278424697294031,0.6100435070080761
