hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p17_hook_left_main_001,0.3024677993222545,0.48938774512596445,0.29474092351984515,0.24249616217604592,0.21224794756552373,0.169324014212468,0.0733330975919572,0.07176775381267222,0.04782742222022416,0.42289827185469153,0.7870895064142064,0.6778321360463518
p17_hook_left_main_002,0.28856461728093613,0.47250680412145235,0.29820985376722126,0.2807458381610472,0.21093560470304232,0.17414152589297052,0.07240913389009951,0.07129216995517138,0.047861040976257735,0.4550170532689092,0.7898673852404333,0.689412285648976
p17_hook_left_main_003,0.29954075559007176,0.4708740649395594,0.30001742522355046,0.2762561344003836,0.21430097577497156,0.1696016929856302,0.07270929569373868,0.07159856116233795,0.04768475711899065,0.4559010125525004,0.7903665218679472,0.6900268690733131
p17_hook_left_main_004,0.3084040339366517,0.49128828787274587,0.3007908312961246,0.2674688617402767,0.21770645255496485,0.19563764759365843,0.07287174322799161,0.07500639970557649,0.047690550410942514,0.478677704978783,0.7966301266804481,0.7012444001699485
p17_hook_left_main_005,0.2954401019827653,0.47560639827786255,0.30230850418613014,0.27214125234879616,0.22359356586983026,0.18439103922153405,0.07322788479625172,0.07204098604499369,0.04771741897844581,0.47262753785197525,0.7924035678333295,0.6964707588389232
p17_hook_left_main_006,0.2868918164892057,0.48018094990363364,0.30162125197421663,0.2731017553079503,0.22052084711536502,0.20249134902452087,0.07287885059012873,0.07301699076957972,0.04768076725368709,0.5050318114368217,0.7743024378197613,0.6935212499048794
p17_hook_left_main_007,0.30602990950016656,0.4779205670877449,0.2953649940699162,0.2745231139017089,0.2019380135722626,0.17753025552269386,0.07284651963895998,0.07177465573340361,0.04779737435428675,0.4802076990835789,0.7597582276480074,0.6758930690786789
p17_hook_left_main_008,0.28861152681888413,0.4702722378484041,0.29459482093403133,0.26873250018233447,0.20090410323596206,0.17474058592004785,0.07343908030512318,0.07220240471350411,0.047720583481259106,0.4845595958445491,0.7320439785204164,0.6577986637176562
p17_hook_left_main_009,0.2835623496836651,0.46062135654196645,0.295644420444081,0.26516923724834673,0.201228520189147,0.16485375637181002,0.0723368327435255,0.0720475339063811,0.04767602512164633,0.4706789557172085,0.728109364837479,0.6508802421013978
p17_hook_left_main_010,0.29112253844724717,0.4770970807492425,0.300644272665732,0.29132228763909607,0.2070040500917127,0.16736187577977574,0.07368979931388979,0.07402448387548592,0.04818691852090392,0.46479545488936785,0.7809143501576867,0.686078681577191
