hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p14_hook_right_main_001,0.2802227311646165,0.4518815052538404,0.33800156690380084,0.3274490472717041,0.14674336670144164,0.1174375397610052,0.0577902172493555,0.04985473998427527,0.0476314301498044,0.5835367002921406,0.6570518556715972,0.6349973090577602
p14_hook_right_main_002,0.24894230650160765,0.39040972583650635,0.23421131526621092,0.2780516152029259,0.08938095135632103,0.11144114903298175,0.0579379165241739,0.04817910055520057,0.047619145852867785,0.46861453846695006,0.5006081241811192,0.49101004846686847
p14_hook_right_main_003,0.2689213677855674,0.4176731424420848,0.23826987830581672,0.33179186687016926,0.10421189920588603,0.15066090093896545,0.06125305396575124,0.04851193048885864,0.047621627182361924,0.511994295953631,0.5872061726489852,0.5646426096403789
p14_hook_right_main_004,0.3134400113333583,0.43046574631000284,0.25189512248008794,0.30809666854428575,0.14284054220567083,0.20343417438465697,0.060634307311754176,0.04908473185332457,0.047621807586229865,0.5556137107498286,0.6583264857920964,0.627512653279416
p14_hook_right_main_005,0.23641099425676176,0.42413619826415283,0.23156145442751086,0.28438301825531814,0.09478264254980921,0.11161218511112096,0.05656148882367615,0.04817197056060774,0.04761944274993176,0.46811049125337395,0.524893858924286,0.5078588486230123
p14_hook_right_main_006,0.25355667971556556,0.359006932158792,0.2463700459669494,0.3106099829478586,0.08282062200023124,0.11991290499914875,0.056768616729403976,0.04802389212352916,0.04761978882110924,0.4410048286058606,0.561249333886934,0.525175982302612
p14_hook_right_main_007,0.24959482023695215,0.44296058917725845,0.2646676381283852,0.31725011069400433,0.10706889922583078,0.11782500178602598,0.056375053754690777,0.047914413525123475,0.04761998819536447,0.506937385569912,0.5885749886577114,0.5640837077313715
p14_hook_right_main_008,0.19363109415971563,0.3939044009005295,0.19356758813881259,0.2606586422701843,0.10089690751240013,0.1269872055408537,0.05713313272965147,0.04825059969350732,0.04761938238928699,0.46286825687417393,0.45018397318788866,0.45398925829377423
p14_hook_right_main_009,0.2416541475148152,0.3685004385937434,0.21649223340922702,0.2624552985812222,0.09362407276973667,0.0889848086385872,0.05784813728269354,0.04832279629370525,0.04761907070943944,0.475493677255301,0.4282482232326842,0.4424218594394692
p14_hook_right_main_010,0.2944450163258033,0.463910914283675,0.2529962946986575,0.31877985516089724,0.12661860849753656,0.12366486589493517,0.05949329090577641,0.04826558292639099,0.04762175097091097,0.510575342686958,0.6354384929866419,0.5979795478967367
p14_hook_right_main_011,0.3162255198693149,0.4491410668552251,0.20171170627243518,0.29486754834181916,0.15039065888582076,0.15427521638987565,0.05849104366602699,0.04888236125483082,0.047631796303795694,0.5226917194287174,0.6012945909921064,0.5777137295230896
p14_hook_right_main_012,0.23696187566561852,0.3788466472404893,0.24030045531524485,0.2646446528959781,0.08342072319403956,0.09026415012506854,0.05997160628359425,0.04827302834384194,0.04761906152389483,0.4687957961467716,0.45270328844568025,0.4575310407560076
