hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p05_hook_left_main_001,0.22443485578925304,0.42432098761934506,0.3270155852043149,0.29163055629705126,0.1960553062995929,0.28576170559567143,0.0649212502406119,0.06481152696158568,0.047635499425729574,0.50243674399271,0.8240404170667206
p05_hook_left_main_002,0.21200444451757963,0.4034913218272246,0.29854608539118654,0.2829642794518944,0.19474182827190611,0.26064309371166605,0.0662176052764207,0.06403756537060724,0.047641309049891015,0.46538742088891205,0.778890140394032
p05_hook_left_main_003,0.2121173883753061,0.4186666040056986,0.33123946867778803,0.28847746030065224,0.1933819006975483,0.26369081771907893,0.06519125871043167,0.06342640685702311,0.047631705622056424,0.47254347217247383,0.8242585057600363
p05_hook_left_main_004,0.21680009038931464,0.3955990969088267,0.3318380767764385,0.2740114097276315,0.1939318668489841,0.2278479192197777,0.06580193038333837,0.06316960459932303,0.04763783788444032,0.44224011899710264,0.7968200623769329
p05_hook_left_main_005,0.19791559925071192,0.40260005653695324,0.2937994719881593,0.24241947159855054,0.26233090136962023,0.22169288940190218,0.07619010757852011,0.07463845754823713,0.04763390515621735,0.44784341821410684,0.7467663332532977
p05_hook_left_main_006,0.27944473579493223,0.40867207406237166,0.31676804922360624,0.30367136424238783,0.20411234864252595,0.19350489775374086,0.06843477842240255,0.06540648690598419,0.04766875484625193,0.44759657174157097,0.817969250704709
p05_hook_left_main_007,0.21759444454007645,0.4095296676847703,0.3076920554407923,0.29057156845705234,0.19799751240383656,0.23205973226814533,0.06534266708174413,0.06343549552476334,0.047748010876468905,0.4216376447246447,0.8257539729347162
p05_hook_left_main_008,0.214777347939257,0.4031183638533064,0.3060652262581028,0.2691164448514445,0.19328632623863246,0.2555846041879525,0.06484077879816921,0.06321050350994617,0.04764274255067985,0.44298732336143914,0.7961380227450368
p05_hook_left_main_009,0.2114629194859842,0.4032489230357747,0.28702923570490263,0.29140969186660837,0.1964205847457325,0.24644517549805994,0.06506757518365226,0.06537305332825423,0.047814160825228005,0.40519370868896853,0.8268626697960789
p05_hook_left_main_010,0.20488541674656963,0.403205907068595,0.28803512015455557,0.2780869787752017,0.1925885175280486,0.24877690263428381,0.06481893011441117,0.06353880043065122,0.04763116764224856,0.43364619919310565,0.7842007751945927
p05_hook_left_main_011,0.28390179672896443,0.3892968685528381,0.29627169868554337,0.2847597151576683,0.20071447407385543,0.17490067393829173,0.06874508983537576,0.06598657761079742,0.04763568443511842,0.43758314548186983,0.7607782799376309
p05_hook_left_main_012,0.21968590612327285,0.41102989859113315,0.32302272289771244,0.28795749383909647,0.19420421312518282,0.26374323792821847,0.06476522400347319,0.06344906706342818,0.04766730930040449,0.462670494258073,0.8268892786151648
p05_hook_left_main_013,0.21777896502184158,0.40680180260173887,0.33726630068854624,0.2803771909385143,0.19170642603817095,0.26231280534241885,0.06455708648947789,0.06277904005550404,0.04771699919097892,0.4511336330843462,0.8401165599731923
p05_hook_left_main_014,0.2146074061132115,0.4128348636860431,0.33651098275072233,0.2819819975814686,0.19630551660969492,0.2383285629777247,0.06506277758757223,0.0628992271337023,0.04768685755906702,0.43553684700272743,0.8342109869529547
p05_hook_left_main_015,0.22074318800382425,0.39608085251600905,0.29514101440735724,0.2524419144323006,0.1872797221931511,0.242303358407862,0.06510249895575429,0.06506725817702179,0.047621330382471086,0.45172226460728665,0.7311744747666511
p05_hook_left_main_016,0.2133458448753803,0.4191316704753709,0.31198751659849694,0.2836943405921098,0.23093320082083385,0.23700945530906004,0.07227730361139618,0.07433900547816966,0.04768725252435104,0.4874547663022466,0.769299056946376
p05_hook_left_main_017,0.2512105240437676,0.3990683402242854,0.31075015695113484,0.2256388322985726,0.21645676999108812,0.17876669147522758,0.07132557960585786,0.06973775768611122,0.04763074021536918,0.4204024098767195,0.7281948079117684
p05_hook_left_main_018,0.24250387032811327,0.42151528935252475,0.3262692825306098,0.2749821300974971,0.1919174182307854,0.24133832339643443,0.06572343876782209,0.06411019351797925,0.047652915414932516,0.45307322078313134,0.8137596619917454
p05_hook_left_main_019,0.24518971983655388,0.43818358481238084,0.31428275299932995,0.2605222648266371,0.19125828247270557,0.23559550417105082,0.06566628098957199,0.06384198755476762,0.0476612632354377,0.41999982313111744,0.8254287758347305
p05_hook_left_main_020,0.23347477167536917,0.44682484833187575,0.30259875977317696,0.27706524735600824,0.2427393808826336,0.19323942441497735,0.07640358860538816,0.07427930243664929,0.047665823102189045,0.4538207410993829,0.7832635966818079
p05_hook_left_main_021,0.2275813039593702,0.4363124028365103,0.3124276858095554,0.27559004385723934,0.20892582311880853,0.2480650618381322,0.06838217783877362,0.06908689125076041,0.04769295450064956,0.4672064567607097,0.8007408441530723
p05_hook_left_main_022,0.22986612723718886,0.43973361419486956,0.31405915953973873,0.2763496967475299,0.1918286826012,0.2115011164503487,0.06465462703875433,0.06509870467917012,0.04781764707718855,0.4031861331607753,0.8273857599902485
p05_hook_left_main_023,0.22622083412701427,0.4247319509449424,0.30501136735879497,0.19802403111668307,0.2046868759436975,0.11937523175075908,0.0715358759598073,0.0686497749308325,0.04762792735734258,0.40750573529090833,0.6371567397304281
p05_hook_left_main_024,0.21883287406968596,0.4326721601749675,0.3160480032197495,0.2599667402294915,0.1893178316151635,0.23581594797198538,0.06535039929893063,0.06364362597143708,0.04763507230925627,0.42935012915840165,0.7981626058261436
p05_hook_left_main_025,0.21243966175530105,0.4166201435583158,0.29856229036207316,0.23675139500412185,0.18393049676689494,0.22814009439886912,0.06451488782464625,0.06362772453356144,0.047621049370840204,0.41561768014366207,0.7492286605731346
p05_hook_left_main_026,0.2403177013528702,0.43406667673924676,0.3095365279200514,0.26572879291315316,0.2229239919403933,0.241276577961745,0.07118555586762786,0.0717915984726205,0.04765106957165958,0.487083528916768,0.7724005675644025
p05_hook_left_main_027,0.19607201040353384,0.3946273614148752,0.28639358906319884,0.22568439558942535,0.18279036212260721,0.21246750043622473,0.06468585438971652,0.06348056151559375,0.04762284488601105,0.3916913642701579,0.7128873268155969
p05_hook_left_main_028,0.23000890847123107,0.4363607062206145,0.33820239053766515,0.23996579704601748,0.19511064535281314,0.2437142564680212,0.0650968166072118,0.06400742036401634,0.047632852914816726,0.4258175384634189,0.8266518155976771
p05_hook_left_main_029,0.20474188548202227,0.4209240781595051,0.2946256059330164,0.2398348691488848,0.18580544459578263,0.21742347077852625,0.0643678681522729,0.0631205035320675,0.04762217025231345,0.39999438969710827,0.7558847072308351
p05_hook_left_main_030,0.2393355838408445,0.42788228808077433,0.2960008995200668,0.24451984588455328,0.1986038315315346,0.16573683496356012,0.06881915926707766,0.06717379392903268,0.04765125678653554,0.40009109971174883,0.7360670252680364
p05_hook_left_post_001,0.1996731312948982,0.39998052969095305,0.3127229833316128,0.24403631147004434,0.1969235082141188,0.257588607942612,0.06534012498521241,0.06595122308315299,0.04762596357072552,0.4452305360534755,0.7634258189625334
p05_hook_left_post_002,0.21911457338041754,0.40443863893741205,0.30690503934377455,0.24173865759759078,0.18994790757568847,0.1770581302182639,0.06587285340250333,0.06288303141033477,0.04762659314288552,0.40192698506918667,0.7304371616588825
p05_hook_left_post_003,0.2373625347332217,0.42344209388743137,0.3185305570581819,0.2482206976841015,0.19414588024314355,0.25768083957373134,0.06485419815137858,0.0638459994378543,0.047656894033022854,0.43202435085543955,0.821086972533319
p05_hook_left_post_004,0.2297780394860341,0.42912898527593646,0.31673157644132843,0.24909505403797394,0.19988523878158124,0.26353264143432964,0.06476154777404539,0.06381209916852303,0.047716466138810275,0.42942014644936427,0.8337007655748927
p05_hook_left_post_005,0.2225209760540964,0.42146341435081586,0.29748459098123814,0.24983258551393775,0.19651508368995058,0.262663408123948,0.06478627459533631,0.06482049209742409,0.04762813882016598,0.43610780712962827,0.7967247077313399
p05_hook_left_post_006,0.2094578887807355,0.39485712085194524,0.2859110670236617,0.20115265380574576,0.200122526396125,0.15648814751488924,0.0707555509757519,0.06894820148252878,0.04762562786503092,0.37416001434405627,0.6615418344251047
p05_hook_left_post_007,0.2449928123275691,0.3665395116823473,0.27293250923632,0.19546121349303364,0.19010819611035704,0.17105690678630214,0.07531887918100291,0.06910817675703448,0.04762308611482558,0.4177397619095079,0.6030031643489144
p05_hook_left_post_008,0.21650767939959423,0.40467631286187855,0.29300973210833764,0.24747851690385766,0.19464050270716143,0.23591078100581725,0.06466503695792833,0.06522648294292109,0.04762208526133701,0.4085489725053669,0.7750992388120513
p05_hook_left_post_009,0.21327855428628156,0.39329146903128914,0.2880574618542354,0.21561863412924165,0.19528648230408435,0.15829609134307315,0.0705710768804575,0.06852501018942603,0.04762508230028062,0.3872476746275598,0.660490052026998
p05_hook_left_post_010,0.2163244503818012,0.42168111515650847,0.26609131178910167,0.21913805626029498,0.21099734312745558,0.2512381160270253,0.07174936795176452,0.07272475159532768,0.04763376971071757,0.44679989679191073,0.7014625330441013
p05_hook_left_pre_001,0.11791956663236798,0.33852175303804055,0.20874902161820588,0.13307588122832087,0.14240787081917555,0.15011164324356968,0.06757974060949572,0.0668965419536254,0.04761988680523085,0.3842321659418787,0.36688282083691853
p05_hook_left_pre_002,0.12377989046427604,0.3224701339572006,0.19091821803824666,0.12295768988386949,0.19490324302793877,0.21421724410445647,0.07321352968812289,0.07130371258477909,0.047620785316837874,0.4319882870787968,0.39430466582888085
p05_hook_left_pre_003,0.19054643380781852,0.32991540791863366,0.23786339211678617,0.13655081799400523,0.1769675541849692,0.172405894077278,0.07102709567990963,0.07022561886958553,0.04762083601757286,0.4125902181485501,0.4591235900252588
p05_hook_left_pre_004,0.11982514889601018,0.30345661930163814,0.20643397375652328,0.1115703207076143,0.14280260498264577,0.16690559461207427,0.06932825358339449,0.06873001800598895,0.04762012866489941,0.3934979581658122,0.3327304296200157
p05_hook_left_pre_005,0.2009493073501371,0.3499327889683808,0.25873972878173435,0.14739240364179687,0.18227534542502125,0.2127218748644597,0.0698803882887716,0.06981279770854068,0.047621896747490323,0.4358764038869668,0.5310702849129022
p05_hook_left_pre_006,0.18602673864559005,0.3522681820090642,0.25447652646040025,0.14191027225354005,0.16958542112470298,0.1859768594675475,0.07027570882410336,0.06838022085549397,0.04762152909404592,0.40835063483910555,0.5032480622792582
p05_hook_left_pre_007,0.1799227266172811,0.3785225803244964,0.26785642458297854,0.1726315328737403,0.196704911339676,0.20676120522071578,0.0713269998790616,0.06988308850702618,0.047623627475644,0.38785911426144093,0.6200337788578095
p05_hook_left_pre_008,0.12792562891690232,0.3586619220623922,0.25408050606330324,0.13933501120811687,0.1292527833128231,0.17521943591348518,0.06641305298590425,0.0652058983006664,0.04761948941207246,0.39941110207036323,0.4329283958851737
p05_hook_left_pre_009,0.18678197747636122,0.39606890837407127,0.29523083586580184,0.18466741916824453,0.1930674945782017,0.2267047964078955,0.06891455377608502,0.06802720370525107,0.04762315900383037,0.3954249939285087,0.6847955534941781
p05_hook_left_pre_010,0.12778788246339687,0.3571475299577902,0.241750665580566,0.13714475063372378,0.14705076419746468,0.19114630894838913,0.06778337029087529,0.06713296606294086,0.04761988030438891,0.4067562699749049,0.44226147142826244
