uppercut_right|p02_Global|uppercut_right_004,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p02_uppercut_right_main_001,0.18014378029689512,0.037229778687248,0.08118826168580558,0.014412243300525962,0.13850041209671254,0.05916912498441,0.21809382668732277,0.056239816588803414,0.05672194565984382,0.21766161399299863,0.2567741529712861,0.07179549322548248,0.06614919573049592,0.15096058419960356,0.22235078007920844,0.036143289348837246,0.7943231993879516,0.216218021345944,0.22054824322796868,0.11507615058074057,0.09238958307568948,0.050280889906624014,0.04787510619971136,0.04762895205801102,0.5916769920939416,0.28511017206534817,0.1663695620616796
p02_uppercut_right_main_002,0.204486527916263,0.05214638146485625,0.09052381993549018,0.023832394419632228,0.19045554014442026,0.1024373653920692,0.22271621629894897,0.09356826586603839,0.08613027542524045,0.2350864391304436,0.27409618675512154,0.11947448122372435,0.08603720692955741,0.13616152765092843,0.20230192854022064,0.034444832891622056,0.829914826001683,0.24607881310679375,0.2538483235283563,0.1443833792064217,0.12084088870950653,0.04997591928322698,0.048086977331194145,0.04766217581825021,0.5559886999846426,0.4035826863675102,0.22562243109288022
p02_uppercut_right_main_003,0.18900890616871732,0.03752616519900277,0.06110239249999949,0.013951366086260339,0.17459947262943465,0.08445607575136885,0.18522728728105675,0.09784974296293344,0.0864345114487346,0.2378000895464613,0.25452263029837746,0.1248116411934184,0.08770701297217041,0.15259714652772233,0.2078141781771073,0.03701906170355335,0.8405828752969778,0.25071888648535834,0.25500028563577165,0.1291928064003258,0.1094118983935071,0.05022485531787562,0.04795106212688069,0.04765967293619749,0.534495642416933,0.37722600910377785,0.21244284101998767
p02_uppercut_right_main_004,0.17759443039760336,0.029097187462598734,0.05318430746568649,0.009270292629943968,0.18098213055555384,0.10414210363005572,0.1782709841677503,0.10809077928761915,0.07478473767612949,0.23156307827614991,0.23992884846833018,0.11457838182956001,0.07647457799261972,0.16060929885390532,0.2061937324304512,0.031732278220526274,0.8242929048444747,0.23973538721034543,0.24590174234704607,0.11315862065026812,0.09476696220147907,0.04992348952876847,0.04799221813050593,0.047654256697645725,0.530116598492953,0.3532406523498693,0.2004474545237575
p02_uppercut_right_main_005,0.19812956476984764,0.04696583230914905,0.06352206762643257,0.016366966646294646,0.20160724373407043,0.1145179368020546,0.21929301767891007,0.11073406378209708,0.09513210108433336,0.23157927332952682,0.29997412177759175,0.13035077976848927,0.093822167619395,0.15963302030432214,0.22030956629141096,0.03988516957889577,0.8481141224372548,0.2649697050992984,0.26846915406989585,0.13878802549186237,0.11986816161274201,0.049506764643706166,0.04800253858657903,0.04763866241513205,0.5531520972989071,0.4342943504942733,0.24096650645470266
p02_uppercut_right_main_006,0.22639377313165712,0.08327133715927655,0.11874402339635057,0.040897278301690196,0.21651083944244656,0.12119581356240997,0.265071950249101,0.10540560040463738,0.11318885436547702,0.24090364125084746,0.3178717559244283,0.12852587625119155,0.12485739703641083,0.22423652876986327,0.2518457541204316,0.07875660737335771,0.8605128012554403,0.27540132376967835,0.28254273866456414,0.17747761008947896,0.1432862310641902,0.05005615442221707,0.04840442166887543,0.04764940998853134,0.6051629054961908,0.5345453700851659,0.2910973900368486
p02_uppercut_right_main_007,0.23194559223119934,0.06685080904177113,0.09223868008637415,0.025044837617949234,0.21600619611073726,0.13074763355961702,0.2640203440694965,0.125230405300705,0.11705407204943245,0.2537131874308569,0.30054440119558457,0.142060323029563,0.1198909356204538,0.1999262434370202,0.24301860509294318,0.0644903773528222,0.8613376461041728,0.2775832743839219,0.2838680573302863,0.16823300032995941,0.14022869514301878,0.04975473063563461,0.048155670427567396,0.04765095482808378,0.5732870686707207,0.5344495397194868,0.2910502472737853
p02_uppercut_right_main_008,0.1820113904550776,0.04095189432622298,0.07503354724220287,0.019304570844439463,0.19413620431688292,0.08987927951259218,0.23237415780205825,0.08504845477862401,0.08635174822940156,0.2306761522897171,0.27339836676738927,0.11601348503719858,0.09326715511609869,0.17471184910587798,0.22670456670257327,0.04302327572475803,0.8541797877956085,0.2677418331456455,0.2712596031111019,0.13701529762183223,0.10999952445787589,0.05041883302904479,0.04804335930221645,0.047644009989022254,0.5897998894080033,0.3911356401328743,0.21938982506094826
p02_uppercut_right_main_009,0.19751431285239943,0.043143370827881104,0.07548597941991186,0.0169165102463908,0.1871306319814591,0.1008477071890973,0.2342819709100948,0.09799798516447406,0.08323009962087932,0.2361645414699919,0.26986482881587504,0.11027127768882754,0.08259414708667419,0.16514722454065128,0.21593844339046764,0.03487865523234103,0.8308845154910361,0.2503197681530126,0.25680210691531896,0.13237640644685386,0.10523110735214339,0.0498218686811512,0.048131355211249546,0.04765029755066706,0.581275465542707,0.3872606388406953,0.21745546819568118
p02_uppercut_right_main_010,0.17921520911189232,0.04728503823804293,0.07886116642662,0.01954934259027955,0.18459126844840973,0.09041066892661678,0.22376739153250652,0.08272151291767581,0.0767107315391166,0.22318804811545406,0.2677778853040779,0.10580815907220179,0.07621651755801931,0.14102915878013667,0.20336088985025813,0.03469806556975867,0.8162423060299572,0.23764846037204382,0.24061742221724408,0.13468125933787423,0.11045033837525113,0.05023892471416652,0.04790778103893256,0.047628934013271694,0.5521598605757227,0.36722880365512617,0.20742886883419892
