Straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p04_straight_main_001,0.22244493427196982,0.4694329023602613,0.26183870404131765,0.3101966317999816,0.24853472321323963,0.2823179785032969,0.04847697254721001,0.04775269839254383,0.04911484405032444,0.5147945779434386,0.8728544692778302
p04_straight_main_002,0.19482194124408672,0.4348958157686564,0.2608313238047092,0.31167995805390847,0.2335913945547441,0.22420878329300303,0.04882841759369144,0.047738628045205775,0.04762145173782827,0.4576055386935159,0.8234513002308306
p04_straight_main_003,0.15000714186107084,0.3667792510748028,0.20532824555912796,0.2608151954174353,0.2096408385251917,0.1913390592323311,0.048867608488833675,0.04771369472185286,0.04761944307123796,0.40390454795658465,0.6571035943615942
p04_straight_main_004,0.14002079397574008,0.3444246972183973,0.1974392564025602,0.258666322003549,0.1856946856728994,0.18067848915370477,0.04863724033717045,0.047974365966363765,0.04762103839164788,0.3642224992372987,0.6339373454033681
p04_straight_main_005,0.1954023303124394,0.4533969127262251,0.2538057725762732,0.28599388909678247,0.23246919516272352,0.2811304573687788,0.049010469288157124,0.04820385811506902,0.04823362982326952,0.4844362376292083,0.8296074785267962
p04_straight_main_006,0.15651195666765522,0.3882576881583278,0.21078791141190867,0.25480005323119287,0.21808131492040853,0.21046743282839725,0.048821727513097844,0.04776961048165705,0.047619228129353854,0.3858377704060491,0.7154703995612943
p04_straight_main_007,0.20010630582558714,0.4754065787256989,0.25370942703487265,0.2678702485271397,0.23396180012211434,0.287536532169668,0.049848334249638845,0.04855486994090975,0.048456614040879024,0.46208424215569543,0.8557381498161136
p04_straight_main_008,0.21822641246815047,0.4913934908798222,0.2607208532515471,0.2526052118936374,0.254508225741393,0.28598160195187006,0.04847968188816954,0.04820203306215846,0.05043151762325818,0.46356553497260045,0.8887295406549285
p04_straight_main_009,0.20380671963636593,0.47406819263854594,0.23942182277679827,0.2578001720912826,0.2247310956546304,0.28746220784909715,0.048791785076652466,0.04868405300770075,0.04927898333031666,0.44708988141126527,0.8406073426509812
p04_straight_main_010,0.16211085105963666,0.40289791731043,0.22307671002255294,0.24866122309288957,0.22988080398697464,0.21547132783008763,0.04869745843910968,0.047791352571433215,0.04762066656138767,0.3681543109387195,0.7686740456180322
