hook_right|p23_Global|hook_right_003,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p23_hook_right_main_001,0.18643619237180242,0.1284649165003776,0.04103913189543837,0.023512767904440172,0.29450437473571345,0.12287739004711877,0.0859006242168889,0.009742260844722328,0.1696044470670702,0.2592825709319784,0.3328943688523337,0.16789576057379807,0.14997001192551315,0.22332342245105813,0.24133034357143526,0.15054779591645204,0.8803180594673645,0.26160320008694854,0.25740847781332404,0.2939371414896829,0.30560424695543975,0.05584284615779361,0.047991011948200046,0.04761966274886623,0.44776914417425234,0.637534278003538,0.3425769703762021
p23_hook_right_main_002,0.20673818246214246,0.14985426099893567,0.24122795160950092,0.13451162243722556,0.28286428439541716,0.11303029688943744,0.17145773941215167,0.0759894186313366,0.19040019308319545,0.2590499613703706,0.30580464665516216,0.15146256217671486,0.13776656558899814,0.20838154528625638,0.2132467336452434,0.12699060651967248,0.8921882781970865,0.21893235996634908,0.21336112750788452,0.30535553623221523,0.3265524318107945,0.053657839094187754,0.04781436737986688,0.04763973925423472,0.48832677609296066,0.7053606500613538,0.3765001946577943
p23_hook_right_main_003,0.17205432221280553,0.10651996560066505,0.15294135070595122,0.0730896856158559,0.24834878169414676,0.1013018816600341,0.17707450599119937,0.044028780135895174,0.1768340800871636,0.265524066496375,0.3499110730939437,0.18887807795484687,0.13389135540076474,0.2048264936751309,0.24999163924036746,0.10107198424738224,0.8361117800434437,0.21481677060610965,0.20800669035683791,0.29634682078373825,0.31534896920889344,0.05390618442470041,0.04779904737574749,0.0476200953966844,0.48632008306105606,0.6330882344119049,0.34035416490429465
p23_hook_right_main_004,0.21503211115322998,0.12256925635387698,0.03492720230362689,0.010520488158150907,0.20003729465580927,0.09325863449725506,0.055670209236395096,0.008542992341081352,0.19276872835342934,0.2593308464424666,0.3271748093134423,0.17319643280689764,0.1512515435286012,0.22997136771508578,0.22806655872128942,0.13051348557646353,0.8611698931747338,0.24118091736737285,0.23605675674111487,0.2811841716008006,0.29820320788585486,0.05315198034967589,0.047786818430726616,0.047621970651958966,0.4042449858194521,0.6156764679618678,0.3316492193069134
p23_hook_right_main_005,0.2145190008198544,0.13098414512101786,0.02903634258922732,0.007786081308184941,0.2892189747453716,0.08648475172900241,0.06321225077565311,0.003905622296499748,0.19213070793121964,0.2538632619133201,0.32698797180626266,0.16985490687717064,0.1554988525041112,0.23384325649553417,0.23334740565044454,0.13583889237156507,0.877240875915826,0.25273947652124046,0.2477462472240261,0.2803741220838635,0.29206975546100733,0.05427114995872898,0.04790564672287348,0.04762214555016734,0.4474905928936301,0.6208519551203201,0.3342370503352437
p23_hook_right_main_006,0.22444057460754552,0.13012264370748577,0.04530389074947343,0.02511803687932478,0.3393578223363726,0.16303536497436952,0.13516638181834711,0.013950950310205722,0.17962037672838935,0.262669036722623,0.3055009260071415,0.15753619307950156,0.1776130558592705,0.24731184888636215,0.26590132950487916,0.12629656125060518,0.8836687993640343,0.2771458294639188,0.27424337181125563,0.3187056473049963,0.2933588302966596,0.05459996222152245,0.048127786012591794,0.04766507142211927,0.48143424890900627,0.6952211698745646,0.37144312064834195
p23_hook_right_main_007,0.2054929727921327,0.12576958418566153,0.049453180600587746,0.02486830059664575,0.2889911633785148,0.10498740286104287,0.10979460551119731,0.010385320111243516,0.1848653347633919,0.2898036841297257,0.34490280130360607,0.19046221618533685,0.15381488748111877,0.23312804433873419,0.27122439563011336,0.1390705629297923,0.8631813943161625,0.24629972626575816,0.23836801575533775,0.2945862489622185,0.3082186075062629,0.05378128077226273,0.04777547796530771,0.04762129322907608,0.5178731390354302,0.6328863904600747,0.34025384184457536
p23_hook_right_main_008,0.2030614245806595,0.12078971473971109,0.07458088681243878,0.029135587040702782,0.1564033315074424,0.0750187906996051,0.06802532038288019,0.0158897984949034,0.16950101357595765,0.2665669753039986,0.34316730951690455,0.17930122516884162,0.14947837042602796,0.22568110726738447,0.22399132236536273,0.13837318030024343,0.8570689600951626,0.23379682527694082,0.227946168778778,0.2594663509337091,0.2621288199434567,0.05385896579015268,0.04781568822518496,0.047621208995952784,0.40335144282841834,0.5981933606848274,0.3229072848403901
p23_hook_right_main_009,0.19316249854413495,0.11957755809576501,0.04488514625575768,0.021347538585710615,0.25177784367802747,0.11492078772135432,0.13135249962624462,0.016318031750873586,0.18931598347242376,0.2686788961343706,0.34599759947461106,0.18379934903280432,0.15048536144053143,0.2265313609608916,0.27228385600604305,0.1406979358435611,0.8673068239495562,0.2503752414972579,0.2445661543958888,0.28900201225618394,0.29833617024164366,0.05344035311276456,0.048024478552446424,0.04762017288565466,0.4896419407393151,0.633078034586241,0.34034910373594784
p23_hook_right_main_010,0.20718338807687792,0.1424466617756621,0.04628381464362975,0.01917821464117504,0.19860459161332047,0.0919133619728314,0.06175728655657349,0.00909678757970876,0.19029799803610703,0.258522074150044,0.33654516061487544,0.17281780559962723,0.14751248503837755,0.21887016380585028,0.21617500538922846,0.13181929352837018,0.8635091764081688,0.25107096400343476,0.2380580161614792,0.29031982573802395,0.307043054999554,0.054178099158969394,0.0477470090247241,0.0476211090663757,0.40744057278191265,0.621328660336881,0.33447488470162834
