uppercut_right|p21_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p21_uppercut_right_main_001,0.3138813086723927,0.4420337065348308,0.28143711834334734,0.20633041931245827,0.24809009157432388,0.18141118784953886,0.05053914543930776,0.04791005438088317,0.047637688682804026,0.5558820597198848,0.6793519076935057,0.21811041984669188
p21_uppercut_right_main_002,0.2768692459561464,0.43238556669931966,0.21378901349305698,0.17251282372095908,0.22515033145477972,0.21356318628093535,0.0509568099536365,0.0478435792450966,0.04762238831305182,0.5798910584562436,0.5384740666406722,0.22623048255165887
p21_uppercut_right_main_003,0.3080925470269148,0.3947842618148683,0.255756993026221,0.25111222699689983,0.2338820184990537,0.21218890130591675,0.05200795206356553,0.047936699208546936,0.04762590774920652,0.5045440937988441,0.7361185418183763,0.2014962483569855
p21_uppercut_right_main_004,0.2065070710449314,0.3465657789883597,0.16902469050497532,0.10625562307008855,0.14233646681208928,0.15731107735352978,0.05029396428358629,0.0477147966166024,0.04761914472930954,0.5788079587898638,0.21086640218103617,0.22560557323001748
p21_uppercut_right_main_005,0.28057362688748205,0.46225973152894173,0.26542370549103855,0.19772576284531931,0.24666749684816364,0.22040589926180437,0.050884578935575145,0.04809402986727932,0.04765178558109883,0.5684070310313672,0.6693316884150727,0.22246187994474056
p21_uppercut_right_main_006,0.23819809225797206,0.3629287698272665,0.24921073723845177,0.2096599656473766,0.17152802182328547,0.17144809019908133,0.05343562694918837,0.04797065295499784,0.04762172069559981,0.4629813193350028,0.5812556615127101,0.1881291997463963
p21_uppercut_right_main_007,0.271059813190975,0.40662678774436856,0.23817259498621582,0.24702553235502317,0.22709897029988352,0.2062768223885952,0.05267639978299092,0.04799777993438437,0.04762981030530843,0.4783560786142069,0.7183015008154087,0.1930100861105274
p21_uppercut_right_main_008,0.12350293500902268,0.26615265478711647,0.08728116757171493,0.09529108463304387,0.07324946602546259,0.12506114129824014,0.051849788501930505,0.04791041774450365,0.04761917555978388,0.48614677994259703,0.02368306581967125,0.19530232872967707
p21_uppercut_right_main_009,0.31641884441727075,0.42909986901040914,0.23392909183048757,0.26779638760122326,0.2780079701352968,0.24731861845504569,0.05230134597968261,0.04836927586109906,0.04775493801227782,0.5193701343355405,0.8165290019476439,0.20668025205877402
p21_uppercut_right_main_010,0.23618387709403166,0.37543020525210774,0.17996369824241748,0.19383695894922298,0.22419442556561786,0.24626219334351593,0.05313960927752596,0.04969641732656226,0.04761927478847807,0.5668257767335105,0.5190045160035828,0.22322060111253292
p21_uppercut_right_main_011,0.3127770844286271,0.4186015896972057,0.255177621694444,0.2788495497032173,0.272612699678897,0.22506037500476053,0.05182598546301026,0.04788946583546698,0.04763481474722477,0.5691082368423824,0.7680748254869049,0.22294122938028654
p21_uppercut_right_main_012,0.2618092425183353,0.4441350355488277,0.2991490189558986,0.22249993811155794,0.3020394519693696,0.20987067308647864,0.05221256484625686,0.04808682361628159,0.047684780486997876,0.6351646926629873,0.6881626517240402,0.24515469370850856
