hook_left|p09_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p09_hook_left_main_001,0.3487384724240524,0.4622191065382745,0.33659248376758144,0.30705362716251,0.2210637999741622,0.2069055373567254,0.07172506562287603,0.07478614938295862,0.047672977116886485,0.5112194618842565,0.8558577690354334,0.21924355896336373
p09_hook_left_main_002,0.34798229631599586,0.46216873490437765,0.3384483987823734,0.28289019082292277,0.1889093469524835,0.1989435432542314,0.06564874056794257,0.0675434425400051,0.04764666195053067,0.4734919811951171,0.8452561624931983,0.20222805476768824
p09_hook_left_main_003,0.31735034243174354,0.4413444624062744,0.3269993481751313,0.2805713780115132,0.18730474301400726,0.2114105980326766,0.06546475904093371,0.06695007007727756,0.04766889220083312,0.4393861530202658,0.8511920308663476,0.19060032737949234
p09_hook_left_main_004,0.35065722749188,0.4518762231443298,0.36251273865360034,0.2934199625561081,0.22320034112586518,0.20152685034819648,0.07176434380501523,0.06968543031778526,0.04764694326516491,0.5269812335172928,0.8484838801801319,0.22281033588003107
p09_hook_left_main_005,0.3551272415405403,0.46879165697037717,0.3440097751720267,0.3014040781322277,0.25240453747522834,0.23475288808851724,0.07430083952599653,0.07596373551394144,0.04768877314887958,0.5487876116291683,0.8799527236713668,0.23301739555636877
p09_hook_left_main_006,0.3238154297427242,0.4619658214561092,0.34648897673663803,0.30058001358462905,0.22546253008741038,0.21075006014128866,0.07223427112324496,0.0764855187445258,0.04766262177315693,0.5273719849499257,0.8343219138029363,0.22536392493923213
p09_hook_left_main_007,0.3431079354784551,0.4456017802564453,0.34771357102251244,0.28366473238387113,0.21724989546065024,0.19078044592996232,0.0722669540730737,0.06997285326405464,0.047645047436507666,0.49278371141838206,0.834886342557221,0.21167450625183679
p09_hook_left_main_008,0.2986270560886906,0.4162983617397174,0.322760658788593,0.2440897711531104,0.22662005342305128,0.19579174869145016,0.07212757261805754,0.069525381557825,0.04772198463423793,0.4929731395541821,0.7414146931652821,0.21154203124335488
p09_hook_left_main_009,0.31942667550645637,0.4208219524541625,0.31759840418256396,0.29380148612909973,0.18848327317061303,0.18679755656298164,0.0667389193474988,0.06784304492068523,0.047722038600896924,0.4778546606741713,0.7795590736039282,0.20414554164745174
p09_hook_left_main_010,0.30153686133382795,0.4317986224771387,0.34861301192586025,0.256035431737731,0.23054468458673777,0.21208555981613694,0.07233921907398261,0.06966469289566805,0.04784555859910941,0.4879178058532303,0.811900861126692,0.2099739059409603
p09_hook_left_main_011,0.33758526728366967,0.45780578527183186,0.34392195748851656,0.3033760949643104,0.24943977693728883,0.2219470193857141,0.07359392588489413,0.07545263054344072,0.04767317771304333,0.5511646059862918,0.8512163792758246,0.23340372080487554
p09_hook_left_main_012,0.319824325974642,0.41530114520106265,0.3185472222689777,0.27146672267690325,0.1927856117285102,0.22189164437514997,0.06610740791270962,0.0670445612585232,0.047738494330567385,0.4595033362230258,0.8188327191130982,0.19755176846475286
p09_hook_left_main_013,0.3172861619907975,0.43093049302985253,0.33662741583614963,0.2633643549530887,0.21585371217809537,0.21665900521757334,0.07023205671093177,0.07331744161955744,0.047689069688855446,0.4557262754011976,0.8432892217056168,0.1997585912438956
p09_hook_left_main_014,0.3451922904895362,0.44837148249018954,0.3354782696954449,0.2735480251868626,0.21967616223797992,0.19486526578895674,0.07110265178763567,0.07349847346108755,0.047657874413378355,0.483686986483978,0.8300482780591887,0.20942937057756705
p09_hook_left_main_015,0.330849450915331,0.4494391389029092,0.339913228113503,0.2993065667116373,0.22188049755517253,0.2185414050931128,0.07137221004068237,0.07309374232815535,0.047651604995494784,0.5022584695048989,0.8581059557084726,0.21557480729124553
