uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p07_uppercut_left_main_001,0.23358878775725653,0.4505083167768726,0.2973171510804942,0.2827212920995611,0.3200135903219158,0.13343540895341288,0.04916827004676711,0.04821171306858992,0.04768603462370622,0.5268130306859533,0.7941989030140071
p07_uppercut_left_main_002,0.2008447236104412,0.4247974869246794,0.27017264642961963,0.27223092882240224,0.29481994354692087,0.10166881404809258,0.0492040420694511,0.048147036495475325,0.04771063081559316,0.5403052033490632,0.6575001746218566
p07_uppercut_left_main_003,0.2037790974484411,0.44480180090409044,0.27663241048757514,0.2980080538649005,0.28733004374011367,0.11644653345083014,0.049743358016896,0.04838459361400383,0.047668907235765653,0.5534366286518948,0.6926627831211488
p07_uppercut_left_main_004,0.21064911061795213,0.43793952916549533,0.26391278117448175,0.2786082593997249,0.3094956575681903,0.12166551023250398,0.051772455588835815,0.04836090555623733,0.04767936651304533,0.5017581780599986,0.7364444836510875
p07_uppercut_left_main_005,0.20138892116058932,0.4184470391655766,0.23433843576932195,0.2653197643636153,0.2958340174706898,0.11667386092442522,0.05080157428737061,0.04828405850278047,0.047684190067949724,0.5209244759756625,0.6450281695760554
p07_uppercut_left_main_006,0.2125464232742146,0.44766868281066596,0.29032951248161193,0.2840226304748709,0.3029441852882999,0.11770624186530095,0.050642604239707,0.04831738925438639,0.047727707094875574,0.5418176736929053,0.7245777909450274
p07_uppercut_left_main_007,0.19772178199226992,0.36902650413632615,0.24623968371786092,0.28856866951922716,0.2757105505269478,0.11539833825960599,0.049246983932666896,0.04820722199915497,0.04768350847309597,0.5476334608793009,0.607094506186771
p07_uppercut_left_main_008,0.1981867116384356,0.44323108132251654,0.28299829659001013,0.2758810965743084,0.3142619757659649,0.10663243784867346,0.052202673421846625,0.048748793040414094,0.04768206466038789,0.5424466854431809,0.6987706726625827
p07_uppercut_left_main_009,0.19831444289329497,0.42475541774912096,0.2859080649820347,0.25561090749468296,0.3073872528156615,0.11647501530858866,0.05104424745232052,0.047826120188674374,0.04764607632197528,0.5139579788172179,0.7072791403947116
p07_uppercut_left_main_010,0.18479552556149384,0.43192351242504773,0.2830169129810005,0.2682886347842642,0.3052563335938723,0.10392986674692573,0.053482036796699495,0.04848969968922999,0.047685710738701446,0.5315958324697745,0.6766236377835617
