straight|p10_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p10_straight_main_001,0.2862934031800189,0.46383493619226285,0.32496904971656326,0.277971196050419,0.32078128280747664,0.24827333786374556,0.049949413408093335,0.05137469979206378,0.04819900904178046,0.6110810476139086,0.8751673492027168,0.23746838693802189
p10_straight_main_002,0.2954470373267767,0.4345054241374404,0.2328612298081933,0.2574465791227227,0.2466653875353937,0.2869335714673062,0.04838991554502048,0.048069448012847106,0.047625670556394134,0.5713262241916023,0.7754125069158846,0.22259519591648996
p10_straight_main_003,0.3152769156578493,0.42484925113159894,0.2289420906917655,0.284162755984974,0.31974376478745664,0.2720748476611736,0.04923748424141762,0.047972818310445774,0.048195164502642565,0.5589540385778926,0.858559677748528,0.21872144704325197
p10_straight_main_004,0.31595533918086816,0.4609910290216221,0.22014882113137282,0.2842578180262566,0.32017984544906397,0.27639503895841633,0.04867144748136862,0.05218767542348616,0.05043202885857966,0.5620430536378719,0.8659137783337681,0.22096739218090888
p10_straight_main_005,0.30141824422328434,0.45590811346893584,0.20244166582152215,0.25020096168211614,0.313712755447221,0.2822629129846973,0.048710991872194645,0.0507154660469801,0.04796672168325545,0.5317404429396323,0.8391809300954495,0.21038896695293569
p10_straight_main_006,0.30405499491359456,0.4053956635069156,0.23960339308183828,0.25198183379394984,0.2089791041289911,0.19742555504322495,0.04943516713118411,0.04796269976766171,0.0476274171649752,0.5188878316302163,0.6834706354724,0.20542856617635405
p10_straight_main_007,0.3134841950625803,0.46092366394771433,0.2416260083867135,0.298496519217495,0.21200598683258032,0.29459259447622366,0.08136423921945633,0.05070806399964679,0.047659576598681606,0.5132274051127372,0.8422464252181496,0.2150999027772801
p10_straight_main_008,0.3309509831710144,0.4567332066202029,0.2966573072906252,0.22999259077571677,0.29807062175166377,0.29073578990789944,0.0490713165079702,0.050461211607478594,0.04771796921111546,0.6349022718393462,0.8163193299957173,0.24481159998493165
p10_straight_main_009,0.26689891798975796,0.41788740384657785,0.2490831522482324,0.2706117588059548,0.22515805680547266,0.21718913411110688,0.051647558888708166,0.0481086555373114,0.0477038595044147,0.4857494715440798,0.7706073749338561,0.1951685619900331
p10_straight_main_010,0.2879276547814039,0.43204540713814427,0.20718031506056805,0.2721408416341561,0.326305961530288,0.3081977904956061,0.04894417105027564,0.05022755885844676,0.04938149411739268,0.5429407833480111,0.8718575303345142,0.21403750441891115
p10_straight_main_011,0.2254881507950217,0.4046364620847592,0.1895703421201226,0.29934956034347676,0.2362323411929837,0.2697143593655424,0.04921262095148685,0.04785915792804125,0.047634119626073924,0.49593077531643026,0.7684824415516684,0.19766751806531946
p10_straight_main_012,0.3253984939210597,0.43126137560825173,0.23585793817729933,0.20339264536229534,0.23632493279220923,0.2722636703162674,0.05914848029320815,0.048901709285724716,0.047621757114121546,0.492844025402461,0.768102519029803,0.2002980716604646
p10_straight_main_013,0.33632894111252454,0.4676449853173067,0.31482221825086887,0.23382036359735664,0.3089112828365141,0.3317083468522886,0.04881298887020345,0.050643770869163086,0.04822026419485367,0.6340286591426146,0.8971332465664507,0.24449513962732705
p10_straight_main_014,0.36121752219407066,0.4405957391968297,0.22323753633603033,0.25433606137653814,0.29810124573751207,0.28432546660494296,0.050939877057946475,0.053116914649409104,0.049180724542429284,0.5397297409875947,0.8585569212440698,0.21459551089831674
p10_straight_main_015,0.3322236231300829,0.4318437582410476,0.22042922140197313,0.2585317830693411,0.2282325739072078,0.24503554593040083,0.0498421677719773,0.04804408391062741,0.047768848814740646,0.5006376955007001,0.7911934671540111,0.19950798239443496
p10_straight_main_016,0.33273890254679805,0.4180808296452776,0.2141285102732307,0.26362750832575765,0.19184743675614793,0.18284276944402494,0.04884495338762833,0.047851374126914564,0.047626722268479374,0.48822618201096846,0.6862237988645312,0.19497416984183713
p10_straight_main_017,0.29840099332921566,0.44684259997798587,0.2970566158616574,0.2563440544458914,0.3287417949335902,0.30314872412462635,0.052589067399400315,0.052180504921373216,0.050963854852329946,0.5991357872692118,0.8914925864003558,0.2346351198633284
p10_straight_main_018,0.26293981631250035,0.420239536778326,0.2757425725267862,0.27047382381682716,0.3092159971946321,0.32177483706052995,0.04836605813486955,0.04785769342777134,0.04859877784975148,0.5845018053523976,0.8769739866753545,0.2269085189716795
p10_straight_main_019,0.27327531158327284,0.43826117402478787,0.2863984768974799,0.28003788087944426,0.2828575699832807,0.2908028742433298,0.059868869670898356,0.04850922416952687,0.04939810224932272,0.5834443868632925,0.8558869858651057,0.23060749356790589
