uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p07_uppercut_right_main_001,0.12847437056193103,0.2600096688736343,0.042002393395838764,0.04873105380673198,0.07474438180245879,0.08237844343563332,0.05041085374781409,0.047800643641649675,0.047619054410556076,0.3641205464329069,0.013607945948554124
p07_uppercut_right_main_002,0.16052202408037222,0.29544476895261135,0.09465075950010537,0.08947060752140587,0.07316558330211965,0.09652357882738405,0.05045290729296954,0.04775723211395919,0.04761911217660227,0.49708888380518196,0.019730472906668947
p07_uppercut_right_main_003,0.17993876102622558,0.2747757407002461,0.04290049924604132,0.037464296502026526,0.0729624530536899,0.08714734557684191,0.05486013473996544,0.048311546740243703,0.047619173977801854,0.38182150054986813,0.016066769864645055
p07_uppercut_right_main_004,0.12846565173107907,0.2599658855729786,0.042010265018970656,0.04867579894771688,0.07474343932203131,0.08237387422813128,0.05036339112151986,0.04779967243311073,0.047619054418543735,0.3641172498045332,0.013599595784447936
p07_uppercut_right_main_005,0.35908488753102086,0.4770360807609236,0.2271798245549,0.22518875318982623,0.20870669345176052,0.23284081273272111,0.05442655365258969,0.0510068981507984,0.047631189636965096,0.44246664653205114,0.803278569400918
p07_uppercut_right_main_006,0.1549936453346082,0.2872330004232275,0.0805278823924842,0.06884441817064244,0.0657376141536239,0.08135165099410517,0.06272751659387518,0.04837403430225017,0.04761991887337121,0.42623144362812776,0.015949134405988608
p07_uppercut_right_main_007,0.16052068592266866,0.2954033829306775,0.09463392714660258,0.08943900708776756,0.07316489403378594,0.09652517596431384,0.050405106726701024,0.04775426056733173,0.04761911213520514,0.4970903835861183,0.019723115203289537
p07_uppercut_right_main_008,0.3037704434646174,0.44933507017965574,0.20442186160457637,0.2800646826449858,0.14628592984328764,0.175782164679555,0.049712081910970936,0.0477726367140309,0.04762019716225496,0.47446200074619593,0.6580824321942025
p07_uppercut_right_main_009,0.13998602605061589,0.2860508237664143,0.06329487227567357,0.06507340957738873,0.08257651538133298,0.09615067614169748,0.0505010326208319,0.0479139048177621,0.047619083997326894,0.4255021852378512,0.02894351329061782
p07_uppercut_right_main_010,0.31105336487091684,0.4364081063090518,0.1998926137086982,0.2652380789291654,0.10070111544935498,0.17009813288048484,0.05126015426230165,0.049700051066131,0.047619583703411274,0.46986615908625484,0.5879040474915704
p07_uppercut_right_main_011,0.1799295418485334,0.27469820554506363,0.04288729765456524,0.03737022616015746,0.07295200868917916,0.08714022175561142,0.05473068058799859,0.04830514973357017,0.04761917397618469,0.3818290688991986,0.016054693547452054
p07_uppercut_right_main_012,0.30064068442174047,0.40403902106527145,0.19669881934002947,0.24567173590938127,0.14687618409319295,0.1783413034642385,0.05018955140766447,0.04779272275897053,0.04762301311577079,0.42949484279486255,0.6411626236177841
p07_uppercut_right_main_013,0.1400379426857924,0.2857709526824196,0.06317721363419368,0.06486358265958236,0.08261629557432762,0.09616612649177995,0.050080640495632094,0.047902458640884306,0.04761908438157607,0.4254961560604391,0.029174531094610684
p07_uppercut_right_main_014,0.310863029516726,0.4359426554273459,0.19960862517680142,0.26486698862511104,0.10069706481295312,0.16986207408488624,0.05070554297786743,0.04964539782943202,0.04761958346901124,0.4698622923407799,0.5875179817854306
p07_uppercut_right_main_015,0.1548925067195744,0.2859076646102633,0.08023447902355013,0.0684483328261053,0.06567654111957268,0.08125177892467042,0.06106520745515097,0.04829958028444613,0.047619919355116724,0.42624080956692395,0.01591086063681538
p07_uppercut_right_main_016,0.35899956161126195,0.4761538384751439,0.22659911578816144,0.22476110349513467,0.20943491560998218,0.2332437102714528,0.05327720489712758,0.05096334456439075,0.04763117846159605,0.44267670069738296,0.8043446796054463
p07_uppercut_right_main_017,0.1284759463727012,0.2597071430980188,0.04187528892834293,0.04847756699470291,0.07474837444736497,0.08236507872681083,0.05000820492015688,0.047794189839648844,0.04761905441970369,0.3641250294858266,0.013639820983734433
p07_uppercut_right_main_018,0.17989326666111513,0.2741690658044808,0.04257936399029462,0.037053736685363735,0.07296061043421864,0.08710914008805956,0.05406342522367252,0.048269697619342515,0.04761917386021402,0.38182678907728757,0.01607462899314072
p07_uppercut_right_main_019,0.30051742031245005,0.4039473573496088,0.19667954988596312,0.2455160066830982,0.14693263828845143,0.1780997231322737,0.04990944580977282,0.047790328635955545,0.04762301366150151,0.4294939803736044,0.6410481038690874
p07_uppercut_right_main_020,0.16052277497035,0.2952296409882867,0.09454636927763344,0.08930534655146057,0.07315919963308375,0.0965129631562084,0.0501657683713382,0.04775016219029635,0.04761911224583057,0.497091706529753,0.019739307899698882
p07_uppercut_right_main_021,0.30367034426558337,0.4490635874178414,0.20424101296857886,0.27989777673812394,0.1463332543146179,0.1756473083990803,0.049299825819468714,0.04776772492884426,0.047620197113659,0.4744571097975115,0.6580309113976529
p07_uppercut_right_main_022,0.30382013347222203,0.4497722844324052,0.20461782072285498,0.28021278298521934,0.14626228718180265,0.17585017052663893,0.05024936573338078,0.04780458618394293,0.04762019672196326,0.4744605151470962,0.6581041764785325
p07_uppercut_right_main_023,0.13998593492316097,0.28685991554098733,0.06358390743135751,0.06535176433658196,0.08258317234940604,0.09615073690511802,0.05135527144718614,0.048050847868798534,0.04761908408078784,0.42550109331707053,0.028920161213447253
p07_uppercut_right_main_024,0.3007329725830228,0.4042970480804963,0.1967637178629406,0.24580966163928308,0.1468676599585042,0.17845709675105628,0.05053445721436879,0.047801503622447915,0.047623026221422296,0.42949973876120595,0.6413127032908831
p07_uppercut_right_main_025,0.1605305562506469,0.296064983803741,0.09473617110629952,0.08956507438718361,0.07317223897742575,0.09653127325052131,0.051164020803391407,0.04779696425215715,0.04761911209984545,0.4970924046477633,0.01971440772428316
p07_uppercut_right_main_026,0.3591190130053808,0.47827428177049125,0.2276880890994184,0.22562246333799427,0.20861646448374005,0.23286229573550057,0.055851867585881135,0.051116930684072553,0.047631189629930626,0.4424699720805446,0.8030413366153637
p07_uppercut_right_main_027,0.12846348155665466,0.2603855511670392,0.042134126518908875,0.048824669207447734,0.07474146035533014,0.08238230679358814,0.050841634126950336,0.04783421854435394,0.04761905441828033,0.3641228587180764,0.013577718543725078
p07_uppercut_right_main_028,0.31115524389601157,0.43707420570470584,0.20013110558994568,0.2653645385388187,0.10070613674102331,0.17023130582998833,0.05204652990121193,0.049751456223574776,0.04761958396981416,0.4698670859881065,0.588010213198171
p07_uppercut_right_main_029,0.1799460212483603,0.27558394253801044,0.042987141651785916,0.0374604024177491,0.07294964238957964,0.08715510666522308,0.05564068707712724,0.048508747706533205,0.04761917402423928,0.3818256401604262,0.016048190813306856
p07_uppercut_right_main_030,0.15507613857005376,0.28891458327399383,0.08078444922142908,0.06908308404023711,0.06575942051639397,0.08137985395776973,0.06473456737672463,0.04847377868928573,0.047619918798915736,0.42623376111375755,0.015973720186909846
p07_uppercut_right_post_001,0.29493199431094674,0.4048049973302977,0.16527307068137503,0.24797680807938302,0.1025511699696768,0.13697575294267955,0.049997522120204314,0.04779559285646945,0.0476190978238731,0.45859919555064754,0.4996250293331108
p07_uppercut_right_post_002,0.2963220284665482,0.44004431140785905,0.18427190944132701,0.25880208560886075,0.2059347508596157,0.21642756777043326,0.05177945053166556,0.04899350246632512,0.04762022318506448,0.4516167005592163,0.7230641782320242
p07_uppercut_right_post_003,0.32320696353088607,0.48239756258055666,0.27242973985207175,0.26503432392554815,0.21857778066124514,0.1995974243158387,0.05246247127366986,0.047773669818130395,0.047956955696054834,0.4891818414703505,0.8121417650633191
p07_uppercut_right_post_004,0.1839864548413716,0.30767965781375517,0.14238429188942794,0.17373143300906252,0.0820700403363777,0.1078636740186109,0.050960859480051385,0.04780698376334179,0.04762167083214269,0.45884247317807353,0.23351886592112953
p07_uppercut_right_post_005,0.32380640026188107,0.43884438611740945,0.20207789077051674,0.2467128317866222,0.18297355769583215,0.20911683336209733,0.05268284572774177,0.05267839365554204,0.0476209112015291,0.45699496740671064,0.7016361014649114
p07_uppercut_right_post_006,0.14668055116937542,0.25654077268833025,0.06292461553235895,0.07284979183421678,0.07474291405945407,0.0782615026837689,0.04979042788510735,0.04780261325047372,0.0476190898860719,0.40494486154787934,0.02149302335326389
p07_uppercut_right_post_007,0.17276496254593268,0.2814566380351667,0.0902853798905368,0.10182612774227491,0.0963839054882247,0.0866274885304518,0.04949652451781526,0.04769068298109718,0.04761948749559223,0.4260524877180914,0.11898880117068211
p07_uppercut_right_post_008,0.32884374386339094,0.4293234999637529,0.19069689261020312,0.261157662825777,0.19103809001707622,0.22411058195044192,0.051225355089682074,0.04822826124002198,0.04761985631425155,0.49700849727837565,0.6960504914433954
p07_uppercut_right_post_009,0.30808652014297044,0.43256066577398417,0.2089583062186188,0.2605679207049658,0.13818125784296806,0.11707038342177012,0.05049294750441324,0.047724278426139896,0.04762175206800991,0.4542274034798083,0.5927873589246025
p07_uppercut_right_post_010,0.2879058754762328,0.4376656620493522,0.23950655146787883,0.25024538195960505,0.2294724619369221,0.2126049395189698,0.2626624559394924,0.1880924652548475,0.05012796870258344,0.3409006218189655,0.5465069556461225
p07_uppercut_right_pre_001,0.2795794085581725,0.39396731731710927,0.14719248817491265,0.2414487880562346,0.15146866704196948,0.16564773683333742,0.05615062358166269,0.0481534869982106,0.04762130793296656,0.5075113091878838,0.47409637058781967
p07_uppercut_right_pre_002,0.2954581817578704,0.38315945151234254,0.205429368210579,0.24032586159416955,0.13872783665379454,0.1281729957302271,0.057564337561697064,0.04801404734319733,0.047620362539342764,0.45083934099794803,0.5391520179216792
p07_uppercut_right_pre_003,0.1997829513899046,0.34023853620210265,0.09516596496811029,0.18674399397936886,0.08688412796463554,0.1081503417402611,0.053181793499608165,0.0480170662449187,0.04761907431222974,0.46209171562791385,0.22490206817463562
p07_uppercut_right_pre_004,0.2683601224952846,0.3684789819255143,0.19353571371319594,0.2589329674665527,0.10938694221355452,0.14685523739176073,0.05343706375784744,0.04789131733636559,0.047619573636989744,0.4670149759399901,0.5013762455936741
p07_uppercut_right_pre_005,0.2582398837968977,0.4213590927059787,0.17723186569905197,0.29602316227359693,0.14784082614302033,0.17688557601049157,0.054200939191151064,0.050012905237626124,0.04762099504652125,0.4698107033928697,0.6115582192557584
p07_uppercut_right_pre_006,0.27469450474924895,0.36857117087176744,0.1501485149610851,0.2567203547123501,0.11550538750125557,0.14885384543031194,0.05389155721634925,0.047913325716971385,0.047620465852967975,0.4518807722425501,0.4860723667031563
p07_uppercut_right_pre_007,0.2780559989423279,0.3540409670234964,0.12692405168910798,0.23495029010868523,0.1390362911948016,0.16558782391329477,0.054923635512179506,0.047933937022070425,0.04762025282783127,0.47065472789916124,0.4515084369347891
p07_uppercut_right_pre_008,0.299414513120172,0.4298563522450739,0.18929484703293417,0.28077010133471647,0.18940407832544282,0.18340381133095557,0.05142016589613504,0.047847623647316366,0.04762085724700564,0.4785479592590568,0.6777108359064833
p07_uppercut_right_pre_009,0.25354077129891184,0.42493957685539724,0.16844640510487968,0.2894083524164824,0.16902984183031775,0.18559127317538807,0.053312713837861354,0.05054458252539303,0.04762431992564096,0.4662162282319556,0.6267575501665968
p07_uppercut_right_pre_010,0.3059781753501316,0.44146887625654224,0.1952360903735274,0.28149004204568284,0.15616722803039193,0.161629616414607,0.05294370593952117,0.04791911641037359,0.04762070460319567,0.4650453734774017,0.6536574831904646
AVG,0.23927444763067715,0.36361833867841653,0.14082965043997292,0.17714870464121094,0.12124422691060344,0.14054691673714084,0.05687222055930936,0.05124889047086097,0.04767766503294534,0.4420883342246312,0.37193781065947995
