hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p14_hook_right_main_001,0.282949031,0.437927943,0.335717618,0.33622915,0.191719108,0.111044883,0.051145477,0.048198279,0.047663791,0.559050308,0.726003316,0.675917414,0.724550892,-0.009361558
p14_hook_right_main_002,0.30609529,0.46818883,0.300057711,0.346617527,0.196514118,0.124507753,0.052086296,0.050984814,0.047943948,0.519746537,0.777128917,0.699914203,0.685718077,
p14_hook_right_main_003,0.312042414,0.471908524,0.337537692,0.351909142,0.21631532,0.152530532,0.053184922,0.055003903,0.047754074,0.590410696,0.79771285,0.735522204,0.695079635,
p14_hook_right_main_004,0.33513947,0.47063135,0.342194156,0.34745016,0.251256141,0.20481017,0.053204911,0.055111019,0.047692863,0.617774258,0.864308865,0.790348483,,
p14_hook_right_main_005,0.286430895,0.480904254,0.331682913,0.351799644,0.213204545,0.127305916,0.053520135,0.051323075,0.047929108,0.565997929,0.783201547,0.718040462,,
p14_hook_right_main_006,0.302271382,0.461233721,0.314326459,0.315233799,0.187836932,0.119488104,0.050491585,0.049262992,0.048010438,0.532614028,0.736364161,0.675239121,,
p14_hook_right_main_007,0.284632114,0.48512729,0.334279119,0.329110347,0.214954005,0.125449436,0.050924817,0.048780864,0.04789619,0.580960756,0.756539724,0.703866034,,
p14_hook_right_main_008,0.271707414,0.469843493,0.354724133,0.345668787,0.225655256,0.160488815,0.051752688,0.051712868,0.048351986,0.569470062,0.826999253,0.749740496,,
p14_hook_right_main_009,0.291465804,0.448580138,0.29502424,0.354533191,0.179232995,0.100499219,0.052221777,0.048651747,0.047676918,0.524884602,0.722471024,0.663195097,,
p14_hook_right_main_010,0.307868441,0.478534322,0.330494045,0.330109001,0.212877296,0.124668133,0.053228716,0.05175418,0.047694173,0.612984807,0.724696007,0.691182647,,
p14_hook_right_main_011,0.345113147,0.49061538,0.344812301,0.362396333,0.264378362,0.188012596,0.053457614,0.056438102,0.048266871,0.632981749,0.874837666,0.802280891,,
p14_hook_right_main_012,0.318260112,0.490509069,0.328203745,0.350193917,0.185221745,0.101439571,0.053526912,0.052709568,0.048136666,0.557903433,0.753924695,0.695118317,,
p14_hook_right_main_013,0.312947112,0.462429036,0.335611109,0.348724729,0.208974245,0.139145978,0.051025872,0.052408117,0.047941924,0.582809653,0.781069679,0.721591671,,
p14_hook_right_main_014,0.296328208,0.469163798,0.356791466,0.35664638,0.211280369,0.141411587,0.051901689,0.052272089,0.048155035,0.596325218,0.794622825,0.735133542,,
p14_hook_right_main_015,0.301550505,0.465668392,0.354983347,0.371179237,0.257587058,0.192302459,0.053250332,0.055400841,0.0478893,0.618722958,0.873182956,0.796844956,,
p14_hook_right_main_016,0.287505206,0.442759893,0.362608677,0.378652114,0.247956151,0.187772878,0.052697457,0.055924236,0.048649802,0.597275037,0.876142271,0.792482101,,
p14_hook_right_main_017,0.292593245,0.463204861,0.354488355,0.350529372,0.218327249,0.141711509,0.053071912,0.052063425,0.04801074,0.581114356,0.803437405,0.73674049,,
