jap|p24_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p24_jap_main_001,0.33404550539634503,0.38431439097933884,0.2674776822721955,0.32885650645830233,0.236266166269601,0.1827136027677683,0.047748175285498705,0.048028014822908256,0.04761947548384852,0.5206158309643711,0.8008150330343271,0.5749789275709014
p24_jap_main_002,0.31028259115200957,0.36174511938888765,0.28155024569331505,0.3051039382843682,0.23176049386988246,0.2016439059638763,0.04794764275846307,0.049467439088755547,0.04761963522058631,0.5191293249568644,0.7746351876912647,0.5570848631105119
p24_jap_main_003,0.32515556242860033,0.3596585889924869,0.2615289414637806,0.2823603853805105,0.22793370271315333,0.214896218600164,0.0478355555680719,0.047825595347999336,0.04761933414286006,0.5390992772528175,0.7317048994028738,0.5265411081864114
p24_jap_main_004,0.35374293621775826,0.4220119222355884,0.27003123051698136,0.30233905183810234,0.2555144438973895,0.2002769687414459,0.04767901946658096,0.047779529006762175,0.04762138440676666,0.5629920831779823,0.8013507103277946,0.5752793559314848
p24_jap_main_005,0.3503980955100233,0.38737239632646986,0.26927392160619223,0.29528734659819306,0.22549078824076446,0.26356859299012225,0.047772539388908436,0.04909564787306484,0.047629565930345605,0.5441525550211438,0.8183617952915508,0.5875819510660051
p24_jap_main_006,0.3154696100917557,0.34694209834754053,0.2279349809007237,0.25987260806355067,0.2137908497909534,0.20497058589790312,0.047749296761724735,0.047780933458794944,0.04761905419272976,0.5448482442121299,0.6348296876386548,0.4587150613846968
p24_jap_main_007,0.29605631401977406,0.35113858986606966,0.24022176288993896,0.2762506101074381,0.21355266270567483,0.23096749366454955,0.047837182826030854,0.04872097213568344,0.047619707779378316,0.5327977755764745,0.6877034459547459,0.4960087038090271
p24_jap_main_008,0.3187392605998939,0.3652222958136456,0.2607601138649399,0.27104122298673294,0.2235900367362512,0.27358916228385705,0.047852887465479395,0.0500412632394779,0.04762114161874772,0.5470886645311817,0.7594265073050681,0.546610934085391
p24_jap_main_009,0.36600033409524635,0.41379439532872303,0.25558045711668925,0.31008388985608637,0.24578880053863292,0.23805213484909213,0.04768359783042579,0.04794788601340051,0.0476239231944159,0.5208677584307557,0.8648182877213412,0.6197571672089589
p24_jap_main_010,0.334596150769122,0.36535602980657716,0.25918380527879326,0.2748927795434993,0.21476877000949496,0.2581249127599798,0.047906298914992054,0.05066804651414798,0.04762041071406098,0.5592775338885404,0.7327594637971562,0.5281320386122538
p24_jap_main_011,0.3223664519024264,0.36372950206086135,0.24657251864824162,0.2674790718177348,0.21140205219150957,0.2538106911998355,0.047846753885975,0.04891882971787965,0.04761956420167825,0.552313402098809,0.7067667140349282,0.5094123487398136
p24_jap_main_012,0.30323939607293116,0.35600639739799983,0.23606894575078732,0.27579724688687624,0.20482786196259598,0.2324097213716593,0.0477634639256439,0.04849649024214382,0.04761908417651887,0.5341595833216896,0.6842423164104199,0.49351856855993703
