uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p10_uppercut_right_main_001,0.3498477000504847,0.47285775266118,0.2808111206950107,0.3242118381763991,0.2628989901689069,0.25963136093200373,0.05672086217208809,0.050197624489427266,0.04784915348151867,0.5786609160138563,0.8923864626375901,0.79826879865047
p10_uppercut_right_main_002,0.32135831093646133,0.4946347948876607,0.2598458220785479,0.34456000269805176,0.23121304136730228,0.29307107147595857,0.05791565716146938,0.05152402327107956,0.04775631776756508,0.6196947049148364,0.8521829414300206,0.7824364704754653
p10_uppercut_right_main_003,0.3418345954919563,0.4665405867705502,0.2568692250072727,0.3529782720967459,0.2820768404880682,0.28753784947247196,0.054981592260066874,0.04813849661907396,0.047937769936186925,0.6403222718274408,0.878509715982469,0.8070534827359604
p10_uppercut_right_main_004,0.29316840451189835,0.3882557150756893,0.2220735238276435,0.30672680912785366,0.23218158319503185,0.26885884793844517,0.054159185057281484,0.04795120280824087,0.04762746440280502,0.5545777371875589,0.7557352663776404,0.6953880076206159
p10_uppercut_right_main_005,0.37642687156662147,0.49834455934773647,0.26069779762258927,0.3340188022691457,0.24818491753097308,0.33706389754781674,0.10749470773459696,0.06599966417680833,0.04763615800179705,0.6471071346594506,0.8361553848049917,0.7794409097613293
p10_uppercut_right_main_006,0.3167686022915647,0.45835012613798787,0.30453176986184727,0.32685734615873746,0.26950742664524485,0.2686427321465493,0.07038413794362057,0.05045785226275796,0.04834390879780633,0.6291506989745355,0.8434646266982211,0.7791704483811154
p10_uppercut_right_main_007,0.3260724269438871,0.4643667224233198,0.2901806962246227,0.2937289179003103,0.2666342956122013,0.2928854011534775,0.05396914100236244,0.05012358183767362,0.047993877578704915,0.654267364796383,0.8207111867692527,0.7707780401773917
p10_uppercut_right_main_008,0.34843905474768455,0.4862781282139451,0.2681723944295572,0.31057814411898227,0.25878492596719904,0.2957906135520819,0.0648120325869536,0.05694924749135607,0.04767325180412397,0.6331883811840454,0.8327161863154257,0.7728578447760116
p10_uppercut_right_main_009,0.33816123231330497,0.4615820591116254,0.291131322315566,0.3041636802441802,0.2866334857425794,0.27970696235538683,0.05417007201384809,0.04865164962052569,0.04807493972270814,0.6603323848584524,0.8385944541692357,0.7851158333760007
p10_uppercut_right_main_010,0.330966214116843,0.4445285245675237,0.27382752572407554,0.3010464698309324,0.24162489831499595,0.27789470301228314,0.055028640742330055,0.052478630964537566,0.04766097098699168,0.5579060170662415,0.8556281297230354,0.7663114959259972
p10_uppercut_right_main_011,0.3268352943202631,0.4870688336602151,0.29660018615164596,0.3225935525620395,0.2568439381827918,0.30221611929931047,0.060538345666920276,0.05375841771744921,0.04793450498018821,0.6161082330199635,0.8915482586365561,0.8089162509515784
p10_uppercut_right_main_012,0.3415091544391192,0.48845175221184284,0.2943175894384743,0.3454229692056614,0.2811333140881079,0.2987775335179522,0.061324995426007216,0.05467645936209985,0.04776355657819198,0.648790326425197,0.9043237267117787,0.8276637066258042
p10_uppercut_right_main_013,0.3280023711327257,0.4378543212257161,0.24218758844908206,0.3179168393218511,0.22512702347373342,0.3231123329963831,0.055570351991966034,0.04792922450361861,0.047654807697289726,0.5848360932449954,0.8437155912860028,0.7660517418737006
p10_uppercut_right_main_014,0.3230674807080817,0.45530178772576113,0.32913112892431384,0.3538692783727294,0.25929922060012717,0.27397954309670086,0.056091410142039146,0.04827155991595883,0.0484629176774859,0.6591363552972177,0.8803920154975635,0.8140153174374597
p10_uppercut_right_main_015,0.28141618586152156,0.3712997142111386,0.19503998706354003,0.27183307404898194,0.19262044036055553,0.2521633538164286,0.05670567749161569,0.04810659999307171,0.04766087264796944,0.5102680281927179,0.6638407173566848,0.6177689106074947
p10_uppercut_right_main_016,0.33137861097163085,0.44889096891198205,0.29180091447918066,0.3154063967351704,0.28101255503518663,0.2567287064364713,0.0681880290613943,0.04929989428433426,0.04769898567506545,0.615214178404043,0.8390034450802724,0.7718666650774034
p10_uppercut_right_main_017,0.3527695864203667,0.4564975534105546,0.2501196687798253,0.3082269706094294,0.24992112390217694,0.3156860807728494,0.09000474267579418,0.06218076267268128,0.04793744644090523,0.6000254425415826,0.8056523715952123,0.7439642928791234
p10_uppercut_right_main_018,0.29410955701003155,0.41535359610909073,0.2172291627390175,0.2991286852412565,0.20992411994393567,0.2606939414210607,0.05455959057861502,0.04796833617788937,0.04762971580705388,0.5365820040198332,0.7399130436927388,0.6789137317908671
p10_uppercut_right_main_019,0.2982238483655995,0.3800874689151087,0.2401386074350323,0.29974334226847577,0.1845220848849634,0.29452515100789445,0.06257726939889854,0.04821357672089272,0.047644954949646476,0.5754763066774632,0.7145203345613935,0.6728071261962143
p10_uppercut_right_main_020,0.3588001903846618,0.4325213804804481,0.2746028498041321,0.3211653747593379,0.25538937607796103,0.32247852612279304,0.05967033618933022,0.04791669202333426,0.047768962648255774,0.6003969833135032,0.8996066376593541,0.8098437413555988
p10_uppercut_right_main_021,0.3541991408140493,0.46364456911406676,0.2896831697259132,0.32365281452056804,0.2733375864312846,0.30580861906877893,0.06591672611748318,0.049232127251138846,0.04961295222089915,0.6529612420119613,0.8695395732113299,0.8045660738515192
p10_uppercut_right_main_022,0.3131403336726813,0.4276797391714859,0.30396048872134124,0.31955717824649915,0.27914620947443736,0.2114351280501608,0.059523088611109005,0.04840882444562622,0.0478649733353251,0.5809012053436979,0.8318477968986797,0.7565638194321851
p10_uppercut_right_main_023,0.3385324065411912,0.44124829650279257,0.30750176272022023,0.3197965561205156,0.28579429133089035,0.23340413883357694,0.06561083883092723,0.04879840464073343,0.047942797348753875,0.5988503926774235,0.8605892151998783,0.7820675684431418
p10_uppercut_right_main_024,0.31242579696643374,0.45393959819407376,0.27705552183610876,0.32043487873491905,0.20028973322894977,0.2957534847599197,0.056700011153292186,0.04805787480692131,0.04762481537510526,0.5896152614882052,0.8262663691952862,0.7552710368831619
p10_uppercut_right_main_025,0.36581928722101686,0.4885178987288542,0.29564257609434724,0.33968112034319725,0.2822606958296615,0.3086262950758358,0.06245342301432542,0.05793588784158937,0.04810077183265896,0.6639283809746457,0.9039698584693516,0.8319574152209397
p10_uppercut_right_main_026,0.34900466298966293,0.4231470887684103,0.3512287316249797,0.3066450804299475,0.27879236955628606,0.22603019954347908,0.06665135579311798,0.04862826816252813,0.04785992160275483,0.638305561157356,0.8332782286974612,0.7747864284354296
p10_uppercut_right_main_027,0.35266133976435815,0.41851973731056946,0.3139186076110758,0.28307681657349787,0.2825104136769544,0.2480962330528885,0.0680999003994889,0.048548906759792114,0.04776584361996455,0.6197698303470662,0.8142709216547542,0.7559205942624478
p10_uppercut_right_main_028,0.3443510669569138,0.4260357379960308,0.32233417362752037,0.3252321476345695,0.2785712332253481,0.23364884659716748,0.06875040708337017,0.04889246084357633,0.047791441757441995,0.6104809354398585,0.8542976860526641,0.7811526608688224
p10_uppercut_right_main_029,0.35027170421125436,0.4507961491187615,0.2826756869134854,0.30188011420572136,0.2606310413811793,0.32550916538432384,0.05451238671176795,0.04793140567663885,0.04786349666242618,0.6102727837722285,0.8977179923945469,0.8114844298078513
p10_uppercut_right_main_030,0.3019887596315858,0.4563990525616143,0.28802028206924146,0.2928924725289012,0.1958410369128282,0.314224313494383,0.05440646694045945,0.04800391075103023,0.0476571958050964,0.5868251071475324,0.8246793275073616,0.7533230613994129
p10_uppercut_right_post_001,0.3560549593278365,0.49430852830400906,0.2874663146421532,0.33931972486023226,0.27192365619805825,0.26353279389023865,0.055555338195658326,0.05314921457403958,0.0479809163743399,0.636995977913228,0.8798581384439443,0.8069994902847294
p10_uppercut_right_post_002,0.32917670727738557,0.44773499027906283,0.2443202401335737,0.3020690123479806,0.20964804190016323,0.24913694381727636,0.05661269049277478,0.053288550796637336,0.04762282529412634,0.5460905315604687,0.7699732875919979,0.7028084607825391
p10_uppercut_right_post_003,0.3457511853209493,0.4697006750323836,0.27674466974400014,0.32788370653176646,0.265537734665393,0.27934026410563717,0.05455484784485591,0.050587980389818314,0.04804189535058137,0.6033848279917159,0.885263412036476,0.8006998368230478
p10_uppercut_right_post_004,0.39026117081140643,0.46904813820867874,0.2740904310749372,0.32677248623332067,0.2550905420224142,0.3171722588431066,0.08443160922418794,0.05900453733486736,0.04777281217875222,0.5901444766884251,0.9027449883639791,0.8089648348613128
p10_uppercut_right_post_005,0.3286649355116998,0.41918310897477573,0.3238369011603849,0.2774703833947642,0.27825299115345614,0.25363703730967047,0.06303149238834173,0.04857690027662883,0.047783319273096175,0.621076797116593,0.8094195501005894,0.7529167242053905
p10_uppercut_right_post_006,0.34692370002171524,0.44527967665730994,0.3014896509233152,0.2918759829321544,0.2034213470969597,0.314587476174997,0.054970942938003135,0.047833554639593635,0.047662387257799844,0.6128895116455092,0.8412730457982346,0.7727579855524169
p10_uppercut_right_post_007,0.3412895387288454,0.47815284603960606,0.28839259859836563,0.30454022498807254,0.25486886415985643,0.3012489040018809,0.08232586042344404,0.05489295541621309,0.04785018410803646,0.6019881724780967,0.864624305503015,0.7858334655955393
p10_uppercut_right_post_008,0.3662394470079587,0.45897986537499935,0.30872405588004054,0.31726444926806013,0.2921702216526151,0.29932701933556877,0.05459793530491902,0.04978295052022476,0.048508035601734986,0.6650312625924318,0.898201613355501,0.8282505081265802
p10_uppercut_right_post_009,0.36488468201535307,0.47764991186755446,0.30965959077254873,0.29750681434395687,0.2844169822829722,0.3011931855625575,0.061043921440843606,0.05777296171958784,0.048415747493132336,0.6520331227677636,0.8795186455186833,0.8112729886934074
p10_uppercut_right_post_010,0.3562223275135906,0.47407757568280917,0.28727625897269526,0.3265907787343496,0.2642547930006337,0.3348195316991373,0.06153230996061316,0.056171678686783695,0.047797404011452965,0.6210241872079455,0.9218586042393064,0.8316082791298981
p10_uppercut_right_pre_001,0.36309473360530375,0.4624890845026606,0.31174538731751805,0.33360790868677775,0.2755188029348111,0.25109035002604835,0.06211790186852328,0.05476380524255229,0.04778274944562173,0.6616394183072767,0.8448860974811626,0.7899120937289968
p10_uppercut_right_pre_002,0.28612633150491673,0.4049868021089821,0.2141661122107718,0.30404464828701777,0.224773642614068,0.28266713319982084,0.05643434282265326,0.048059588383899135,0.04763172145119917,0.5993936586349669,0.7081218249166755,0.6755033750321628
p10_uppercut_right_pre_003,0.36120291353165507,0.4271506540143483,0.3289909902176017,0.31104282847334613,0.2820152175959225,0.33115591937419503,0.05474882909097202,0.049929857318900525,0.04788088472018199,0.7037057759597872,0.8784200914705063,0.8260057968172905
p10_uppercut_right_pre_004,0.36377255803486824,0.42207542713103646,0.31687255701516365,0.2969442637121402,0.2789073418827555,0.3214960754238506,0.05403437077467078,0.04868196434570783,0.047906157464436584,0.6830540718215611,0.8623296442298726,0.8085469725073791
p10_uppercut_right_pre_005,0.33912980101104245,0.43045224825378287,0.3241410663659953,0.3028286052249756,0.285019307070948,0.31978286098927156,0.05557295497107796,0.05058236230993915,0.04800511272780376,0.6724572709214932,0.8770677714870336,0.8156846213173714
p10_uppercut_right_pre_006,0.33646203893122195,0.42187659284414736,0.3146764396043632,0.267746184058066,0.2853060187104165,0.3199704625370162,0.05461599396493719,0.049998255549259865,0.047848287010245356,0.6570081285175278,0.8470756771350865,0.7900554125498188
p10_uppercut_right_pre_007,0.3108180869509477,0.4441866784264025,0.226862975970608,0.2365576159138804,0.2591795697520288,0.32974368868414383,0.07052073656123885,0.049895991271925955,0.047622652732162186,0.5659995661188038,0.7905612391741725,0.7231927372575618
p10_uppercut_right_pre_008,0.3639721882772529,0.43592126274034493,0.2733573185032984,0.31310193483469345,0.27154934442539747,0.3137841908490218,0.05457991291503274,0.048429751775130286,0.04772195001643146,0.6505766884608215,0.8588828051240787,0.7963909701251014
p10_uppercut_right_pre_009,0.3344608025928962,0.4272232426161441,0.29737685193945446,0.2860005899670647,0.2811062159602738,0.31440121510669855,0.05405245756023458,0.04965608436586676,0.04787562798257535,0.6548505648523231,0.843053744815475,0.7865927908265293
p10_uppercut_right_pre_010,0.31497511191001804,0.4482328531877001,0.2875365831808453,0.28285774717803813,0.30402501161316003,0.3193973424873892,0.06782753195391274,0.05350307571633425,0.047653582168540286,0.6397925817534948,0.8531761264772687,0.7891610630601364
AVG,0.33722066822481445,0.44835408751544953,0.28338113752445687,0.31066103670110534,0.2583938771864433,0.28962931610704723,0.0618130672529887,0.05119587177452593,0.04788317999609872,0.6182617771257904,0.8424273615905963,0.7751776862511545
