hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p12_hook_right_main_001,0.3512784601736368,0.4584232733282775,0.3234038046560322,0.31992951238971057,0.3535602423170155,0.3289363071292959,0.051704424946313235,0.051168344862001135,0.050013381565395205,0.755574578151452,0.9078915740376023,0.8621964752717571
p12_hook_right_main_002,0.32668355279880135,0.4406893229319332,0.2617060249649432,0.2802863561840822,0.2803616939082346,0.2618908220092693,0.05154619021863372,0.049591077154041804,0.047695195481675515,0.6757926133798385,0.7344683579612427,0.7168656345868214
p12_hook_right_main_003,0.29028965750411034,0.4093039295221983,0.27052696979361607,0.27596613955210036,0.2617582172117549,0.2591458112328028,0.050881986234885934,0.04891324346311491,0.047624912295776776,0.7032737095177309,0.6564473847858906,0.6704952822054426
p12_hook_right_main_004,0.3169022978497241,0.3906978304097065,0.26684921983590515,0.2934504597259221,0.19291671403749344,0.24672407969586443,0.0516507015701583,0.05060762647841812,0.047629317139295614,0.6025837857939986,0.6931834497996678,0.6660035505979671
p12_hook_right_main_005,0.30332963874548435,0.40427856987998956,0.29884110897291505,0.3058591004255501,0.3105542711445504,0.3094457426548051,0.0514444680284994,0.050040051897190324,0.047892941881454654,0.6661179077310371,0.8525204533709958,0.7965996896790082
p12_hook_right_main_006,0.35267807156617775,0.47450374346952395,0.266714419471132,0.27157183067902785,0.3307147447186706,0.2898751148209079,0.05024832528831225,0.04957280102442403,0.04884438315992311,0.6805404692991812,0.8336401231575129,0.7877102270000134
p12_hook_right_main_007,0.2863896984567738,0.38887732720995527,0.31831609247828074,0.3234679917325349,0.22217879281799374,0.2671601723424426,0.05179622949981918,0.052898604553709344,0.048280027746995594,0.6110958534711868,0.7821780632862468,0.7308534003417287
p12_hook_right_main_008,0.3306173031088452,0.4492648639216947,0.27855056603630085,0.30763928590636996,0.21251800871090065,0.26832482878139813,0.05150104537230044,0.04828231940108544,0.04767155915403925,0.6221300680983134,0.7778409966784766,0.7311277181044276
p12_hook_right_main_009,0.3473891963849419,0.47783616084674235,0.2786551792042598,0.28340647945072,0.3457662627993275,0.30438819629307456,0.05027011444207817,0.050005612115831294,0.05006893352907388,0.6995829275115604,0.8638627838937858,0.8145788269791181
p12_hook_right_main_010,0.36558226042674025,0.47356088917819655,0.2762969606280608,0.29168876184340464,0.316878053035753,0.2858984243570243,0.051043403730302334,0.05012943435423414,0.048502811775009716,0.7116419461204355,0.8189154158009471,0.7867333748967936
p12_hook_right_main_011,0.33457213552142806,0.48054325735212694,0.30699840311929294,0.313104282695636,0.319544615915353,0.3242874095434051,0.051686425051928664,0.05287847092201402,0.04835929015402526,0.7239846797046737,0.8838756379750714,0.8359083504939521
p12_hook_right_main_012,0.3678174662866306,0.48226024782999694,0.2628977541970719,0.2843537289387763,0.33185709513024547,0.29673329715740476,0.05058920998491856,0.049743424629944494,0.04871945018822605,0.7127497686823588,0.8301790429479661,0.7949502606682839
p12_hook_right_main_013,0.3547665358173953,0.4599043638484234,0.2687852410370283,0.2919927519227822,0.32743635652750985,0.2950259079300258,0.05082758116844656,0.04914398405046309,0.04814100093124713,0.7162898229557687,0.8165312869431902,0.7864588477469637
p12_hook_right_main_014,0.3214424154898534,0.4819180337012948,0.3186786106461549,0.3346647340418635,0.3467702024442624,0.33899400773103827,0.05391694392862613,0.05939471275374595,0.04816848699211408,0.7443602843762387,0.9218936442878126,0.8686336363143404
p12_hook_right_main_015,0.27676386718489904,0.42023750921488523,0.30233728023059936,0.30031366913973095,0.18871056648824686,0.2671910800504412,0.051326065372294415,0.05030480972949241,0.048545880025054944,0.5203684371014845,0.8349066990673166,0.740545220477567
p12_hook_right_main_016,0.3210774277818043,0.42105678842270444,0.32413123237895464,0.32389504573440997,0.32424354413870765,0.3061330889012601,0.05114624550785037,0.05298126055039726,0.04893141413476654,0.6785952653532268,0.9053424014555596,0.8373182606248597
p12_hook_right_main_017,0.3517791838162096,0.48657836450736786,0.2757443565835456,0.27657698448716717,0.3336879596063585,0.29598598271553805,0.05072713464878483,0.05048685581233351,0.04920774705140479,0.7006558035175543,0.840484297708817,0.7985357494514382
p12_hook_right_main_018,0.36465219081096045,0.48150194881904085,0.2722111456565969,0.2706596741557221,0.3469494331086766,0.3031909556779029,0.050192736179920955,0.050908487718720453,0.04878304229102063,0.7022828035180961,0.8548047070643059,0.8090481360004429
p12_hook_right_main_019,0.3375777988753668,0.4943600541930923,0.314206323195022,0.3147541999183696,0.3412683892386827,0.34211403181860167,0.051230335545158316,0.055265475627808716,0.050650311719356106,0.7329330499483654,0.9250509415217965,0.8674155740497671
p12_hook_right_main_020,0.3692984991761127,0.4914844598188606,0.28172245304721083,0.2766798415804363,0.3482934930051644,0.3049956355508878,0.05073638915710325,0.05068234162610839,0.04935484044217797,0.7117663252078624,0.8693902224324495,0.8221030532650733
p12_hook_right_main_021,0.3162386355403313,0.48120254048789757,0.3073981689651896,0.3031258968368217,0.3350547769881059,0.31841767418525607,0.05120343006005277,0.05233038350914188,0.050433832417241295,0.7160827505483025,0.878763013967829,0.829958934941971
p12_hook_right_main_022,0.367895609562311,0.5038731309864471,0.28860177608346893,0.2711280097779271,0.3662511256298762,0.3294441467445843,0.05027041594955581,0.05138136446139462,0.0536550312696988,0.7016352082428741,0.9210023151569173,0.8551921830827043
p12_hook_right_main_023,0.31744519714168123,0.46804566143048687,0.2795087650224189,0.3031242878019932,0.2718608987545639,0.31722285413162243,0.05096817142814828,0.048715955971046575,0.0480857343448403,0.6400482941974169,0.8649015241576462,0.7974455551695774
p12_hook_right_main_024,0.3437917062948269,0.5047792056330679,0.3163908420165041,0.32246057398112715,0.33310298256350046,0.3415260704895554,0.051383093065313246,0.05527774569291074,0.04873867380650757,0.7497835006696815,0.9212092532208913,0.8697815274555283
p12_hook_right_main_025,0.38174747356653366,0.496851597250362,0.2823230308054658,0.28490298263119246,0.3510139041125403,0.3023725124750559,0.05088341306496301,0.052085023387897535,0.050627310689853364,0.7204138582292443,0.8757952554187676,0.8291808362619106
p12_hook_right_main_026,0.3252306935274428,0.49098122705296754,0.3039545804356738,0.33353903369480964,0.22346801098512326,0.2856071227061106,0.05170456330416429,0.05366642748867683,0.04768714652015622,0.673703157410437,0.8259662660485894,0.7802873334571435
p12_hook_right_main_027,0.27035549549952237,0.43180077191415245,0.3074722518264557,0.3103847433897757,0.21258615261927308,0.2859069863481133,0.051427890947709734,0.0494991868151932,0.04806439060749676,0.5905345446420325,0.8090375575099021,0.7434866536495413
p12_hook_right_main_028,0.3645628594790904,0.5020319170260749,0.2676011647373617,0.26569348106068924,0.375804148590596,0.3354848704198147,0.052540134430774356,0.06218724809265147,0.05519355938931251,0.6509343688845265,0.9426687224459204,0.8551484163775023
p12_hook_right_main_029,0.3095822605436107,0.45696591004337106,0.31779072333011926,0.3072972748903116,0.1837348928484726,0.26050063937891155,0.05183381127642829,0.05421701276663299,0.04793094575157823,0.5886980929756997,0.7947669781783578,0.7329463126175604
p12_hook_right_main_030,0.37542417165978936,0.48849293349084844,0.2871779203830982,0.26807604857122147,0.3602043821713719,0.32095749363162696,0.05068321408478206,0.05307799343155019,0.05263282243646945,0.6961908199001772,0.904268812736384,0.841845414885522
p12_hook_right_post_001,0.3745270712079616,0.4757955236494135,0.2614312832115123,0.2581117507783448,0.34779404892301685,0.3325120922306512,0.05072693408619747,0.051468466095336965,0.05325673271805644,0.6745987545305938,0.8835256490425897,0.8208475806889909
p12_hook_right_post_002,0.3714067394199649,0.4818250836099457,0.27578128643020544,0.28663081207290364,0.3427998732986828,0.32873574250144655,0.05015128893457372,0.05141614027801911,0.05242537481361421,0.7098260254774021,0.8847991150085,0.8323071881491706
p12_hook_right_post_003,0.3000057815216267,0.4034138774006676,0.3167106271228386,0.30938103551690327,0.16369954414281962,0.2602975762001356,0.051926533973831554,0.0518637326294422,0.047703394275144965,0.5653338171071993,0.7731662108501629,0.7108164927272738
