uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p02_uppercut_right_main_001,0.1221449945477373,0.3221783438778978,0.18676738542605684,0.24170717135565978,0.17668044844993142,0.11143945295355999,0.050280889906624014,0.047875106199711345,0.047628952058011015,0.5916769920939418,0.28511017206534817,0.3770802180739262
p02_uppercut_right_main_002,0.14509896458761878,0.35664929450780686,0.17104949292154287,0.2586793135361257,0.2104742097980115,0.1289469012743883,0.04997591928322701,0.04808697733119415,0.04766217581825023,0.5559886999846426,0.4035826863675102,0.44930449045264986
p02_uppercut_right_main_003,0.12892068114315222,0.3654145490324736,0.18115532128392592,0.24982623362659334,0.18666698690993339,0.10816373866788273,0.05022485531787561,0.04795106212688068,0.04765967293619749,0.534495642416933,0.3772260091037779,0.4244068990977244
p02_uppercut_right_main_004,0.11616403410462536,0.35219990088407,0.18454056249101797,0.23836422184149586,0.1905537626624371,0.09842156402044448,0.04992348952876847,0.047992218130505915,0.047654256697645725,0.5301165984929531,0.35324065234986934,0.4063034361927944
p02_uppercut_right_main_005,0.14312361536820423,0.37363542892056084,0.19106878297574395,0.27022268798138144,0.21708285930545773,0.110348643591814,0.049506764643706166,0.04800253858657905,0.047638662415132045,0.5531520972989071,0.4342943504942733,0.46995167453566344
p02_uppercut_right_main_006,0.1765229194932752,0.38586696717456526,0.23909945711134437,0.28720143171786106,0.24105181531772207,0.15179711420911143,0.05005615442221707,0.04840442166887543,0.047649409988531344,0.6051629054961908,0.5345453700851659,0.5557306307084733
p02_uppercut_right_main_007,0.16942695894932092,0.38689223983247584,0.22268150137211756,0.2835534764572093,0.24414578535565856,0.1384459792634707,0.04975473063563462,0.048155670427567375,0.047650954828083764,0.5732870686707207,0.5344495397194869,0.546100798404857
p02_uppercut_right_main_008,0.1383884407490994,0.3781390566973829,0.20209458846079267,0.25674293908456025,0.21578481747831102,0.10896936193827131,0.05041883302904481,0.04804335930221644,0.04764400998902223,0.5897998894080034,0.3911356401328743,0.45073491491541295
p02_uppercut_right_main_009,0.135294197030969,0.35733204966287696,0.19197201922820228,0.25743693566932263,0.2167830798000836,0.11604102443439154,0.0498218686811512,0.04813135521124957,0.04765029755066707,0.581275465542707,0.3872606388406954,0.4454650868512988
p02_uppercut_right_main_010,0.1393415817338115,0.34222120208712914,0.17253188860088287,0.2497813241940082,0.20678955163333726,0.1097606367468816,0.05023892471416654,0.04790778103893255,0.0476289340132717,0.5521598605757229,0.3672288036551261,0.42270812073130515
p02_uppercut_right_main_011,0.20479806461392966,0.4193720728952616,0.2714349599054143,0.32934849564081004,0.2620330095992794,0.16921377148215572,0.05100471623752879,0.0493303354230135,0.047754095967774655,0.5927539099516067,0.689860602797757,0.6607285949439119
p02_uppercut_right_main_012,0.21555428082103772,0.4102926372358576,0.23610350507632996,0.3196971852061825,0.25264855351626664,0.18433981185895426,0.05168341359104945,0.048690822067171624,0.04769643371867068,0.5297521348212683,0.7149009846778426,0.6593563297208702
p02_uppercut_right_main_013,0.17099126997625919,0.38061729309690145,0.21811736188747294,0.2877061432501136,0.20349984839760338,0.13703477971478578,0.05028543685551224,0.04828094669657592,0.04763066297222334,0.5465956553795414,0.515606934303975,0.5249035506266448
p02_uppercut_right_main_014,0.17085542658656114,0.3928836409670658,0.27145044824835274,0.2933662706254858,0.2256323581421821,0.13909414112867732,0.04963638900934251,0.04817673167517441,0.047634179210814344,0.6125053397362497,0.5399658697118449,0.5617277107191663
p02_uppercut_right_main_015,0.08557759881626645,0.285275922521388,0.18986234920848477,0.19801004121669638,0.1624004708250349,0.08745194275083755,0.04975754296904104,0.04774799277401793,0.047621317677074455,0.607852628429663,0.15334375275194131,0.2896964154552578
p02_uppercut_right_main_016,0.12546018877428408,0.3317799957554436,0.20393588841839225,0.2437706009803497,0.19674253680362735,0.10911196491503372,0.049964851201897476,0.04780897397522815,0.04762279862716368,0.6022442490086874,0.31976056993434376,0.4045056736566468
p02_uppercut_right_main_017,0.11049018306264546,0.3146582030955692,0.17257240788227593,0.22637197392105635,0.17662403228360096,0.09024192800697069,0.049459381391464434,0.047733018062561215,0.04762146453036855,0.574378734908888,0.24332719316411236,0.34264265568754504
p02_uppercut_right_main_018,0.12345752080656813,0.2739978659924863,0.16544717960271818,0.23211774858550668,0.16944916452480693,0.11516156420536858,0.05019312564000811,0.04773420222520552,0.04762187115162632,0.5616245661086492,0.26058309370431604,0.35089553542561597
p02_uppercut_right_main_019,0.10941455594465413,0.31372114287052844,0.1884072163339424,0.23133499560073417,0.17975795014776522,0.10497187179288474,0.049525456196804166,0.047830663941213304,0.04762364084255311,0.6130453764128311,0.2438221242152112,0.35458909987449716
p02_uppercut_right_main_020,0.0987221526715105,0.30262048508404094,0.1664562632974551,0.22375302173675013,0.171616094513289,0.09179953360560959,0.04953785017057606,0.04776360270405549,0.047620609035203196,0.5787766851204769,0.21471935959867697,0.3239365572552169
p02_uppercut_right_main_021,0.10990488252063131,0.2842854186458934,0.16901424925269276,0.21476540445390008,0.16495837145365938,0.09855510054936142,0.05219455009624526,0.047930745030598076,0.047621130935739095,0.5828749005592715,0.19971715474429944,0.31466447848879103
p02_uppercut_right_main_022,0.08603795336783922,0.2814276554299629,0.1397092634505048,0.20413736870175092,0.14574171304632563,0.08397593394708543,0.0498796637608225,0.047782869282564165,0.04762082444562776,0.5585673103484898,0.13730009935572685,0.2636802626535557
p02_uppercut_right_main_023,0.061440643897364346,0.27500448448218967,0.12599618086799186,0.16927674773905008,0.11284814938427581,0.0654075054502038,0.05051513454564859,0.0478082233998013,0.04762000300186323,0.5487233356081264,0.03063812532335415,0.1860636884087858
p02_uppercut_right_main_024,0.05215855431558001,0.22222563985325147,0.11478026131876058,0.1563786507752482,0.08871576770872688,0.09070389916647528,0.05136639227153825,0.047849979861932734,0.047619782233801936,0.49277709848039175,0.0312294764271632,0.16969376304313175
p02_uppercut_right_main_025,0.05498637288525856,0.19905162010887373,0.0964479668762414,0.17389087640586273,0.0899352770079572,0.06977509329785707,0.050002710304400934,0.04778712931377551,0.04761949777269064,0.4540792226390641,0.040422646939987615,0.16451961964971054
p02_uppercut_right_main_026,0.057502521335612365,0.21131268258010452,0.09779847603808149,0.1709302398881214,0.08597788704634178,0.07353099991801922,0.05090373210795656,0.04785943553102671,0.047619815349503464,0.45826266066760546,0.04099302155764163,0.16617391329063078
p02_uppercut_right_main_027,0.04153129541802977,0.21701753676252716,0.10682568755098724,0.14286894946495396,0.08050795410330003,0.0564020273420273,0.05011398693605871,0.04786781033868991,0.047619316486808595,0.42807182582463754,0.025326571020699615,0.14615014746188099
p02_uppercut_right_main_028,0.045861427299812726,0.22101767037492293,0.11391201747949897,0.13907080895206086,0.07470630566321437,0.05763276542403545,0.05077803270346599,0.047779767289085576,0.0476193484880861,0.42790951799462756,0.027617312163431922,0.1477049739127906
p02_uppercut_right_main_029,0.04475416663556497,0.23940429284092746,0.10845504385429501,0.1448476183393071,0.0835002540001861,0.07050375863068299,0.05280587380585689,0.047902761023484466,0.047619158303008294,0.4631284964754637,0.021497160048592166,0.1539865609766536
p02_uppercut_right_main_030,0.16700843561076825,0.38160577516717914,0.22941241630201797,0.2987030735176364,0.19146599690984828,0.13171835518589997,0.05097517423370922,0.04818904362058038,0.047627401743926136,0.5462698113365031,0.5196716389766616,0.527651090684614
p02_uppercut_right_post_001,0.14462494055094882,0.3584875413961715,0.19830502120171362,0.28198542647705316,0.16721180943013642,0.12067335976749347,0.04997924962826048,0.04814524323326749,0.04762408685023375,0.5536988972396685,0.40662145913243125,0.4507446905646024
p02_uppercut_right_post_002,0.06870029224824492,0.3071096116136626,0.1922167791711587,0.20482836442854008,0.11761246708637225,0.07415304763779966,0.050444796662667865,0.04824182070074444,0.0476204339612548,0.5775267645225541,0.13479760643482316,0.26761635386114246
p02_uppercut_right_post_003,0.04364455165741407,0.2895351548796916,0.1493078911634845,0.14904310060110143,0.09085403685481289,0.06643322043567486,0.05482367277064171,0.04836593851287289,0.047619667385146794,0.5326566300241389,0.02193423040594374,0.17515095029140226
