uppercut_left|p18_Global|uppercut_left_003,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p18_uppercut_left_main_001,0.1353902138335083,0.004021582404869672,0.03202352896570508,0.006663695155169781,0.16541689752012498,0.003720897269096727,0.1333663332016656,0.003737872060617884,0.0016614702813375082,0.15658563733192915,0.10900740668368805,0.0007514231304584322,0.0009314865142903037,0.10655229585907164,0.1576410945780534,0.00022073669186585364,0.7302938841929597,0.133887504988739,0.13445402974855297,0.18097329710652404,0.17778141716334808,0.048059600097519584,0.04767751448961482,0.047619047976217535,0.6350213324881268,0.017299521458172522,0.03245928471719503
p18_uppercut_left_main_002,0.29915052467927167,0.12012685949181703,0.16384777035460876,0.08961888480833628,0.3132052114963141,0.1507558801308782,0.2910471247785108,0.1218274139500342,0.18736169838323216,0.2648859382545432,0.24289096297065202,0.16032170917052171,0.19338466422997275,0.27816850760782963,0.31630195537469785,0.19594866821821416,0.9313986015240753,0.3285489276159022,0.3208525401373878,0.33782293888954174,0.3401069929341053,0.04793126957306121,0.047663940597439884,0.04762167200699562,0.576503212948185,0.820876913874599,0.43424929294079734
p18_uppercut_left_main_003,0.28745346974484587,0.001987815234388296,0.10994481222325647,0.053911443147587876,0.29647390485913017,0.11869402069056509,0.22573847978606496,0.06985713768432009,0.1850738147545156,0.3288351998163322,0.289768868587733,0.17087493269929532,0.18953760003685918,0.2973967687032932,0.33981916120161626,0.18301600659680375,0.9288091309342112,0.3248761978436477,0.318524222077977,0.35761273366721147,0.3489160554071359,0.047955643404867854,0.047664020437917634,0.047622052767110755,0.6782712121746711,0.7136141651590848,0.3806181089630978
p18_uppercut_left_main_004,0.2978781660219546,0.002836769325633366,0.09132452653642949,0.037332617549043184,0.3187434819867893,0.11842891889872682,0.16190918374780494,0.025122766558598138,0.1794482393527404,0.29630725602350355,0.2742719314582038,0.1662742373066605,0.18180247027034105,0.2638550695479107,0.30187738133276143,0.16691457259668824,0.8833418394418093,0.28262837136367935,0.27535108506145045,0.3293529871591225,0.3267797097153452,0.04854167573720206,0.0477012194636773,0.04762163069827875,0.6090026455102776,0.663683814524974,0.3556527226116264
p18_uppercut_left_main_005,0.2646085437474529,0.0032866827369377833,0.08073486052860346,0.12528619505056882,0.31861531150532096,0.14514358545299821,0.2524272045357176,0.10581348803524378,0.18095627672229744,0.272500023916692,0.23897239209574744,0.15400716257875702,0.18551240947672082,0.2672020698960961,0.3014706377557804,0.17446659668125386,0.9143058222773153,0.30960867332038167,0.3034295218546139,0.34187344597953456,0.34393610348882475,0.04833974058075509,0.047702027997092736,0.047622018037048006,0.5664760036044243,0.73739032086656,0.392506169451804
p18_uppercut_left_main_006,0.2812392349069873,0.1063084940669817,0.0902556661582071,0.037088401987802694,0.29938094406930454,0.13424477329173085,0.21194048964461282,0.03950611463038369,0.1838463460589041,0.22488600928062744,0.25543799551037666,0.17010247795620348,0.1842528457815343,0.2631885544862743,0.28060283094545485,0.16666074227236624,0.8905888395877408,0.2902908337233306,0.28417836749924846,0.35640441237812304,0.35036631619971137,0.0479270531478051,0.04769320891558175,0.0476229515621344,0.5353967574156473,0.7237553880196574,0.3856891697908959
p18_uppercut_left_main_007,0.13537426864348306,0.0018329313757826742,0.09427567569628534,0.008229790794630026,0.16833889260296975,0.002148608237303353,0.14030473084306422,0.0027446936871437255,0.0009621061730685412,0.17399965427242128,0.09234103337706041,0.0025113792913570984,0.0005403426545533003,0.16317590262919907,0.17459734679810196,0.00016405626485223326,0.7127655988634529,0.11673877221175974,0.11524577578236203,0.17701568762956188,0.17522822578784228,0.04907015095506137,0.0477002721682657,0.04761904999731598,0.7030967364231834,0.011730067002599154,0.02967455849995757
p18_uppercut_left_main_008,0.2673636617400292,0.10894034551562629,0.10918271725446912,0.10510412854014309,0.32186004276793856,0.13571865870609928,0.21492129432401855,0.07471475743007577,0.17895606122971472,0.3065301269326766,0.23564701249189784,0.14664518243414498,0.1836400821812076,0.31217223647196674,0.3331415088995909,0.17205607272971238,0.9112072258507748,0.30578759774420056,0.29906579114090776,0.32812814653864597,0.330434514404756,0.048084092264043046,0.04768245879931961,0.04762193157299004,0.6309072884685627,0.7347211696692663,0.39117155062112813
p18_uppercut_left_main_009,0.2850296348253371,0.09991922945418817,0.12239586773266384,0.09294947808518586,0.30880955903078383,0.14828868858007824,0.2532973475228536,0.10032243185923065,0.18096016187361935,0.25218998744140925,0.21984651215911039,0.13845922158604626,0.18196227912376484,0.2981989181977105,0.30265922379122684,0.16538628677065623,0.8992488843780988,0.2982973256317034,0.29351738133506833,0.34721530345854895,0.3446378918952527,0.04803921549451961,0.047671060671001415,0.04762096814494885,0.5795220281427025,0.7520585898505877,0.3998397789977683
p18_uppercut_left_main_010,0.286212334062916,0.12397950375240456,0.1525913139701408,0.12274182822944668,0.3304418680558959,0.15348979332193985,0.26370475445466857,0.09692933888823445,0.18218046889415218,0.3233298017554882,0.28025106668504296,0.162819282073461,0.1893339490905503,0.29818503944460983,0.35515478503006825,0.19028562741676164,0.9305639971955957,0.3254790828568598,0.3180349433522681,0.3386679777514642,0.3426017371220003,0.0493404505548254,0.04772608881802396,0.04762212422152453,0.6568812865716096,0.8048410057283054,0.426231564974915
p18_uppercut_left_main_011,0.2997202882423989,0.10609505279938762,0.06702195996506784,0.026789593983287403,0.311578960186145,0.002037458365745819,0.0361754407352497,0.06991086565801954,0.18466659763706225,0.26178803921915283,0.269055657276068,0.1624320511883452,0.18711275163397773,0.25852908760399373,0.2991862797639465,0.17808725252559868,0.9088761252241214,0.30804322579174725,0.30076894495767775,0.33261147634320276,0.32929960881268727,0.06765375840440398,0.04807405539598032,0.047620036118354095,0.4950331176347307,0.6711859204709828,0.35940297829466844
p18_uppercut_left_main_012,0.1397403696293109,0.0043836864510795595,0.04824547989632923,0.002032810072943263,0.1490329459810189,0.0039824502846688686,0.12851069244153474,0.0028695397367235758,0.0015458816467534724,0.1344859368467873,0.10855582880810281,0.0010621534049175035,0.0008912744955681503,0.09885119149907773,0.14562693798294474,0.00018179857450929785,0.7395666005483178,0.1440065976061483,0.14323010074973228,0.17212926575956103,0.1693881356714236,0.04877554073250632,0.0476625970481663,0.04761904837600857,0.6157071623441184,0.014214187771300835,0.0309166180736547
p18_uppercut_left_main_013,0.2578661773649102,0.11479606964972752,0.057088051123332664,0.039815637744529356,0.29649136439673035,0.11660207210060367,0.18926771864654154,0.03758604514637312,0.15679082861721433,0.3161510664074384,0.17099325475012406,0.07839182403142927,0.15608244565206547,0.23024096669968447,0.2805476752561643,0.122218034230304,0.8990867713774591,0.29563274000448037,0.2820894518394554,0.3253126003971231,0.3190352399053628,0.04828916294307915,0.04767016765636021,0.047619860506954596,0.6397774061840975,0.5732100749686971,0.31041496773782584
p18_uppercut_left_main_014,0.2059660753062687,0.06785678306537943,0.03317757435679175,0.007044725615708296,0.2545267347001096,0.0787595562576068,0.14494805717562761,0.011644628823119589,0.05130039630444346,0.17642042754535459,0.11348150695706138,0.008383165577097536,0.041351771698556875,0.09361442977790516,0.14698190526918609,0.018815035607381604,0.7832296709798371,0.208193371744346,0.19581727102458218,0.23730933981688335,0.21556247785691335,0.04801960802115935,0.04766258166530522,0.04761924775461345,0.5768729993880382,0.22636295643529675,0.1369911020949551
p18_uppercut_left_main_015,0.2765930002223892,0.1147161797321756,0.09091058406724434,0.08408807171663417,0.3493791332567621,0.15122399138285594,0.21670444553739515,0.07048224061080054,0.18359952838133214,0.2995747443581446,0.2547996389502636,0.15922313761150036,0.1893310680454841,0.2846540835915202,0.3396120422741771,0.18727328321146502,0.9247299037485399,0.31759284220493134,0.3129872236318175,0.34772831032289603,0.35277799332207893,0.04805962359714703,0.04772273437115776,0.04762685187289141,0.6175136235548606,0.7649236448628025,0.40627524836784695
