jap|p21_Global|jap_005,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p21_jap_main_001,0.3395956188811864,0.0783910534718629,0.12705382489274558,0.04471521020395326,0.3754902647253199,0.14096157039550178,0.1872842472592487,0.19026952492046664,0.189016261524192,0.2550705428450524,0.3353137694194716,0.18569825162073433,0.18767582140768682,0.23963585930358938,0.37745184352740146,0.18882824607270493,0.9668084278881912,0.3639733190066834,0.36796977641820544,0.356262546253974,0.3530733054804777,0.047664966291267576,0.0494223871181758,0.047620897501859376,0.5698591539380543,0.8584357148658583,0.45302830618385886
p21_jap_main_002,0.34957405077407505,0.071427676377097,0.08353193795865849,0.023982352027329668,0.3652193486979183,0.14648461330393586,0.18457591792377043,0.19015977523052774,0.1835134870608319,0.23033827103029658,0.2810507559693177,0.18148937700892823,0.18608471334194612,0.22661118597920157,0.3568473778639423,0.18626551135031627,0.9426004902300662,0.34115584183544356,0.344863196036279,0.3619975383142953,0.36011652682216344,0.047663153702413044,0.048106227082318105,0.04761919628319089,0.512925763494174,0.8354741136522951,0.441546654967743
p21_jap_main_003,0.3441227061528892,0.05151070491036669,0.06775672843425032,0.010431922386646319,0.3654996830605536,0.1436088614138641,0.17309902032208374,0.18646585383864897,0.16069562548461244,0.19494931660312692,0.2907401863971885,0.16319356750634342,0.16604100623555085,0.20719577447060716,0.317427479661068,0.1607485400613162,0.9420022555007111,0.3467978252465439,0.3520922397868767,0.3549974151314878,0.3522083255449274,0.04765533177231595,0.048013018356595605,0.047619057401103046,0.531024782796628,0.7586713366328072,0.4031451970169551
p21_jap_main_004,0.3655053185707857,0.08730731033691183,0.10158700602812705,0.01641280109216237,0.3771303830127017,0.13507083012135473,0.18177569981573394,0.19431121546810676,0.1897732388540756,0.21824728739937532,0.2829622265837633,0.18319102961385517,0.19222735799423343,0.22546062683076165,0.3536020283130109,0.193527065842777,0.9710906180454206,0.3666657162159049,0.3718074111320811,0.35379524461966405,0.351062120118636,0.04763488081942995,0.04811554577946357,0.047619417278037916,0.5210240622073474,0.8488369146345361,0.448228165956287
p21_jap_main_005,0.32456462968569555,0.044581760365097055,0.051179497308625456,0.005860870037921814,0.368643889053227,0.14577395977906601,0.17477562819099549,0.19177563745227894,0.1629650137472108,0.18216118438282228,0.28622386687378787,0.14958217297941584,0.16880104185709766,0.21092352936763992,0.3266398521023042,0.16273695282098385,0.9424005385589496,0.3481100368812827,0.3530824835678369,0.3759283109281249,0.3731283032300051,0.047639866408553985,0.04788628966983163,0.04761905092050127,0.531204820828402,0.7560674026359733,0.40184322677823725
p21_jap_main_006,0.32552100943678913,0.08302482761810791,0.13148492809453055,0.044650872417905725,0.3619404527008395,0.1494454019247645,0.2054167865854537,0.19013297806152124,0.17102040424729895,0.23000374644828542,0.2919641051856562,0.16929907450540954,0.1802540625169425,0.2422586494492859,0.3708554355234245,0.18032063024438494,0.9495603383950442,0.3508988776049856,0.3564766164732693,0.3748943225745497,0.3682276195869176,0.04786973482531151,0.04919158685185257,0.04762404521255242,0.575113214685589,0.821193061038736,0.4344085531256442
p21_jap_main_007,0.34420046575840935,0.04988204841078866,0.06723587549174956,0.010279406373187909,0.37386398818410493,0.14752989389482613,0.18005616095204624,0.19227259885835393,0.16654457233772849,0.1980151474678195,0.259450246227394,0.1610630367726576,0.17250024939448397,0.21887737589350578,0.3591397728269303,0.17006130889678106,0.9497423516200193,0.3536395156286288,0.3580800362508312,0.34031353167541134,0.33574315563844026,0.04768838359497891,0.04879882091054072,0.047619093533464045,0.5264072643755509,0.7767476832956555,0.41218338841455976
p21_jap_main_008,0.3373663689304188,0.06720255847872739,0.08812839564854867,0.016869353056698032,0.3807610130848019,0.14129213378303518,0.19041797655576054,0.19037989734740032,0.18114249143864194,0.22781911598255067,0.2936895569467002,0.1764763556713782,0.1859640813264523,0.23399605783122968,0.3697382234777782,0.1866277212824884,0.9712260300104477,0.36983601113524406,0.37328697338883277,0.3632042116927845,0.36293773129832096,0.047690102088969344,0.04868376904106252,0.04761937287097597,0.5495045862491061,0.8303785619381814,0.43899896740457867
p21_jap_main_009,0.35688540246161155,0.07223612768291024,0.11822158275715275,0.050971830514585724,0.3664208784624362,0.13698412230791926,0.17992795503538006,0.18945589543193217,0.17261137905271554,0.20628332550761455,0.2805778431909551,0.16485393650405097,0.17986378177232823,0.22377946807819477,0.3545824586303241,0.1737959616386009,0.9611327630735664,0.36185198302349175,0.36512660449537554,0.383818091487803,0.38012064837998916,0.04765769063426951,0.04805614714636444,0.04761913867292742,0.5576770380238042,0.8160454711769939,0.43183230492496066
p21_jap_main_010,0.3419413864828128,0.06229320168229069,0.09731498018479638,0.030401313849148886,0.36210749101229284,0.14274764191354278,0.1829813765646283,0.18975522781227822,0.16066550673633442,0.19444272358348494,0.2847921401250209,0.15713007006131002,0.17201611146885662,0.21773855083813362,0.33609740057908977,0.16145890627545473,0.9491620664420705,0.35339023070331377,0.3575803934872959,0.3708760414903768,0.36664242292083776,0.047673078173517756,0.04802597695270161,0.04761923462156762,0.5579518733790009,0.7725380757335687,0.41007865517756814
