straight|p21_Global|straight_004,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p21_straight_main_001,0.35067338899213735,0.16303001149523783,0.2935342347596678,0.15144395183581788,0.3817783768373726,0.18813408157621833,0.3461787218607145,0.17332220997396772,0.19997162764218487,0.26089857988500187,0.28306533295066133,0.19693193640110185,0.19509602826745223,0.222180231798855,0.3359132696699344,0.19134560926777563,0.9368275304582958,0.3322790369912097,0.33799223908033443,0.3074128294558702,0.30454810513126257,0.04819301892594931,0.04841056251682888,0.050048608545202135,0.5973636037230896,0.93933503704581,0.49469182279550605
p21_straight_main_002,0.33007215061709905,0.16084720350112938,0.3241159823581203,0.15092021101755482,0.3824531880152344,0.2017829824693263,0.3786850985669776,0.1783679936957441,0.2018179309417643,0.26542294817210726,0.2793058931637573,0.19755860307485026,0.19222306900079736,0.2136809569411867,0.31333143149350634,0.1762524484491915,0.9698176003368347,0.36673064358174506,0.3706534571370014,0.30236196025652384,0.29808710788405623,0.04830336418717691,0.055110805262838666,0.052317350437831714,0.615993723426281,0.9313244674177925,0.4918209089278121
p21_straight_main_003,0.1815548694756828,0.004451997164823087,0.17137625033212317,0.008084382982439724,0.19529785574229502,0.01926046233991282,0.21758330628547212,0.026744832177539885,0.013809122793137795,0.05393128736251544,0.1579762540588814,0.020926622364372642,0.014986703675420316,0.043380903649522386,0.16831628145448443,0.01569438180869461,0.797937314211154,0.19725344850635648,0.19818094493667135,0.11446429554654518,0.1139498392637878,0.048444961731451096,0.04835574119082944,0.04761905389358391,0.6531950324463895,0.08617145897845735,0.06689525643602062
p21_straight_main_004,0.3502566029831981,0.17729541465134072,0.35904972835200477,0.1594559217842793,0.3841497329943839,0.19895987947468113,0.34087969175841476,0.16003313365856403,0.19463825779100113,0.2704269067891825,0.289365126850219,0.1815409100869571,0.1929990856698722,0.19712450447352176,0.2438467005528925,0.13477334930212603,0.9655768680170478,0.3621609577692736,0.3679957695941004,0.2629681037018595,0.2592676191900925,0.04888290778831221,0.05449434471204063,0.04911458456408054,0.6138166407019432,0.8975166969466271,0.4733156407553538
p21_straight_main_005,0.3476729517639595,0.18321533495179465,0.3473077875844134,0.16803490141960736,0.3799101838253929,0.18905560891167142,0.30463837358108375,0.14934590838263734,0.18494511727766372,0.25067625476193023,0.27411843792451185,0.16816632275276655,0.18996684582759932,0.19607404237600962,0.25664767012479733,0.13025228795289548,0.9606822529919639,0.35891339556225416,0.3628613058709892,0.2678571223824975,0.263921317116741,0.04847364737038722,0.05312785751058101,0.04832301141047785,0.6062055839547058,0.8737957027383826,0.46105935707443024
p21_straight_main_006,0.37656243700682684,0.18926133388943603,0.35077214601944295,0.18187846661820056,0.3791031226332436,0.20287444437580504,0.3549888886598344,0.1542208637420805,0.19073862849912676,0.24359835726534929,0.32417880415691275,0.18251226119281458,0.19567849230026202,0.18917153988021926,0.31609694849580017,0.1653888428252893,0.9841212707963983,0.37957666712472593,0.3846597892395476,0.2828148266961379,0.27646576515319554,0.04942007581508825,0.05522435233320474,0.04951780976371819,0.666671975875214,0.918417453085147,0.4839676314244326
p21_straight_main_007,0.347164715474962,0.18039521320331003,0.3332490609610687,0.15083583651515525,0.37981008004457084,0.20316375669069497,0.3677555156212252,0.17390441531259257,0.19438410183426322,0.26885275409047465,0.29524461562793863,0.19191781206429834,0.19596061382125685,0.21512377353776246,0.3031086724425932,0.16986696005932797,0.9633933192765566,0.3604015828883388,0.3656225975855303,0.25931101755175456,0.2621837308747943,0.04967145953255615,0.05595195788292978,0.05047500484248361,0.614239435678709,0.9259906422295714,0.4882328235360275
p21_straight_main_008,0.3431678546511102,0.1846914011566895,0.33128283896255584,0.1599322381090582,0.3726735677255255,0.19819963043522904,0.3553245663625445,0.1693994414841144,0.18677722036706426,0.2690074780288619,0.2934521133450622,0.18079261768073748,0.1926496298934495,0.21521191819730282,0.3167739941412183,0.1822110395222513,0.9594453858826849,0.35845850183648054,0.36341209359680704,0.2763207566467788,0.2777856649716985,0.049461650064987955,0.05796576214908165,0.04952773346053354,0.6199319341940911,0.9196329049527348,0.48458031920663414
p21_straight_main_009,0.32919970140644883,0.17506540539334237,0.24945907589734134,0.1755298897731988,0.278845633470607,0.1483585455913057,0.25342279208236,0.13251938192069643,0.1681951513225746,0.2426489363748961,0.304406382995228,0.18705046657126062,0.16750147058491816,0.17437988043013447,0.3166830922863709,0.1328285570097652,0.9157542986882108,0.3047466635060445,0.3063422634835208,0.2557912666245807,0.2735246582734906,0.048990403131288544,0.04805672320114967,0.047670273428203534,0.5308590343730474,0.8153112036614394,0.43149073854482145
p21_straight_main_010,0.345616576359176,0.18492302663658344,0.3071738152821772,0.1629497802495668,0.36049051369474566,0.19064891703345316,0.35071529108799193,0.1626220937120923,0.18160224732514377,0.27981286955941953,0.2823100392485799,0.17374829654145185,0.18642687405826022,0.20440700097484457,0.31494191065560334,0.17779427410058515,0.9564104384192206,0.3552803769829831,0.3620764107926363,0.268405373449829,0.2703745953701045,0.049730917308952606,0.05558595097375212,0.04822444199007408,0.6149778925784171,0.8992830600277786,0.4737537510089263
