straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p12_straight_main_001,0.249563388,0.437952462,0.295037758,0.264965134,0.380595426,0.131446897,0.048906457,0.059622994,0.061237539,0.457365927,0.886041529,0.757438848,0.735988959,-0.006507603
p12_straight_main_002,0.273950306,0.447276186,0.271737354,0.266635555,0.369205858,0.34691261,0.04915454,0.060511537,0.060842169,0.60381867,0.925576523,0.829049167,0.764700065,
p12_straight_main_003,0.253707025,0.443303424,0.305681538,0.288967624,0.330587781,0.165903366,0.053182902,0.053969352,0.058621891,0.457510468,0.911445458,0.775264961,0.771207668,
p12_straight_main_004,0.19210391,0.373487493,0.237196103,0.315943026,0.202004935,0.109175036,0.049841432,0.048469969,0.047660345,0.375685648,0.711089501,0.610468345,,
p12_straight_main_005,0.209978417,0.396183097,0.283394961,0.302702122,0.235891958,0.111401287,0.048163458,0.047859019,0.047672452,0.405299808,0.784594209,0.670805888,,
p12_straight_main_006,0.204194123,0.394291042,0.276035636,0.296933293,0.294485721,0.116207057,0.048482665,0.048267418,0.052605246,0.391800427,0.845275975,0.709233311,,
p12_straight_main_007,0.247534462,0.398744463,0.316074459,0.283367023,0.326438136,0.127376657,0.048545175,0.048262465,0.065249395,0.429869373,0.886174465,0.749282937,,
p12_straight_main_008,0.278649166,0.468070087,0.309874884,0.24703061,0.358960012,0.138191323,0.052429706,0.059561963,0.06324326,0.461075026,0.89072112,0.761827292,,
p12_straight_main_009,0.252009911,0.462498154,0.258680766,0.253540849,0.356984879,0.138171434,0.048987251,0.059038083,0.056973957,0.41899813,0.878970286,0.740978639,,
p12_straight_main_010,0.188084526,0.35329019,0.244029165,0.295372039,0.24715052,0.11288543,0.048512284,0.048306283,0.047716576,0.39335859,0.726748885,0.626731797,,
p12_straight_main_011,0.375039519,0.461901141,0.28424119,0.246501455,0.354125366,0.316834596,0.055664038,0.056907865,0.056558429,0.61918848,0.918909445,0.828993156,,
p12_straight_main_012,0.318804921,0.386502467,0.292017788,0.281132047,0.324126637,0.30634958,0.048448453,0.0480667,0.057114868,0.549368256,0.935804881,0.819873893,,
p12_straight_main_013,0.382651913,0.455571541,0.288863022,0.2505892,0.334003652,0.311278678,0.048865641,0.054537379,0.053173987,0.6218712,0.912472724,0.825292267,,
p12_straight_main_014,0.38773392,0.45655535,0.298717336,0.243162031,0.327430819,0.315955956,0.048916269,0.054727419,0.052453824,0.622547789,0.915694903,0.827750769,,
p12_straight_main_015,0.368856744,0.450643461,0.289008855,0.220028062,0.354986716,0.173181659,0.052380004,0.057022251,0.059473428,0.477148217,0.898373975,0.772006248,,
p12_straight_main_016,0.352815666,0.449544997,0.312246957,0.23370749,0.342936095,0.118385806,0.051712374,0.058275137,0.057008469,0.470592792,0.872152662,0.751684701,,
p12_straight_main_017,0.347943112,0.441805004,0.287435703,0.254919463,0.350579487,0.114846087,0.049848472,0.057094357,0.060267039,0.478374317,0.858344587,0.744353506,,
p12_straight_main_018,0.268015568,0.346936721,0.243401879,0.287540267,0.240900354,0.117134755,0.048544295,0.048216198,0.048313485,0.414791166,0.721402384,0.629419019,,
p12_straight_main_019,0.365282012,0.452914873,0.292936068,0.261963417,0.334140717,0.13537469,0.049346248,0.058837534,0.058325071,0.486293535,0.882095915,0.763355201,,
p12_straight_main_020,0.358748804,0.448102069,0.287413242,0.259930792,0.335961226,0.11881226,0.049694483,0.059453844,0.055226298,0.477259448,0.866227128,0.749536824,,
p12_straight_main_021,0.286535578,0.420703004,0.236303414,0.297324317,0.277714711,0.117995978,0.048351113,0.048164915,0.048017783,0.459303871,0.77274203,0.678710582,,
p12_straight_main_022,0.353467167,0.417455227,0.270470307,0.287844313,0.310196164,0.118323914,0.048350133,0.048042017,0.051079874,0.465002718,0.862535103,0.743275388,,
p12_straight_main_023,0.367112297,0.456588558,0.268193172,0.247293872,0.34238005,0.138468182,0.05178849,0.056967691,0.052270421,0.476345809,0.871749161,0.753128155,,
p12_straight_main_024,0.280849399,0.34013311,0.241931252,0.302461496,0.20867422,0.108895868,0.053239723,0.048509094,0.047686558,0.452730033,0.66639907,0.602298359,,
