straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p08_straight_main_001,0.32366277350438755,0.34260582250761135,0.22797588775594196,0.24819627118278126,0.3321872679600971,0.2599380556921263,0.04872428805892434,0.0543365977534551,0.04936490956135129,0.4346680358956233,0.897557306081605
p08_straight_main_002,0.31724267481048996,0.3407890404628822,0.18006066654173886,0.25347630804882537,0.24992410415347494,0.2531623672323759,0.04915405294494318,0.048298915246009155,0.04762131245320647,0.494689938694417,0.7213695231968635
p08_straight_main_003,0.31567177307233274,0.3665978199127355,0.25335657343145235,0.23807869757976818,0.3431966174463018,0.28340989921724036,0.04870571148867937,0.059703405136258623,0.05245907763559053,0.46614267133638887,0.9138176785512349
p08_straight_main_004,0.3081150202123511,0.3830888929184407,0.2733017233657107,0.265835310104417,0.30460019659043425,0.27660870024153433,0.048864094323359156,0.04824277122472656,0.04976663499312315,0.5193134225889304,0.8857235587504869
p08_straight_main_005,0.2884227653398498,0.347839350649434,0.19680492368805663,0.2425659294756604,0.2526909301009037,0.2636919896110645,0.049135220857664044,0.048594476696387445,0.047619926391673596,0.5374901260824737,0.6861750856044264
p08_straight_main_006,0.31260843390985055,0.358836933264934,0.27496179575535695,0.22674109554849178,0.3216562025128812,0.2803656870703985,0.04857942395377264,0.053728903620296045,0.04843402304234384,0.44778803235193176,0.9200193491738086
p08_straight_main_007,0.32987446712024715,0.3612052910583084,0.2680523899181916,0.2391021908487197,0.322974417971648,0.2858118728825963,0.048425389732785575,0.057675414396418004,0.04886901145864669,0.47993368532711667,0.9094724590499879
p08_straight_main_008,0.2947518986801939,0.35067864132969345,0.25338309370018874,0.2186324592401827,0.29803530277144824,0.24205421634469104,0.04849875230093964,0.05505476639422035,0.04881666293493189,0.4388025999658078,0.8310343403539665
p08_straight_main_009,0.3009442128016241,0.3615218404658018,0.25607642148034615,0.22310951050922787,0.3214620591147894,0.24904118274481252,0.048649845130571655,0.05566459692131352,0.04896396784663903,0.4356778435391463,0.8761865427402951
p08_straight_main_010,0.30402260653652347,0.3551526966845487,0.2626138700451409,0.2255750209104054,0.30463173774087104,0.26937913762859444,0.04842956766883042,0.05333233344366074,0.049222138159073,0.47836778384599243,0.8495197344301678
p08_straight_main_011,0.32956618928745635,0.35570821153822674,0.2592721221741285,0.23126966699933207,0.32180405110086313,0.2625603548040092,0.048431382763541295,0.058355694200631844,0.04923034524359101,0.42603785349390566,0.915582923062555
p08_straight_main_012,0.3133892117738409,0.36299915277024863,0.3119340588451598,0.22091791343769246,0.31551229165508987,0.2696117154503884,0.048495266401990346,0.05673631042143358,0.05080458565515471,0.476162106297885,0.9079682576083198
p08_straight_main_013,0.30273049363125937,0.36394542841090793,0.3056613205991394,0.2329706831312853,0.3201507147264889,0.2940358809238909,0.04854597932611311,0.05716302198472175,0.04946900919049334,0.49073193816937144,0.9197222709216201
p08_straight_main_014,0.29988962714814593,0.3577129561432776,0.24610728061792475,0.2304694299796982,0.30961715039972104,0.2637304876442591,0.04813653285253329,0.051833704567186674,0.04831563836609108,0.45184269257440113,0.8636646774004506
p08_straight_main_015,0.30265294127600334,0.3437375559611991,0.21093502605429998,0.22294671631552426,0.25053198153242134,0.2525517891661956,0.04918121519286626,0.048725145594168344,0.047630359605101556,0.4759348329504756,0.7388464220653598
p08_straight_main_016,0.34662828016948755,0.38046923035658087,0.2890094791862102,0.23870645839728666,0.3044989493837797,0.26764119589366386,0.04893847651377703,0.04857135727631197,0.0495448101664843,0.518950790363801,0.8848275679941005
p08_straight_main_017,0.30019501672355514,0.36060024755368947,0.2786980969889726,0.2258325657815566,0.31475070117466697,0.1762916919162539,0.05422306574995466,0.05325970653268204,0.048641575568649,0.37288263757361745,0.8849566334784514
p08_straight_main_018,0.2929039372734926,0.36651090413700593,0.3224135890445138,0.22469017694124244,0.3156351246856324,0.1359344525939434,0.05130545209968552,0.0555610757137227,0.049075672894405585,0.3843454637508447,0.8831340961685208
p08_straight_main_019,0.29095550100481643,0.3538704412668828,0.2584162931488356,0.22253501245577115,0.30619271453114233,0.12445823175658081,0.052089149425107416,0.054614353837418375,0.04862759575788426,0.31486542355909053,0.859457987738437
p08_straight_main_020,0.29843175968832136,0.37093000958216027,0.303670842666678,0.22079021922060363,0.32328724734386727,0.13209015030185695,0.051665180153766435,0.0548857182999635,0.049002065039144026,0.3704338860648805,0.882922972453182
