jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p04_jap_main_001,0.30211495893952095,0.49989172122177833,0.3275783124580406,0.2824811702599514,0.2291029660061678,0.1859454711475673,0.04835848679570783,0.04791121601685099,0.04762026430643068,0.5149137937120101,0.8578220634442383
p04_jap_main_002,0.2520318373644718,0.4792874307619884,0.2882479815742488,0.23323776976757973,0.20684946509069055,0.17408988091941174,0.04871978582660106,0.04813568898533053,0.04761917295759116,0.4840165307259528,0.7318936186620314
p04_jap_main_003,0.2913519863833459,0.4862715107829379,0.3312742456100345,0.24202449911016877,0.21847547729590833,0.23428982824208328,0.04800103021988244,0.048837541547496095,0.047621255825703056,0.49680647649533116,0.8624047530562496
p04_jap_main_004,0.2606255710909376,0.477974029640991,0.26034945009123284,0.2630652849236388,0.2123145494589708,0.21975207531912838,0.04842311044854823,0.04796334464895081,0.04761905636416876,0.4744106572968505,0.7967359346406812
p04_jap_main_005,0.25626386750127467,0.4954219311096941,0.2860899505806803,0.2604989562453224,0.2262068098867272,0.2632334833549194,0.04825297199797688,0.047875830011291726,0.04761930085014775,0.4927660250953765,0.8653251664759442
p04_jap_main_006,0.25416544785574174,0.4964118122787706,0.3087591457531437,0.264747117212489,0.24137810434401752,0.2756713969906831,0.04848686780338146,0.04878768445413559,0.04762804654501539,0.517749510784755,0.892849508864742
p04_jap_main_007,0.2578245933646526,0.5057742564846563,0.3134631153976377,0.26004265072292965,0.2378174546978249,0.2801205179435987,0.048090040677972005,0.04837274083878044,0.04764005255289099,0.5092172565481452,0.9083601064455268
p04_jap_main_008,0.23467024116853988,0.4901483114014019,0.3057283778650755,0.2619023310489256,0.259648416892595,0.23031693432671937,0.04784526096800207,0.04785817422031288,0.04762090314607144,0.4589278680889247,0.9070574040479331
p04_jap_main_009,0.23758510781362788,0.4864745217247662,0.275301159001886,0.26845074561495924,0.24061826945747375,0.23045246443445144,0.04852405188361239,0.04784699213034743,0.04761914837528773,0.4736879752807739,0.8509909275524928
p04_jap_main_010,0.23805050723824817,0.4865229324598971,0.2652477709736173,0.2499753524364147,0.2241499504038395,0.22991102920375517,0.04888589825537139,0.04849616284075266,0.04761934664602469,0.4859751993413761,0.7942021205368901
p04_jap_main_011,0.248670270515894,0.5046106131489113,0.30262454131099836,0.2683164654518987,0.222419518078497,0.2493876761658588,0.0488505797486896,0.04783937677556998,0.04761999771739404,0.4729209706115339,0.893167576331584
p04_jap_main_012,0.23572600294052676,0.4909687991473506,0.27252983226654137,0.2652526661637208,0.21759448414054522,0.20185599398813653,0.04885099970611446,0.04795629832768644,0.04761933597354038,0.4262121215897484,0.8423373966579443
p04_jap_main_013,0.23732636369450164,0.49773872457386004,0.3230246195658979,0.2706791742296145,0.2257923084465963,0.2303488272751097,0.04850988142617782,0.04789041627577386,0.04762084930603114,0.4697581458411041,0.8927018483785997
p04_jap_main_014,0.24267821936619,0.4943869423678489,0.3344382042487708,0.2552005289974997,0.22905429597940982,0.23158132217997168,0.04921088217083623,0.048057442361713415,0.047619266016391396,0.47800217128838546,0.8847149182738592
p04_jap_main_015,0.24833352930388228,0.5037621838554183,0.2881293082898987,0.26208061207564287,0.2130227371933775,0.2271123064936414,0.04863523763846561,0.04797504994791447,0.04761980071556785,0.43353696859146656,0.8783386755939582
p04_jap_main_016,0.26217913480914845,0.5030360767371477,0.35543997881082473,0.2791510922873101,0.22988819520881268,0.2755021997114721,0.0484924551467367,0.04856702536120668,0.04765188659722971,0.5487688756863182,0.9154771459435064
p04_jap_main_017,0.25932061417395913,0.4973643523803048,0.35747213045916304,0.28057429944616413,0.23692277658156566,0.25107733434031687,0.0501048062019332,0.04920541860629573,0.04767012275717669,0.5321531589130516,0.9104546379080757
p04_jap_main_018,0.25072158026158353,0.5117838083082932,0.35590337363414715,0.2872150744628265,0.22691645201717114,0.2892152827623652,0.04886278580195462,0.04814123503433412,0.04762624981560936,0.5743573629306351,0.9091381661489569
p04_jap_main_019,0.2482217718436833,0.494840648162012,0.2754818197122164,0.2655750673176934,0.2269413564508418,0.23272436306448832,0.04827999260155461,0.04789383373812922,0.04761999108881893,0.41543672842104096,0.9030442684792219
p04_jap_main_020,0.25009688210885667,0.49058177975516787,0.34686118577410685,0.2703364979063292,0.23050122558413855,0.2717826162685272,0.04799005903290823,0.04940731266002898,0.0476351956879181,0.5327174581068277,0.9002295455503317
p04_jap_main_021,0.24655153225569668,0.49456675983022746,0.36169739781735977,0.269378113507849,0.23997840771349388,0.24551967862500876,0.04846201257949638,0.050947181787953134,0.0476728720155598,0.5157373977644196,0.9117238898094545
p04_jap_main_022,0.25124053592324097,0.5047039691128766,0.32834341633332337,0.2716645829485499,0.23533630499136587,0.2884299963562378,0.048133516108929277,0.04889524642693498,0.04769341350378942,0.5368217802692625,0.908413276888119
p04_jap_main_023,0.24972700713654317,0.49302047234114565,0.3039688606487484,0.2601140171000241,0.23152856757831358,0.22034295387683764,0.04863475679782964,0.04791528791937562,0.04761965264415831,0.4662500144253848,0.8692483974819709
p04_jap_main_024,0.24037639909054845,0.5038647722841778,0.28493191100283477,0.25907753332903793,0.23341331161334233,0.27181518066081767,0.04800534632282959,0.04856389452428226,0.0476235653933739,0.48307258477518616,0.8845888540215812
p04_jap_main_025,0.23501534308997477,0.48525337092022214,0.25305750693913337,0.2582733205937632,0.22933456270226632,0.2063928578969366,0.04835144400663323,0.04796687441389843,0.047619245049393535,0.4373827402723565,0.8198907621929863
p04_jap_main_026,0.2676149038772276,0.5099295752503555,0.3335951123366927,0.24845695652428637,0.24277399130997107,0.26572962199274086,0.04836538528546023,0.04921821755214325,0.04766402583496182,0.5109838929283231,0.9116095627250771
p04_jap_main_027,0.2775626188065238,0.5039088295174607,0.345739682419777,0.2612369681641053,0.2343608350330147,0.2647741214656087,0.04824945435131246,0.050084040773847975,0.047681573022483804,0.5364370905313303,0.9039934953706411
p04_jap_main_028,0.27134214798424755,0.50488152480489,0.35456403207543186,0.25919748660528485,0.2478762698254971,0.2655251191170763,0.048282150599973817,0.048984558920741245,0.047738859538390264,0.5423684399114241,0.9154697304494276
p04_jap_main_029,0.2627170067042371,0.504750027737758,0.29565317247452017,0.2640795333042867,0.23201577242826046,0.2515483946169456,0.04832427966853764,0.048529627531269603,0.04762387552494226,0.4895968941318044,0.8841951529393174
p04_jap_main_030,0.2469589055041656,0.4980895909164248,0.275806784468916,0.25739627341292637,0.24465800146217215,0.22781851434907213,0.04772541290087545,0.04787926059348782,0.047620332703231405,0.42500742284574916,0.8998609458082478
p04_jap_post_001,0.2962802567361794,0.4687598411708632,0.2796954522065243,0.26484027093490015,0.17605638417873476,0.19014539224183627,0.049354688339484094,0.04773919579325682,0.047619079156219477,0.5068325450302059,0.7362588668205239
p04_jap_post_002,0.20723416052227525,0.3823357057977808,0.2268221637607868,0.1862781004765203,0.13628855847390828,0.14817423075977837,0.04839362005594082,0.04786968074513468,0.04761911827752565,0.5078807091418756,0.42661771637516405
p04_jap_post_003,0.28897824655693993,0.5030063756836783,0.3511888687922443,0.27594937911952433,0.24021101717117738,0.2781502155759383,0.04893088580432141,0.048452508538832595,0.047635942862695686,0.5674361760914419,0.9165134715102352
p04_jap_post_004,0.27540515653522457,0.4834042761547622,0.3395831622403943,0.29493843759161203,0.22770844373751647,0.25019488432424747,0.05151218881458763,0.04841867709900336,0.04761923647972416,0.5960862026698129,0.8366671555156069
p04_jap_post_005,0.30266010065585247,0.4925165596412581,0.34055833202295493,0.30827608033024745,0.2338011486592198,0.2111505088610385,0.04829846629207757,0.047868425176583705,0.04761920412587111,0.5690121833016034,0.8699048823481677
p04_jap_post_006,0.2528087478468362,0.49270123392930215,0.3333706223061922,0.2637429136275665,0.2372236888080069,0.23814711611427236,0.04836058320909708,0.047821176729753265,0.04761906917630547,0.5400162508584433,0.8505470020016433
p04_jap_post_007,0.2619469234157323,0.4973600259868519,0.32982435972919716,0.26860214085111583,0.22620563707474095,0.27618579254797343,0.049098754336717135,0.04902224753746641,0.04762161914747556,0.589848230498927,0.8352303109328642
p04_jap_post_008,0.21177723572829393,0.468173688180317,0.30451651552995007,0.23293951696012627,0.2200299763654404,0.23320357137350226,0.04907496016258134,0.04791634883720848,0.047619147762705184,0.5061148073274968,0.7641409608452056
p04_jap_post_009,0.24633249780398062,0.4920479083985592,0.3277442231380244,0.2572625380073007,0.23700556799929764,0.2328480159941999,0.049181151400999046,0.047846832505931663,0.04761914991662162,0.5204722894757473,0.8486757241742987
