uppercut_left|p22_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p22_uppercut_left_main_001,0.3028899246976146,0.4705714809243277,0.2588521174121941,0.23423959033140312,0.29559963121354127,0.25413565127216725,0.04952989467670229,0.05018591538729336,0.04775067950892072,0.545566762174089,0.8330420268787807,0.2150941907460282
p22_uppercut_left_main_002,0.3117768572326819,0.4777593002813477,0.2306802139667782,0.2496639870497918,0.3176467040292372,0.3126056790436683,0.05158580081151304,0.052220155756799023,0.0477461101518967,0.6136411458704938,0.8291205196275997,0.23914903414626862
p22_uppercut_left_main_003,0.2736612694904982,0.38036318296345645,0.2168294313250736,0.21545351954735606,0.2494598051022979,0.25388339255557935,0.04927921286085427,0.049809972400811475,0.04767401102374664,0.4513630368051965,0.7558362823724474,0.1834840740222874
p22_uppercut_left_main_004,0.27778495768705136,0.4874697007109655,0.26330962697611016,0.2673938081263271,0.2931860827250371,0.2981885686664883,0.05120946545386244,0.05214008009634343,0.0477790815039615,0.5822510708461568,0.8592653594662343,0.22853353879878754
p22_uppercut_left_main_005,0.2194200974756067,0.3705673652314395,0.21865025651328965,0.21344508116977873,0.23995351291010278,0.24636601467418986,0.0496895916859368,0.04995946520331397,0.04764366042055511,0.45963868638809446,0.6938166216557046,0.18642924775911507
p22_uppercut_left_main_006,0.26124062247087754,0.47660285263234314,0.2546302500445389,0.2598118394595608,0.2934371087793517,0.31183382455130565,0.0508004669558414,0.05286059399701599,0.047933499549386936,0.5456578361977432,0.876987165934024,0.21643963238353353
p22_uppercut_left_main_007,0.2453936976283686,0.4787311949823657,0.2418787270635346,0.25331170758422694,0.2883657801501753,0.2891020043007138,0.051357524590021575,0.05269210707320734,0.047774306560069923,0.5407844649982863,0.8285652288960411,0.21494469888717171
p22_uppercut_left_main_008,0.28573006363527764,0.4739938255123657,0.2493256652029035,0.2220158110750387,0.28582582843674176,0.3027724009169314,0.04947762301087543,0.05053237656217903,0.048165517734423666,0.5210515187617066,0.8599171556305888,0.207020506111587
p22_uppercut_left_main_009,0.29233275051063595,0.49372163501517397,0.25826166679500523,0.263511297463288,0.32354295290644103,0.3418030836703805,0.051133301715699506,0.0526076070699333,0.047833218154920185,0.5958930342819944,0.9182645362460498,0.23321131435587572
p22_uppercut_left_main_010,0.2867050740070862,0.49708686404506564,0.2565781131420294,0.2688064108856448,0.3206584884894529,0.34324694217207463,0.051298608802101874,0.053243658958888065,0.04839661716663889,0.5929797267341542,0.920133767538662,0.23250733149838138
p22_uppercut_left_main_011,0.2818831886969341,0.4948242250344631,0.27814909081003264,0.2795594839358819,0.3204118951181244,0.3358944657424522,0.05139674234397943,0.052722241899187096,0.048365643546154594,0.6195508571343187,0.9151655925229911,0.24122328045916172
p22_uppercut_left_main_012,0.2738434018371493,0.4758257403095391,0.2437704101053642,0.24230113625207544,0.29783306114803904,0.30179017556511667,0.05006067286276926,0.0528746914542452,0.04797078421382655,0.5575760139495554,0.8406214154886884,0.22017045942218993
p22_uppercut_left_main_013,0.28083677255862455,0.484046138762764,0.261655218398705,0.2448978901113476,0.3091112920641957,0.30860622295110723,0.050686373241766676,0.05326922292629519,0.04796020859623833,0.5987674092484027,0.8440294495378557,0.23424100180548818
p22_uppercut_left_main_014,0.28262949457133835,0.4847761303218306,0.2570330074885582,0.2513525295832286,0.3041219578682046,0.29848580990442714,0.049877650878214594,0.05321303351757446,0.04813796378639021,0.5770911050878414,0.8554701182835105,0.22672726316121014
p22_uppercut_left_main_015,0.25043351678354697,0.416935296655368,0.2762759190500856,0.2570543017692002,0.2858550717200969,0.24276603924691162,0.049245077940993455,0.047757719653272857,0.04762182987429432,0.5470505266107379,0.7915872440855629,0.21468444140166806
p22_uppercut_left_main_016,0.2725694807816058,0.4718902915982294,0.25276806228508025,0.23971603540437192,0.30700873276221474,0.3024344959790074,0.0499199192746565,0.05202480955602625,0.04819659827346475,0.5448073421196586,0.8672792307889471,0.21558402365011378
p22_uppercut_left_main_017,0.27012225953443003,0.4819059124133257,0.2313331555292975,0.2482770826646969,0.29461854583981956,0.3144532578091862,0.051273906595250676,0.05487982052349131,0.04782796440558897,0.5659024723363058,0.8328633898573808,0.22401873315168258
p22_uppercut_left_main_018,0.23345048192627052,0.46498463121581884,0.22958858708272795,0.23358403126582927,0.2730124382650695,0.2782031769676528,0.04945841919420838,0.04921154005342286,0.04784736659690566,0.5307032423333979,0.7864569666886384,0.2097910671936764
p22_uppercut_left_main_019,0.2730879491696377,0.47895312424766584,0.23642602640877142,0.24672397770896443,0.30724543158807693,0.309175877022865,0.049920886623340696,0.052482462002217324,0.04827934497488743,0.5489399864954825,0.864817247478743,0.21711444504034683
p22_uppercut_left_main_020,0.23448206634710972,0.45357818100942493,0.2666203069168846,0.2383492067056947,0.2776081453550427,0.24503170274553746,0.04968127173962531,0.04977248342138941,0.047628303979199066,0.5491343174719978,0.7665864515843633,0.21619602421100415
p22_uppercut_left_main_021,0.23421034242328082,0.4528746142703234,0.23649425443192965,0.23510700560081416,0.26358381276496273,0.2625956523127645,0.0495547897494642,0.049396928709052504,0.04765244561587945,0.5169284006470234,0.7699841136879255,0.20529337303518003
p22_uppercut_left_main_022,0.2666203212619759,0.49089428764915316,0.24761183497191852,0.2685918102488296,0.3199561285888361,0.29622871646739013,0.05171372494840216,0.05350946237885969,0.04783911294875628,0.574764837243448,0.8692260368229096,0.22666267485690325
p22_uppercut_left_main_023,0.2574694888581483,0.4874683573415431,0.27302288467035724,0.2683000022455449,0.3065973575955475,0.3411170514139729,0.05114676837963149,0.05258610570254597,0.04794998836479039,0.5972963452725122,0.8962923951291489,0.2336764064515632
p22_uppercut_left_main_024,0.2500469909977999,0.48876812277644655,0.29655973700055405,0.28352166476342566,0.29583532951430197,0.29363561579531844,0.05148024137547711,0.05107531300620179,0.04774292224078422,0.6244859407354394,0.8495189983122793,0.2423471650390394
p22_uppercut_left_main_025,0.2832038203919381,0.4823329188415303,0.2529902156429963,0.25742255687506777,0.30843836471484093,0.32807435649833183,0.05023055263150999,0.053684716146640485,0.04890860876025921,0.5728799492260234,0.8909513249324059,0.22559840600139128
p22_uppercut_left_main_026,0.2650522144375264,0.4891784636463853,0.3019570110353831,0.3028233715064089,0.2958396956085665,0.3082392954406867,0.051990100223514614,0.05500545427972205,0.04772059933696843,0.6423151075884855,0.8732404130437912,0.24977022069724072
p22_uppercut_left_main_027,0.09898031905440802,0.2756039108833256,0.0956271561267286,0.10510501795106875,0.13979023200063256,0.14710026992931283,0.05022994355565062,0.04774120298069211,0.04761930877797819,0.5630703193909103,0.04790454714770269,0.22034715530908433
p22_uppercut_left_main_028,0.25103469670817347,0.4546863184851328,0.25687635886043986,0.2383276327707206,0.2775712923087121,0.24011128448815972,0.049392019808388574,0.047971327004129,0.04762155683067342,0.533697500286804,0.7745703381381052,0.21035361569977382
p22_uppercut_left_main_029,0.2744465253112153,0.4836287846186522,0.2540747286751654,0.27646090958239533,0.28077532724324666,0.30314850032002827,0.050596373192219476,0.04799283484788429,0.0476324294257921,0.6034933510454088,0.8307057211182031,0.23402751969517083
p22_uppercut_left_main_030,0.26101668182066623,0.4845210177797276,0.2563685299922812,0.26815263706046244,0.3122735103029376,0.3263234966541889,0.05140853827301059,0.053019070447278764,0.04788268012927534,0.6019321768057718,0.8673673745231774,0.2354532618420204
p22_uppercut_left_post_001,0.10397362666417043,0.2576929548447112,0.10914273330214305,0.08654616873321934,0.14352608930158933,0.1306442976487977,0.050125195917839316,0.0477447148253448,0.04761911554227349,0.5781784898808486,0.010148206230391935,0.22534946687467755
p22_uppercut_left_post_002,0.25874003135033563,0.47245779431252666,0.23819351202108696,0.25883671427666455,0.29804008474074795,0.29358384449993674,0.050122011389470075,0.04815314321813932,0.047621178314244825,0.5723957612101211,0.8229572035817492,0.2235569719392435
p22_uppercut_left_post_003,0.2580970976157908,0.4711752070047046,0.2284435154879063,0.2255956165329605,0.30215334003170646,0.27137223730173715,0.04935592845902533,0.05466206351548906,0.04788457161299552,0.4723154320216258,0.856672177258722,0.1921111413320467
p22_uppercut_left_post_004,0.26804511013294735,0.4931264542874197,0.2321718573503012,0.2503303016565594,0.31589589064285584,0.31620115402844057,0.05098783000609292,0.052527028953716894,0.04840895185688467,0.5350161167316181,0.8944325706271198,0.2128436585638093
p22_uppercut_left_post_005,0.25768734610155775,0.48119360987481363,0.2217502479839523,0.2623435564915666,0.3025470569060785,0.26641569410725147,0.050290237854325535,0.047814786705661645,0.04762038336084613,0.5406331264219406,0.8239789877348564,0.21291271699397593
p22_uppercut_left_post_006,0.2637296854846555,0.47392042725174244,0.2477879739818547,0.27023703458708803,0.31513445504874643,0.2966832687083524,0.050766530388145194,0.04946510683505437,0.047698715786685275,0.5791869755719752,0.8586161300285097,0.2264728709317249
p22_uppercut_left_post_007,0.2829951788533021,0.4931941291003671,0.24500432507934153,0.2515637870483375,0.33029295165175265,0.3230599351757323,0.050637061674711194,0.050441173080592094,0.04797269139490982,0.5849843281096473,0.8909452063408035,0.22868752095498351
p22_uppercut_left_post_008,0.29390484732816535,0.47704272955903093,0.24296520183960882,0.2679689141187414,0.30580152270126143,0.3043739746048046,0.05000908569682032,0.04884512315082486,0.047624456057077734,0.6306285303836041,0.8176650101546732,0.2431609130770831
p22_uppercut_left_post_009,0.2843373195216314,0.4350378166989864,0.2617524819942322,0.2686068304610138,0.2522086306181229,0.21650095080629633,0.049603292040678655,0.0477655563372823,0.04762041981658931,0.5502403870422431,0.7599394151917084,0.21586974514006801
p22_uppercut_left_post_010,0.2776944905059618,0.45460272995175843,0.276599333395994,0.28326407340297177,0.3103539282163347,0.3060736519560797,0.05086933855605537,0.049255772661706304,0.047671329335504664,0.6015056004495807,0.8715857660170463,0.23387690388911409
p22_uppercut_left_pre_001,0.29035707038627284,0.4661156982969102,0.2566031448202727,0.22258286501849317,0.2931804229765908,0.2973419061869024,0.049766356090396355,0.04986157705824661,0.04780348248971993,0.5679212894547325,0.8235957172391737,0.2225164075344585
p22_uppercut_left_pre_002,0.27049909648124454,0.47463541658788283,0.2793484900260531,0.26775440927024075,0.2885165672211175,0.30840922015156014,0.04923306113957599,0.050520903761832305,0.047715833692523656,0.6209488618292088,0.8360265326609774,0.24023427557687235
p22_uppercut_left_pre_003,0.28825626577633934,0.4814512384176042,0.2790208122397876,0.2774745429149418,0.29917937673920025,0.32616463832499115,0.05090017894009739,0.05005257231403235,0.04780778048169135,0.6402652693657706,0.8640232953255698,0.24707267353996676
p22_uppercut_left_pre_004,0.283095119871454,0.49200990246106857,0.24268605615798525,0.2534942722706253,0.28901908476303406,0.32253033441212553,0.05097119909393289,0.05372348547741601,0.04780517332013418,0.5908872652236663,0.8393498493505676,0.23186064993167171
p22_uppercut_left_pre_005,0.28324561606895315,0.47937208573845347,0.2800840407623717,0.28048590156174374,0.31330735616222416,0.28791352211317156,0.05079582998754571,0.04885742960373199,0.047665268678655434,0.6273960560745249,0.8555435185944614,0.24234977188860085
p22_uppercut_left_pre_006,0.25731747757762197,0.47302078751836324,0.2775427628321651,0.2763854092557853,0.27003249077074526,0.3105694040750423,0.05040602687858987,0.05196811319675114,0.04770277397457703,0.6134834633200634,0.8215598343344381,0.23861920113180146
p22_uppercut_left_pre_007,0.2871859728070122,0.49070375100274655,0.2523473707858502,0.26346954606656514,0.3009584782406022,0.31792889635756366,0.05117211890239903,0.05235887978417158,0.04773323808409548,0.610094756190967,0.8505294338575712,0.23787525162584583
p22_uppercut_left_pre_008,0.22952208561343,0.43206025921613794,0.2380609237755134,0.2381232909648033,0.2408066239948406,0.23628718162808382,0.05100790745326048,0.04785036573401306,0.047620952329526775,0.6509535123839025,0.5748519607518124,0.24993726185705867
