subject_id,motion,record_id,feature,Pre,Main,Post,Delta_MinusPre,Delta_PostMinusPre,Delta_PostMinusMain
p10,Global,uppercut_left_p10_Global_003_similarity_matrix,Head,0.354911912,0.35457258,0.354040082,-0.000339332,-0.00087183,-0.000532498
p10,Global,uppercut_right_p10_Global_002_similarity_matrix,Head,0.337401457,0.332051673,0.352546865,-0.005349784,0.015145409,0.020495192
p11,Global,hook_left_p11_Global_002_similarity_matrix,Head,0.309807654,0.362523367,0.359066089,0.052715713,0.049258435,-0.003457278
p11,Global,hook_right_p11_Global_001_similarity_matrix,Head,0.301576443,0.274370327,0.256465385,-0.027206116,-0.045111058,-0.017904942
p11,Global,jap_p11_Global_similarity_matrix,Head,0.292329992,0.345391532,0.3446442,0.053061539,0.052314207,-0.000747332
p11,Global,straight_p11_Global_003_similarity_matrix,Head,0.364133701,0.351862586,0.351622149,-0.012271114,-0.012511551,-0.000240437
p11,Global,uppercut_left_p11_Global_003_similarity_matrix,Head,0.288094667,0.29418599,0.314509804,0.006091324,0.026415137,0.020323813
p11,Global,uppercut_right_p11_Global_002_similarity_matrix,Head,0.31190454,0.320186839,0.313554102,0.008282299,0.001649562,-0.006632737
p12,Global,hook_left_p12_Global_002_similarity_matrix,Head,0.356737067,0.343690032,0.365178507,-0.013047035,0.00844144,0.021488475
p12,Global,hook_right_p12_Global_001_similarity_matrix,Head,0.306131145,0.264867991,0.284261931,-0.041263154,-0.021869215,0.01939394
p12,Global,jap_p12_Global_similarity_matrix,Head,0.345148763,0.307145772,0.329269803,-0.03800299,-0.01587896,0.022124031
p12,Global,straight_p12_Global_003_similarity_matrix,Head,0.263346072,0.3069498,0.330504326,0.043603728,0.067158254,0.023554526
p12,Global,uppercut_left_p12_Global_003_similarity_matrix,Head,0.370185151,0.362397462,0.359878029,-0.007787689,-0.010307122,-0.002519433
p12,Global,uppercut_right_p12_Global_002_similarity_matrix,Head,0.324978566,0.339259558,0.33477645,0.014280993,0.009797885,-0.004483108
p13,Global,hook_left_p13_Global_002_similarity_matrix,Head,0.368701791,0.358760431,0.348464042,-0.00994136,-0.020237749,-0.010296389
p13,Global,hook_right_p13_Global_001_similarity_matrix,Head,0.195189104,0.206472001,0.191728998,0.011282897,-0.003460106,-0.014743003
p13,Global,jap_p13_Global_similarity_matrix,Head,0.359713272,0.358447774,0.356676853,-0.001265498,-0.003036419,-0.001770921
p13,Global,straight_p13_Global_003_similarity_matrix,Head,0.327221026,0.301778517,0.286456861,-0.025442509,-0.040764165,-0.015321656
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Head,0.335352575,0.295373331,0.294222801,-0.039979244,-0.041129774,-0.001150531
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Head,0.220831639,0.230635376,0.209457132,0.009803737,-0.011374507,-0.021178244
p14,Global,hook_left_p14_Global_002_similarity_matrix,Head,0.345326425,0.325444169,0.331521236,-0.019882255,-0.013805188,0.006077067
p14,Global,hook_right_p14_Global_001_similarity_matrix,Head,0.233642038,0.253185298,0.223537903,0.01954326,-0.010104135,-0.029647395
p14,Global,jap_p14_Global_similarity_matrix,Head,0.363053513,0.321466888,0.330448016,-0.041586625,-0.032605497,0.008981128
p14,Global,straight_p14_Global_003_similarity_matrix,Head,0.244663996,0.278661804,0.265625406,0.033997808,0.020961411,-0.013036397
p14,Global,uppercut_left_p14_Global_003_similarity_matrix,Head,0.310350246,0.342034636,0.336386422,0.031684391,0.026036176,-0.005648214
p14,Global,uppercut_right_p14_Global_002_similarity_matrix,Head,0.333147209,0.298382383,0.290120337,-0.034764826,-0.043026873,-0.008262046
p15,Global,hook_left_p15_Global_002_similarity_matrix,Head,0.335142955,0.357264208,0.357927162,0.022121253,0.022784207,0.000662954
p15,Global,hook_right_p15_Global_001_similarity_matrix,Head,0.311441432,0.300067271,0.283264808,-0.011374161,-0.028176624,-0.016802462
p15,Global,jap_p15_Global_similarity_matrix,Head,0.303243456,0.3053334,0.309245024,0.002089945,0.006001569,0.003911624
p15,Global,straight_p15_Global_003_similarity_matrix,Head,0.334662034,0.340645291,0.339302251,0.005983257,0.004640217,-0.00134304
p15,Global,uppercut_left_p15_Global_003_similarity_matrix,Head,0.340035927,0.340171888,0.345800073,0.000135961,0.005764146,0.005628185
p15,Global,uppercut_right_p15_Global_002_similarity_matrix,Head,0.345806036,0.339394566,0.324284453,-0.006411471,-0.021521583,-0.015110112
p16,Global,hook_left_p16_Global_002_similarity_matrix,Head,0.357056717,0.342333031,0.330131297,-0.014723686,-0.026925419,-0.012201734
p16,Global,hook_right_p16_Global_001_similarity_matrix,Head,0.280855302,0.271293732,0.262767116,-0.00956157,-0.018088187,-0.008526617
p16,Global,jap_p16_Global_similarity_matrix,Head,0.268932588,0.337922941,0.336061418,0.068990353,0.06712883,-0.001861523
p16,Global,straight_p16_Global_003_similarity_matrix,Head,0.325088311,0.334696592,0.30488911,0.009608281,-0.020199201,-0.029807482
p16,Global,uppercut_left_p16_Global_003_similarity_matrix,Head,0.349873109,0.319666011,0.311340269,-0.030207098,-0.03853284,-0.008325742
p16,Global,uppercut_right_p16_Global_002_similarity_matrix,Head,0.31389344,0.306127531,0.313946229,-0.00776591,5.28E-05,0.007818698
p17,Global,hook_left_p17_Global_002_similarity_matrix,Head,0.321165617,0.294227897,0.318440283,-0.02693772,-0.002725334,0.024212387
p17,Global,hook_right_p17_Global_001_similarity_matrix,Head,0.243535744,0.228672429,0.237994569,-0.014863315,-0.005541175,0.00932214
p17,Global,jap_p17_Global_similarity_matrix,Head,0.330323073,0.326565558,0.335601211,-0.003757515,0.005278138,0.009035653
p17,Global,straight_p17_Global_003_similarity_matrix,Head,0.299093976,0.268115778,0.302159074,-0.030978198,0.003065098,0.034043296
p17,Global,uppercut_left_p17_Global_003_similarity_matrix,Head,0.31739764,0.29536471,0.315253561,-0.02203293,-0.00214408,0.019888851
p17,Global,uppercut_right_p17_Global_002_similarity_matrix,Head,0.325917869,0.310986742,0.330752431,-0.014931127,0.004834562,0.019765689
p18,Global,hook_left_p18_Global_002_similarity_matrix,Head,0.345008499,0.352852922,0.332597448,0.007844423,-0.012411051,-0.020255474
p18,Global,hook_right_p18_Global_001_similarity_matrix,Head,0.257966686,0.245618383,0.24426528,-0.012348303,-0.013701406,-0.001353103
p18,Global,jap_p18_Global_similarity_matrix,Head,0.364105215,0.301832276,0.297151947,-0.062272939,-0.066953268,-0.00468033
p18,Global,straight_p18_Global_003_similarity_matrix,Head,0.325828354,0.334901199,0.340029104,0.009072845,0.01420075,0.005127905
p18,Global,uppercut_left_p18_Global_003_similarity_matrix,Head,0.321843282,0.317728451,0.293330118,-0.004114831,-0.028513163,-0.024398333
p18,Global,uppercut_right_p18_Global_002_similarity_matrix,Head,0.260974868,0.263069258,0.271985273,0.00209439,0.011010405,0.008916015
p19,Global,hook_left_p19_Global_002_similarity_matrix,Head,0.343824249,0.339470429,0.351650272,-0.00435382,0.007826023,0.012179842
p19,Global,hook_right_p19_Global_001_similarity_matrix,Head,0.23597991,0.258199929,0.23310897,0.02222002,-0.002870939,-0.025090959
p19,Global,jap_p19_Global_similarity_matrix,Head,0.355374258,0.272645482,0.355646238,-0.082728776,0.00027198,0.083000756
p19,Global,straight_p19_Global_003_similarity_matrix,Head,0.314815805,0.34730225,0.294049655,0.032486445,-0.02076615,-0.053252595
p19,Global,uppercut_left_p19_Global_003_similarity_matrix,Head,0.332769225,0.314587308,0.336384266,-0.018181917,0.003615041,0.021796958
p19,Global,uppercut_right_p19_Global_002_similarity_matrix,Head,0.302202141,0.31485418,0.323748234,0.012652039,0.021546093,0.008894055
p21,Global,hook_left_p21_Global_002_similarity_matrix,Head,0.340834923,0.215087305,0.249295054,-0.125747618,-0.091539869,0.034207749
p21,Global,hook_right_p21_Global_001_similarity_matrix,Head,0.25368687,0.166178328,0.170584692,-0.087508542,-0.083102178,0.004406364
p21,Global,jap_p21_Global_similarity_matrix,Head,0.310708208,0.35415408,0.36866992,0.043445872,0.057961713,0.014515841
p21,Global,straight_p21_Global_003_similarity_matrix,Head,0.200333915,0.283355561,0.252430527,0.083021646,0.052096612,-0.030925034
p21,Global,uppercut_left_p21_Global_003_similarity_matrix,Head,0.345825523,0.296537416,0.304866906,-0.049288107,-0.040958617,0.00832949
p21,Global,uppercut_right_p21_Global_002_similarity_matrix,Head,0.257718534,0.273871768,0.327828843,0.016153233,0.070110309,0.053957075
p22,Global,hook_left_p22_Global_002_similarity_matrix,Head,0.267604253,0.2836519,0.264043652,0.016047647,-0.003560601,-0.019608248
p22,Global,hook_right_p22_Global_001_similarity_matrix,Head,0.151881484,0.148857274,0.135142542,-0.00302421,-0.016738942,-0.013714732
p22,Global,jap_p22_Global_similarity_matrix,Head,0.300519612,0.304991668,0.292854333,0.004472055,-0.007665279,-0.012137335
p22,Global,straight_p22_Global_003_similarity_matrix,Head,0.219532725,0.203852049,0.215310042,-0.015680676,-0.004222683,0.011457993
p22,Global,uppercut_left_p22_Global_003_similarity_matrix,Head,0.281475962,0.261745178,0.254920473,-0.019730784,-0.026555488,-0.006824704
p22,Global,uppercut_right_p22_Global_002_similarity_matrix,Head,0.216006125,0.232510214,0.23644543,0.016504089,0.020439306,0.003935216
p23,Global,hook_left_p23_Global_002_similarity_matrix,Head,0.318080654,0.310428274,0.296189457,-0.00765238,-0.021891197,-0.014238817
p23,Global,hook_right_p23_Global_001_similarity_matrix,Head,0.246631542,0.243906912,0.241462947,-0.00272463,-0.005168595,-0.002443965
p23,Global,jap_p23_Global_similarity_matrix,Head,0.222834199,0.264647383,0.234443425,0.041813183,0.011609225,-0.030203958
p23,Global,straight_p23_Global_003_similarity_matrix,Head,0.255838978,0.281902528,0.285782573,0.026063551,0.029943595,0.003880044
p23,Global,uppercut_left_p23_Global_003_similarity_matrix,Head,0.242439104,0.279400923,0.250741718,0.036961819,0.008302614,-0.028659205
p23,Global,uppercut_right_p23_Global_002_similarity_matrix,Head,0.229667838,0.273184744,0.267234019,0.043516906,0.037566181,-0.005950725
p24,Global,hook_left_p24_Global_002_similarity_matrix,Head,0.291430402,0.320766051,0.309279682,0.02933565,0.01784928,-0.011486369
p24,Global,hook_right_p24_Global_001_similarity_matrix,Head,0.215109643,0.208630875,0.194861087,-0.006478768,-0.020248556,-0.013769788
p24,Global,jap_p24_Global_similarity_matrix,Head,0.302378008,0.320002151,0.308605443,0.017624143,0.006227434,-0.011396709
p24,Global,straight_p24_Global_003_similarity_matrix,Head,0.256016288,0.275771172,0.237038824,0.019754884,-0.018977464,-0.038732348
p24,Global,uppercut_left_p24_Global_003_similarity_matrix,Head,0.261971734,0.267273481,0.250975299,0.005301746,-0.010996435,-0.016298181
p24,Global,uppercut_right_p24_Global_002_similarity_matrix,Head,0.225939734,0.234388636,0.213334797,0.008448902,-0.012604937,-0.021053839
p26,Global,hook_left_p26_Global_002_similarity_matrix,Head,0.146163185,0.182994497,0.207712749,0.036831312,0.061549564,0.024718252
p26,Global,hook_right_p26_Global_001_similarity_matrix,Head,0.13287606,0.194082723,0.201533301,0.061206663,0.068657242,0.007450578
p26,Global,jap_p26_Global_similarity_matrix,Head,0.180967705,0.162753291,0.207711952,-0.018214414,0.026744247,0.044958661
p26,Global,straight_p26_Global_003_similarity_matrix,Head,0.182811005,0.145293346,0.224152024,-0.037517659,0.041341019,0.078858678
p26,Global,uppercut_left_p26_Global_003_similarity_matrix,Head,0.183509034,0.156161628,0.160028893,-0.027347406,-0.023480142,0.003867264
p26,Global,uppercut_right_p26_Global_002_similarity_matrix,Head,0.19154677,0.190912787,0.198125746,-0.000633983,0.006578976,0.00721296
