uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p14_uppercut_left_main_001,0.308387843,0.439965995,0.265143596,0.26680622,0.193565752,0.135856503,0.048606116,0.047674563,0.047625478,0.542527693,0.644201296,0.613699215,0.660302366,-0.004095586
p14_uppercut_left_main_002,0.312504528,0.456628316,0.310327759,0.279214929,0.198556481,0.141274004,0.048471785,0.047720754,0.047630378,0.53360194,0.730114445,0.671160693,0.642109375,
p14_uppercut_left_main_003,0.292999258,0.469856636,0.310319431,0.319623157,0.192902876,0.142160516,0.048127933,0.047651941,0.047621392,0.551252128,0.750747628,0.690898978,0.646204961,
p14_uppercut_left_main_004,0.290365548,0.445615544,0.265347661,0.278885471,0.184105826,0.119531208,0.048093309,0.04764847,0.047620848,0.558344481,0.611538586,0.595580354,,
p14_uppercut_left_main_005,0.299155163,0.456457002,0.325017665,0.329467041,0.178412903,0.130003527,0.04795325,0.047631631,0.047619767,0.575051358,0.709439915,0.669123348,,
p14_uppercut_left_main_006,0.297276606,0.432181696,0.288257852,0.320786648,0.176090717,0.121353295,0.048232533,0.047638133,0.047632933,0.563290218,0.664062511,0.633830823,,
p14_uppercut_left_main_007,0.298861393,0.469226996,0.301394163,0.318283961,0.187860575,0.128975625,0.048414738,0.047656518,0.047621082,0.556470575,0.720340354,0.67117942,,
p14_uppercut_left_main_008,0.294577465,0.449097672,0.284832982,0.312095973,0.208702916,0.14918854,0.048252091,0.047650701,0.047623159,0.566613773,0.709852513,0.666880891,,
p14_uppercut_left_main_009,0.281936109,0.465519871,0.310392817,0.324894674,0.232555761,0.157714502,0.048681293,0.047715063,0.047628302,0.575733372,0.769606169,0.71144433,,
p14_uppercut_left_main_010,0.318574317,0.470278797,0.294136116,0.307256472,0.179973171,0.123358233,0.048150554,0.047643888,0.04762353,0.530088883,0.719759809,0.662858531,,
p14_uppercut_left_main_011,0.287269869,0.450828936,0.319589254,0.303552761,0.210206572,0.13369697,0.048407237,0.047748276,0.047635767,0.555287091,0.726102639,0.674857974,,
p14_uppercut_left_main_012,0.267219722,0.467486359,0.312983559,0.338355956,0.211624922,0.136468535,0.048130889,0.047654664,0.047619779,0.563086749,0.750773363,0.694467379,,
p14_uppercut_left_main_013,0.319473356,0.453077502,0.278624501,0.272866839,0.182198835,0.129547365,0.048085666,0.047634526,0.047621184,0.525983088,0.677512605,0.63205375,,
