uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p25_uppercut_left_post_001,0.2712423925263858,0.48236398603268044,0.32524803523221096,0.25309350137000475,0.21469694261243255,0.17468775448566073,0.04955303313118199,0.04903398053313715,0.0476456480824239,0.49605958958920926,0.7882322002936216,0.7005804170822978
p25_uppercut_left_post_002,0.27580139313559887,0.45183135066883917,0.3239459058071561,0.2683676569504872,0.22299318126908627,0.1717899488966482,0.049142830371347236,0.050269031524483164,0.04763801234715412,0.5474312990866557,0.7401714635004069,0.6823494141762815
p25_uppercut_left_post_003,0.279576924452583,0.4521084613153866,0.29809987517171355,0.25931869889053843,0.22975516137532387,0.17902641454664173,0.048256769434625944,0.04775185201476456,0.04763607812472,0.509917587378617,0.7598785448304939,0.6848902575949307
p25_uppercut_left_post_004,0.2688374589228072,0.47093424046622945,0.32494414085136974,0.25404013197251835,0.21086884296978542,0.14250430657559704,0.04911141562678596,0.04935434936731637,0.047626049384369394,0.5126161655357726,0.7304296315708816,0.6650855917603489
p25_uppercut_left_post_005,0.281396895698343,0.4768322305340364,0.32897492048064014,0.2873661254105838,0.2137330784298626,0.19940056649490528,0.054612999284740116,0.0506275075371023,0.04764471879450208,0.5399508405299056,0.8010603159467206,0.722727473321676
p25_uppercut_left_post_006,0.26545019830982264,0.4608628262254305,0.3347296188812142,0.2666233252522166,0.18601769925923647,0.1078326286272876,0.04942184039867257,0.05036696692539272,0.04762084382371885,0.5167585200267083,0.684715704963825,0.6343285494826899
p25_uppercut_left_post_007,0.27485965380480826,0.4695362581548843,0.32585503779236713,0.270114473289653,0.2209943871630593,0.17113666543133316,0.05012279529088798,0.04918007561678195,0.04763093641911595,0.5250018515838514,0.7733544697115252,0.698848684273223
p25_uppercut_left_post_008,0.2714850177823903,0.470692810860969,0.3279756075450219,0.28683564121810756,0.22393828867843077,0.18472628153798062,0.04983169893730248,0.049617633626082173,0.04762327134780371,0.5472225207487653,0.7862838557878731,0.7145654552761407
p25_uppercut_left_post_009,0.26586934152293484,0.48172215746850844,0.3148780695929198,0.2705633938934326,0.21973265582874113,0.18161954504459094,0.04966501078592098,0.048099198837855066,0.04762360304596841,0.5185765836946474,0.7828370228320377,0.7035588910908206
p25_uppercut_left_post_010,0.29202750947152456,0.42204291918376907,0.28194970790761753,0.23532900481566302,0.23455471461474123,0.1764685485843164,0.04845507063663088,0.04779428180183967,0.047631533048890236,0.4618293914716102,0.7652862471412841,0.6742491904403819
p25_uppercut_left_pre_001,0.28931021157874337,0.431775902439023,0.2896069134808103,0.2614583262658736,0.23132579607704576,0.17329757341024724,0.04868302070753319,0.047839356242873,0.047630889099785335,0.4710964041706682,0.7861990200456512,0.6916682352831562
p25_uppercut_left_pre_002,0.2960629158962324,0.4115805780404481,0.3057015954167948,0.25376450493991465,0.2427020947726767,0.1720250049015986,0.04818883180711927,0.04777741991090294,0.04762283456436244,0.4816926098619302,0.7873055317881258,0.6956216552102671
p25_uppercut_left_pre_003,0.26924974096137955,0.45470819193887085,0.29025635526679683,0.282547811791176,0.2303226712481295,0.1832115120633751,0.04913529002509298,0.048176578844377774,0.04762636372171707,0.4920061445719674,0.7974417996849845,0.7058111031510793
p25_uppercut_left_pre_004,0.2691021741095339,0.4488410935512487,0.31553824587253565,0.26811480885600114,0.18744592073405575,0.13024812440037975,0.04909373654110595,0.04809909847119309,0.04762724235460615,0.47285837274929576,0.73338908382344,0.6552298705011967
p25_uppercut_left_pre_005,0.2783872056987206,0.47668167286728325,0.30899739492266387,0.28677574487422286,0.22872418888520793,0.19782754276875575,0.05053905844518603,0.04861736802999427,0.04763266347804661,0.5108776503785633,0.8271017093347888,0.7322344916479211
p25_uppercut_left_pre_006,0.2924555522212028,0.4151144138122289,0.2801358765538833,0.2566397999585409,0.2301181213872474,0.17191146314133393,0.048543790935527825,0.04778575085366349,0.04762522613633546,0.45840973385640876,0.7742175798200664,0.6794752260309691
p25_uppercut_left_pre_007,0.2787149089130394,0.46374805973377314,0.32390235135142914,0.27690090607632384,0.2264062199684878,0.18900983720221615,0.04947542124087399,0.04904707231918776,0.04763870429203601,0.5291184151229397,0.7994569977148603,0.718355422937284
p25_uppercut_left_pre_008,0.2744989320309338,0.4621605129530552,0.30802139903081677,0.28810016247367437,0.2408582154677919,0.18172609879754692,0.05092166034081206,0.04852015064842228,0.047631411670166615,0.5034403731751325,0.8223054267717661,0.726645910692776
p25_uppercut_left_pre_009,0.27369804218337324,0.4780079378865197,0.3015662936291011,0.2883311042368538,0.2352276712994062,0.19706244383043517,0.05057659385018519,0.04876876536170541,0.04763016127536482,0.5099374736969237,0.8267029236809895,0.7316732886857698
p25_uppercut_left_pre_010,0.26610070791380835,0.4676723220127771,0.3165214807134438,0.2803627044664576,0.22135709833504694,0.1797453067046184,0.049871292162170656,0.048793525457353146,0.047635175259883304,0.4945516754979735,0.8101783330552307,0.7154903357880535
AVG,0.2767063588567083,0.4574608963072982,0.3113424412750253,0.2697323913501123,0.22258864751878976,0.17326287837227344,0.049660107997685166,0.048775998196221415,0.04763106831354852,0.5049676601363774,0.7788273931149288,0.6966694732213632
