straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p13_straight_main_001,0.347552156,0.425300715,0.300343562,0.335530507,0.265979888,0.216803104,0.048370901,0.050766307,0.048913692,0.585704869,0.85711365,0.775691015,0.620749668,
p13_straight_main_002,0.303697242,0.415297186,0.276614058,0.331103131,0.242295009,0.21657984,0.048260393,0.047775874,0.048171208,0.599703806,0.766390564,0.716384536,0.5594738,-0.135172161
p13_straight_main_003,0.286875534,0.418717106,0.263854434,0.324713747,0.239528844,0.216241079,0.04830325,0.04778929,0.048056572,0.601878175,0.735511575,0.695421555,0.694645961,
p13_straight_main_004,0.262910971,0.422942162,0.238258792,0.314126028,0.230624418,0.209466339,0.048108599,0.047722919,0.04773107,0.59563342,0.681778678,0.655935101,,
p13_straight_main_005,0.263390971,0.386425796,0.180782577,0.277801199,0.14550492,0.168951807,0.048772622,0.047868882,0.047620725,0.496028831,0.546052773,0.531045591,,
p13_straight_main_006,0.342782316,0.427049453,0.313953481,0.350423722,0.278561025,0.235964579,0.048216616,0.047940867,0.049526059,0.623882526,0.879156874,0.80257457,,
p13_straight_main_007,0.226372621,0.359267593,0.215979534,0.274236919,0.139740581,0.15595179,0.048560323,0.047782769,0.047620566,0.48701384,0.524865414,0.513509942,,
p13_straight_main_008,0.298511238,0.431386308,0.294623719,0.317971614,0.251556737,0.224379145,0.048246597,0.048380202,0.048967327,0.60499267,0.787142896,0.732497828,,
p13_straight_main_009,0.239135543,0.364141291,0.187389451,0.272727728,0.15841691,0.164694826,0.048612481,0.047784577,0.047620758,0.487870392,0.53139168,0.518335294,,
p13_straight_main_010,0.262490384,0.376589189,0.204978262,0.284216706,0.165426033,0.176119533,0.04865322,0.047831919,0.047621276,0.480743655,0.60417018,0.567142223,,
p13_straight_main_011,0.232109709,0.353941479,0.173517921,0.273036083,0.152343592,0.15539122,0.04862261,0.047746044,0.047620465,0.475980252,0.505939392,0.49695165,,
p13_straight_main_012,0.255905308,0.374544114,0.19009207,0.287050041,0.166388964,0.175098292,0.048550259,0.047720939,0.047621447,0.483927581,0.585053906,0.554716008,,
p13_straight_main_013,0.246968165,0.365024992,0.196025933,0.252998483,0.163076733,0.160767925,0.048675356,0.047792516,0.047620904,0.466763177,0.546960129,0.522901044,,
p13_straight_main_014,0.25741744,0.368718215,0.191249121,0.292188183,0.176723258,0.165350564,0.048683048,0.0477618,0.047621043,0.496623284,0.577659233,0.553348448,,
p13_straight_main_015,0.271557451,0.373659609,0.199471628,0.290275162,0.168906631,0.17341804,0.048741773,0.047755391,0.047621843,0.497504566,0.594998833,0.565750553,,
p13_straight_main_016,0.260231286,0.432012579,0.288410078,0.333570183,0.239834628,0.222179531,0.048169784,0.04784665,0.048565603,0.566497614,0.803634274,0.732493276,,
p13_straight_main_017,0.244013042,0.365595967,0.190233445,0.281704809,0.164727308,0.173454988,0.048647128,0.047780614,0.047621326,0.468194265,0.581309893,0.547375205,,
p13_straight_main_018,0.257268443,0.383527642,0.191871365,0.28086289,0.129849372,0.153560962,0.048733937,0.047781926,0.047621648,0.460741157,0.56002995,0.530243312,,
p13_straight_main_019,0.329654322,0.425755783,0.315328533,0.338189095,0.262472368,0.22196925,0.048587143,0.049444752,0.048507215,0.583680802,0.871257252,0.784984317,,
p13_straight_main_020,0.292207614,0.426402364,0.292661387,0.328739323,0.250239951,0.210242814,0.048399108,0.047735357,0.048449094,0.586047299,0.794580042,0.732020219,,
p13_straight_main_021,0.237751153,0.371152146,0.186753687,0.300613394,0.160048752,0.17418965,0.048568859,0.047764282,0.047621017,0.47185771,0.589608665,0.554283378,,
p13_straight_main_022,0.236148143,0.366496954,0.185942123,0.271981684,0.164656914,0.164357883,0.048600078,0.04776388,0.047620817,0.469553408,0.55415197,0.528772402,,
p13_straight_main_023,0.266688033,0.43528305,0.260388325,0.324131999,0.24491537,0.218726322,0.048246866,0.047742059,0.048513758,0.555652333,0.78492006,0.716139742,,
p13_straight_main_024,0.26167267,0.438377839,0.265657328,0.322333086,0.247081794,0.220879904,0.048064818,0.04774855,0.048842484,0.568463923,0.777742761,0.71495911,,
p13_straight_main_025,0.261738193,0.428435278,0.271893391,0.336218249,0.250421139,0.205088456,0.048148601,0.047748988,0.04906138,0.57865655,0.770262434,0.712780669,,
p13_straight_main_026,0.255231876,0.394745089,0.183187079,0.279344493,0.160471523,0.15681018,0.048982136,0.04796324,0.047621042,0.48672403,0.565157038,0.541627135,,
p13_straight_main_027,0.30695305,0.414973535,0.218473698,0.31434143,0.193542775,0.21245386,0.048495321,0.047748158,0.048104134,0.533115652,0.713886545,0.659655277,,
p13_straight_main_028,0.222352376,0.354578426,0.183992797,0.281170671,0.146738933,0.144606744,0.048607098,0.047738331,0.047620366,0.461009355,0.519132429,0.501695507,,
p13_straight_main_029,0.216771014,0.356850383,0.18829547,0.280740763,0.170294485,0.141039188,0.048579319,0.047771909,0.047619826,0.497882837,0.502443516,0.501075312,,
p13_straight_main_030,0.26380465,0.422107593,0.246976028,0.311173424,0.201037153,0.200508555,0.048423648,0.047713353,0.047636597,0.513233448,0.726013967,0.662179812,,
p13_straight_post_001,0.263284651,0.403658733,0.208122763,0.303873759,0.167334303,0.192252351,0.04855042,0.047735352,0.047621142,0.495522446,0.65751265,0.608915589,,
