hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p15_hook_right_main_001,0.343220403,0.42427812,0.250286851,0.226864921,0.159390499,0.251719788,0.057470827,0.053003642,0.047620451,0.598861184,0.609340488,0.606196697,0.703378238,-0.122176936
p15_hook_right_main_002,0.23902417,0.306140364,0.164909134,0.159207499,0.145493922,0.192826102,0.052188036,0.047847314,0.04762077,0.568131417,0.296438267,0.377946212,0.608025111,
p15_hook_right_main_003,0.354418805,0.424783599,0.243537438,0.300629474,0.262428263,0.203664504,0.052294595,0.052381697,0.047855965,0.58178001,0.760318906,0.706757237,0.730202047,
p15_hook_right_main_004,0.352590688,0.429705454,0.233353686,0.303001605,0.264689849,0.227864724,0.053598214,0.051563173,0.049493273,0.505916666,0.849761343,0.74660794,,
p15_hook_right_main_005,0.342116428,0.419722341,0.229337219,0.300863088,0.254468295,0.209526623,0.054252923,0.049891147,0.047753339,0.535316756,0.781312565,0.707513822,,
p15_hook_right_main_006,0.349035273,0.43362622,0.23301669,0.312288466,0.273608956,0.236214019,0.053710054,0.051807176,0.04899975,0.526873095,0.855510893,0.756919553,,
p15_hook_right_main_007,0.368894895,0.429112304,0.264870208,0.298179568,0.264727748,0.221549844,0.052693256,0.051843738,0.048821084,0.553760385,0.83230948,0.748744751,,
p15_hook_right_main_008,0.312362508,0.369205087,0.174811009,0.286777163,0.235625794,0.184909266,0.056624938,0.052486853,0.047691716,0.588429805,0.572291647,0.577133094,,
p15_hook_right_main_009,0.374817685,0.437335689,0.263842534,0.291703739,0.281594606,0.252778528,0.053435753,0.050939798,0.04876838,0.543890949,0.887638801,0.784514445,,
p15_hook_right_main_010,0.261475359,0.374727198,0.145867442,0.19838435,0.169215694,0.145695399,0.0541593,0.048013843,0.047619631,0.571504684,0.353765435,0.41908721,,
p15_hook_right_main_011,0.361090901,0.420883629,0.251836318,0.309856065,0.255208819,0.207411978,0.052626242,0.049983116,0.047714187,0.576119349,0.782888634,0.720857848,,
p15_hook_right_main_012,0.345221499,0.417369856,0.262013737,0.305828673,0.256651634,0.206119945,0.053444418,0.051130107,0.047732434,0.561899996,0.790663117,0.722034181,,
p15_hook_right_main_013,0.352487172,0.423863122,0.268980063,0.30917852,0.262881052,0.207037214,0.053788205,0.051565345,0.047855019,0.571190654,0.804297393,0.734365371,,
p15_hook_right_main_014,0.353817407,0.439552265,0.224961691,0.301818619,0.236514365,0.227103213,0.055042547,0.052039395,0.047776886,0.515013838,0.808259701,0.720285942,,
p15_hook_right_main_015,0.36549617,0.411964644,0.267749231,0.296322527,0.256298158,0.232994499,0.052263734,0.051606448,0.047891806,0.547336521,0.834628819,0.748441129,,
