straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p25_straight_post_001,0.3283625858007332,0.47592663268991836,0.2701736332824478,0.30407196441912265,0.3434935891613695,0.2629687970768117,0.048588059712402196,0.05491704762038542,0.048432283949537205,0.600421985953338,0.9139340064829847,0.8198804003240907
p25_straight_post_002,0.3015757436677647,0.44576803891559746,0.24310682565914035,0.25355741070746773,0.23262164306821717,0.1763702043108925,0.050654854850509676,0.047755983786656575,0.047846295369802755,0.4211578130215866,0.8109008138115519,0.6939779135745622
p25_straight_post_003,0.32570010938275723,0.4252789454433653,0.24422397494047274,0.25441242085807136,0.17543815073204444,0.13283068416441385,0.0480337691722754,0.047697135519183774,0.04762061661787322,0.44554291198496043,0.6847304531514425,0.6129741908014978
p25_straight_post_004,0.2922282520682348,0.41739150359184507,0.23398010774621505,0.25211529915896325,0.17763167107501934,0.13030764061826816,0.04882563463255378,0.047685011296879,0.0476204768961289,0.41560897097413835,0.6855435278902545,0.6045631608154196
p25_straight_post_005,0.3380632521778518,0.4805617470284428,0.27807220424412266,0.25136423089293897,0.26549069884562193,0.21613360684822275,0.04911217230194095,0.04820661933558691,0.04887610596700309,0.4862892650668714,0.8753394593368294,0.7586244010558421
p25_straight_post_006,0.30113293905046856,0.3963235681659948,0.20937176666312873,0.2382845422935424,0.16169722715357335,0.13461189557866787,0.04801562117961011,0.04769334919912282,0.047620302298354726,0.4442162482835673,0.5983778882435474,0.5521293962555534
p25_straight_post_007,0.2809216159177366,0.3863782159285035,0.20559662044943688,0.2593116070722251,0.1580325745059175,0.11736897545431342,0.04806265207619816,0.04785949273128365,0.04763446502213179,0.4012383021201261,0.6179085864170513,0.5529075011279737
p25_straight_post_008,0.33052451660649595,0.48585566316160056,0.2709607138298879,0.25393689148442894,0.2620041670904841,0.1823233553722215,0.05051779158161436,0.04784817705704054,0.04834919410536907,0.4628481762648466,0.8555846955051216,0.7377637397330391
p25_straight_post_009,0.3438470004572355,0.48404783569113635,0.2743260530282644,0.2541205163862254,0.2834364687731144,0.23528177187264152,0.053159262571073986,0.04804057143848599,0.04837325959940929,0.5139758507246147,0.8836124092674347,0.7727214417045887
p25_straight_post_010,0.33001955061876503,0.4859823052710808,0.2769406830885643,0.2607621840572596,0.2728042263348667,0.22272139394695784,0.05246531095706651,0.048118508655661044,0.048235286270199206,0.5019299900788708,0.8773341252542272,0.7647128847016202
p25_straight_pre_001,0.34406180186781954,0.48896439273337056,0.2748087380729255,0.3011430815452008,0.3253301697748351,0.28405339652837736,0.048544341989751084,0.05390519776264288,0.04840404611619974,0.6171146818756015,0.9169296095254199,0.8269851312304743
p25_straight_pre_002,0.3598788776898784,0.4886790978388039,0.24166515862376,0.3080849803190936,0.3259444658348264,0.29742680273001976,0.048480509891645686,0.05474515488484655,0.04844490630674697,0.620121652937573,0.908434421372732,0.8219405908421843
p25_straight_pre_003,0.3544204307384662,0.4060619537478498,0.24471884932484267,0.25825104672287447,0.2852765893114396,0.27410469863719383,0.04816413098781205,0.048239920326022,0.048818478408522645,0.49145446437987717,0.89022337319672,0.7705927005516671
p25_straight_pre_004,0.34759298181804105,0.4930631217571538,0.2646880390868913,0.2966180819227068,0.3342791142343215,0.273995001934437,0.048598497732829836,0.05570173072021597,0.04834574300394381,0.6056834573890927,0.9136847582820516,0.8212843680141639
p25_straight_pre_005,0.3411906546846629,0.4942141413433313,0.26423454378835876,0.3043951288926685,0.32357987768585533,0.2878274087098834,0.04873692987184136,0.060560044847593156,0.0483648606955069,0.6114212163140379,0.911586652370803,0.8215370215537735
p25_straight_pre_006,0.3403704722194637,0.49036063926060436,0.2363351387067393,0.2884417207390932,0.325546938903621,0.2805218338120097,0.04851173603042028,0.05337398039379455,0.048089648354808716,0.5927775103121652,0.8869592332516225,0.7987047163697854
p25_straight_pre_007,0.34032235938160676,0.49422952978771767,0.2245505800156901,0.29347262259203466,0.3322722058581181,0.276841174341348,0.048593350981155393,0.05343885202534559,0.048253068591452924,0.592688828197217,0.8849679848518464,0.7972842378554574
p25_straight_pre_008,0.3244102747690104,0.4936216074882017,0.24656353483329835,0.2921529041739271,0.3329169027842437,0.278982967576593,0.04861120855913178,0.054544599972129924,0.04835292786536001,0.5914856402487952,0.8994404914315739,0.8070540360767402
p25_straight_pre_009,0.33736754486790144,0.48383142690976266,0.2502905104588643,0.29378283751858003,0.3258980415094922,0.2776492432640346,0.04855706210928469,0.05198526040509061,0.048057096149025216,0.5946715205731635,0.897328551623169,0.8065314423081673
p25_straight_pre_010,0.3393127896714673,0.48993952828327625,0.24768569987486383,0.28715697223213366,0.32615496617985673,0.27631662585271755,0.04859290608769006,0.05191303964671027,0.04806977742870201,0.5887654510161987,0.8975931538137374,0.8049448429744758
AVG,0.33006518767281806,0.4653239947518779,0.2501146687858958,0.2752718221994279,0.2784924844408419,0.2309318739315013,0.04914129016384037,0.051211483881233866,0.048190441950803915,0.529970696885832,0.8405207097540061,0.7473557058935538
