jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p21_jap_main_001,0.3319040450030804,0.499143062129769,0.2970414980398651,0.2975688693874619,0.26872958113794393,0.17674941175836523,0.04764186581686262,0.04880148771544383,0.04761930024928489,0.5567167975602505,0.8458096120790508,0.7590817677234106
p21_jap_main_002,0.3719139970959432,0.4866879085078567,0.2865676550021899,0.24842186005771189,0.26224783666057117,0.16510096620487574,0.04764374872318663,0.047758027465182575,0.04761916103193447,0.5250599545925516,0.8161335051010012,0.7288114399484663
p21_jap_main_003,0.3455473068467029,0.47506844806047244,0.2543979829498579,0.24021852825054707,0.25796345700183243,0.1549928966774025,0.04763728091949003,0.047716797962700466,0.04761905047378893,0.5423785677383577,0.7251080354647194,0.6702891951468108
p21_jap_main_004,0.35606920838152767,0.5041251015517816,0.28690686954898126,0.2556675795267546,0.26955263372811444,0.16960246366436593,0.04762775829530691,0.047814393409081814,0.04761937285403138,0.5206705644995486,0.8397002804742528,0.7439913656818415
p21_jap_main_005,0.36348626076874335,0.4791579314548994,0.25996193948154306,0.23213894703829493,0.26255626468807364,0.14452570109355306,0.04763205006596317,0.04772789845474358,0.04761905033226068,0.543551564495482,0.7277867090491631,0.6725161656830587
p21_jap_main_006,0.36275357072773934,0.48940554656114843,0.29280078012310307,0.2498706932962011,0.2703144074165881,0.17606489864742936,0.04774805464574421,0.04896945056536944,0.047623371784917545,0.5638735591757225,0.7955584213182757,0.7260529626755097
p21_jap_main_007,0.350854899271693,0.48253945466419523,0.27970291744612136,0.2429137547455647,0.26864266481085713,0.13892312378681687,0.04764691258309908,0.04813504058239243,0.04761910947588857,0.5477494088051273,0.7476689691397356,0.687693101039353
p21_jap_main_008,0.359865020849166,0.4994110779278415,0.2957072983372764,0.26367914971234346,0.2724642323353844,0.14828072678399742,0.047652402712034844,0.04814595115372925,0.04761949690980227,0.5444555669764126,0.8144326071820335,0.7334394951203471
p21_jap_main_009,0.3792636355002355,0.4939241112807771,0.2825452241537977,0.2508234074744805,0.25970324526020044,0.18857186519077046,0.0476372992792504,0.047829684365591714,0.04762115290822059,0.5771215458518764,0.7903469782711576,0.7263793485453732
p21_jap_main_010,0.3586561959851979,0.47731292257772395,0.26612143137358624,0.23233153828615322,0.25801145219975397,0.17105189327948972,0.047643872292017816,0.04773937065334141,0.04762656191965871,0.5540642986068424,0.7398015932045713,0.6840804048252526
p21_jap_main_011,0.36561073491166357,0.4891071662946416,0.2689027429361105,0.24505797089892867,0.2585484412366915,0.17901327448532922,0.04762979778584315,0.04777016416207286,0.04762027994152291,0.5434223695568948,0.7842583310281681,0.7120075425867861
p21_jap_main_012,0.3725868086526729,0.4854339929641445,0.273281099612478,0.2541115880138419,0.2570618488943581,0.18080981761677356,0.04764917880253098,0.04769841535562389,0.04762787445683267,0.5889058377554387,0.7534862465527011,0.7041121239135224
p21_jap_main_013,0.35448390514092243,0.47816925575268704,0.2550677436925982,0.23020750207238244,0.25679297517825034,0.15244006338564606,0.047639891252854255,0.04777518438407807,0.047619124395147296,0.5437513027085583,0.7153056351733544,0.6638393354339156
p21_jap_main_014,0.3448613167300733,0.48547983255692867,0.26675456794497576,0.2566995200432166,0.2644679309275145,0.1968237680271575,0.04768421729624896,0.04853229378816369,0.047619500506694334,0.5386747326168854,0.8065069397517268,0.7261572776112744
p21_jap_main_015,0.36085228157983507,0.49157428056904395,0.2710033709217115,0.24335090398638792,0.26506758911221534,0.1921760933647541,0.047630940477453185,0.04784635665852111,0.04761909078080824,0.543212047998876,0.8028354006482952,0.7249483948534694
p21_jap_main_016,0.3520028012690003,0.48975574098908997,0.2812077553529483,0.25093983619613186,0.2649419180032808,0.175454134063165,0.04763728878435119,0.047818656162256876,0.04761918868626814,0.5544220401477532,0.787770575595884,0.7177660149614448
p21_jap_main_017,0.3591413039046545,0.48241802642764864,0.27916924045914965,0.24467186073353409,0.2636158962488181,0.18238188139067907,0.04764127782936984,0.04772514022401315,0.047619287607976214,0.566064669572897,0.7732782966871002,0.7111142085528392
p21_jap_main_018,0.3697796748959675,0.4820463665841278,0.27988354082158085,0.2538578315155905,0.26466183464319587,0.18389947040612498,0.04763616834055111,0.04776615328558109,0.047619143969927676,0.580809795725534,0.775233378087359,0.7169063033788114
p21_jap_main_019,0.3634049963805372,0.4991731220116944,0.2856404027387384,0.24688189368941327,0.2575555061279766,0.19065855536611753,0.047626966836514656,0.04774609800488611,0.047620032750205536,0.5454000597745269,0.8160421065843021,0.7348494925413694
p21_jap_main_020,0.3224091659288402,0.501225885164761,0.3292732979009421,0.2798432841596985,0.2573781074966529,0.2124635262190485,0.04764534094934373,0.0477110064737956,0.047628022446867056,0.5543513963422056,0.8786822569886867,0.7813829987947424
p21_jap_main_021,0.3526560397916826,0.48870703315757913,0.2898286596187682,0.23332314519145778,0.24776642768320373,0.1658973868447004,0.04763543609611392,0.04768923578026586,0.047619051356837666,0.5512919290631515,0.7551320324592022,0.693980001440387
p21_jap_main_022,0.320387590067692,0.4584175743383242,0.27718788170373376,0.19275469478930213,0.24405517478269453,0.1716554989324713,0.04763524195527211,0.047707819071931924,0.04761906056004867,0.5620355652409057,0.6586764512623652,0.6296841854559273
p21_jap_main_023,0.30635168513376804,0.4501285304411583,0.270133348055846,0.20345715266107298,0.23466305519494282,0.18157812858379793,0.047655305254178146,0.04799706349579873,0.047619066252911985,0.5665156391587948,0.6453435451190624,0.6216951733309821
p21_jap_main_024,0.3555431035794488,0.46576466126893673,0.27981085002554434,0.2036922058457467,0.24694258546854692,0.19069234470131627,0.04763211079551918,0.047695327478052454,0.0476190637399721,0.5668529418652682,0.7110976782134955,0.6678242573090273
p21_jap_main_025,0.3370732472557748,0.48015442087689025,0.328206256873229,0.23619492255775362,0.24974962731036005,0.22480255792209788,0.04783970998210323,0.04874233603856613,0.047620048568708384,0.5774676719739527,0.8104325311771449,0.7405430734161871
p21_jap_main_026,0.35742262871492203,0.48937142061000116,0.3084664447103217,0.2562070353081527,0.25728332377705454,0.20313324350119927,0.047768882728256745,0.048613077342772974,0.04762239853087008,0.5748264826222385,0.8169263676778161,0.7442964021611427
p21_jap_main_027,0.37085234054723387,0.48574395264237336,0.28843804997773886,0.227532272977688,0.258104463685071,0.18998202801483327,0.0476332922705443,0.04774949969041937,0.047619180827251154,0.5653323678754952,0.7752417148509511,0.7122689107583142
p21_jap_main_028,0.3626818974399753,0.4893996584111573,0.29668525772156895,0.23436380631561304,0.25500925364094196,0.19078815123015105,0.047626818439413646,0.04766775621803854,0.047619709828862176,0.5584753317062601,0.791343491120419,0.7214830432961713
p21_jap_main_029,0.365718100553376,0.5009881825552374,0.3079381537956588,0.2567863091349453,0.2626048059546705,0.20258445618695387,0.04763356774204901,0.04779071160062012,0.04761924174800375,0.5701596376819902,0.8403358016534639,0.7592829524620217
p21_jap_main_030,0.35048862646971257,0.47274472883754026,0.2743234673429528,0.20804135679241625,0.24973599797287016,0.17437704316287875,0.04763307872838365,0.047786769981745435,0.04762014401056087,0.561928492770808,0.701387298108733,0.6595496565073555
p21_jap_post_001,0.3501027719293896,0.48936065448608107,0.3267840256411221,0.24091572714886494,0.2396675985413575,0.16061555905113334,0.0482255317207238,0.04775763520674078,0.047622422078148846,0.5553542445456807,0.7787743870355467,0.7117483442885868
p21_jap_post_002,0.37541627599948035,0.5010726330074713,0.30640018279210646,0.25267155207804637,0.2607542794254308,0.21238291923702285,0.04764667018880786,0.047899175246307435,0.047621669898665224,0.5771978332008245,0.839413021420761,0.76074846495478
p21_jap_post_003,0.3672728177201468,0.4920152563862227,0.3109932971809949,0.2552960153571808,0.25990917554909965,0.2127227260395353,0.047668427144068944,0.04795511460153189,0.047619202458144806,0.5893306220917662,0.8241257115640985,0.7536871847223987
p21_jap_post_004,0.3597798558203803,0.4817529828908646,0.28890208158212216,0.22102066824632058,0.25148712888818336,0.17970734387729834,0.04763251184728992,0.047745005941735336,0.04761925288056091,0.5555216658659811,0.752861457713208,0.6936595201590399
p21_jap_post_005,0.3814433317095564,0.49500581871406074,0.3047482881497577,0.2538458101092031,0.2577633650263439,0.1922226370140269,0.04763508446271369,0.04775412441937752,0.04761979039545357,0.5617844306980373,0.8329763560015356,0.7516187784104861
p21_jap_post_006,0.3653585726856522,0.4956497304314894,0.29967999365482695,0.24492830561213128,0.2572237050215022,0.18787885427180917,0.04763761364590596,0.04769167287067734,0.047620139328425425,0.5446867334783125,0.822617467326935,0.7392382471723482
p21_jap_post_007,0.3491996306649904,0.4674016580943331,0.2767076478116145,0.2141550672140609,0.2502250625803475,0.1696265805814967,0.047646619519761284,0.047685947923292026,0.04761915130440243,0.5642313732600711,0.7009866320914696,0.6599600544420501
