jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,,
p08_jap_post_002,0.235664465,0.483511414,0.331678354,0.297351704,0.281128245,0.235436983,0.047782285,0.048433788,0.047656412,0.528328267,0.913112776,,
p08_jap_post_003,0.302450707,0.465647345,0.307106934,0.308080947,0.304631234,0.173242619,0.047728887,0.047826111,0.04761926,0.565821382,0.85877237,,
p08_jap_post_004,0.314096894,0.469427763,0.313475532,0.337510019,0.265221596,0.181936901,0.048059677,0.050702898,0.047652736,0.554895435,0.877813899,,
p08_jap_post_005,0.238189274,0.472610267,0.351197852,0.317245795,0.265431797,0.228429192,0.047918675,0.049251797,0.047631131,0.535416419,0.9168466,,
p08_jap_post_006,0.245587158,0.473832286,0.36726058,0.313255953,0.276261286,0.229059621,0.047958442,0.049098494,0.047646257,0.559957624,0.923518647,,
p08_jap_post_007,0.246192256,0.473232966,0.339041063,0.302587177,0.270601837,0.23376256,0.047871972,0.048590414,0.047737,0.535132382,0.907974735,,
p08_jap_post_008,0.066133713,0.30380028,0.134313508,0.101512475,0.137617151,0.090764934,0.047842278,0.047804745,0.04761905,0.537888015,0.048639973,,
p08_jap_post_009,0.306620567,0.486368678,0.332848376,0.317669108,0.307251909,0.213668368,0.048144244,0.050637218,0.047777189,0.585048307,0.922116446,,
p08_jap_post_010,0.288236844,0.483821328,0.341573163,0.303532065,0.324795668,0.232579123,0.048200083,0.050839169,0.047629977,0.610498033,0.914471439,,
p08_jap_pre_001,0.226673485,0.447493529,0.250195378,0.239195398,0.226755163,0.248060854,0.047897493,0.049058272,0.047687315,0.338366394,0.906022712,,
p08_jap_pre_002,0.235087101,0.462176594,0.241564051,0.263122234,0.227228708,0.246729915,0.047883544,0.048202178,0.047632748,0.364453598,0.906360918,,
p08_jap_pre_003,0.227457058,0.44391319,0.232135802,0.240536533,0.229200731,0.244354069,0.04787968,0.048243527,0.047635977,0.327518973,0.8986548,,
p08_jap_pre_004,0.222671895,0.415912126,0.240518301,0.255604119,0.209405286,0.229233728,0.047957396,0.048005658,0.047627363,0.314985114,0.884114581,,
p08_jap_pre_005,0.224390731,0.414438147,0.227136887,0.222502094,0.219519544,0.232467734,0.047883161,0.048018603,0.047622544,0.272772618,0.892307567,,
p08_jap_pre_006,0.235807475,0.446757028,0.234828808,0.226434417,0.226133578,0.233652019,0.04785134,0.047927886,0.047633099,0.308255166,0.899292468,,
p08_jap_pre_007,0.237918862,0.428832808,0.235606167,0.23503724,0.228288094,0.224407977,0.047933314,0.04813977,0.047632925,0.302851796,0.899298669,,
p08_jap_pre_008,0.227371107,0.445516744,0.235353181,0.222160743,0.222554692,0.216227546,0.047829849,0.047887462,0.047621774,0.284208636,0.894032738,,
p08_jap_pre_009,0.252555671,0.440072716,0.22213033,0.243360328,0.232596031,0.219525105,0.047864828,0.047969824,0.047635799,0.323490234,0.884199564,,
p08_jap_pre_010,0.235358517,0.43632526,0.219628673,0.218032979,0.238086238,0.229730323,0.047893484,0.047933041,0.047699964,0.307029413,0.87758535,,
AVG,0.261591203,0.472008506,0.304821592,0.295378359,0.271497453,0.21651714,0.048494326,0.049588083,0.047675205,0.505726377,0.889143316,,
