jap|p21_Global_001,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p21_jap_main_001,0.3319040450030804,0.499143062129769,0.29704149803986507,0.2975688693874619,0.2687295811379439,0.17674941175836523,0.04764186581686263,0.04880148771544385,0.04761930024928489,0.5567167975602503,0.8458096120790506,0.21772005036418557
p21_jap_main_002,0.3719139970959432,0.48668790850785665,0.2865676550021899,0.24842186005771186,0.2622478366605711,0.16510096620487572,0.04764374872318664,0.047758027465182575,0.04761916103193447,0.5250599545925515,0.8161335051010011,0.20682057692697356
p21_jap_main_003,0.3455473068467028,0.47506844806047244,0.2543979829498579,0.24021852825054707,0.25796345700183243,0.1549928966774025,0.04763728091949002,0.047716797962700466,0.04761905047378893,0.5423785677383577,0.7251080354647192,0.21257754887351604
p21_jap_main_004,0.35606920838152767,0.5041251015517816,0.28690686954898126,0.2556675795267546,0.26955263372811444,0.16960246366436593,0.047627758295306896,0.047814393409081814,0.04761937285403138,0.5206705644995486,0.8397002804742526,0.20537090540131242
p21_jap_main_005,0.3634862607687433,0.4791579314548994,0.25996193948154306,0.2321389470382949,0.2625562646880736,0.144525701093553,0.04763205006596317,0.0477278984547436,0.047619050332260694,0.5435515644954817,0.7277867090491629,0.2129705043387295
p21_jap_main_006,0.3627535707277394,0.48940554656114854,0.29280078012310307,0.2498706932962011,0.270314407416588,0.17606489864742936,0.04774805464574421,0.04896945056536944,0.047623371784917545,0.5638735591757225,0.7955584213182755,0.2201970214622787
p21_jap_main_007,0.35085489927169294,0.48253945466419523,0.27970291744612136,0.24291375474556465,0.26864266481085713,0.13892312378681687,0.04764691258309909,0.04813504058239246,0.04761910947588857,0.5477494088051272,0.7476689691397355,0.21451045399020627
p21_jap_main_008,0.359865020849166,0.49941107792784145,0.2957072983372763,0.26367914971234346,0.27246423233538436,0.1482807267839974,0.04765240271203486,0.04814595115372925,0.047619496909802286,0.5444555669764124,0.8144326071820331,0.21341797361405881
p21_jap_main_009,0.37926363550023545,0.493924111280777,0.2825452241537977,0.2508234074744804,0.2597032452602004,0.18857186519077043,0.04763729927925039,0.047829684365591714,0.04762115290822059,0.5771215458518762,0.7903469782711574,0.2241961764989061
p21_jap_main_010,0.3586561959851978,0.47731292257772384,0.2661214313735863,0.23233153828615322,0.25801145219975397,0.1710518932794897,0.047643872292017816,0.04773937065334139,0.04762656191965871,0.5540642986068424,0.7398015932045712,0.21648251385073383
p21_jap_main_011,0.3656107349116635,0.4891071662946415,0.2689027429361105,0.24505797089892867,0.2585484412366915,0.17901327448532922,0.04762979778584315,0.04777016416207287,0.047620279941522924,0.5434223695568949,0.7842583310281681,0.2129407771682703
p21_jap_main_012,0.3725868086526729,0.4854339929641444,0.273281099612478,0.25411158801384187,0.25706184889435807,0.1808098176167736,0.04764917880253098,0.0476984153556239,0.04762787445683268,0.5889058377554388,0.7534862465527011,0.22808447730453124
p21_jap_main_013,0.35448390514092243,0.4781692557526869,0.25506774369259816,0.23020750207238244,0.2567929751782503,0.15244006338564603,0.047639891252854255,0.04777518438407807,0.047619124395147316,0.5437513027085583,0.7153056351733542,0.21305545944849685
p21_jap_main_014,0.3448613167300733,0.4854798325569286,0.26675456794497576,0.2566995200432166,0.26446793092751447,0.19682376802715748,0.04768421729624895,0.04853229378816369,0.04761950050669433,0.5386747326168855,0.8065069397517265,0.21163041456709936
p21_jap_main_015,0.360852281579835,0.49157428056904384,0.27100337092171156,0.24335090398638784,0.2650675891122153,0.1921760933647541,0.047630940477453185,0.04784635665852112,0.04761909078080826,0.543212047998876,0.8028354006482947,0.21289644837828342
p21_jap_main_016,0.35200280126900013,0.48975574098908997,0.2812077553529483,0.2509398361961318,0.2649419180032807,0.17545413406316496,0.047637288784351195,0.04781865616225689,0.047619188686268125,0.5544220401477531,0.7877705755958837,0.21662599503145372
p21_jap_main_017,0.3591413039046545,0.4824180264276487,0.2791692404591496,0.24467186073353409,0.26361589624881804,0.1823818813906791,0.04764127782936983,0.04772514022401317,0.0476192876079762,0.5660646695728971,0.7732782966871001,0.22047702920876003
p21_jap_main_018,0.3697796748959675,0.48204636658412775,0.27988354082158085,0.2538578315155905,0.2646618346431958,0.18389947040612492,0.04763616834055113,0.04776615328558108,0.047619143969927655,0.5808097957255338,0.775233378087359,0.225404039117222
p21_jap_main_019,0.36340499638053714,0.4991731220116943,0.28564040273873836,0.2468818936894132,0.2575555061279765,0.19065855536611753,0.047626966836514656,0.04774609800488613,0.04762003275020555,0.5454000597745269,0.816042106584302,0.21359104153864256
p21_jap_main_020,0.32240916592883995,0.5012258851647609,0.329273297900942,0.27984328415969845,0.2573781074966529,0.2124635262190485,0.04764534094934373,0.047711006473795614,0.04762802244686707,0.5543513963422055,0.8786822569886865,0.21656924792178162
p21_jap_main_021,0.35265603979168236,0.48870703315757913,0.2898286596187682,0.23332314519145775,0.24776642768320367,0.16589738684470032,0.04763543609611392,0.04768923578026588,0.047619051356837666,0.5512919290631514,0.7551320324592021,0.21553886697984373
p21_jap_main_022,0.3203875900676917,0.45841757433832414,0.27718788170373376,0.19275469478930213,0.2440551747826945,0.1716554989324713,0.04763524195527212,0.047707819071931924,0.047619060560048665,0.5620355652409055,0.6586764512623652,0.2191262087560365
p21_jap_main_023,0.30635168513376776,0.45012853044115825,0.270133348055846,0.2034571526610729,0.23466305519494277,0.1815781285837979,0.047655305254178146,0.04799706349579872,0.047619066252911985,0.5665156391587945,0.6453435451190623,0.2207226693029238
p21_jap_main_024,0.3555431035794487,0.46576466126893673,0.27981085002554434,0.20369220584574665,0.2469425854685469,0.19069234470131632,0.04763211079551918,0.04769532747805246,0.04761906373997211,0.5668529418652681,0.7110976782134955,0.22072679337961323
p21_jap_main_025,0.3370732472557746,0.48015442087689014,0.328206256873229,0.23619492255775362,0.2497496273103601,0.22480255792209786,0.04783970998210323,0.04874233603856613,0.04762004856870837,0.5774676719739527,0.8104325311771449,0.22468323933154066
p21_jap_main_026,0.357422628714922,0.48937142061000116,0.3084664447103217,0.2562070353081526,0.25728332377705454,0.20313324350119927,0.047768882728256766,0.048613077342772974,0.04762239853087008,0.5748264826222383,0.8169263676778161,0.22373614756442267
p21_jap_main_027,0.37085234054723387,0.48574395264237313,0.28843804997773886,0.22753227297768808,0.2581044636850709,0.1899820280148332,0.0476332922705443,0.04774949969041936,0.04761918082725117,0.5653323678754952,0.775241714850951,0.22023838661215295
p21_jap_main_028,0.36268189743997525,0.4893996584111571,0.2966852577215689,0.23436380631561304,0.2550092536409419,0.19078815123015108,0.04762681843941366,0.04766775621803858,0.047619709828862176,0.55847533170626,0.7913434911204188,0.2179233021212374
p21_jap_main_029,0.36571810055337545,0.5009881825552372,0.3079381537956588,0.2567863091349454,0.26260480595467045,0.2025844561869538,0.04763356774204898,0.04779071160062012,0.047619241748003735,0.5701596376819896,0.8403358016534638,0.22186130567488624
p21_jap_main_030,0.35048862646971257,0.47274472883754015,0.2743234673429529,0.2080413567924162,0.2497359979728701,0.17437704316287875,0.04763307872838364,0.04778676998174546,0.04762014401056085,0.5619284927708081,0.7013872981087331,0.2191161138269791
p21_jap_post_001,0.35010277192938954,0.48936065448608107,0.32678402564112213,0.24091572714886494,0.23966759854135744,0.1606155590511333,0.048225531720723795,0.04775763520674078,0.04762242207814885,0.5553542445456808,0.7787743870355467,0.21711247049104845
p21_jap_post_002,0.3754162759994804,0.5010726330074713,0.30640018279210646,0.25267155207804626,0.2607542794254307,0.21238291923702285,0.04764667018880786,0.04789917524630744,0.0476216698986652,0.5771978332008245,0.839413021420761,0.2242478928786466
p21_jap_post_003,0.3672728177201467,0.4920152563862225,0.3109932971809949,0.2552960153571807,0.25990917554909954,0.21272272603953518,0.04766842714406892,0.04795511460153189,0.047619202458144806,0.5893306220917662,0.8241257115640985,0.22831805461245566
p21_jap_post_004,0.35977985582038025,0.4817529828908646,0.2889020815821221,0.22102066824632055,0.25148712888818336,0.17970734387729834,0.04763251184728992,0.047745005941735336,0.04761925288056091,0.555521665865981,0.7528614577132078,0.21696639455166872
p21_jap_post_005,0.3814433317095564,0.49500581871406074,0.3047482881497577,0.2538458101092031,0.2577633650263439,0.19222263701402684,0.04763508446271371,0.04775412441937754,0.047619790395453575,0.5617844306980372,0.8329763560015356,0.2190578798600428
p21_jap_post_006,0.36535857268565225,0.4956497304314894,0.29967999365482695,0.2449283056121312,0.2572237050215022,0.18787885427180914,0.047637613645905956,0.04769167287067736,0.047620139328425425,0.5446867334783125,0.8226174673269349,0.21333867333163192
p21_jap_post_007,0.3491996306649903,0.4674016580943331,0.2767076478116145,0.21415506721406086,0.2502250625803475,0.16962658058149666,0.04764661951976129,0.047685947923292046,0.04761915130440242,0.564231373260071,0.7009866320914696,0.21985464690104145
p21_jap_post_008,0.3786943904191625,0.4974351253977212,0.30394801168073604,0.24964493090681977,0.2651719681215927,0.18359198247757055,0.04763693450768287,0.0477876443361077,0.04761982065237217,0.5688680615933376,0.8194455338711644,0.22143088014570939
p21_jap_post_009,0.38546741096169657,0.5045922805749588,0.31369101323090887,0.28024014609202014,0.24589736728245412,0.21311575322203055,0.047643074047610874,0.04785299974227987,0.04762164583385401,0.5609177806265715,0.8832750376133477,0.21880461813882074
p21_jap_post_010,0.37396414665679417,0.5018836969115931,0.310804625900321,0.26483314111075257,0.25298780575970986,0.1978572988325137,0.047631882091029615,0.04778272005025349,0.04763466738875669,0.557333495051655,0.8540176901092101,0.21758269906431268
p21_jap_pre_001,0.3154726435244403,0.5111376058780958,0.2624219795317059,0.28796468337536585,0.29089640038239595,0.1899009922663984,0.047627045797176075,0.04774925374610447,0.047622994452046444,0.5278246860113598,0.8632165515784829,0.20773366185154676
p21_jap_pre_002,0.29880685941601076,0.5098395706932102,0.2798974674769734,0.28641278019530025,0.19906234892025465,0.15246705151811824,0.04763907310348975,0.047775260793574775,0.04762274281695808,0.5035754653807847,0.7710235607156545,0.19966326642594973
p21_jap_pre_003,0.3321689993586688,0.4969016029508234,0.2729123099882467,0.27733314207003223,0.2823769191613158,0.17244445706366188,0.04762603396322217,0.047753723429546605,0.04764291383649818,0.5364457960070215,0.832103925809997,0.21060851779993006
p21_jap_pre_004,0.32431494403282446,0.5106262783199448,0.27670622342073303,0.2733694784485539,0.28249649174800934,0.16074091913805139,0.04762689332080711,0.047733642621166895,0.04764549843792314,0.525176236339479,0.8338027280628806,0.2068455907604843
p21_jap_pre_005,0.32738530461016146,0.5011321260895661,0.2803616557961205,0.2779486953712561,0.28580006123952606,0.1645573237137664,0.047627999110735265,0.0477598666540587,0.04762499339645393,0.5311094119333428,0.8401884349335956,0.20883242589937892
p21_jap_pre_006,0.3183062080703064,0.5011885132331961,0.2803512097610075,0.2761630325368863,0.28360449528911014,0.16293344229178808,0.04762753601338558,0.0477855149854512,0.047625402940475056,0.5258701947387735,0.8354034707953021,0.20709441524587008
p21_jap_pre_007,0.3046011362647025,0.5072662156400201,0.2773285272023597,0.2677619395664639,0.28376138730328193,0.1700202582238123,0.047633684376860816,0.047766792563441816,0.04764851205695063,0.5327602833519683,0.8213694052226905,0.20938692009742366
p21_jap_pre_008,0.3027570664945842,0.5100744057330071,0.29037081597189207,0.2858693252121192,0.28939017728569394,0.16845522951446554,0.04762561013834697,0.04776170039925115,0.047620774183262396,0.5436008872802742,0.8448960785755901,0.21299606593929077
p21_jap_pre_009,0.2948305532921694,0.5025083944368922,0.2913847537044839,0.2781499636969761,0.29156995763435944,0.16617733715357624,0.047634694656513495,0.047786660580977594,0.047619598222547334,0.5366624340632867,0.837235325984051,0.2106945964335926
p21_jap_pre_010,0.2884383627055638,0.5087071104438364,0.2938421040738449,0.28126585551970495,0.29442287792550154,0.17900978755644883,0.047625645191678036,0.0477789817920352,0.047620018362039544,0.5438949356981311,0.8505823841337933,0.21309985422728142
AVG,0.3483680734342892,0.49076262114967634,0.2872238388642959,0.2508279936105369,0.261813222233282,0.17943807647073573,0.04765848645055322,0.047880612108573854,0.04762250699660007,0.5526337742335452,0.7935995590116701,0.21605762426422406
