uppercut_right|p17_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p17_uppercut_right_main_001,0.32290195339126954,0.4164181980177938,0.24915913678114152,0.25716012053542975,0.18621063013257502,0.1655859587273252,0.04876593214536406,0.05165281487595856,0.047724690407449206,0.45576116309584885,0.7171052373726636,0.18539330337239046
p17_uppercut_right_main_002,0.2873003856798122,0.38160674857508864,0.24423059535993819,0.27872255776198906,0.19885114614168745,0.16336791385497434,0.05046736634777775,0.04776868745187707,0.047639378344140615,0.4697280538569008,0.7028280561310891,0.18932136921885184
p17_uppercut_right_main_003,0.32907022675334036,0.47621561116270633,0.31132333426795816,0.2992128508975256,0.23770078252052093,0.17748563958923383,0.05033320530241679,0.047736963899636456,0.047642917409372536,0.5172721132242631,0.8512910495451441,0.20511409414210546
p17_uppercut_right_main_004,0.34659066562352236,0.5067754764921696,0.3060025728101368,0.3161675525641844,0.24021572381962847,0.16925783283767465,0.053082461294961414,0.056310591686160115,0.0477676710788674,0.5486208024303085,0.8385236339875871,0.21933795180381002
p17_uppercut_right_main_005,0.3497188218646058,0.4875417181798435,0.3425975955499157,0.3189946776298595,0.26133822419531033,0.16566237035184095,0.053308475795073175,0.052056062169493066,0.047667484462122905,0.5804748674180616,0.8579917859709503,0.2286131351275426
p17_uppercut_right_main_006,0.32246040193198466,0.5002267640991526,0.33134592830626686,0.3186555548887651,0.24956394506736101,0.15750161867158052,0.05316320113262017,0.05353576563998718,0.04767802426410162,0.5428402929628976,0.8555263861874278,0.21651308657850163
p17_uppercut_right_main_007,0.3051763299916449,0.4958980073487808,0.2604309787074496,0.2800612508715539,0.24735204672392644,0.17237214843589493,0.05001158298177948,0.047822386731721206,0.047642178320329395,0.48835842934183893,0.8104591397399685,0.19539746635177985
p17_uppercut_right_main_008,0.30947412258638024,0.49866128617005645,0.3072324789702677,0.3146543767574987,0.2420157343760189,0.1633188091558742,0.050290389378826135,0.05278187306113239,0.04776037616018215,0.5154953398077591,0.8508789382767643,0.2061892007492392
p17_uppercut_right_main_009,0.3133785791593544,0.4617411430766209,0.3403365875145265,0.32438134863012086,0.25282289163469013,0.16411370298939748,0.052986480794149214,0.05112866529040725,0.04772547499125588,0.5452904466612087,0.8539784102759579,0.21646853091525503
p17_uppercut_right_main_010,0.3309082204880287,0.4849359076692961,0.35052051830725234,0.32113192501034377,0.24759894567334167,0.16241646431843715,0.052879226035538726,0.0526625852715627,0.047707585437329246,0.5599504870624242,0.859797783796318,0.2218307661231752
p17_uppercut_right_main_011,0.2764180785270315,0.478080444785696,0.300158912709236,0.30524776312642227,0.22618686710639663,0.17663277577753897,0.05187893029609222,0.04781985137787617,0.04768673285960367,0.47193229828837124,0.8501678437049571,0.19054369332077986
p17_uppercut_right_main_012,0.30692913362554625,0.4714520092647427,0.3351683278710181,0.3191352873520982,0.2545671599123967,0.1932533197168243,0.05190536550024771,0.05318697025345204,0.04768748262876431,0.5530285517127498,0.8698152314484948,0.21937362915548317
p17_uppercut_right_main_013,0.2965538349413229,0.4874984817810687,0.2926131463161597,0.3012614597275434,0.2214644889611233,0.1781667854222438,0.050649037084392064,0.05124708361668479,0.04766747244449664,0.4785602507531645,0.8437074447931844,0.19348545715141377
p17_uppercut_right_main_014,0.3139508196645558,0.4745019287883297,0.32256264343151,0.3111979412594251,0.25295487820331275,0.18305415299834288,0.05223163806644132,0.05269208368778401,0.04769534666712997,0.5381947650646876,0.8581066811657844,0.2143728289396376
p17_uppercut_right_main_015,0.27139935967697015,0.3895365026926318,0.24493490091567893,0.29324971894733903,0.17527201063263548,0.1797924631666478,0.050038274574003276,0.04779510404086153,0.04764347408402727,0.4566579829775425,0.7016264231382561,0.18483045386413577
p17_uppercut_right_main_016,0.2701243685475685,0.37870073345795857,0.2324887390096718,0.30415042003779175,0.1933609296301278,0.16776220534098618,0.0507811161145934,0.047825974337087185,0.04766493844498042,0.4538058935979522,0.6995382825513902,0.18413766134987758
p17_uppercut_right_main_017,0.3087309210509256,0.48424472387555256,0.3318831829929775,0.31669367627738976,0.2298047157525442,0.17446868120787587,0.05343369461371509,0.05307930028843383,0.04767940046769762,0.5278250268364435,0.8519506702037767,0.21144600724619747
p17_uppercut_right_main_018,0.2959400466265351,0.4676204992411336,0.29400131590749057,0.29216704822618933,0.2251822418565686,0.1758276366804886,0.05174902313316286,0.047786681304697105,0.04765644661701861,0.46442389837670267,0.841323263591664,0.18798653427152087
p17_uppercut_right_main_019,0.32303191292187833,0.4632383155877474,0.2994211997300341,0.2955915160565123,0.2235041963128955,0.17800448680665948,0.04999092102650397,0.04772779548142435,0.04767856687850727,0.4788548210329974,0.8512272891070655,0.19219117918030856
p17_uppercut_right_main_020,0.2891475841284789,0.38526052733964844,0.24094837079725107,0.28688567786205244,0.20579845166866956,0.17048967006505394,0.050350749151546206,0.04779968655647327,0.04763992281303076,0.4497256146831653,0.7277174501780824,0.18262535013039494
p17_uppercut_right_main_021,0.2901093386882626,0.41720758252190066,0.24448099892152442,0.28478631888617845,0.1875585582848086,0.18326802671480977,0.04952004896763977,0.0498883552152074,0.047630535551898646,0.43677823691834483,0.7554240389646608,0.178728880367064
