uppercut_left|p16_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p16_uppercut_left_main_001,0.3658314117399369,0.46708470398122237,0.31702356878516647,0.3438338571703196,0.328505277396032,0.30949591512823854,0.05103626332578529,0.047882570975554914,0.047633830303606184,0.7558318158154868,0.8978728708520374,0.2849168833722756
p16_uppercut_left_main_002,0.3641215725185173,0.4747623629171276,0.3001930064257488,0.34164332425168814,0.27200878435368125,0.23061605223225393,0.0515661914999591,0.047970714324985654,0.047625551486998055,0.7335128001760987,0.7735508587292509,0.2776832353336811
p16_uppercut_left_main_003,0.3468581227007328,0.4797615505980393,0.30576525778425034,0.3266403875051737,0.267290109500252,0.200760074300669,0.050846358847581784,0.04788570286835349,0.0476248940761571,0.6959632100809706,0.7632788989602294,0.26489842393230195
p16_uppercut_left_main_004,0.3468818140145631,0.48270308012860036,0.31954572973316525,0.351251997444802,0.3148724541396587,0.26457936030750495,0.050954994232172035,0.047897549028764405,0.047627761922753524,0.7460810248117944,0.8597655304986704,0.2816445226909103
p16_uppercut_left_main_005,0.3321051656983319,0.4772202074090507,0.30361535809139995,0.3333659442105562,0.26756755810077254,0.22441671796605314,0.050159842626669275,0.04823233033076954,0.04766966042236203,0.7034409872442035,0.774406955312648,0.26727772006721406
p16_uppercut_left_main_006,0.36781896489638566,0.47744791527499786,0.32844422466315687,0.3559424152470335,0.34096527101006996,0.33209434494555945,0.051107205601701025,0.048196644829544555,0.04764147694539718,0.8122001981605115,0.9051847544623483,0.303834682863919
p16_uppercut_left_main_007,0.33808078298544225,0.4785668735160321,0.3083764667018123,0.32777919036479747,0.25896437292386076,0.21996651654616475,0.05091739580119259,0.047866045437884426,0.04762994242154022,0.7082698133810992,0.7612371235729383,0.2690177515400587
p16_uppercut_left_main_008,0.3454826837827565,0.48194920167407973,0.3107212252379118,0.346406990891582,0.2776103053441645,0.22798675969492282,0.05038990853154018,0.04836157958752395,0.04766779023918969,0.728220040158573,0.7932000829348224,0.2756571760925457
p16_uppercut_left_main_009,0.3668672025248325,0.48348779769939576,0.3098648713172949,0.33941456297979317,0.27687035114563885,0.25852625127004353,0.050583348601537056,0.04797102503653122,0.04763258946069522,0.7549801823608602,0.7990666433218792,0.2845115186663094
p16_uppercut_left_main_010,0.3683522536524372,0.47231945337215064,0.2858966028602663,0.32835712049380295,0.3031474240859874,0.2669685510989591,0.0505214544400078,0.04795937979052713,0.04762761777569989,0.7275940610535951,0.8194989339872615,0.2753582984280434
p16_uppercut_left_main_011,0.2995008783925037,0.47341880933114444,0.30896716205122354,0.3044057675355008,0.2425210385750225,0.19963438585040835,0.05081724704540481,0.04773420431365339,0.04762379360203818,0.6295147569959127,0.7587922551977497,0.24268873611832364
p16_uppercut_left_main_012,0.32173912132065113,0.47408741983845826,0.28488573770221687,0.30425495083721044,0.24723185460979408,0.18933222534238442,0.05040366161190951,0.04782519107167951,0.047629164422458396,0.6378492719389939,0.733257516141124,0.2453593748741943
p16_uppercut_left_main_013,0.32509903013781793,0.46249956341150567,0.25902554859396043,0.310956462469659,0.24081310205800488,0.19858468664350423,0.050906885826312157,0.04779867578708515,0.047621097353855175,0.6739167509513452,0.6766919046515996,0.25754077085491417
p16_uppercut_left_main_014,0.17180232009815435,0.2913067045810969,0.11090310127038436,0.14186464358940734,0.19062551643603157,0.11009718364822699,0.050813430010203234,0.0477996141594601,0.04762074290757908,0.6875823988184973,0.03363877007912535,0.2620651476627202
p16_uppercut_left_main_015,0.3305009336118185,0.4716258120517227,0.3110717953510173,0.3023741390965642,0.258446803460442,0.19972463541255658,0.051603353838432675,0.0478038624545804,0.04762626546517966,0.7164754293996064,0.703040647489325,0.2719608818975398
p16_uppercut_left_main_016,0.2796874620806194,0.47719414756968825,0.2900515721887061,0.2924360591198319,0.25260028928498085,0.19260716519642512,0.050579614987549114,0.04779210731033453,0.047620281208607985,0.6393668191718845,0.713479674150858,0.2459128471565894
p16_uppercut_left_main_017,0.3020570883502486,0.48276968731639913,0.2943507602929468,0.31346933832530643,0.25674784707210213,0.19633869939068405,0.05055815910558033,0.048022502894470485,0.047639860406219266,0.6452744018045293,0.756634552720453,0.24795168793486003
p16_uppercut_left_main_018,0.29777203034375743,0.4785595611998007,0.29349366662988546,0.3329595035421968,0.2821800558945119,0.2311120570864149,0.05073276749891346,0.04804173864239628,0.047685983730116024,0.6775174136195623,0.7944987677452693,0.258763973253624
p16_uppercut_left_main_019,0.3215743619454373,0.4775111449388586,0.28852316755313534,0.3157263228685122,0.2647182700834322,0.2118355186222424,0.051149689475428736,0.04791663220452195,0.047624869623859374,0.6674188618026057,0.7595124518186898,0.2554950611608521
