uppercut_right|p02_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p02_uppercut_right_main_001,0.13337386335065435,0.3572000609182179,0.2114406137150855,0.21263268478886982,0.19581059756686964,0.09468159451518929,0.051981291161729726,0.047803735612935556,0.04762869508918208,0.5639036232065673,0.3368441385822895,0.22122954999374417
p02_uppercut_right_main_002,0.16577041455579009,0.39243613459077203,0.18947390342239076,0.25902795773399284,0.24063508057890082,0.10522207222871911,0.05215129915871852,0.04799545019049548,0.04764197389407408,0.5581673255125164,0.45681752200822956,0.2194380249539101
p02_uppercut_right_main_003,0.15045862781345976,0.3991230631929151,0.21429927323172687,0.24892562465875442,0.22089505354962607,0.09542327485351625,0.05184018374151678,0.04789941765735287,0.047651207771011214,0.560421287119461,0.4348955830690662,0.22005362950611024
p02_uppercut_right_main_004,0.1371274243804607,0.3865755125930209,0.21791904625303427,0.23283715421109533,0.22274735478045232,0.0801137456581614,0.05274574672392372,0.047878036032638155,0.04764738439854678,0.5516848037682516,0.4024035913218188,0.21743619550827115
p02_uppercut_right_main_005,0.15375585473521206,0.4094528931962767,0.23340975361381006,0.2630990764773798,0.24713543979881894,0.0943709778230718,0.05165433490614947,0.047885928946758416,0.04764269176217119,0.5780004418379459,0.4837317949437465,0.22584690189695125
p02_uppercut_right_main_006,0.18554459076042895,0.41838810565150386,0.2696380515321966,0.2887366865622357,0.2611028545524512,0.1275606996417021,0.052249404866789806,0.048122515385215,0.04763879732422243,0.6150242954289749,0.5745217696698351,0.23846540522699322
p02_uppercut_right_main_007,0.18344843869117392,0.41707843622597573,0.2667394277438813,0.29109924029202905,0.264076950326972,0.11415146295359391,0.05247110140888129,0.04800725401068863,0.04764239690491003,0.6027375753044915,0.5740994381820881,0.2344053102413538
p02_uppercut_right_main_008,0.15517437505401444,0.4081668739694947,0.2441655453825235,0.2614897825755665,0.23888982309348536,0.09202417332497727,0.05247022149091764,0.047889048066692676,0.04765123060779691,0.6170662559178137,0.44207262377875606,0.2391418418251413
p02_uppercut_right_main_009,0.15381826339371812,0.39269739877529686,0.2208232572060486,0.251228714794569,0.24054957170847774,0.09510689809661237,0.052654462201157874,0.04797313230151859,0.04764512829644216,0.584012747023621,0.438117381920795,0.2282134471754325
p02_uppercut_right_main_010,0.14826916807665372,0.3809539400603807,0.2087060070215206,0.244070970055177,0.23304174562322139,0.09395970976251203,0.05182892841796052,0.04780119571872672,0.047630065681889114,0.5711092426041606,0.4159852284633236,0.22357978891361593
p02_uppercut_right_main_011,0.2130817992818934,0.4437106934301639,0.30144325359698226,0.33197507739760235,0.2748049724308864,0.14294465535231646,0.053207916692694986,0.04877214808281247,0.047687512045610204,0.6114106910260565,0.7059657398102895,0.23779691860052132
p02_uppercut_right_main_012,0.2176264830734908,0.43768324300027084,0.27206914506674157,0.3301825219332115,0.2734644672156847,0.15866306356951032,0.05377923030153766,0.04829842798763878,0.04764767456202882,0.5662376601297203,0.7331574085893271,0.22277177280629892
p02_uppercut_right_main_013,0.1812991131866964,0.4159621416232356,0.25649547267665274,0.2821659336192832,0.230593474242984,0.11793521538919757,0.05373278328247001,0.048115795864608325,0.0476370433727061,0.5643966621508981,0.5600769917148478,0.2220817470993255
