hook_left|p24_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p24_hook_left_main_001,0.3587818726234791,0.3551679789340544,0.30975084893446114,0.2941543783693268,0.20447843368845064,0.2545786814415038,0.0693750414034158,0.07226159493970467,0.047634063967383324,0.5249935042383799,0.7872346236485311,0.2222100468605001
p24_hook_left_main_002,0.3313341620163309,0.3425461321361603,0.28760537177375806,0.27879414307952016,0.22621230346479115,0.2034823968435761,0.07370017505766613,0.07245828633232154,0.04767461609161586,0.4918826560370214,0.7367595528653128,0.21268037247566968
p24_hook_left_main_003,0.309951849559061,0.3445679958879231,0.310748525333468,0.22597453140908713,0.19674112126763707,0.13910779221174702,0.0680953999479718,0.0684636859027001,0.04762270266994866,0.40115426697078904,0.7008159265931336,0.1792377842738203
p24_hook_left_main_004,0.3530035411484171,0.35447243179286164,0.291573136670413,0.30193013709350136,0.23883492140153936,0.16529625883866128,0.07371187625696878,0.07250068843964408,0.047676860126829,0.4858920129752695,0.7602305278552561,0.21070152589062746
p24_hook_left_main_005,0.3521554583262459,0.3531386148847223,0.29640212551225187,0.2968588745178029,0.16894334342084505,0.20444259053779393,0.07277291741946898,0.07279508857984004,0.04768989339826001,0.47329368438557495,0.7443144945979746,0.20628723012829464
p24_hook_left_main_006,0.3274517882422181,0.3751521849730651,0.2761322803081641,0.31456801326413036,0.2060724162354782,0.2335774963086219,0.07226770241346447,0.07358598463639614,0.048588598207815324,0.44403355858185567,0.8312873440521855,0.19662908187723874
p24_hook_left_main_007,0.285856642664863,0.3478348505068447,0.3145871362648755,0.2471576785767243,0.14803284685764959,0.15267116968385044,0.0722379518397996,0.07070873064665771,0.04766638902654231,0.4159282157413222,0.6633264546549524,0.18629163274259317
p24_hook_left_main_008,0.2442880247245552,0.3266660598313754,0.2689092852359716,0.2537309399997262,0.12114015351422806,0.14749910153729212,0.07132474575772554,0.07076134032794194,0.04762943175571729,0.4227100659943736,0.5551332633648699,0.18826538402668036
p24_hook_left_main_009,0.3400301217584203,0.3580795475354914,0.3237952351190544,0.30610089636142923,0.2457716777999132,0.23154691841740718,0.07384455504473447,0.07315311483028848,0.0476808842659824,0.5251412348033442,0.8231405019129481,0.2240463015594557
p24_hook_left_main_010,0.33791963883097714,0.35759638955053463,0.32064509011125186,0.3075272908801317,0.24056588768130083,0.22150410648932956,0.07340336032605549,0.07286351413229819,0.047662795410144836,0.5070324552927776,0.8229541536920828,0.21776644325037708
p24_hook_left_main_011,0.29336673004803476,0.34148768763468973,0.2682607949292001,0.19550884343169886,0.11875048701892148,0.12291225252725416,0.07014439541791359,0.06960926365109482,0.04763065109196836,0.3010887802003546,0.6263720370455838,0.14694747975645434
p24_hook_left_main_012,0.3011128702982931,0.3499622649806917,0.252851989649685,0.27234161540425367,0.16812897044735411,0.1989028047527126,0.07368098288800105,0.07290934655858454,0.048712196145894934,0.3836061965729249,0.7319925414886841,0.17673217533983682
p24_hook_left_main_013,0.3656741911325384,0.3703380056339556,0.3071339643590892,0.276590219426177,0.2477167437602506,0.2256276030409025,0.0744479095447155,0.07372681156364254,0.047694255973902165,0.5343381637567756,0.7836471182887075,0.22750429495504454
p24_hook_left_main_014,0.32584115595570495,0.3413579306709822,0.29178066938583713,0.2620050747609818,0.15911970313991655,0.17758642042833456,0.07359286697026086,0.0726042840669712,0.04768224849806416,0.4228181784699247,0.7002610106157676,0.1896717765023856
p24_hook_left_main_015,0.3082686354291792,0.3608366918911642,0.31022052221695695,0.27262432981324697,0.14251354416292708,0.16616527284674443,0.07145655188713146,0.07136335208039296,0.04773017586470668,0.41715511430617125,0.7137713198734771,0.18665833942456522
p24_hook_left_main_016,0.25318265453513333,0.3107290790790455,0.22595718450946306,0.24944371315193345,0.11961352228474449,0.14888554953945168,0.07282636532076654,0.07105305808245499,0.04763019398514732,0.41351980580720654,0.5122588529763841,0.1857997430701427
p24_hook_left_main_017,0.2564436924056614,0.339965073316186,0.2902228456522488,0.2348968983314228,0.1257716485720682,0.12020111756659087,0.0709024123348225,0.07004885717842134,0.04768754970577823,0.3025523594206785,0.6617490376487063,0.1478345429779741
p24_hook_left_main_018,0.2984513826131585,0.3313743112361279,0.2693650852024434,0.24054619706980968,0.10405040909108274,0.14527397399528286,0.06774344500028787,0.06633289287449318,0.04762166118087813,0.33864511281780535,0.6396411592390232,0.15757381689752878
p24_hook_left_main_019,0.34732970217318615,0.3547363516921667,0.31124158652954037,0.2501175914433576,0.19851003505206039,0.18497351831393682,0.06978020258644457,0.06885456140448985,0.04762771452877307,0.4133738003017592,0.7810492463047479,0.1840028547642312
p24_hook_left_main_020,0.36229121190144065,0.3757982375272898,0.3284424944866006,0.2920959335482191,0.23184804335892376,0.26650927676904856,0.07314761670955824,0.07248644559552887,0.0476476346783745,0.5197298494352096,0.8603488509181315,0.22178797058009891
p24_hook_left_main_021,0.3763744951482092,0.3721909657707272,0.32872113373008205,0.28961507858798896,0.24469454805046084,0.25704877735359377,0.07355566964432989,0.07330370725671617,0.04768569952378019,0.5148263022685604,0.8710381184340372,0.22056189305653548
p24_hook_left_main_022,0.27214357053354754,0.35492076009558365,0.2810429557622518,0.23909240001185905,0.12270531075733788,0.11830247467545221,0.07035163367915165,0.06943022700666898,0.04763126929418771,0.3060006001736018,0.6711376068839316,0.1485941536198075
p24_hook_left_main_023,0.3681607557558406,0.378981256424495,0.3164798305160805,0.3175592797007706,0.19674742970177536,0.26842839705146615,0.07075209591098727,0.07242724718690192,0.04826064227307052,0.4998618352089238,0.8675975838882477,0.21434705943560434
p24_hook_left_main_024,0.312704206018808,0.3598961452844864,0.2995152001623006,0.2890651714657048,0.15624638035465405,0.18660122256508022,0.07251694492880068,0.07202447916337916,0.048154379297339026,0.4423253551123859,0.7269426424896049,0.19562225973485525
p24_hook_left_main_025,0.3633067052155541,0.35375923285682714,0.29230407764429456,0.2948641868037748,0.2248349547754223,0.23444899878966136,0.07308016292437462,0.07148181286271134,0.04768773288098448,0.4416336224444929,0.8579881138136128,0.1953985327438596
