straight|p16_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p16_straight_main_001,0.33922491637955643,0.42898313370709945,0.22556459833633663,0.27926017324282987,0.2520627130626557,0.29485892926830637,0.05042977751486609,0.04778302960278702,0.04762213052349752,0.5515844844441002,0.8269430122713664,0.21659909718725112
p16_straight_main_002,0.3312701225146017,0.4278446805761112,0.24179136186769892,0.3156036877054438,0.2487268143362241,0.2455223973820738,0.05130599988816408,0.0478156535950629,0.047621519935914736,0.5778085391273977,0.7950291130467855,0.22564339753687487
p16_straight_main_003,0.3107307089719784,0.382711858544189,0.20092154778308696,0.1862541364903262,0.18988965253029716,0.20843352481578173,0.0510496789175868,0.04770548352219518,0.047619344139141886,0.5232336940304061,0.5570951990647404,0.207329618823396
p16_straight_main_004,0.36778124897234404,0.4445107470026482,0.2430194613556993,0.3379609600165271,0.34366493581465324,0.3045023889234223,0.04919101451793523,0.04843792915986489,0.04896425221249609,0.6800107362203786,0.8957993860431059,0.2592132266327262
p16_straight_main_005,0.3456987710039187,0.42531392677190577,0.2473914452360646,0.3425274315136958,0.32709353631075133,0.2858243450154149,0.04943640762583213,0.05162330128610467,0.04834420843314865,0.6618304160303224,0.8639563822800496,0.2542967083140864
p16_straight_main_006,0.33893874235595145,0.3810733045588659,0.23459286878295,0.3190535723381718,0.31876755590153094,0.23941888454141802,0.04930641265342818,0.047935418420031004,0.04938036316312276,0.5624581245859366,0.8513016582155265,0.21989998521979856
p16_straight_main_007,0.3707661818103577,0.44928823607806995,0.24799705520760132,0.34247968479970314,0.3422875893855565,0.29021720954517594,0.050397492851716276,0.0478291068012386,0.04910945966116778,0.6891208573939711,0.884331121302892,0.2624491523489753
p16_straight_main_008,0.3516342947672828,0.4367768752668854,0.22430870415555465,0.3698028963994508,0.3240043017485296,0.2541308965362673,0.04917339336231302,0.053315708008479346,0.05047860435296103,0.629243627241612,0.8720562746615779,0.2439109095374681
p16_straight_main_009,0.33088595905920715,0.4340136971766805,0.23011846970212596,0.3227326469732284,0.23183688374554637,0.2865622026896436,0.04908590829015961,0.04779569595717231,0.047626600082466476,0.5933873862196613,0.81376217748993,0.2300896634889977
p16_straight_main_010,0.3182639565172072,0.4039586402695866,0.27709959185257194,0.3126471469998833,0.23997802939104368,0.23618188467705714,0.05146977160188843,0.04779863182173375,0.047622557628898526,0.5393082841382134,0.8293318440554406,0.21285889585394518
