straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_straight_main_001,0.209049793,0.372734327,0.218812927,0.239127532,0.236673441,0.203878892,0.0489561,0.047760476,0.047626448,0.535244242,0.600845125,0.58116486,0.628791521
p22_straight_main_002,0.256099881,0.475637976,0.2558129,0.264675414,0.321799751,0.238124169,0.053798665,0.048007409,0.048658983,0.475280904,0.905866364,0.776690726,0.700372079
p22_straight_main_003,0.219286829,0.406947635,0.209682889,0.224158239,0.249575893,0.229783828,0.049064024,0.047728752,0.047628959,0.452543012,0.71850234,0.638714542,0.663144435
p22_straight_main_004,0.196306918,0.34524619,0.174557817,0.237956612,0.190122112,0.202217001,0.048394398,0.04770658,0.047622895,0.401949048,0.618756764,0.553714449,
p22_straight_main_005,0.185232517,0.376201312,0.188779994,0.236186025,0.229685302,0.222478272,0.048413824,0.047717453,0.047643117,0.427610409,0.673938869,0.600040331,
p22_straight_main_006,0.251133294,0.47747254,0.24311977,0.235631364,0.334914627,0.230982205,0.049267997,0.0570047,0.051516521,0.489064006,0.849697444,0.741507413,
p22_straight_main_007,0.130415194,0.339068241,0.186049256,0.245715061,0.168998916,0.188159946,0.048420336,0.047720986,0.047620227,0.417273111,0.543160493,0.505394278,
p22_straight_main_008,0.246957167,0.466520614,0.245513157,0.239434439,0.307353074,0.215034756,0.04854463,0.051527149,0.0483588,0.52988928,0.776308024,0.702382401,
p22_straight_main_009,0.206573076,0.413305539,0.237368337,0.246729587,0.208360489,0.207509473,0.048309782,0.047694374,0.048197628,0.411717356,0.748273813,0.647306876,
p22_straight_main_010,0.192882167,0.34517091,0.164533467,0.236094858,0.188902678,0.202058535,0.048357934,0.047727997,0.047623114,0.382597528,0.624292287,0.551783859,
p22_straight_main_011,0.232451511,0.42596714,0.229675842,0.244234478,0.253562332,0.249999408,0.04852534,0.047782688,0.04763394,0.458260465,0.792173644,0.69199969,
