hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_hook_left_main_001,0.318925141,0.472983089,0.266621768,0.253385682,0.212237164,0.239136142,0.068131332,0.06475554,0.047649401,0.44492206,0.828222774,0.71323256,0.682476397
p22_hook_left_main_002,0.284148276,0.449527226,0.261519916,0.241703604,0.197838526,0.199486722,0.065602677,0.062402727,0.047636876,0.387775081,0.79195936,0.670704076,0.677897264
p22_hook_left_main_003,0.123442461,0.306303716,0.104440048,0.106628979,0.073862408,0.09977343,0.068548963,0.064919339,0.047619077,0.476357442,0.022054904,0.158345665,0.679360772
p22_hook_left_main_004,0.269698782,0.451504522,0.236856811,0.212294131,0.171542296,0.270505534,0.05954635,0.05857437,0.047625898,0.358858217,0.815800187,0.678717596,
p22_hook_left_main_005,0.275331084,0.454502215,0.261120637,0.215122515,0.164730754,0.280450947,0.059703949,0.057459261,0.047624215,0.401395955,0.808556545,0.686408368,
p22_hook_left_main_006,0.282948821,0.469821781,0.258950172,0.233397143,0.179306226,0.293959473,0.061289642,0.061919477,0.047648531,0.425306071,0.833714213,0.71119177,
p22_hook_left_main_007,0.271091576,0.459531846,0.239175746,0.242638005,0.190763621,0.238984731,0.065637386,0.06274195,0.047633024,0.405726032,0.78446755,0.670845095,
p22_hook_left_main_008,0.286295543,0.459614907,0.250481349,0.209884344,0.172582008,0.291404256,0.060318853,0.058307441,0.047632526,0.385800797,0.832413076,0.698429392,
p22_hook_left_main_009,0.274374788,0.430186713,0.234751203,0.20503836,0.173035319,0.287177576,0.060419334,0.059716823,0.047634231,0.34151433,0.831805366,0.684718055,
p22_hook_left_main_010,0.281720747,0.464628752,0.249075388,0.189850803,0.175424703,0.297202327,0.060725433,0.058285707,0.047634808,0.368185979,0.838179972,0.697181774,
p22_hook_left_main_011,0.277002426,0.464048624,0.264249351,0.186096717,0.176360864,0.282225197,0.060353928,0.05935322,0.047631314,0.369043847,0.828206487,0.690457695,
p22_hook_left_main_012,0.284977507,0.473163463,0.251763174,0.180876018,0.175704793,0.305210138,0.060185154,0.059069013,0.047632634,0.376042996,0.835461869,0.697636207,
p22_hook_left_main_013,0.296658432,0.476038207,0.25382976,0.189440315,0.179704146,0.290110018,0.060587643,0.060046974,0.047647584,0.375642229,0.842098763,0.702161802,
p22_hook_left_main_014,0.28703843,0.459827736,0.258884472,0.196121757,0.179352333,0.306625106,0.061100122,0.058492208,0.047654378,0.392067657,0.843219002,0.707873599,
p22_hook_left_main_015,0.295913187,0.469327895,0.262173235,0.26886303,0.210137034,0.236113019,0.067770082,0.063764661,0.047668726,0.43600884,0.830909948,0.712439616,
p22_hook_left_main_016,0.295893339,0.473112579,0.27421812,0.267224187,0.173136303,0.319997968,0.060382984,0.057922068,0.047644576,0.481622795,0.857708984,0.744883127,
p22_hook_left_main_017,0.316287142,0.484620489,0.271387483,0.281924818,0.216282315,0.272880784,0.067910389,0.067900936,0.047663943,0.46899759,0.875498117,0.753547959,
p22_hook_left_main_018,0.293854809,0.469954386,0.230909112,0.262492671,0.172153911,0.314556671,0.06056441,0.059283955,0.047707671,0.447290445,0.836274496,0.719579281,
p22_hook_left_main_019,0.291595021,0.447064928,0.229421948,0.245729617,0.199374549,0.286544209,0.06611178,0.06316245,0.047631769,0.40962023,0.830289269,0.704088557,
p22_hook_left_main_020,0.302772897,0.479393709,0.245093054,0.271533229,0.219971215,0.227873023,0.071143736,0.067141026,0.047653986,0.433753679,0.822236958,0.705691975,
p22_hook_left_main_021,0.271621253,0.475477074,0.23940538,0.219187681,0.176700075,0.28924815,0.062925173,0.059971371,0.047631084,0.391784669,0.827451618,0.696751533,
p22_hook_left_main_022,0.308109922,0.453747251,0.227510059,0.245868173,0.203456078,0.22044386,0.066466953,0.062848265,0.047635768,0.379083261,0.811525183,0.681792607,
p22_hook_left_main_023,0.287928059,0.464858646,0.245138836,0.28143418,0.180440031,0.289316728,0.061574488,0.06029528,0.04766541,0.438841865,0.851434741,0.727656878,
p22_hook_left_main_024,0.290276573,0.477264147,0.246539683,0.278348995,0.176683832,0.285379796,0.06021137,0.058207297,0.047637402,0.451815964,0.841329673,0.72447556,
p22_hook_left_main_025,0.302866646,0.48093742,0.238306044,0.247533199,0.193371257,0.204384211,0.065474886,0.062233613,0.047667612,0.385061203,0.802262617,0.677102193,
p22_hook_left_main_026,0.333509767,0.455685072,0.253932197,0.247406067,0.203276987,0.233727378,0.066820138,0.06351639,0.047631615,0.423492914,0.817566477,0.699344408,
p22_hook_left_main_027,0.296109167,0.451992138,0.265589375,0.252744331,0.201998377,0.224756792,0.066412703,0.062912019,0.04763992,0.406170625,0.821448963,0.696865462,
p22_hook_left_main_028,0.254814661,0.444469138,0.251027522,0.280424739,0.122935447,0.201458035,0.065791601,0.061718986,0.047628391,0.384706479,0.73853323,0.632385204,
p22_hook_left_main_029,0.286716478,0.489417659,0.281815558,0.296624583,0.212213013,0.231273013,0.067922355,0.064154286,0.047668716,0.479457333,0.840297309,0.732045316,
p22_hook_left_main_030,0.302028661,0.486432433,0.260199953,0.280682657,0.226106603,0.212114101,0.070999619,0.070666937,0.047634725,0.487006629,0.788052278,0.697738583,
p22_hook_left_post_001,0.180789377,0.383131793,0.133296773,0.182484881,0.10941022,0.117142638,0.069681815,0.066921489,0.047621767,0.459064676,0.278394668,0.33259567,
p22_hook_left_post_002,0.336061026,0.483530481,0.256986817,0.271521342,0.226801382,0.227494195,0.069980979,0.069973641,0.047651024,0.45131592,0.837953878,0.721962491,
p22_hook_left_post_003,0.287742756,0.477827039,0.300226611,0.250997673,0.239285298,0.232420221,0.07200332,0.071001208,0.047653216,0.464922882,0.835889807,0.724599729,
p22_hook_left_post_004,0.284460859,0.465353533,0.29340598,0.322317963,0.182538503,0.327046658,0.061611736,0.059921189,0.047650574,0.546122171,0.870265852,0.773022747,
p22_hook_left_post_005,0.260964842,0.470728061,0.284854866,0.240854632,0.190315321,0.277520743,0.064962352,0.062252069,0.047625488,0.417661876,0.850880794,0.720915119,
p22_hook_left_post_006,0.258751768,0.450145807,0.260853555,0.288130912,0.184733608,0.244724622,0.064627879,0.061297128,0.047631032,0.413547871,0.825712008,0.702062767,
p22_hook_left_post_007,0.250521223,0.468752412,0.273332952,0.307346131,0.191303478,0.221160731,0.065914044,0.062985143,0.047674937,0.463318909,0.798568475,0.697993605,
p22_hook_left_post_008,0.260328522,0.437849998,0.233437595,0.280208538,0.173685516,0.299837357,0.060376781,0.058594726,0.04763058,0.414233252,0.838610783,0.711297524,
p22_hook_left_post_009,0.273324542,0.457607449,0.263623995,0.269127068,0.197118,0.251476953,0.066375521,0.062592059,0.04762941,0.440659021,0.812329961,0.700828679,
p22_hook_left_post_010,0.252772215,0.460609948,0.281819321,0.271519061,0.181161589,0.243248171,0.064451781,0.06105735,0.047691856,0.446515494,0.799628085,0.693694308,
p22_hook_left_pre_001,0.251729043,0.456270898,0.302578275,0.249862795,0.129924793,0.176617213,0.067154399,0.064090765,0.047629282,0.418118429,0.705579567,0.619341226,
p22_hook_left_pre_002,0.250335596,0.410687408,0.237868376,0.196499629,0.165329527,0.262297397,0.059668153,0.058752462,0.047626725,0.305907281,0.806818505,0.656545138,
p22_hook_left_pre_003,0.269576635,0.47180479,0.250036751,0.202352539,0.174546341,0.266932672,0.060694171,0.058129629,0.047635826,0.355944402,0.831243341,0.688653659,
