uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_uppercut_left_main_001,0.296382971,0.458772099,0.253637432,0.227921503,0.291621681,0.272385599,0.048546361,0.049078392,0.047667963,0.498864957,0.866282448,0.866282448,0.823977852
p22_uppercut_left_main_002,0.264818848,0.403895555,0.256563203,0.255632644,0.301939893,0.268413417,0.04873528,0.04782206,0.047627113,0.577460945,0.783333189,0.783333189,0.750884204
p22_uppercut_left_main_003,0.279769421,0.477866034,0.216051123,0.221931845,0.288296824,0.266452841,0.048496988,0.048721929,0.047715506,0.471941502,0.844018013,0.844018013,0.780483012
p22_uppercut_left_main_004,0.239617132,0.406708233,0.268537069,0.260680274,0.261173399,0.254452748,0.048598863,0.047795204,0.047661508,0.508691548,0.800368338,0.800368338,
p22_uppercut_left_main_005,0.2352467,0.469585361,0.218845266,0.225258823,0.29233922,0.263371179,0.048611744,0.0487507,0.047780048,0.487850345,0.807383371,0.807383371,
p22_uppercut_left_main_006,0.227888377,0.416251927,0.263303212,0.25169708,0.274666044,0.250427169,0.048359308,0.047738767,0.047626277,0.481372531,0.820468241,0.820468241,
p22_uppercut_left_main_007,0.242606027,0.436275876,0.250200152,0.247192626,0.285997235,0.253748515,0.048537117,0.047788942,0.047627665,0.477199273,0.842207944,0.842207944,
p22_uppercut_left_main_008,0.261068869,0.408845642,0.25076328,0.221415835,0.300013987,0.289627992,0.048159487,0.049022246,0.04782783,0.476772277,0.860618113,0.860618113,
p22_uppercut_left_main_009,0.250838881,0.419440805,0.270795355,0.271319337,0.284228338,0.285084371,0.048627555,0.047822152,0.047629402,0.528204482,0.858678688,0.858678688,
p22_uppercut_left_main_010,0.245939194,0.425647574,0.278193424,0.267072018,0.285220569,0.286026281,0.048681824,0.047790265,0.047628084,0.536783484,0.854438552,0.854438552,
p22_uppercut_left_main_011,0.243976172,0.420612517,0.292105188,0.27453758,0.28777932,0.279319482,0.048509501,0.047780507,0.047627023,0.543012325,0.861015983,0.861015983,
p22_uppercut_left_main_012,0.261810926,0.47696228,0.251485372,0.246862104,0.315706482,0.280892931,0.048938542,0.049710096,0.04788936,0.528011511,0.876895417,0.876895417,
p22_uppercut_left_main_013,0.268659882,0.486635068,0.254822976,0.256480126,0.320683057,0.28873346,0.048103381,0.049829855,0.048012323,0.570233187,0.869325493,0.869325493,
p22_uppercut_left_main_014,0.268349861,0.495490373,0.249617574,0.249505523,0.315512138,0.29515523,0.048899813,0.052004692,0.048411103,0.540433208,0.888463368,0.888463368,
p22_uppercut_left_main_015,0.259200099,0.490235957,0.264185611,0.283647693,0.316039631,0.282156671,0.050322581,0.05901206,0.047981517,0.600633548,0.851103758,0.851103758,
p22_uppercut_left_main_016,0.263066258,0.488580019,0.253323873,0.244556155,0.324029024,0.291405532,0.048767454,0.049962095,0.048212667,0.522197966,0.906420706,0.906420706,
