jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_jap_main_001,0.357627096,0.479849606,0.340466743,0.249025321,0.267479356,0.277329874,0.047947479,0.049081597,0.047621912,0.610942203,0.883544748,0.883544748,0.917048828
p22_jap_main_002,0.340295465,0.466184462,0.273257581,0.279882459,0.254599781,0.241491259,0.047946418,0.050549204,0.047619733,0.519887541,0.87636966,0.87636966,0.882348469
p22_jap_main_003,0.345883514,0.459350078,0.296143858,0.283023212,0.262209238,0.24425848,0.047783405,0.049134687,0.047622471,0.56016645,0.872934447,0.872934447,0.87338706
p22_jap_main_004,0.339082245,0.503729635,0.308197952,0.286620911,0.273200499,0.268158568,0.047905286,0.052671528,0.047631895,0.588285288,0.908088019,0.908088019,
p22_jap_main_005,0.327304479,0.491865433,0.29756711,0.282624793,0.275636844,0.309470789,0.048019791,0.049888148,0.047651925,0.583165461,0.931290716,0.931290716,
p22_jap_main_006,0.358295863,0.490448962,0.285358733,0.285881779,0.281355834,0.313852254,0.04782782,0.051083715,0.047647358,0.5971857,0.93181347,0.93181347,
p22_jap_main_007,0.311687907,0.485699243,0.301768389,0.275712567,0.270786676,0.274093864,0.047736481,0.048369523,0.047623193,0.564330864,0.897644957,0.897644957,
p22_jap_main_008,0.333837944,0.483102964,0.28925475,0.270783956,0.276873515,0.276349766,0.047771235,0.050029132,0.047625274,0.540767918,0.921179623,0.921179623,
p22_jap_main_009,0.308828265,0.505642439,0.315320212,0.273863,0.275676531,0.279037136,0.047735169,0.048913689,0.047636359,0.574160599,0.915976153,0.915976153,
p22_jap_main_010,0.346202262,0.496691724,0.291192369,0.286683669,0.278482084,0.342817756,0.048107666,0.051098839,0.047704059,0.614940582,0.942748484,0.942748484,
p22_jap_main_011,0.339614628,0.496697894,0.303005557,0.269433876,0.286414564,0.307762252,0.047779043,0.048618371,0.047649785,0.591951296,0.932137614,0.932137614,
p22_jap_main_012,0.342202954,0.504262005,0.293961646,0.303015164,0.27832594,0.32255211,0.047856638,0.052116373,0.047654241,0.623077359,0.934954075,0.934954075,
p22_jap_main_013,0.334988327,0.492217431,0.32862698,0.248405621,0.267975534,0.252615061,0.047829986,0.049146679,0.047627297,0.57252105,0.8824036,0.8824036,
p22_jap_main_014,0.322839764,0.481857997,0.31371647,0.270138167,0.274345157,0.270777924,0.047735294,0.048509695,0.047620599,0.56545792,0.905515455,0.905515455,
p22_jap_main_015,0.323481705,0.498967147,0.311330315,0.305706776,0.292238892,0.298866048,0.047876827,0.051670913,0.04764853,0.624318267,0.932728164,0.932728164,
p22_jap_main_016,0.333090024,0.506769405,0.3149177,0.26887253,0.279252984,0.277873996,0.047731933,0.048453665,0.0476244,0.600776615,0.902214682,0.902214682,
p22_jap_main_017,0.327170133,0.501786958,0.303910068,0.286445535,0.296824156,0.301613381,0.047801563,0.050230955,0.047722436,0.599573079,0.941284485,0.941284485,
p22_jap_main_018,0.293114929,0.496449807,0.273218102,0.298790965,0.286069497,0.339868689,0.047798212,0.050236412,0.047641845,0.597369962,0.933604794,0.933604794,
p22_jap_main_019,0.290653358,0.503778406,0.309423198,0.277952731,0.282942737,0.284511855,0.047807005,0.05044519,0.047629567,0.574314184,0.916866977,0.916866977,
p22_jap_main_020,0.300102572,0.498272867,0.31882278,0.274265087,0.282153561,0.28846088,0.047719339,0.04962248,0.047619875,0.591691685,0.912704645,0.912704645,
p22_jap_main_021,0.28258811,0.505588325,0.298225276,0.270333713,0.288650227,0.289566634,0.047731425,0.049245309,0.047626791,0.560948414,0.919978112,0.919978112,
p22_jap_main_022,0.298684688,0.498376425,0.268190628,0.299890506,0.296295345,0.335374169,0.047742612,0.049812964,0.047683287,0.610052306,0.92845362,0.92845362,
