hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_hook_right_main_001,0.188338609,0.416730289,0.200483592,0.254898358,0.151228518,0.197219562,0.054168129,0.047760868,0.047620639,0.418655792,0.624176828,0.624176828,0.679276717
p22_hook_right_main_002,0.179004335,0.398221175,0.195650794,0.247485748,0.149071312,0.191438346,0.054014748,0.047775776,0.047620665,0.410467488,0.597898548,0.597898548,0.611372667
p22_hook_right_main_003,0.19437807,0.407617252,0.21927563,0.265494853,0.158402571,0.236610835,0.053231863,0.047682007,0.047647491,0.413185797,0.707528672,0.707528672,0.693006796
p22_hook_right_main_004,0.169370665,0.396273487,0.215324735,0.248067859,0.143890174,0.197745642,0.054189849,0.047748548,0.047627923,0.458606929,0.566092768,0.566092768,
p22_hook_right_main_005,0.161859553,0.400408343,0.208504377,0.255684564,0.145834697,0.215890684,0.054012471,0.047789632,0.047622641,0.412259185,0.629447784,0.629447784,
p22_hook_right_main_006,0.177414807,0.363565449,0.200484012,0.241341281,0.189742752,0.224735883,0.054553299,0.047709951,0.047620301,0.453645489,0.611550945,0.611550945,
p22_hook_right_main_007,0.197955832,0.394074521,0.223050588,0.24333577,0.213817587,0.243486198,0.055324888,0.047793874,0.047623225,0.468773542,0.689445472,0.689445472,
p22_hook_right_main_008,0.195649498,0.425274395,0.222358587,0.215534737,0.201925817,0.205209173,0.056000539,0.047870112,0.04762138,0.48193121,0.614544604,0.614544604,
p22_hook_right_main_009,0.220848724,0.473685886,0.246087953,0.253902671,0.286046389,0.254866075,0.056751459,0.048336722,0.047719487,0.54162333,0.786697679,0.786697679,
p22_hook_right_main_010,0.186856573,0.417954915,0.204775609,0.245868908,0.143555682,0.215872393,0.053870326,0.047719468,0.047802384,0.407196068,0.648966195,0.648966195,
p22_hook_right_main_011,0.181030275,0.404551486,0.221938684,0.262185637,0.164276718,0.21534113,0.054456785,0.047763704,0.047630729,0.432338201,0.657447553,0.657447553,
p22_hook_right_main_012,0.2120098,0.428482171,0.213660858,0.249436812,0.226241247,0.270060414,0.054733429,0.047735136,0.047655248,0.510208457,0.705971496,0.705971496,
p22_hook_right_main_013,0.183237523,0.370098231,0.214014626,0.2678732,0.160329641,0.219921746,0.054589118,0.047756654,0.047619993,0.417012233,0.657821746,0.657821746,
p22_hook_right_main_014,0.180304368,0.414122467,0.201874551,0.236651357,0.145167117,0.193766502,0.054054378,0.047766802,0.047619794,0.426248984,0.585981249,0.585981249,
p22_hook_right_main_015,0.288129841,0.48922653,0.32232596,0.287767769,0.297530723,0.261445301,0.057202035,0.057071077,0.048441834,0.592070777,0.890790936,0.890790936,
p22_hook_right_main_016,0.186145652,0.366599805,0.216745794,0.252789966,0.150720365,0.208851402,0.054113591,0.04774193,0.047620575,0.392262629,0.649936733,0.649936733,
p22_hook_right_main_017,0.224204181,0.4468016,0.233593817,0.254386539,0.221336846,0.247283927,0.055506339,0.047840742,0.04762213,0.505019127,0.726298374,0.726298374,
p22_hook_right_main_018,0.180996063,0.42441253,0.216794735,0.260971241,0.150006374,0.210975326,0.054624889,0.047737002,0.047620007,0.439168648,0.639616882,0.639616882,
p22_hook_right_main_019,0.196484477,0.441923574,0.215781155,0.248061117,0.171562182,0.22555742,0.054370588,0.047771485,0.047621337,0.43546789,0.68276499,0.68276499,
p22_hook_right_main_020,0.233890747,0.467311844,0.255962047,0.256789754,0.298214992,0.246136578,0.056499039,0.049630301,0.047802734,0.527196857,0.817312651,0.817312651,
p22_hook_right_main_021,0.242610829,0.468771838,0.269572878,0.284585918,0.308750934,0.246888124,0.056651809,0.052724027,0.047876748,0.579708883,0.819977337,0.819977337,
p22_hook_right_main_022,0.189525572,0.444918261,0.250166195,0.25456193,0.190744595,0.232698158,0.055348159,0.047767489,0.047620371,0.461938535,0.721377458,0.721377458,
p22_hook_right_main_023,0.18033066,0.411262206,0.212495136,0.27102859,0.158974589,0.216296977,0.054849213,0.047715372,0.047629252,0.436746124,0.653982102,0.653982102,
p22_hook_right_main_024,0.201322575,0.433604332,0.192992691,0.254675592,0.196843146,0.230810254,0.054519812,0.0477106,0.047650801,0.489891789,0.641010995,0.641010995,
p22_hook_right_main_025,0.180087303,0.441314577,0.217406168,0.245646603,0.21306998,0.234900598,0.056503769,0.047859661,0.047619522,0.483011457,0.675489418,0.675489418,
p22_hook_right_main_026,0.1981296,0.452951979,0.227845778,0.264450394,0.205796651,0.22372319,0.055465156,0.047779935,0.04762074,0.509446504,0.676448971,0.676448971,
p22_hook_right_main_027,0.192933867,0.451306286,0.253094127,0.260604502,0.224815083,0.293323081,0.056360279,0.048035624,0.047674663,0.52132661,0.775404474,0.775404474,
p22_hook_right_main_028,0.172403399,0.423977405,0.219655654,0.27199807,0.161348804,0.236379293,0.055191036,0.047764775,0.047620352,0.46837589,0.652148094,0.652148094,
p22_hook_right_main_029,0.177128922,0.42980164,0.226893964,0.26091555,0.163896817,0.224375835,0.054872928,0.047776873,0.047621056,0.451041207,0.664431938,0.664431938,
p22_hook_right_main_030,0.162216881,0.411698521,0.228417556,0.266242178,0.184664012,0.222176721,0.054457564,0.047782359,0.047619681,0.516145296,0.607738632,0.607738632,
p22_hook_right_post_001,0.059324777,0.310020151,0.132389635,0.102467575,0.139198287,0.140109716,0.054137777,0.047678825,0.047619179,0.550290271,0.082778779,0.082778779,
p22_hook_right_post_002,0.172430816,0.409935962,0.187277427,0.259736517,0.135987192,0.184331913,0.053980584,0.047749785,0.047619786,0.420603749,0.574233443,0.574233443,
p22_hook_right_post_003,0.177538363,0.426542354,0.231240038,0.253898822,0.207344629,0.224413222,0.054827673,0.047841916,0.047621531,0.48674494,0.668801365,0.668801365,
p22_hook_right_post_004,0.219710204,0.480410694,0.30214651,0.269507131,0.285918824,0.257072867,0.054976448,0.04839573,0.048114901,0.591152255,0.815839877,0.815839877,
p22_hook_right_post_005,0.188662385,0.423037413,0.190511133,0.264906548,0.171709173,0.202708403,0.053333184,0.047754761,0.047620356,0.462823094,0.610862086,0.610862086,
p22_hook_right_post_006,0.190923841,0.38577706,0.215937232,0.239701714,0.201140016,0.243710612,0.054864477,0.047782785,0.048402696,0.420017824,0.704455813,0.704455813,
p22_hook_right_post_007,0.192273031,0.438797858,0.246848417,0.264663214,0.205363176,0.249875888,0.055156303,0.047861713,0.047651961,0.50072628,0.71954939,0.71954939,
p22_hook_right_post_008,0.184870485,0.423620007,0.179627211,0.229939318,0.173340813,0.205034785,0.054023586,0.047767624,0.047619856,0.427256054,0.606510382,0.606510382,
p22_hook_right_post_009,0.179849541,0.419969411,0.186409957,0.234784521,0.161136131,0.205521611,0.053810016,0.047738987,0.047619872,0.408027412,0.619830184,0.619830184,
p22_hook_right_post_010,0.209930525,0.427344661,0.231118041,0.236929888,0.200914438,0.254257617,0.054430015,0.047717714,0.047620027,0.473458116,0.710865352,0.710865352,
p22_hook_right_pre_001,0.208851162,0.409879996,0.247133981,0.265877854,0.224693714,0.266505848,0.055774715,0.04780235,0.047627785,0.545109205,0.704035472,0.704035472,
p22_hook_right_pre_002,0.216486212,0.473066405,0.295650697,0.289472933,0.267091922,0.21764098,0.053428944,0.047728755,0.047771132,0.613843572,0.750255566,0.750255566,
p22_hook_right_pre_003,0.269569338,0.494072613,0.291103873,0.282837759,0.303669941,0.260793237,0.055480884,0.049238262,0.05023713,0.593188696,0.860112376,0.860112376,
p22_hook_right_pre_004,0.209607473,0.379090963,0.19213161,0.262028839,0.166645548,0.22171436,0.054423928,0.047745348,0.04762194,0.418859741,0.656048083,0.656048083,
p22_hook_right_pre_005,0.197485565,0.388308399,0.18653769,0.257417771,0.216754224,0.252556512,0.056045714,0.047774511,0.047627517,0.463328941,0.679372409,0.679372409,
p22_hook_right_pre_006,0.197458158,0.428888222,0.197018608,0.257351365,0.188758676,0.201804552,0.055570311,0.047988891,0.047621408,0.493141878,0.605324256,0.605324256,
p22_hook_right_pre_007,0.159786817,0.402212318,0.185071067,0.282343154,0.184267415,0.205187816,0.054147203,0.047734145,0.047626865,0.479803717,0.593128818,0.593128818,
p22_hook_right_pre_008,0.163454979,0.408635328,0.189914215,0.253601777,0.145773951,0.213282762,0.054931608,0.04784227,0.047622664,0.408366203,0.616545885,0.616545885,
p22_hook_right_pre_009,0.243561095,0.494918319,0.323615308,0.304810749,0.290283061,0.266150697,0.054013888,0.047742276,0.050012849,0.615536164,0.873298738,0.873298738,
p22_hook_right_pre_010,0.197446322,0.379096598,0.182344624,0.25805247,0.10373166,0.212090396,0.054264062,0.047706643,0.047623975,0.395965647,0.591946353,0.591946353,
AVG,0.193480406,0.422411355,0.222825111,0.255071348,0.195030582,0.226575011,0.054842176,0.048150236,0.047784743,0.476584294,0.668441923,0.668441923,
