uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_uppercut_left_main_001,0.29455673,0.446629651,0.292384182,0.263236708,0.279648432,0.285437484,0.053421552,0.050977108,0.047908523,0.600718556,0.825437642,0.825437642,0.81225629
p22_uppercut_left_main_002,0.312937541,0.435456994,0.272199631,0.292849587,0.305998882,0.269479944,0.05473713,0.048111728,0.047750672,0.627010095,0.824950889,0.824950889,0.743696571
p22_uppercut_left_main_003,0.286738294,0.453114975,0.242685201,0.264795744,0.263763836,0.281934639,0.053311554,0.050944103,0.047776859,0.566357377,0.79497802,0.79497802,0.77449325
p22_uppercut_left_main_004,0.274118533,0.450985568,0.303617938,0.291803502,0.281082298,0.253567097,0.054866307,0.048247048,0.04774742,0.583914866,0.845031651,0.845031651,
p22_uppercut_left_main_005,0.245618914,0.439980755,0.247921738,0.259808856,0.26135263,0.278282109,0.052778542,0.051260721,0.047744048,0.579274766,0.748975745,0.748975745,
p22_uppercut_left_main_006,0.251446189,0.443162619,0.299944261,0.294333624,0.291541361,0.255542554,0.054220079,0.048856588,0.047699367,0.563509394,0.859131355,0.859131355,
p22_uppercut_left_main_007,0.239221208,0.473832569,0.274947127,0.285190341,0.287471175,0.254337468,0.055275467,0.048574171,0.047818835,0.571522239,0.82135602,0.82135602,
p22_uppercut_left_main_008,0.264820714,0.4436117,0.276796539,0.258940712,0.269163921,0.315741697,0.052852751,0.051227017,0.047829209,0.596877917,0.811760392,0.811760392,
p22_uppercut_left_main_009,0.293388904,0.45223859,0.295779234,0.303649958,0.316746088,0.301291974,0.054246226,0.048759499,0.047877971,0.606518019,0.917746273,0.917746273,
p22_uppercut_left_main_010,0.287015407,0.474433794,0.293882675,0.30394374,0.314173,0.290598427,0.054247566,0.048978426,0.048215438,0.59874755,0.917526493,0.917526493,
p22_uppercut_left_main_011,0.278942486,0.453720548,0.318160727,0.305498816,0.317510685,0.276240086,0.055980457,0.049644376,0.048071078,0.605052993,0.909574182,0.909574182,
p22_uppercut_left_main_012,0.27261032,0.451297615,0.279120496,0.282415274,0.294426659,0.310426421,0.054144967,0.052727109,0.048166568,0.622594684,0.83966048,0.83966048,
p22_uppercut_left_main_013,0.282144314,0.459439581,0.28118613,0.280383293,0.309084659,0.294425565,0.055068997,0.052142261,0.048145997,0.626182102,0.842529959,0.842529959,
p22_uppercut_left_main_014,0.283254019,0.469009886,0.277823375,0.288882197,0.306232397,0.322474321,0.055176247,0.05628537,0.048908127,0.642020557,0.85711974,0.85711974,
p22_uppercut_left_main_015,0.218912349,0.436943396,0.285416446,0.297227839,0.25077496,0.286573142,0.050722825,0.048343486,0.047623205,0.693468715,0.692492907,0.692492907,
p22_uppercut_left_main_016,0.280065836,0.482719817,0.271119143,0.287102041,0.314912723,0.335473072,0.055420794,0.057329195,0.049374163,0.631137136,0.884114393,0.884114393,
p22_uppercut_left_main_017,0.264130917,0.460311768,0.262180382,0.287412873,0.297261087,0.264677243,0.055122156,0.050413981,0.047915925,0.584648517,0.823697433,0.823697433,
p22_uppercut_left_main_018,0.258781048,0.458112012,0.247667858,0.275507678,0.290325701,0.319910643,0.053450903,0.053180884,0.048150259,0.609005049,0.819225424,0.819225424,
p22_uppercut_left_main_019,0.272192711,0.459643039,0.265116329,0.286711053,0.302272128,0.329404927,0.055141396,0.054752823,0.048312771,0.622999676,0.856677404,0.856677404,
p22_uppercut_left_main_020,0.252354387,0.456245524,0.292967787,0.291037679,0.281733433,0.312828142,0.053808168,0.051177737,0.047871595,0.6614104,0.809348034,0.809348034,
p22_uppercut_left_main_021,0.265562385,0.46593225,0.257077647,0.278902352,0.299399087,0.332824727,0.053881361,0.054575087,0.048468816,0.637303892,0.83143096,0.83143096,
p22_uppercut_left_main_022,0.27005325,0.477716048,0.287543158,0.299648973,0.319532839,0.282467565,0.055470748,0.048964308,0.047927509,0.614620244,0.881686108,0.881686108,
p22_uppercut_left_main_023,0.256793525,0.478678958,0.309991132,0.302716397,0.310067635,0.272941583,0.055593901,0.049954414,0.04799201,0.59134585,0.901680141,0.901680141,
p22_uppercut_left_main_024,0.254553811,0.479159868,0.298779492,0.268654628,0.288965649,0.246065124,0.055559707,0.048599526,0.047760385,0.548550967,0.854842844,0.854842844,
p22_uppercut_left_main_025,0.279519737,0.469854553,0.286151044,0.28596839,0.303707715,0.339559883,0.054683969,0.056956276,0.048854715,0.631678066,0.8851803,0.8851803,
p22_uppercut_left_main_026,0.240671933,0.446987498,0.321457252,0.29131255,0.276251985,0.241668658,0.051358953,0.047792326,0.04762161,0.596086803,0.816855866,0.816855866,
p22_uppercut_left_main_027,0.123338397,0.319335549,0.12991266,0.142451075,0.156501118,0.196304334,0.050246568,0.047704237,0.047620848,0.670390478,0.113054981,0.113054981,
p22_uppercut_left_main_028,0.225991905,0.431592505,0.266693443,0.282464494,0.250469055,0.287787946,0.050506314,0.048777094,0.0476295,0.659835436,0.694480805,0.694480805,
p22_uppercut_left_main_029,0.273058468,0.464784395,0.290880552,0.305577545,0.272770115,0.259838341,0.049796472,0.04766195,0.047620853,0.625740989,0.813031534,0.813031534,
p22_uppercut_left_main_030,0.262323574,0.475708423,0.2871283,0.297897953,0.313354714,0.265583227,0.055647902,0.049494673,0.04805976,0.591277733,0.874110714,0.874110714,
p22_uppercut_left_post_001,0.11208144,0.288414302,0.125535077,0.129439657,0.133797592,0.161983648,0.050694932,0.047701203,0.047619164,0.67441381,0.013635862,0.013635862,
p22_uppercut_left_post_002,0.25376705,0.456116112,0.269505079,0.294591696,0.288032048,0.269256061,0.049786942,0.047773177,0.047622219,0.615406117,0.801846455,0.801846455,
p22_uppercut_left_post_003,0.264691471,0.462890822,0.243731689,0.260824565,0.293447709,0.309192446,0.054321267,0.055458223,0.048322757,0.538168479,0.863100915,0.863100915,
p22_uppercut_left_post_004,0.258085733,0.48189161,0.243871603,0.281120328,0.307570003,0.262321973,0.055594589,0.04964951,0.047938369,0.518607161,0.877690638,0.877690638,
p22_uppercut_left_post_005,0.250617084,0.460640116,0.252094266,0.294849561,0.28295476,0.264495116,0.049399855,0.047655164,0.047620211,0.593264084,0.797613262,0.797613262,
p22_uppercut_left_post_006,0.268085191,0.471029828,0.282789644,0.28810248,0.318468616,0.2550435,0.053236506,0.048196643,0.047704788,0.583888176,0.866802865,0.866802865,
p22_uppercut_left_post_007,0.285505689,0.490313094,0.265329314,0.281947184,0.323597626,0.27007469,0.055387041,0.048698417,0.048045359,0.566844783,0.894108708,0.894108708,
p22_uppercut_left_post_008,0.289500722,0.455238885,0.272957707,0.299675563,0.285355153,0.253928992,0.049882182,0.047715858,0.047623495,0.636994374,0.788835775,0.788835775,
p22_uppercut_left_post_009,0.269957901,0.4406371,0.257905359,0.262530958,0.224711207,0.212635236,0.049746039,0.047961791,0.047621387,0.577836715,0.683665363,0.683665363,
p22_uppercut_left_post_010,0.27320774,0.436798353,0.305067318,0.302564688,0.299721236,0.250469675,0.050349117,0.047914602,0.047647505,0.600606527,0.84966587,0.84966587,
p22_uppercut_left_pre_001,0.264123523,0.425139743,0.279050707,0.261563303,0.268336446,0.323487254,0.05312182,0.050042014,0.047729057,0.634330833,0.779938071,0.779938071,
p22_uppercut_left_pre_002,0.260763702,0.448512797,0.285635599,0.293845279,0.275664628,0.226772787,0.050949446,0.048095605,0.047645173,0.577798605,0.798320514,0.798320514,
p22_uppercut_left_pre_003,0.285018311,0.439521513,0.307828746,0.295337176,0.290625726,0.259283503,0.053347466,0.048152979,0.04769307,0.597955074,0.853169103,0.853169103,
p22_uppercut_left_pre_004,0.276849558,0.455276299,0.249637594,0.277187635,0.28299692,0.318292357,0.054299526,0.050003779,0.047732227,0.616889837,0.812163093,0.812163093,
p22_uppercut_left_pre_005,0.288505169,0.453625907,0.304182815,0.297365521,0.294946459,0.251679987,0.053277553,0.047931926,0.047657603,0.603409358,0.853586196,0.853586196,
p22_uppercut_left_pre_006,0.241087724,0.436594556,0.289747402,0.301099026,0.257370891,0.295827626,0.053017371,0.048969362,0.047675512,0.635559272,0.78196759,0.78196759,
