jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_jap_pre_001,0.326272852,0.481158941,0.342015378,0.267255108,0.251504466,0.311678977,0.047826032,0.047785316,0.04769326,0.601781713,0.918505496,0.918505496,
p22_jap_pre_002,0.327707338,0.469695335,0.328919738,0.269149768,0.254382471,0.308336965,0.048004572,0.04912414,0.047639587,0.589748613,0.911036878,0.911036878,
p22_jap_pre_003,0.336363403,0.481278029,0.325275799,0.262485667,0.246552381,0.313425389,0.047843966,0.048545749,0.047650876,0.607897907,0.892628394,0.892628394,
p22_jap_pre_004,0.314053917,0.477556443,0.334810443,0.251799089,0.235489022,0.322213485,0.047933958,0.047791599,0.047658753,0.598657761,0.885779791,0.885779791,
p22_jap_pre_005,0.3430083,0.47802086,0.339279093,0.268466358,0.248940829,0.258258742,0.048148635,0.049572626,0.047646553,0.56993566,0.896192888,0.896192888,
p22_jap_pre_006,0.343357668,0.402558958,0.303113288,0.252773264,0.232437929,0.290091112,0.047941096,0.048758875,0.04772196,0.527430156,0.866415521,0.866415521,
p22_jap_pre_007,0.334327465,0.429091708,0.310269144,0.247588156,0.219136048,0.309735407,0.047957227,0.04782835,0.047720786,0.548402557,0.863200556,0.863200556,
p22_jap_pre_008,0.274888833,0.377329663,0.319915193,0.263379104,0.190668396,0.28576716,0.048139795,0.047832295,0.047636039,0.502815701,0.821006239,0.821006239,
p22_jap_pre_009,0.292467577,0.388851678,0.312542692,0.240243097,0.205330764,0.296374253,0.048073748,0.047774758,0.047633932,0.474361911,0.86172956,0.86172956,
p22_jap_pre_010,0.303728309,0.41828145,0.317034885,0.240741099,0.201583534,0.314744665,0.047984445,0.047731938,0.047663446,0.511856498,0.864022632,0.864022632,
AVG,0.317853517,0.48789238,0.319614438,0.283141756,0.263589836,0.284237923,0.047904247,0.049858015,0.047679253,0.590106657,0.903795985,0.903795985,
