hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p22_hook_left_main_001,0.313736945708756,0.4744401925703869,0.22508340260087686,0.23528817932793036,0.314826349038714,0.21644784003170453,0.06911070426574678,0.06383421704105882,0.04763272606769851,0.5062522821211825,0.788384786835878,0.788384786835878
p22_hook_left_main_002,0.28244033834009896,0.44976020115313453,0.22410294772363745,0.22480528714615505,0.33636975866453944,0.15523510537585974,0.06659148412970523,0.06117359150432387,0.047655804824988615,0.44590076304492826,0.7773253493127211,0.7773253493127211
p22_hook_left_main_003,0.12903937466126514,0.3050063090385878,0.09678302720693276,0.10708366582644,0.1795008012823749,0.10905837142532708,0.06931844596789316,0.06489020358013887,0.04761906888849539,0.5719820319223482,0.035153662654726824,0.035153662654726824
p22_hook_left_main_004,0.24304024116971515,0.4437935792494181,0.1931848844829306,0.1954205967808586,0.3107219656156082,0.2437785021907528,0.05915996425939577,0.05760591749411391,0.04772005229076778,0.464954657667473,0.7504539231193066,0.7504539231193066
p22_hook_left_main_005,0.25089650715774253,0.4280438957587826,0.22190770604322943,0.1918775657308616,0.30531983470650503,0.25467544171368106,0.05920840865661804,0.055884560902252835,0.04770209391357227,0.5077558904029976,0.7358928799459017,0.7358928799459017
p22_hook_left_main_006,0.27279428980932197,0.47067414003091795,0.22146617490338186,0.21566329420557348,0.32503433342370947,0.2704341312358725,0.0611376608718199,0.06258832299548381,0.04787947730370083,0.5228484807842301,0.8003556880843102,0.8003556880843102
p22_hook_left_main_007,0.2521542523010497,0.44565856683314686,0.20120357311981896,0.2113884405484115,0.3139787264880185,0.21384642354920733,0.06564141648462117,0.06150725081205797,0.04763145255310446,0.49704459199249873,0.7103121705321034,0.7103121705321034
p22_hook_left_main_008,0.2817880478345984,0.462253027402369,0.21929347535103155,0.1950002483315289,0.3289944533347005,0.2712812956097127,0.060152836940886904,0.05815005051731541,0.047731073300725395,0.49715424873365127,0.8143181956602961,0.8143181956602961
p22_hook_left_main_009,0.2703006289803399,0.42549678958445264,0.199658460848733,0.1903961721236929,0.3296580761454787,0.26964581408762,0.06039027513516304,0.058526403160651344,0.04771226054249803,0.4520203142246628,0.8113264650969692,0.8113264650969692
p22_hook_left_main_010,0.27739983614227776,0.46049917982920296,0.2196093499948729,0.17683068363030446,0.3231255285968012,0.27642520636864926,0.05994139540460985,0.058736712055134636,0.0478393037510896,0.47025443089221663,0.8197182295642048,0.8197182295642048
