uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p04_uppercut_left_main_001,0.19999933367387873,0.4326712524865665,0.30669434641974813,0.3391698343390119,0.21066313500370568,0.2543359960698137,0.04820528458741264,0.04766401941121318,0.04761942044075487,0.563107404031191,0.8034364533981331,0.7313377385880504
p04_uppercut_left_main_002,0.19620414790439927,0.4362550746975142,0.32300826562496743,0.3563510444034616,0.2175628014129493,0.26678466538037443,0.048258505248690756,0.047691085938881835,0.047620380688431746,0.5927950238908759,0.825368453905458,0.7555964249010834
p04_uppercut_left_main_003,0.19157153187938045,0.4210793364191329,0.2946238914607642,0.34804789565055827,0.21666302269570084,0.23809426092426045,0.04817845664524597,0.04771282573891284,0.047619701956055194,0.5574639795879094,0.7848226477795256,0.7166150473220407
p04_uppercut_left_main_004,0.18134388793410822,0.4204004767971371,0.31139487571315455,0.3381366367718233,0.20112385932770227,0.223100321484002,0.04833120769502455,0.047666044908402316,0.04762190547593629,0.5478152001345197,0.7646956910016188,0.6996315437414891
p04_uppercut_left_main_005,0.20009634666285825,0.4515612557337147,0.32287123627325387,0.31829844112440375,0.23522047502261167,0.22537716667126997,0.04818048657105778,0.0476820744477062,0.04762205775653071,0.5266542606859793,0.8403589406947051,0.7462475366920873
p04_uppercut_left_main_006,0.18777489727432536,0.4393729854296941,0.25696989161606637,0.29803441649828677,0.21759510888475395,0.25581710709354877,0.048113489309446686,0.047663082565263484,0.0476192212411873,0.5277850086678785,0.7560639832404248,0.6875802908686609
p04_uppercut_left_main_007,0.19080552690695876,0.4332688519245932,0.2728428694443986,0.2975504610629328,0.22616427174604584,0.24229298290802231,0.04806276763400567,0.04770604015036692,0.047619294406173296,0.5145221906260234,0.7784959151856021,0.6993037978177284
p04_uppercut_left_main_008,0.16120776744250448,0.38980151080402775,0.21121334019994692,0.27712075077312,0.18838343089250845,0.20971596771684947,0.048240866315257695,0.04767702881322146,0.047619066422449965,0.5102636034627899,0.5998909544826267,0.5730027491766757
p04_uppercut_left_main_009,0.18609078962029862,0.4356699530287271,0.2912305273415642,0.3396567508645161,0.22918150190556458,0.23617488835541117,0.04806957149791798,0.04768358495372806,0.047620568530172415,0.5518356315425366,0.7959360298999372,0.7227059103927169
p04_uppercut_left_main_010,0.2117597753585639,0.4291255206866076,0.2859766740505633,0.30639024229607886,0.21851754805843243,0.20565257730733227,0.04802026325838379,0.047813713154305125,0.04763008345835395,0.49604793527783403,0.7803610635742031,0.6950671250852923
p04_uppercut_left_main_011,0.2295491879875246,0.43460749667962945,0.31028892460620827,0.30343164858482263,0.22012439577368728,0.21629624630702599,0.04802250078572661,0.04788490183622231,0.04762911828399173,0.5123008260968727,0.8090190955792428,0.7200036147345318
p04_uppercut_left_main_012,0.21259762043352368,0.46089032060669366,0.31230828727048515,0.33238352594741843,0.23518667269361412,0.27235986712575644,0.048259941459842096,0.04764798037646102,0.047619462105114085,0.6062298615662803,0.8231711627627231,0.7580887724037901
p04_uppercut_left_main_013,0.20195541619299334,0.4645237169501308,0.2907664371739328,0.3075622804083508,0.2291843273815514,0.2613038542617187,0.04810534321007168,0.04764814074956598,0.047619966574263276,0.5405488906597407,0.8217785988164443,0.7374096863694332
p04_uppercut_left_main_014,0.20417201446943484,0.4470207314205581,0.29868219822159175,0.2809654613217054,0.22081490738000933,0.23228992430065118,0.04817919644253726,0.04771880511575581,0.047627838932497696,0.4818479603382073,0.8152693220809966,0.7152429135581597
p04_uppercut_left_main_015,0.20215412755380405,0.40272213344723246,0.2760982196256073,0.28809028751590704,0.1926551437407436,0.19433147408942836,0.04819627666559773,0.04780137431995749,0.047619637052652854,0.515900297812432,0.6782157491618984,0.6295211137570584
p04_uppercut_left_main_016,0.21357598580126255,0.4286608465369646,0.3055010338690601,0.3016988087408131,0.2057440840743158,0.2294028895623284,0.0481715403444933,0.04798014621338079,0.04764730843249679,0.4828574441799818,0.8191493896232612,0.7182618059902774
p04_uppercut_left_main_017,0.21781381128466606,0.4534870726400146,0.30269285624870534,0.3161876926011707,0.21952524222516648,0.22262770051766306,0.04865068562544325,0.047890589448243016,0.0476591320982722,0.485741152319358,0.8485935964327443,0.7397378631987284
p04_uppercut_left_main_018,0.19158869405310544,0.41332524169222185,0.3021565498032732,0.2947453182778049,0.18816120262452052,0.22030691528705565,0.048197829057257516,0.04777825703665999,0.0476209115026775,0.5305170608462976,0.7166583762758759,0.6608159816470024
p04_uppercut_left_main_019,0.1991312107166681,0.42397969571017297,0.2821103345784482,0.34215858240853514,0.22656448332324136,0.21528541084922087,0.04823945650513554,0.04767112541724304,0.047620328237171626,0.5208306249281477,0.7969922063546472,0.7141437319266973
p04_uppercut_left_main_020,0.22733000030882172,0.4539547028978844,0.2800764259557823,0.29544105608729004,0.22583766700834929,0.219667535111343,0.048013496952320434,0.04764823586874966,0.04761945843125923,0.5035914004353256,0.7997014811368046,0.7108684569263608
p04_uppercut_left_main_021,0.23098340092755407,0.4500731174736611,0.30139411862158766,0.33361866407997465,0.24521043545186877,0.22441819706870528,0.04962776201993312,0.04775115798054831,0.04761971429236673,0.5189274715374543,0.8647418218159945,0.7609975167324324
p04_uppercut_left_main_022,0.22793391615690844,0.4655429549392496,0.34968981363693497,0.32784313188968495,0.2427735341976341,0.2828243727386478,0.04822571688901276,0.04770364498267542,0.04762027682551439,0.6211909216285821,0.8651306285062079,0.7919487164429202
p04_uppercut_left_main_023,0.19194513769496693,0.45981876912141395,0.2780057930832165,0.320746028991008,0.22840252572890957,0.25103143707060177,0.048958221189853296,0.04769200059144438,0.047620311206958324,0.5319384977554227,0.8115692447556165,0.7276800206555584
p04_uppercut_left_main_024,0.18257115955283038,0.4303882566639552,0.3040133380414416,0.3008409301960592,0.19788250141339667,0.23567126396803567,0.048557411427413176,0.047680498408545456,0.04761938719999877,0.534800842708388,0.7498321384938628,0.6853227497582203
p04_uppercut_left_main_025,0.2013212518886288,0.4506230448552976,0.30014752956258883,0.2581142330511634,0.21294002913548268,0.2503443869608754,0.04837963836809832,0.04778720730342451,0.04763523669311724,0.4655836389000113,0.8208965964513807,0.7143027091859698
p04_uppercut_left_main_026,0.19041481000382796,0.45644509856503956,0.27967199242539353,0.33544397473458376,0.22514759031406556,0.27281010570107417,0.0485872307938466,0.0477383329706549,0.04762063061206313,0.5821515916920346,0.7952871662513611,0.7313464938835631
p04_uppercut_left_main_027,0.18843004058086088,0.4459059362372333,0.3335435757634776,0.3220509052004014,0.20042200072185296,0.24061497662317172,0.04815121106835895,0.04766243196724003,0.04762408169615367,0.549287681170777,0.7986482030000138,0.7238400464512428
p04_uppercut_left_main_028,0.195115905484596,0.44392426637307275,0.3122494872024319,0.34938325904110945,0.2397825692837468,0.2532788972742236,0.04822428641119911,0.047730756139747046,0.047621527326066684,0.5756520643784768,0.8383656303975829,0.759551560591851
p04_uppercut_left_main_029,0.20939666387264205,0.43917676347151646,0.29694713431502806,0.3127757194399659,0.2076958234869987,0.2255135710771786,0.048262124180602876,0.04782406730689502,0.047637209831176704,0.5061187137015629,0.8022743680815355,0.7134276717675437
p04_uppercut_left_main_030,0.1174952085747846,0.3519476127475386,0.21256174644210754,0.26172404265255916,0.1343110580114088,0.1728286842173375,0.04834874790441327,0.047663645886487936,0.047619068814992616,0.5799561182884759,0.3811891279303954,0.44081922503781956
p04_uppercut_left_post_001,0.2213221167306963,0.4383810186757561,0.24370151013844285,0.28284425469595875,0.20831461099645238,0.19760175088509208,0.047936896403149104,0.04764227603189482,0.047619805709756345,0.4276433116734051,0.781924712830856,0.6756402924836207
p04_uppercut_left_post_002,0.19230300062475084,0.4446586691616539,0.2804299875875586,0.2629991775176652,0.21502119949462167,0.2248184833055201,0.04809290825178663,0.04765466268339877,0.04761958497875842,0.4564454532717409,0.7855509626135022,0.6868193098109738
p04_uppercut_left_post_003,0.1933848378183914,0.4131546817895246,0.2433499423849367,0.2633119493621736,0.21318519970598065,0.2096101408404615,0.04810602056848938,0.047693287932422834,0.04762586087452497,0.40507849702757603,0.7688360930053716,0.6597088142120329
p04_uppercut_left_post_004,0.18444011130884913,0.4515473483827545,0.2551461220871546,0.33115157579738436,0.23552496449109644,0.21428071910138033,0.048375155889618326,0.047692286950085316,0.04761945510809139,0.5079761945044987,0.7875452894227069,0.7036745609472443
p04_uppercut_left_post_005,0.19583941565037588,0.43123211729550404,0.27689184388231636,0.24706509097577367,0.21403380510330253,0.2342996919740222,0.04821990790272475,0.04767855814877654,0.04762045345335561,0.42770428572033053,0.7981754506252235,0.6870341011537556
p04_uppercut_left_post_006,0.187261040591527,0.4271124562777236,0.19725935709009604,0.2777239132739497,0.1818187845978796,0.21434896006691134,0.04835086949592549,0.047724994717460195,0.04761905662969832,0.45617396578153724,0.6699389460663296,0.6058094519808919
p04_uppercut_left_post_007,0.17253148469707874,0.4102755648917557,0.25518029241212137,0.30012087651678615,0.1901791012390031,0.18646604439115327,0.048171623167396524,0.047675046378785085,0.04761929354814048,0.5032368310396701,0.6644915885886016,0.6161151613239221
p04_uppercut_left_post_008,0.19793039186177624,0.4482843377014866,0.2882199254481613,0.3299080213269941,0.2255063152638932,0.22196059132306473,0.048412554182691414,0.04770285838096232,0.047620337664703166,0.5180254064311621,0.8110439561967427,0.7231383912670686
p04_uppercut_left_post_009,0.18632053550906344,0.4226280195708064,0.2664540642109486,0.2801255323649926,0.1905556873722763,0.1934157639194714,0.047991263896988545,0.04764648942593648,0.047619104989333805,0.526926212925201,0.6550766317805516,0.6166315061239465
p04_uppercut_left_post_010,0.2104680687100001,0.4253407953907148,0.29950323735412204,0.28564116387113636,0.21497514385330313,0.20377634719757315,0.04826629845362788,0.047707642693395155,0.047634192407991355,0.47914681215262817,0.7838730183742788,0.6924551565077836
p04_uppercut_left_pre_001,0.18242795549888688,0.2968790936759583,0.32445077888514595,0.2838919567335939,0.14010573299387288,0.09142195823666863,0.04864873164616255,0.04773688400431347,0.0476190476660113,0.44147903034765623,0.6010081276928577,0.5531493984892972
p04_uppercut_left_pre_002,0.1530709895809631,0.29451628263892815,0.33996009193893245,0.30859002986222445,0.12352389541401827,0.06262461583375163,0.04840631159786389,0.0477166926345383,0.047619047720119934,0.42717454215491546,0.596983713733343,0.5460409622598147
