straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p07_straight_main_001,0.23252236551907676,0.40614587894156157,0.23133474417673164,0.2798994984141407,0.24404771085234903,0.24106023172362642,0.0481339616826087,0.04771144739885622,0.04762336517400398,0.5221209185391651,0.7401870649119117
p07_straight_main_002,0.24712657615974293,0.39404311414010706,0.2185742839234795,0.2848114066275837,0.2920471192481335,0.25389390709454257,0.04835275806173821,0.04793956465994133,0.047626185458496895,0.5712366131458289,0.7525437078189795
p07_straight_main_003,0.2840313182799295,0.42396851368116656,0.2739554479910514,0.2843948233221817,0.3354493720402497,0.24223956380886982,0.04868080286171684,0.052050966019895104,0.049115758594371214,0.6300292687911673,0.7992902120860418
p07_straight_main_004,0.2784701679314409,0.41640163859743556,0.3090363532599091,0.2961296432735498,0.3332214380545368,0.22772078058217157,0.04829980565968189,0.04989396600180512,0.049366887534203104,0.6379768271915933,0.8180562575955668
p07_straight_main_005,0.28353495593234923,0.3953716242014577,0.25268500340192374,0.24863024510471154,0.3380989745706749,0.22308576385367643,0.047944168096095974,0.04767295488206413,0.047649915661970486,0.6156531876810349,0.7314586871219186
p07_straight_main_006,0.2622302657172029,0.45902435751671555,0.2864310577275567,0.29575576593279324,0.3651623144128163,0.23755817156379821,0.048491038180393416,0.048438932702246085,0.05034312008890299,0.6549675875771739,0.8310041325080763
p07_straight_main_007,0.28956580688449474,0.450883241811022,0.28487452337013996,0.2724836694949702,0.36222002861224206,0.23540710938093778,0.0485868078956098,0.048737690933106884,0.05106766441014156,0.6456372177751651,0.8188378322437951
p07_straight_main_008,0.23154286134041951,0.4040095592098504,0.27565873039424443,0.2579802153723131,0.24914886378894083,0.26241244354604143,0.04840190161471104,0.04810435802950245,0.04765531730267886,0.5603664870875771,0.7573516739507784
p07_straight_main_009,0.26499045131091103,0.43070393154734116,0.2942336757186771,0.2932766765433501,0.34610824788118677,0.24275941432847822,0.04842118903603249,0.04950488976880426,0.04914538689415545,0.6467378346630461,0.8186188130379746
p07_straight_main_010,0.2219758102272507,0.40165858045938635,0.21126932046397098,0.28486152663481673,0.201585392897993,0.18148242956209812,0.04827534223923294,0.04799814976879761,0.04762685000165398,0.43753471046471804,0.7174178141787279
p07_straight_main_011,0.2795342804419988,0.43546853116132594,0.2904967367680884,0.29606787509198884,0.3501893711885396,0.25267433884155943,0.04866237702266739,0.04946987605924059,0.04873402060560191,0.6700946750307332,0.819305306889117
p07_straight_main_012,0.219113689780955,0.4017871829342403,0.21108479190171914,0.28588369399848756,0.2093627000602536,0.1810051585238744,0.04855502516002048,0.04810199003230934,0.04762462834631277,0.43900986921620005,0.714008862251494
p07_straight_main_013,0.2970905495581112,0.4256036503018243,0.2899273086824194,0.291384659329303,0.3168415346425002,0.2441550117974145,0.04848944946063839,0.04789325884387691,0.04856681910738895,0.6427231341602584,0.8077718968991502
p07_straight_main_014,0.27274039211790135,0.4362117113179524,0.2963476862217271,0.285219623221255,0.3514967952430683,0.24393782195297894,0.0487570652389741,0.05426768454360736,0.04972403938111031,0.646622233840533,0.8212512882289117
p07_straight_main_015,0.2584546777581534,0.4674138218794953,0.2993702611486258,0.31292956102813474,0.361942336891848,0.23951098960580555,0.04858187818452224,0.04852493145729747,0.05002051887260178,0.6723264696706669,0.8447675822269429
p07_straight_main_016,0.25545108325368415,0.43536886140900444,0.2762544822157557,0.2919121604887308,0.3565290717913282,0.20562904697885392,0.04798418870042016,0.04768224991282842,0.04763179854452685,0.5983835800117434,0.8211819055919867
p07_straight_main_017,0.25383473007936297,0.46254226258934095,0.29855823401427806,0.3155404737832571,0.3538423973442197,0.23618349619981155,0.0483929813896212,0.04823210187693579,0.05015048912433586,0.6664030837079832,0.8377645323874758
p07_straight_main_018,0.25815126518155296,0.4552322905091549,0.2829560729673435,0.2911561275643815,0.3516031254602508,0.2353837928937515,0.04798663952610343,0.04764601232376144,0.04804874418080741,0.6631309245945788,0.8014740411201111
p07_straight_main_019,0.2239596322673818,0.42878941887379723,0.22928794362096028,0.2974200222356183,0.21857075816783783,0.20649337466379164,0.0486967721141019,0.048282668013227684,0.04762240217698954,0.4991442138560239,0.7383464067574372
p07_straight_main_020,0.2498028438366653,0.43183180428439066,0.2863712713245793,0.3100400077587253,0.363408496130995,0.2684394943720031,0.04914085524315728,0.05876543617680049,0.049208900716471715,0.66902665740709,0.8285327719706219
p07_straight_main_021,0.25977627983588136,0.42661998707729365,0.2968933202671654,0.3222892775728751,0.33802421062478316,0.2431702319378312,0.048555841175064056,0.04923726413499827,0.04872641630079427,0.6632442667561878,0.824392948619471
p07_straight_main_022,0.2609030756757214,0.44043205991439455,0.29105573434407506,0.30646029557970433,0.36200986474559527,0.2293983037052664,0.0489278079316536,0.05753488012354498,0.04972321465985799,0.6527764029857688,0.8196187872849899
p07_straight_main_023,0.26245003325702265,0.4418908479410929,0.2923819609722974,0.3098754963828567,0.35894730199597447,0.22317222089683178,0.048948285118683744,0.056681666382107,0.04965047619531945,0.6521205012021567,0.8176538295963574
p07_straight_main_024,0.25285146052730995,0.46296816737401836,0.27395143882520817,0.28179966584346683,0.3458290346199365,0.25490642135176966,0.04860504974848788,0.048614683379130004,0.049683668386567556,0.6473631171461507,0.8077741960373718
p07_straight_main_025,0.2505842821371279,0.435456961010033,0.2872137086744281,0.3069153464223399,0.34283533602850624,0.24233417685722553,0.04878686713806426,0.04929529609071929,0.049650360678097014,0.6488190552617119,0.814315031266635
p07_straight_main_026,0.25254902586563416,0.4618840429341017,0.2824316530385427,0.29493353163601793,0.35709902439888397,0.24962776289503377,0.04808877317512688,0.0476992116555944,0.04863598485580933,0.6691880736066322,0.8162388052665986
p07_straight_main_027,0.23551478008277288,0.4200110357898882,0.2765919909208724,0.2952577854703759,0.30842672533518345,0.23463355685624143,0.04835210573631386,0.047999600024168455,0.047685474103874685,0.5805441627141001,0.808170432516231
p07_straight_main_028,0.2686666180916981,0.4448531000958768,0.2845449994232827,0.3043545519518399,0.3542508989413894,0.23892894989072028,0.04893563718163311,0.05483171483893658,0.04905190196664068,0.6688599991241282,0.8069840202499802
