jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,,
p07_jap_main_001,0.195132794,0.419038894,0.286503419,0.253990892,0.273427474,0.194779399,0.047722249,0.047724228,0.047646114,0.464189894,0.794625346,0.853938086,0.081889085
p07_jap_main_002,0.19670654,0.438982965,0.300370391,0.261425397,0.279631018,0.208826332,0.047652286,0.047797341,0.047622932,0.483777114,0.823379241,0.874774498,
p07_jap_main_003,0.188645461,0.477038865,0.288051978,0.275789705,0.282857615,0.277555964,0.047825906,0.050061561,0.047626046,0.524854903,0.866268459,0.792885413,
p07_jap_main_004,0.197122252,0.446714363,0.286611102,0.302263202,0.305122748,0.27486681,0.048102875,0.050702382,0.047695004,0.541343216,0.884841712,,
p07_jap_main_005,0.199855016,0.446091005,0.288019643,0.261444144,0.294447089,0.219953432,0.047758585,0.047775936,0.047625786,0.489398345,0.838342271,,
p07_jap_main_006,0.204589684,0.455871273,0.293221647,0.28877676,0.296857482,0.25510044,0.047723097,0.049803607,0.047632661,0.514923121,0.886332245,,
p07_jap_main_007,0.198193597,0.474853196,0.301495094,0.294416122,0.312430616,0.254997165,0.047890032,0.050537472,0.047672188,0.541650605,0.892868726,,
p07_jap_main_008,0.203837997,0.467551466,0.299955855,0.308348748,0.272062957,0.243174426,0.04780411,0.050211183,0.047643891,0.512184945,0.885459281,,
p07_jap_main_009,0.2017379,0.484448778,0.302077964,0.29747705,0.298663728,0.273463892,0.047757276,0.04939611,0.047661937,0.570220987,0.882319984,,
p07_jap_main_010,0.195107511,0.482540095,0.312291073,0.300920581,0.307171354,0.256473307,0.047766706,0.049301733,0.047829355,0.571031881,0.877445409,,
p07_jap_main_011,0.180277225,0.42274593,0.240782662,0.244245242,0.270813837,0.224680179,0.047677368,0.047895676,0.047620098,0.50395181,0.709973861,,
p07_jap_main_012,0.214237286,0.477026826,0.317893037,0.317882531,0.262098249,0.25598471,0.048100486,0.052519862,0.048036671,0.52160911,0.911770924,,
p07_jap_main_013,0.225060084,0.445398563,0.298802279,0.302046476,0.284954771,0.249566733,0.047725935,0.048836888,0.047731947,0.529272312,0.882320154,,
p07_jap_main_014,0.207766065,0.456504506,0.299718194,0.269956932,0.321915367,0.231824752,0.047886675,0.047926628,0.047621618,0.551038803,0.84309578,,
p07_jap_main_015,0.204855437,0.453503131,0.304242192,0.286233185,0.308001684,0.292339942,0.047776132,0.049655787,0.047643077,0.603876434,0.851994206,,
p07_jap_main_016,0.208226516,0.445559914,0.281160999,0.26342104,0.308319227,0.247219367,0.047760426,0.047862293,0.047622834,0.540731906,0.826048314,,
p07_jap_main_017,0.203901253,0.424157041,0.299029684,0.296819801,0.281801862,0.311252792,0.048249187,0.053715379,0.04764365,0.560527958,0.875412046,,
p07_jap_main_018,0.210323939,0.435040618,0.308999159,0.305818444,0.260274617,0.262822816,0.047850043,0.048895914,0.04767789,0.518271412,0.882897444,,
p07_jap_main_019,0.211048944,0.454693098,0.295946254,0.295932456,0.29365527,0.268954623,0.047785097,0.048962153,0.04762566,0.572284164,0.851907476,,
p07_jap_main_020,0.225423658,0.436858853,0.322731199,0.325503746,0.290668031,0.305401625,0.048421845,0.053914926,0.047714202,0.602259272,0.909325422,,
p07_jap_main_021,0.206955642,0.464625154,0.314066507,0.29034014,0.279519257,0.270934216,0.047706642,0.047967242,0.047653232,0.549491903,0.87998185,,
p07_jap_main_022,0.209322853,0.462707797,0.313968376,0.265733074,0.258419395,0.236997203,0.047826433,0.04790592,0.04762541,0.498750303,0.851470884,,
p07_jap_main_023,0.207215214,0.490824549,0.333150904,0.321072194,0.233703874,0.308604295,0.048081671,0.051277252,0.047663567,0.579847185,0.904318124,,
p07_jap_main_024,0.197851429,0.469524502,0.312304497,0.289940385,0.259151898,0.238772978,0.047841368,0.047802978,0.047622511,0.525736425,0.844013547,,
p07_jap_main_025,0.225765475,0.452405141,0.309995943,0.30381745,0.288148145,0.27312204,0.047895699,0.049748191,0.047684418,0.566597434,0.888440373,,
p07_jap_main_026,0.225109202,0.478891378,0.315132564,0.311468033,0.282844979,0.272375495,0.048068611,0.050164807,0.047699273,0.597982048,0.87419487,,
p07_jap_main_027,0.218440905,0.468213613,0.336249519,0.331447716,0.24384317,0.310714285,0.048338043,0.053363602,0.047869776,0.599298133,0.903569231,,
p07_jap_main_028,0.181820692,0.41889147,0.273458408,0.24187394,0.198824704,0.19230659,0.047844869,0.047823632,0.047620023,0.480975917,0.663697335,,
p07_jap_main_029,0.208028425,0.429012831,0.298044016,0.253644663,0.265092615,0.224838681,0.047653286,0.047819784,0.047620087,0.477335768,0.823441512,,
p07_jap_main_030,0.2058654,0.443570362,0.277061829,0.253396971,0.261777429,0.252831861,0.047802326,0.050223577,0.047627806,0.496554409,0.808386552,,
p07_jap_post_001,0.199656682,0.454642037,0.296410827,0.253251784,0.214104658,0.205484804,0.047941472,0.047774526,0.047624333,0.475605229,0.760665188,,
p07_jap_post_002,0.232900612,0.435745942,0.334164385,0.304686908,0.239442755,0.253592189,0.047924661,0.050008652,0.047687527,0.516182187,0.888759818,,
p07_jap_post_003,0.228335478,0.435166143,0.332291611,0.269841863,0.308835194,0.263029758,0.047985535,0.050661252,0.047630166,0.567134132,0.875422215,,
p07_jap_post_004,0.227307942,0.469255169,0.362152158,0.292928105,0.274675908,0.294844555,0.048013043,0.050537725,0.047653451,0.592490901,0.916706466,,
p07_jap_post_005,0.228132645,0.450403946,0.355027806,0.314265505,0.263423893,0.273759609,0.048117332,0.053048806,0.04766496,0.569441607,0.910877655,,
p07_jap_post_006,0.231145113,0.436830312,0.325267471,0.30307778,0.265648627,0.256158513,0.048025131,0.051032207,0.047670524,0.534026684,0.887663709,,
p07_jap_post_007,0.238219678,0.440097092,0.332794049,0.305879488,0.271913785,0.255656686,0.047853512,0.050091168,0.047697833,0.55200739,0.89273036,,
p07_jap_post_008,0.240447768,0.443036446,0.338036415,0.31441912,0.265116723,0.258541273,0.047996949,0.052012493,0.047735836,0.559223928,0.895974848,,
p07_jap_post_009,0.238035622,0.444604628,0.321728251,0.299973985,0.247773628,0.27749892,0.047857619,0.050358482,0.047693035,0.541325671,0.886206146,,
p07_jap_post_010,0.262340643,0.373762057,0.292375385,0.296480572,0.222749653,0.226021378,0.047677581,0.048325915,0.047675994,0.469702766,0.832738575,,
p07_jap_pre_001,0.212182932,0.352527345,0.256928414,0.236334028,0.268685064,0.259659681,0.04778481,0.047890683,0.047622346,0.436949738,0.80869523,,
p07_jap_pre_002,0.211557622,0.368263008,0.250421638,0.227345129,0.267086434,0.237691267,0.047807809,0.047931944,0.047630466,0.391823613,0.81961088,,
p07_jap_pre_003,0.210237135,0.368491668,0.265504261,0.243069712,0.263857963,0.244331868,0.047836644,0.047977134,0.047624428,0.410093608,0.835977605,,
p07_jap_pre_004,0.21186113,0.350706778,0.252768616,0.243180223,0.252046069,0.21807558,0.047756314,0.048158459,0.047623032,0.373476173,0.814950505,,
p07_jap_pre_005,0.200086771,0.341564674,0.256746492,0.223255973,0.248958013,0.233035259,0.047875349,0.04829372,0.047624546,0.361016861,0.809984731,,
p07_jap_pre_006,0.18975435,0.34200117,0.241531816,0.229389846,0.286519542,0.22435883,0.047726878,0.04812789,0.047630081,0.397482917,0.787766492,,
p07_jap_pre_007,0.193873504,0.332067991,0.243658718,0.221881216,0.263200546,0.235706316,0.047800128,0.048078974,0.047622622,0.36989475,0.798787658,,
p07_jap_pre_008,0.164738908,0.339359338,0.199831196,0.199396076,0.267336332,0.210671251,0.047675044,0.04777759,0.047620728,0.373564239,0.690268333,,
p07_jap_pre_009,0.162546184,0.350211606,0.231418797,0.231667692,0.291485748,0.237936971,0.047784697,0.048378339,0.047623176,0.455801789,0.72166228,,
p07_jap_pre_010,0.20220916,0.372372833,0.28315986,0.272465615,0.263224683,0.208538951,0.047800306,0.048624683,0.047646857,0.414845304,0.841150414,,
AVG,0.208879886,0.430487927,0.295671091,0.277964753,0.272451714,0.2513066,0.047870722,0.049453694,0.047665632,0.509041144,0.845894834,,
